Date,t,Close
2011-10-03,2011.756,84.86
2011-10-04,2011.758,88.53
2011-10-05,2011.761,90.95
2011-10-06,2011.764,93.52
2011-10-07,2011.767,92.75
2011-10-10,2011.775,94.49
2011-10-11,2011.778,94.84
2011-10-12,2011.781,96.35
2011-10-13,2011.783,98.78
2011-10-14,2011.786,100.1
2011-10-17,2011.794,97.64
2011-10-18,2011.797,101.06
2011-10-19,2011.8,100.41
2011-10-20,2011.803,102.29
2011-10-21,2011.806,103.71
2011-10-24,2011.814,105.53
2011-10-25,2011.817,102.71
2011-10-26,2011.819,103.92
2011-10-27,2011.822,107.82
2011-10-28,2011.825,109.12
2011-10-31,2011.833,104.81
2011-11-01,2011.833,102.08
2011-11-02,2011.836,103.5
2011-11-03,2011.839,106.15
2011-11-04,2011.842,107.05
2011-11-07,2011.85,106.65
2011-11-08,2011.853,108.72
2011-11-09,2011.856,102.69
2011-11-10,2011.858,104.06
2011-11-11,2011.861,107.26
2011-11-14,2011.869,106.5
2011-11-15,2011.872,105.96
2011-11-16,2011.875,104.19
2011-11-17,2011.878,102.2
2011-11-18,2011.881,101.73
2011-11-21,2011.889,100.12
2011-11-22,2011.892,98.68
2011-11-23,2011.894,96.49
2011-11-25,2011.9,97.05
2011-11-28,2011.908,99.98
2011-11-29,2011.911,99.91
2011-11-30,2011.914,104.78
2011-12-01,2011.917,104.59
2011-12-02,2011.919,104.67
2011-12-05,2011.928,106.4
2011-12-06,2011.931,106.55
2011-12-07,2011.933,106.9
2011-12-08,2011.936,103.98
2011-12-09,2011.939,105.73
2011-12-12,2011.947,102.67
2011-12-13,2011.95,101.06
2011-12-14,2011.953,100.43
2011-12-15,2011.956,101.88
2011-12-16,2011.958,101.48
2011-12-19,2011.967,100.15
2011-12-20,2011.969,102.55
2011-12-21,2011.972,103.34
2011-12-22,2011.975,104.93
2011-12-23,2011.978,105.26
2011-12-27,2011.989,104.56
2011-12-28,2011.992,101.93
2011-12-29,2011.994,104.95
2011-12-30,2011.997,105.65
2012-01-03,2012.006,108.47
2012-01-04,2012.008,109.25
2012-01-05,2012.011,109.23
2012-01-06,2012.014,112.05
2012-01-09,2012.022,111.32
2012-01-10,2012.025,112.23
2012-01-11,2012.028,112.28
2012-01-12,2012.031,115.37
2012-01-13,2012.033,114.37
2012-01-17,2012.044,113.01
2012-01-18,2012.047,116.09
2012-01-19,2012.05,118.01
2012-01-20,2012.053,117.49
2012-01-23,2012.061,117.09
2012-01-24,2012.064,116.8
2012-01-25,2012.067,116.86
2012-01-26,2012.069,122.33
2012-01-27,2012.072,122.98
2012-01-30,2012.081,122.02
2012-01-31,2012.083,121.44
2012-02-01,2012.083,123.93
2012-02-02,2012.086,122.69
2012-02-03,2012.089,123.61
2012-02-06,2012.097,124.17
2012-02-07,2012.1,123.75
2012-02-08,2012.103,123.86
2012-02-09,2012.106,124.44
2012-02-10,2012.108,122.94
2012-02-13,2012.117,123.24
2012-02-14,2012.119,122.53
2012-02-15,2012.122,121.96
2012-02-16,2012.125,123.6
2012-02-17,2012.128,123.07
2012-02-21,2012.139,124.36
2012-02-22,2012.142,122.69
2012-02-23,2012.144,122.92
2012-02-24,2012.147,123.31
2012-02-27,2012.156,123.57
2012-02-28,2012.158,123.2
2012-02-29,2012.161,122.72
2012-03-01,2012.167,123.23
