Date,t,Close
2011-10-03,2011.756,47.28
2011-10-04,2011.758,48.41
2011-10-05,2011.761,50.21
2011-10-06,2011.764,51.46
2011-10-07,2011.767,49.55
2011-10-10,2011.775,52.01
2011-10-11,2011.778,52.25
2011-10-12,2011.781,53.79
2011-10-13,2011.783,52.58
2011-10-14,2011.786,53.79
2011-10-17,2011.794,51.76
2011-10-18,2011.797,54.41
2011-10-19,2011.8,53.12
2011-10-20,2011.803,54.32
2011-10-21,2011.806,56.05
2011-10-24,2011.814,57.41
2011-10-25,2011.817,55
2011-10-26,2011.819,56.89
2011-10-27,2011.822,60.35
2011-10-28,2011.825,60.08
2011-10-31,2011.833,57.18
2011-11-01,2011.833,54.34
2011-11-02,2011.836,56.07
2011-11-03,2011.839,55.93
2011-11-04,2011.842,56.11
2011-11-07,2011.85,56
2011-11-08,2011.853,56.65
2011-11-09,2011.856,53.73
2011-11-10,2011.858,54.35
2011-11-11,2011.861,55.88
2011-11-14,2011.869,55.14
2011-11-15,2011.872,55.07
2011-11-16,2011.875,53.88
2011-11-17,2011.878,52.72
2011-11-18,2011.881,53.03
2011-11-21,2011.889,51.28
2011-11-22,2011.892,50.9
2011-11-23,2011.894,48.92
2011-11-25,2011.9,48.84
2011-11-28,2011.908,51.02
2011-11-29,2011.911,51.23
2011-11-30,2011.914,54.96
2011-12-01,2011.917,54.72
2011-12-02,2011.919,54.78
2011-12-05,2011.928,56
2011-12-06,2011.931,56.47
2011-12-07,2011.933,57.1
2011-12-08,2011.936,54.12
2011-12-09,2011.939,55.58
2011-12-12,2011.947,53.66
2011-12-13,2011.95,52.78
2011-12-14,2011.953,52.77
2011-12-15,2011.956,52.9
2011-12-16,2011.958,52.7
2011-12-19,2011.967,50.92
2011-12-20,2011.969,53.23
2011-12-21,2011.972,53.87
2011-12-22,2011.975,54.56
2011-12-23,2011.978,54.99
2011-12-27,2011.989,54.36
2011-12-28,2011.992,53.17
2011-12-29,2011.994,53.95
2011-12-30,2011.997,53.75
2012-01-03,2012.006,55.34
2012-01-04,2012.008,54.72
2012-01-05,2012.011,55.02
2012-01-06,2012.014,54.26
2012-01-09,2012.022,54.79
2012-01-10,2012.025,56.75
2012-01-11,2012.028,57.09
2012-01-12,2012.031,57.37
2012-01-13,2012.033,56.51
2012-01-17,2012.044,56.08
2012-01-18,2012.047,57.31
2012-01-19,2012.05,58.03
2012-01-20,2012.053,58.3
2012-01-23,2012.061,58.34
2012-01-24,2012.064,58.05
2012-01-25,2012.067,57.57
2012-01-26,2012.069,56.78
2012-01-27,2012.072,56.74
2012-01-30,2012.081,56.28
2012-01-31,2012.083,56.35
2012-02-01,2012.083,58.36
2012-02-02,2012.086,58.61
2012-02-03,2012.089,60.87
2012-02-06,2012.097,60.32
2012-02-07,2012.1,60.32
2012-02-08,2012.103,61.59
2012-02-09,2012.106,61.54
2012-02-10,2012.108,60.6
2012-02-13,2012.117,61.36
2012-02-14,2012.119,60.65
2012-02-15,2012.122,60.56
2012-02-16,2012.125,62.12
2012-02-17,2012.128,62.67
2012-02-21,2012.139,62.75
2012-02-22,2012.142,62.03
2012-02-23,2012.144,62.82
2012-02-24,2012.147,62.83
2012-02-27,2012.156,62.96
2012-02-28,2012.158,63.19
2012-02-29,2012.161,63.41
2012-03-01,2012.167,63.7
2012-03-02,2012.169,63.43
2012-03-05,2012.178,63.65
2012-03-06,2012.181,61.58
2012-03-07,2012.183,62.01
2012-03-08,2012.186,61.68
2012-03-09,2012.189,61.86
2012-03-12,2012.197,61.68
2012-03-13,2012.2,62.99
2012-03-14,2012.203,62.54
2012-03-15,2012.206,63.33
2012-03-16,2012.208,63.11
2012-03-19,2012.217,62.97
2012-03-20,2012.219,63.42
2012-03-21,2012.222,63.37
2012-03-22,2012.225,62.17
2012-03-23,2012.228,62.69
2012-03-26,2012.236,64.12
2012-03-27,2012.239,64.18
2012-03-28,2012.242,63.97
2012-03-29,2012.244,63.63
2012-03-30,2012.247,64.43
2012-04-02,2012.253,65.49
2012-04-03,2012.256,64.77
2012-04-04,2012.258,65.43
2012-04-05,2012.261,65.49
2012-04-09,2012.272,63.87
2012-04-10,2012.275,62.36
2012-04-11,2012.278,63.32
2012-04-12,2012.281,65.29
2012-04-13,2012.283,64.01
2012-04-16,2012.292,64.39
2012-04-17,2012.294,65
2012-04-18,2012.297,63.17
2012-04-19,2012.3,63.01
2012-04-20,2012.303,62.95
2012-04-23,2012.311,63
2012-04-24,2012.314,63.65
2012-04-25,2012.317,64.42
2012-04-26,2012.319,65.3
2012-04-27,2012.322,65.89
2012-04-30,2012.331,65.46
2012-05-01,2012.333,66.16
2012-05-02,2012.336,65.96
2012-05-03,2012.339,64.86
2012-05-04,2012.342,63.39
2012-05-07,2012.35,62.63
2012-05-08,2012.353,62.58
2012-05-09,2012.356,62.51
2012-05-10,2012.358,62.91
2012-05-11,2012.361,62.57
2012-05-14,2012.369,61.53
2012-05-15,2012.372,60.79
2012-05-16,2012.375,59.39
2012-05-17,2012.378,56.91
2012-05-18,2012.381,56.31
2012-05-21,2012.389,57.79
2012-05-22,2012.392,57.65
2012-05-23,2012.394,57.63
2012-05-24,2012.397,57.81
2012-05-25,2012.4,57.34
2012-05-29,2012.411,58.6
2012-05-30,2012.414,56.89
2012-05-31,2012.417,57.12
2012-06-01,2012.417,54.75
2012-06-04,2012.425,54.86
2012-06-05,2012.428,56.09
2012-06-06,2012.431,58.39
2012-06-07,2012.433,58.61
2012-06-08,2012.436,58.97
2012-06-11,2012.444,57.49
2012-06-12,2012.447,58.35
2012-06-13,2012.45,58.08
2012-06-14,2012.453,59.03
2012-06-15,2012.456,59.93
2012-06-18,2012.464,59.77
2012-06-19,2012.467,60.8
2012-06-20,2012.469,61
2012-06-21,2012.472,59.06
2012-06-22,2012.475,59.65
2012-06-25,2012.483,58.08
2012-06-26,2012.486,58.42
2012-06-27,2012.489,58.91
2012-06-28,2012.492,59.36
2012-06-29,2012.494,61.29
2012-07-02,2012.503,61.04
2012-07-03,2012.506,62.04
2012-07-05,2012.511,60.83
2012-07-06,2012.514,60.27
2012-07-09,2012.522,59.39
