Date,t,Close
2011-08-22,2011.642,91.47
2011-08-23,2011.644,97.45
2011-08-24,2011.647,99.11
2011-08-25,2011.65,97.31
2011-08-26,2011.653,100.42
2011-08-29,2011.661,106.74
2011-08-30,2011.664,107.14
2011-08-31,2011.667,110.16
2011-09-01,2011.667,107.17
2011-09-02,2011.669,102.58
2011-09-06,2011.681,100.16
2011-09-07,2011.683,104.32
2011-09-08,2011.686,103.32
2011-09-09,2011.689,98.68
2011-09-12,2011.697,99.33
2011-09-13,2011.7,101.84
2011-09-14,2011.703,103.92
2011-09-15,2011.706,107.23
2011-09-16,2011.708,106.86
2011-09-19,2011.717,105.69
2011-09-20,2011.719,104.55
2011-09-21,2011.722,100.53
2011-09-22,2011.725,96.2
2011-09-23,2011.728,96.57
2011-09-26,2011.736,99.73
2011-09-27,2011.739,103.1
2011-09-28,2011.742,101.76
2011-09-29,2011.744,102.92
2011-09-30,2011.747,97.82
2011-10-03,2011.756,96.23
2011-10-04,2011.758,98.19
2011-10-05,2011.761,98.99
2011-10-06,2011.764,100.3
2011-10-07,2011.767,95.4
2011-10-10,2011.775,99.11
2011-10-11,2011.778,101.44
2011-10-12,2011.781,104.55
2011-10-13,2011.783,103.81
2011-10-14,2011.786,107.91
2011-10-17,2011.794,106.03
2011-10-18,2011.797,98.56
2011-10-19,2011.8,97.94
2011-10-20,2011.803,100.47
2011-10-21,2011.806,107.14
2011-10-24,2011.814,111.42
2011-10-25,2011.817,107.97
2011-10-26,2011.819,109.39
2011-10-27,2011.822,113.78
2011-10-28,2011.825,113.01
2011-10-31,2011.833,110.85
2011-11-01,2011.833,108.31
2011-11-02,2011.836,110.73
2011-11-03,2011.839,112.04
2011-11-04,2011.842,111.1
2011-11-07,2011.85,110.93
2011-11-08,2011.853,112.5
2011-11-09,2011.856,107.23
2011-11-10,2011.858,107.26
2011-11-11,2011.861,112.5
2011-11-14,2011.869,112.19
2011-11-15,2011.872,114.18
2011-11-16,2011.875,110.76
2011-11-17,2011.878,103.61
2011-11-18,2011.881,103.55
2011-11-21,2011.889,101.27
2011-11-22,2011.892,100.19
2011-11-23,2011.894,98.56
2011-11-25,2011.9,99.16
2011-11-28,2011.908,101.16
2011-11-29,2011.911,99.28
2011-11-30,2011.914,104.78
2011-12-01,2011.917,105.83
2011-12-02,2011.919,107.71
2011-12-05,2011.928,110.02
2011-12-06,2011.931,108.88
2011-12-07,2011.933,109.73
2011-12-08,2011.936,107.31
2011-12-09,2011.939,110.11
2011-12-12,2011.947,108.51
2011-12-13,2011.95,104.35
2011-12-14,2011.953,104.09
2011-12-15,2011.956,106.14
2011-12-16,2011.958,104.55
2011-12-19,2011.967,103.64
2011-12-20,2011.969,107.06
2011-12-21,2011.972,107.94
2011-12-22,2011.975,109.45
2011-12-23,2011.978,111.67
2011-12-27,2011.989,110.3
2011-12-28,2011.992,108.85
2011-12-29,2011.994,110.42
2011-12-30,2011.997,110.76
2012-01-03,2012.006,112.07
2012-01-04,2012.008,113.01
2012-01-05,2012.011,113.67
2012-01-06,2012.014,112.78
2012-01-09,2012.022,112.13
2012-01-10,2012.025,114.92
2012-01-11,2012.028,113.67
2012-01-12,2012.031,116.12
2012-01-13,2012.033,119.76
2012-01-17,2012.044,118.03
2012-01-18,2012.047,119.37
2012-01-19,2012.05,119.82
2012-01-20,2012.053,119.57
2012-01-23,2012.061,119.31
2012-01-24,2012.064,123.44
2012-01-25,2012.067,127.52
2012-01-26,2012.069,126.95
2012-01-27,2012.072,126.35
2012-01-30,2012.081,125.12
2012-01-31,2012.083,125.92
2012-02-01,2012.083,126.63
2012-02-02,2012.086,127.26
2012-02-03,2012.089,131.39
2012-02-06,2012.097,129.14
2012-02-07,2012.1,130.82
