Date,t,Close
2011-10-03,2011.756,133.11
2011-10-04,2011.758,137.65
2011-10-05,2011.761,143.05
2011-10-06,2011.764,144.96
2011-10-07,2011.767,144.4
2011-10-10,2011.775,150.79
2011-10-11,2011.778,150.26
2011-10-12,2011.781,153.43
2011-10-13,2011.783,153.01
2011-10-14,2011.786,155.74
2011-10-17,2011.794,151.98
2011-10-18,2011.797,154.61
2011-10-19,2011.8,152.79
2011-10-20,2011.803,153.4
2011-10-21,2011.806,158.39
2011-10-24,2011.814,159.56
2011-10-25,2011.817,155.47
2011-10-26,2011.819,157.6
2011-10-27,2011.822,163.91
2011-10-28,2011.825,162.98
2011-10-31,2011.833,158.96
2011-11-01,2011.833,152.8
2011-11-02,2011.836,154.14
2011-11-03,2011.839,155.89
2011-11-04,2011.842,155.17
2011-11-07,2011.85,157.15
2011-11-08,2011.853,158.45
2011-11-09,2011.856,151.48
2011-11-10,2011.858,156.07
2011-11-11,2011.861,162.22
2011-11-14,2011.869,160.49
2011-11-15,2011.872,162.14
2011-11-16,2011.875,158.15
2011-11-17,2011.878,156.25
2011-11-18,2011.881,156.63
2011-11-21,2011.889,153.32
2011-11-22,2011.892,152.32
2011-11-23,2011.894,149.13
2011-11-25,2011.9,149.28
2011-11-28,2011.908,153.03
2011-11-29,2011.911,152.99
2011-11-30,2011.914,160.84
2011-12-01,2011.917,159.84
2011-12-02,2011.919,160.96
2011-12-05,2011.928,161.67
2011-12-06,2011.931,162.32
2011-12-07,2011.933,163.26
2011-12-08,2011.936,158.5
2011-12-09,2011.939,161.79
2011-12-12,2011.947,160.85
2011-12-13,2011.95,159.34
2011-12-14,2011.953,156.65
2011-12-15,2011.956,156.9
2011-12-16,2011.958,157.57
2011-12-19,2011.967,154.66
2011-12-20,2011.969,160.22
2011-12-21,2011.972,161.11
2011-12-22,2011.975,163.09
2011-12-23,2011.978,165.94
2011-12-27,2011.989,166.07
2011-12-28,2011.992,164.57
2011-12-29,2011.994,167.29
2011-12-30,2011.997,166.31
2012-01-03,2012.006,169.33
2012-01-04,2012.008,170.16
2012-01-05,2012.011,172.79
2012-01-06,2012.014,173.13
2012-01-09,2012.022,172.77
2012-01-10,2012.025,173.52
2012-01-11,2012.028,172.77
2012-01-12,2012.031,173.6
2012-01-13,2012.033,171.52
2012-01-17,2012.044,173
2012-01-18,2012.047,174.84
2012-01-19,2012.05,177.19
2012-01-20,2012.053,175.16
2012-01-23,2012.061,174.98
2012-01-24,2012.064,174.96
2012-01-25,2012.067,175.69
2012-01-26,2012.069,174.98
2012-01-27,2012.072,174.4
2012-01-30,2012.081,174.33
2012-01-31,2012.083,172.76
2012-02-01,2012.083,174.98
2012-02-02,2012.086,172.95
2012-02-03,2012.089,177.54
2012-02-06,2012.097,178.95
2012-02-07,2012.1,179.92
2012-02-08,2012.103,181.02
2012-02-09,2012.106,180.2
2012-02-10,2012.108,179.72
2012-02-13,2012.117,181.27
2012-02-14,2012.119,180.14
2012-02-15,2012.122,178.17
2012-02-16,2012.125,179.75
2012-02-17,2012.128,181.05
2012-02-21,2012.139,180.3
2012-02-22,2012.142,178.43
2012-02-23,2012.144,179.64
2012-02-24,2012.147,179.49
2012-02-27,2012.156,179.52
2012-02-28,2012.158,181.15
2012-02-29,2012.161,180.99
2012-03-01,2012.167,182.83
2012-03-02,2012.169,181.9
2012-03-05,2012.178,181.65
2012-03-06,2012.181,178.41
2012-03-07,2012.183,178.89
2012-03-08,2012.186,180.49
2012-03-09,2012.189,180.96
2012-03-12,2012.197,179.66
2012-03-13,2012.2,184.33
2012-03-14,2012.203,182.69
2012-03-15,2012.206,182.68
2012-03-16,2012.208,182.15
2012-03-19,2012.217,183.32
2012-03-20,2012.219,181.76
2012-03-21,2012.222,181.79
2012-03-22,2012.225,181.05
2012-03-23,2012.228,183.09
2012-03-26,2012.236,185.63
2012-03-27,2012.239,185.24
2012-03-28,2012.242,182.26
2012-03-29,2012.244,181.64
2012-03-30,2012.247,184.23
2012-04-02,2012.253,184.5
2012-04-03,2012.256,183.36
2012-04-04,2012.258,180.72
2012-04-05,2012.261,181.35
2012-04-09,2012.272,177.72
2012-04-10,2012.275,174
2012-04-11,2012.278,175.53
2012-04-12,2012.281,178.62
2012-04-13,2012.283,177.2
2012-04-16,2012.292,176.58
2012-04-17,2012.294,180.04
2012-04-18,2012.297,179.4
2012-04-19,2012.3,177.91
2012-04-20,2012.303,178.95
2012-04-23,2012.311,177.47
2012-04-24,2012.314,178.32
2012-04-25,2012.317,180.53
2012-04-26,2012.319,183.41
2012-04-27,2012.322,183.48
2012-04-30,2012.331,181.96
2012-05-01,2012.333,184.16
2012-05-02,2012.336,183.76
2012-05-03,2012.339,184.42
2012-05-04,2012.342,180.65
2012-05-07,2012.35,182.23
2012-05-08,2012.353,182.11
2012-05-09,2012.356,183.54
2012-05-10,2012.358,186.69
2012-05-11,2012.361,186.7
2012-05-14,2012.369,185.73
2012-05-15,2012.372,184.3
2012-05-16,2012.375,184.12
2012-05-17,2012.378,181.25
2012-05-18,2012.381,179.12
2012-05-21,2012.389,181.44
2012-05-22,2012.392,181.56
2012-05-23,2012.394,180.51
2012-05-24,2012.397,182.16
2012-05-25,2012.4,182.28
2012-05-29,2012.411,185.64
2012-05-30,2012.414,183.2
2012-05-31,2012.417,183.59
2012-06-01,2012.417,178.33
2012-06-04,2012.425,178.51
2012-06-05,2012.428,179.19
2012-06-06,2012.431,183.55
2012-06-07,2012.433,183.97
2012-06-08,2012.436,185.76
2012-06-11,2012.444,183.34
2012-06-12,2012.447,186.77
2012-06-13,2012.45,184.81
2012-06-14,2012.453,188.09
2012-06-15,2012.456,189.83
2012-06-18,2012.464,190.5
2012-06-19,2012.467,191.96
2012-06-20,2012.469,192.96
2012-06-21,2012.472,191.29
2012-06-22,2012.475,192.02
2012-06-25,2012.483,188.61
2012-06-26,2012.486,193.73
2012-06-27,2012.489,197.21
2012-06-28,2012.492,196.12
2012-06-29,2012.494,198.84
2012-07-02,2012.503,201.07
2012-07-03,2012.506,201.13
2012-07-05,2012.511,198.64
2012-07-06,2012.514,198.09
2012-07-09,2012.522,197.07
2012-07-10,2012.525,195.01
2012-07-11,2012.528,194.77
2012-07-12,2012.531,194.12
2012-07-13,2012.533,197.4
2012-07-16,2012.542,196.35
2012-07-17,2012.544,200.58
2012-07-18,2012.547,201.29
2012-07-19,2012.55,200.39
2012-07-20,2012.553,198.38
2012-07-23,2012.561,195.14
2012-07-24,2012.564,195.56
2012-07-25,2012.567,197.14
2012-07-26,2012.569,201.01
2012-07-27,2012.572,204.08
2012-07-30,2012.581,203.21
2012-07-31,2012.583,202.01
2012-08-01,2012.583,201.62
2012-08-02,2012.586,203.02
2012-08-03,2012.589,206.59
2012-08-06,2012.597,207.74
2012-08-07,2012.6,209.06
2012-08-08,2012.603,210.36
2012-08-09,2012.606,209.9
2012-08-10,2012.608,208.89
2012-08-13,2012.617,208.78
2012-08-14,2012.619,208.19
2012-08-15,2012.622,209.25
2012-08-16,2012.625,210.13
2012-08-17,2012.628,210.65
2012-08-20,2012.636,210.33
2012-08-21,2012.639,208.66
2012-08-22,2012.642,209.13
2012-08-23,2012.644,207.14
2012-08-24,2012.647,208.39
2012-08-27,2012.656,208.26
2012-08-28,2012.658,207.72
2012-08-29,2012.661,209.05
2012-08-30,2012.664,206.78
2012-08-31,2012.667,207.55
2012-09-04,2012.675,207.63
2012-09-05,2012.678,210.85
2012-09-06,2012.681,215.81
2012-09-07,2012.683,216.52
2012-09-10,2012.692,214.79
2012-09-11,2012.694,215.34
2012-09-12,2012.697,215.15
2012-09-13,2012.7,219.3
2012-09-14,2012.703,219.75
2012-09-17,2012.711,219.58
2012-09-18,2012.714,218.44
2012-09-19,2012.717,222.38
2012-09-20,2012.719,223.34
2012-09-21,2012.722,223.33
2012-09-24,2012.731,223.73
2012-09-25,2012.733,221.11
2012-09-26,2012.736,218.94
2012-09-27,2012.739,221.91
2012-09-28,2012.742,220.73
2012-10-01,2012.75,220.56
2012-10-02,2012.753,219.98
2012-10-03,2012.756,222.39
2012-10-04,2012.758,223.91
2012-10-05,2012.761,225.4
2012-10-08,2012.769,224.75
2012-10-09,2012.772,221.01
2012-10-10,2012.775,218.85
2012-10-11,2012.778,216.46
2012-10-12,2012.781,216.78
2012-10-15,2012.789,217.66
2012-10-16,2012.792,220
2012-10-17,2012.794,223.37
2012-10-18,2012.797,224.4
2012-10-19,2012.8,220.95
2012-10-22,2012.808,220.72
2012-10-23,2012.811,215.74
2012-10-24,2012.814,216.26
2012-10-25,2012.817,214.25
2012-10-26,2012.819,212.84
2012-10-31,2012.833,210.45
2012-11-01,2012.833,213.09
2012-11-02,2012.836,211.55
2012-11-05,2012.844,212.09
2012-11-06,2012.847,213.16
2012-11-07,2012.85,214.83
2012-11-08,2012.853,212.95
2012-11-09,2012.856,207.92
2012-11-12,2012.864,208.32
2012-11-13,2012.867,208.78
2012-11-14,2012.869,205.12
2012-11-15,2012.872,205.34
2012-11-16,2012.875,206.35
2012-11-19,2012.883,209.76
2012-11-20,2012.886,210.97
2012-11-21,2012.889,210.24
2012-11-23,2012.894,213.88
2012-11-26,2012.903,213.25
2012-11-27,2012.906,212.26
2012-11-28,2012.908,214.98
2012-11-29,2012.911,216.95
2012-11-30,2012.914,217.04
2012-12-03,2012.922,215.37
2012-12-04,2012.925,215.28
2012-12-05,2012.928,214.78
2012-12-06,2012.931,215.56
2012-12-07,2012.933,217.17
2012-12-10,2012.942,217.46
2012-12-11,2012.944,218.6
2012-12-12,2012.947,218.54
2012-12-13,2012.95,216.31
2012-12-14,2012.953,214.88
2012-12-17,2012.961,218.74
2012-12-18,2012.964,221.8
2012-12-19,2012.967,220.04
2012-12-20,2012.969,222.98
2012-12-21,2012.972,219.33
2012-12-24,2012.981,219.44
2012-12-26,2012.986,218.69
2012-12-27,2012.989,217.94
2012-12-28,2012.992,215.84
2012-12-31,2013,220.28
2013-01-02,2013.003,228.5
2013-01-03,2013.006,228.21
2013-01-04,2013.008,230.69
2013-01-07,2013.017,226.94
2013-01-08,2013.019,227.68
2013-01-09,2013.022,228.18
2013-01-10,2013.025,229.95
2013-01-11,2013.028,228.92
2013-01-14,2013.036,228.35
2013-01-15,2013.039,229.65
2013-01-16,2013.042,230.09
2013-01-17,2013.044,233.14
2013-01-18,2013.047,233.27
2013-01-22,2013.058,234.72
2013-01-23,2013.061,238.02
2013-01-24,2013.064,237.05
2013-01-25,2013.067,237.99
2013-01-28,2013.075,238.25
2013-01-29,2013.078,238.01
2013-01-30,2013.081,238.25
2013-01-31,2013.083,238.95
2013-02-01,2013.083,241.61
2013-02-04,2013.092,238.73
2013-02-05,2013.094,239.96
2013-02-06,2013.097,242.06
2013-02-07,2013.1,240.58
2013-02-08,2013.103,243.45
2013-02-11,2013.111,242.88
2013-02-12,2013.114,243.59
2013-02-13,2013.117,244.12
2013-02-14,2013.119,245.31
2013-02-15,2013.122,247.21
2013-02-19,2013.133,248.55
2013-02-20,2013.136,244.27
2013-02-21,2013.139,241.54
2013-02-22,2013.142,243.21
2013-02-25,2013.15,238.6
2013-02-26,2013.153,240.43
2013-02-27,2013.156,243.91
2013-02-28,2013.158,244.24
2013-03-01,2013.167,247.36
2013-03-04,2013.175,249.48
2013-03-05,2013.178,253.67
2013-03-06,2013.181,253.01
2013-03-07,2013.183,254.66
2013-03-08,2013.186,259.17
2013-03-11,2013.194,259.7
2013-03-12,2013.197,257.37
2013-03-13,2013.2,258.24
2013-03-14,2013.203,260.82
2013-03-15,2013.206,258.84
2013-03-18,2013.214,256.3
2013-03-19,2013.217,252.95
2013-03-20,2013.219,256.06
2013-03-21,2013.222,253.97
2013-03-22,2013.225,256.76
2013-03-25,2013.233,255.01
2013-03-26,2013.236,256.39
2013-03-27,2013.239,255.62
2013-03-28,2013.242,257.92
2013-04-01,2013.25,257.41
2013-04-02,2013.253,260.3
2013-04-03,2013.256,259.98
2013-04-04,2013.258,260.49
2013-04-05,2013.261,260.85
2013-04-08,2013.269,266.22
2013-04-09,2013.272,266.34
2013-04-10,2013.275,269.59
2013-04-11,2013.278,271.49
2013-04-12,2013.281,271.35
2013-04-15,2013.289,263.62
2013-04-16,2013.292,271.41
2013-04-17,2013.294,270.07
2013-04-18,2013.297,266.31
2013-04-19,2013.3,272.7
2013-04-22,2013.308,275.05
2013-04-23,2013.311,275.89
2013-04-24,2013.314,272.52
2013-04-25,2013.317,272.35
2013-04-26,2013.319,271.86
2013-04-29,2013.328,274.13
2013-04-30,2013.331,273.61
2013-05-01,2013.333,275.26
2013-05-02,2013.336,279.15
2013-05-03,2013.339,281.63
2013-05-06,2013.347,282.5
2013-05-07,2013.35,285.8
2013-05-08,2013.353,284.97
2013-05-09,2013.356,289.26
2013-05-10,2013.358,290.25
