Date,t,Close
2012-06-04,2012.425,44.6
2012-06-05,2012.428,45.01
2012-06-06,2012.431,46.45
2012-06-07,2012.433,46.11
2012-06-08,2012.436,46.67
2012-06-11,2012.444,45.64
2012-06-12,2012.447,46.85
2012-06-13,2012.45,46.25
2012-06-14,2012.453,46.63
2012-06-15,2012.456,48.13
2012-06-18,2012.464,47.39
2012-06-19,2012.467,48.76
2012-06-20,2012.469,48.4
2012-06-21,2012.472,46.65
2012-06-22,2012.475,47.62
2012-06-25,2012.483,45.71
2012-06-26,2012.486,45.57
2012-06-27,2012.489,46.58
2012-06-28,2012.492,46.49
2012-06-29,2012.494,47.82
2012-07-02,2012.503,48.4
2012-07-03,2012.506,50.09
2012-07-05,2012.511,48.11
2012-07-06,2012.514,47.93
2012-07-09,2012.522,47.93
2012-07-10,2012.525,47.03
2012-07-11,2012.528,48.63
2012-07-12,2012.531,48.18
2012-07-13,2012.533,50.2
2012-07-16,2012.542,49.82
2012-07-17,2012.544,49.71
2012-07-18,2012.547,49.3
2012-07-19,2012.55,49.35
2012-07-20,2012.553,48.31
2012-07-23,2012.561,47.91
2012-07-24,2012.564,47.53
2012-07-25,2012.567,47.21
2012-07-26,2012.569,48.52
2012-07-27,2012.572,50.25
2012-07-30,2012.581,49.93
2012-07-31,2012.583,48.74
2012-08-01,2012.583,48.97
2012-08-02,2012.586,46.22
2012-08-03,2012.589,47.46
2012-08-06,2012.597,48.63
2012-08-07,2012.6,50
2012-08-08,2012.603,49.98
2012-08-09,2012.606,49.96
2012-08-10,2012.608,49.89
2012-08-13,2012.617,49.12
2012-08-14,2012.619,48.92
2012-08-15,2012.622,49.35
2012-08-16,2012.625,49.96
2012-08-17,2012.628,50.63
2012-08-20,2012.636,49.96
2012-08-21,2012.639,50.11
2012-08-22,2012.642,49.93
2012-08-23,2012.644,48.97
2012-08-24,2012.647,49.33
2012-08-27,2012.656,49.15
2012-08-28,2012.658,49.06
2012-08-29,2012.661,49.53
2012-08-30,2012.664,47.86
2012-08-31,2012.667,48.07
2012-09-04,2012.675,47.46
2012-09-05,2012.678,47.05
2012-09-06,2012.681,48.36
2012-09-07,2012.683,49.55
2012-09-10,2012.692,49.12
2012-09-11,2012.694,49.55
2012-09-12,2012.697,50.02
2012-09-13,2012.7,51.48
2012-09-14,2012.703,53.71
2012-09-17,2012.711,52.59
2012-09-18,2012.714,52.59
2012-09-19,2012.717,53.75
2012-09-20,2012.719,53.37
2012-09-21,2012.722,52.99
2012-09-24,2012.731,53.73
2012-09-25,2012.733,51.78
2012-09-26,2012.736,51.78
2012-09-27,2012.739,51.98
2012-09-28,2012.742,51.15
2012-10-01,2012.75,51.46
2012-10-02,2012.753,51.64
2012-10-03,2012.756,51.48
2012-10-04,2012.758,52.11
2012-10-05,2012.761,51.57
2012-10-08,2012.769,51.35
2012-10-09,2012.772,50.38
2012-10-10,2012.775,49.78
2012-10-11,2012.778,50.02
2012-10-12,2012.781,49.73
2012-10-15,2012.789,50.09
2012-10-16,2012.792,50.45
2012-10-17,2012.794,51.66
2012-10-18,2012.797,51.89
2012-10-19,2012.8,50.9
2012-10-22,2012.808,51.06
2012-10-23,2012.811,50
2012-10-24,2012.814,49.87
2012-10-25,2012.817,51.28
2012-10-26,2012.819,50.61
2012-10-31,2012.833,51.03
2012-11-01,2012.833,51.64
2012-11-02,2012.836,50.83
2012-11-05,2012.844,51.19
2012-11-06,2012.847,51.93
2012-11-07,2012.85,48.9
2012-11-08,2012.853,48.2
