Date,t,Close
2011-08-08,2011.603,18.94
2011-08-09,2011.606,19.54
2011-08-10,2011.608,19.22
2011-08-11,2011.611,20.05
2011-08-12,2011.614,19.94
2011-08-15,2011.622,20.62
2011-08-16,2011.625,20.56
2011-08-17,2011.628,20.73
2011-08-18,2011.631,20.48
2011-08-19,2011.633,20.29
2011-08-22,2011.642,20.31
2011-08-23,2011.644,20.73
2011-08-24,2011.647,21.14
2011-08-25,2011.65,20.84
2011-08-26,2011.653,20.79
2011-08-29,2011.661,21.16
2011-08-30,2011.664,21.13
2011-08-31,2011.667,21.26
2011-09-01,2011.667,21.09
2011-09-02,2011.669,20.84
2011-09-06,2011.681,20.66
2011-09-07,2011.683,20.93
2011-09-08,2011.686,20.95
2011-09-09,2011.689,20.48
2011-09-12,2011.697,20.62
2011-09-13,2011.7,20.83
2011-09-14,2011.703,21.04
2011-09-15,2011.706,21.32
2011-09-16,2011.708,21.55
2011-09-19,2011.717,21.46
2011-09-20,2011.719,21.75
2011-09-21,2011.722,21.26
2011-09-22,2011.725,20.89
2011-09-23,2011.728,21.11
2011-09-26,2011.736,21.3
2011-09-27,2011.739,21.37
2011-09-28,2011.742,21.1
2011-09-29,2011.744,21.45
2011-09-30,2011.747,21.24
2011-10-03,2011.756,20.78
2011-10-04,2011.758,20.7
2011-10-05,2011.761,20.75
2011-10-06,2011.764,21.16
2011-10-07,2011.767,21.13
2011-10-10,2011.775,21.53
2011-10-11,2011.778,21.27
2011-10-12,2011.781,21.18
2011-10-13,2011.783,21.25
2011-10-14,2011.786,21.47
2011-10-17,2011.794,21.43
2011-10-18,2011.797,21.62
2011-10-19,2011.8,21.62
2011-10-20,2011.803,21.78
2011-10-21,2011.806,22.17
2011-10-24,2011.814,22.1
2011-10-25,2011.817,21.8
2011-10-26,2011.819,21.92
2011-10-27,2011.822,22.3
2011-10-28,2011.825,22.09
2011-10-31,2011.833,21.96
2011-11-01,2011.833,21.38
2011-11-02,2011.836,21.79
2011-11-03,2011.839,21.96
2011-11-04,2011.842,21.9
2011-11-07,2011.85,22.03
2011-11-08,2011.853,22.13
2011-11-09,2011.856,21.58
2011-11-10,2011.858,21.72
2011-11-11,2011.861,22.03
2011-11-14,2011.869,21.73
2011-11-15,2011.872,21.78
2011-11-16,2011.875,21.47
2011-11-17,2011.878,21.38
2011-11-18,2011.881,21.53
2011-11-21,2011.889,21.23
2011-11-22,2011.892,20.96
2011-11-23,2011.894,20.67
2011-11-25,2011.9,20.79
2011-11-28,2011.908,21.02
2011-11-29,2011.911,21.28
2011-11-30,2011.914,21.85
2011-12-01,2011.917,21.78
2011-12-02,2011.919,21.49
2011-12-05,2011.928,21.59
2011-12-06,2011.931,21.62
2011-12-07,2011.933,21.53
2011-12-08,2011.936,21.23
2011-12-09,2011.939,21.51
2011-12-12,2011.947,21.31
2011-12-13,2011.95,21.42
2011-12-14,2011.953,21.23
2011-12-15,2011.956,21.59
2011-12-16,2011.958,21.57
2011-12-19,2011.967,21.42
2011-12-20,2011.969,21.97
2011-12-21,2011.972,22.28
2011-12-22,2011.975,22.28
2011-12-23,2011.978,22.45
2011-12-27,2011.989,22.66
2011-12-28,2011.992,22.49
2011-12-29,2011.994,22.71
2011-12-30,2011.997,22.57
2012-01-03,2012.006,22.24
2012-01-04,2012.008,22.14
2012-01-05,2012.011,22.2
2012-01-06,2012.014,22.05
2012-01-09,2012.022,22.05
2012-01-10,2012.025,22.08
2012-01-11,2012.028,21.98
2012-01-12,2012.031,21.94
2012-01-13,2012.033,21.87
2012-01-17,2012.044,21.93
2012-01-18,2012.047,21.84
2012-01-19,2012.05,21.66
2012-01-20,2012.053,21.7
2012-01-23,2012.061,21.75
2012-01-24,2012.064,21.6
2012-01-25,2012.067,22
2012-01-26,2012.069,22.09
2012-01-27,2012.072,21.74
2012-01-30,2012.081,21.58
2012-01-31,2012.083,21.69
2012-02-01,2012.083,21.85
2012-02-02,2012.086,21.77
2012-02-03,2012.089,21.88
2012-02-06,2012.097,21.78
2012-02-07,2012.1,21.96
2012-02-08,2012.103,21.99
2012-02-09,2012.106,21.86
2012-02-10,2012.108,21.8
2012-02-13,2012.117,21.74
2012-02-14,2012.119,21.76
2012-02-15,2012.122,21.71
2012-02-16,2012.125,21.93
2012-02-17,2012.128,22.01
2012-02-21,2012.139,21.92
2012-02-22,2012.142,21.93
2012-02-23,2012.144,21.93
2012-02-24,2012.147,22.03
2012-02-27,2012.156,21.97
2012-02-28,2012.158,21.94
2012-02-29,2012.161,21.97
2012-03-01,2012.167,21.98
2012-03-02,2012.169,21.99
2012-03-05,2012.178,22.02
2012-03-06,2012.181,21.88
2012-03-07,2012.183,21.89
2012-03-08,2012.186,22.01
2012-03-09,2012.189,22.11
2012-03-12,2012.197,22.33
2012-03-13,2012.2,22.4
2012-03-14,2012.203,22.06
2012-03-15,2012.206,22.02
2012-03-16,2012.208,21.94
2012-03-19,2012.217,21.85
2012-03-20,2012.219,21.95
2012-03-21,2012.222,21.92
2012-03-22,2012.225,21.9
2012-03-23,2012.228,21.89
2012-03-26,2012.236,22.09
2012-03-27,2012.239,22.18
2012-03-28,2012.242,21.99
2012-03-29,2012.244,22.1
2012-03-30,2012.247,22.27
2012-04-02,2012.253,22.38
2012-04-03,2012.256,22.4
2012-04-04,2012.258,22.34
2012-04-05,2012.261,22.21
2012-04-09,2012.272,22.08
2012-04-10,2012.275,21.78
2012-04-11,2012.278,21.85
2012-04-12,2012.281,21.98
2012-04-13,2012.283,21.92
2012-04-16,2012.292,22.17
2012-04-17,2012.294,22.31
2012-04-18,2012.297,22.19
2012-04-19,2012.3,22.15
2012-04-20,2012.303,22.42
2012-04-23,2012.311,22.27
2012-04-24,2012.314,22.42
2012-04-25,2012.317,22.55
2012-04-26,2012.319,22.68
2012-04-27,2012.322,22.8
2012-04-30,2012.331,22.86
2012-05-01,2012.333,22.98
2012-05-02,2012.336,22.79
2012-05-03,2012.339,22.75
2012-05-04,2012.342,22.81
2012-05-07,2012.35,22.73
