Date,t,Close
2011-08-08,2011.603,135.86
2011-08-09,2011.606,147.21
2011-08-10,2011.608,142.58
2011-08-11,2011.611,149.78
2011-08-12,2011.614,149.52
2011-08-15,2011.622,154.38
2011-08-16,2011.625,153.08
2011-08-17,2011.628,154.25
2011-08-18,2011.631,142.63
2011-08-19,2011.633,140.11
2011-08-22,2011.642,137.34
2011-08-23,2011.644,144.55
2011-08-24,2011.647,146.37
2011-08-25,2011.65,143.12
2011-08-26,2011.653,145.83
2011-08-29,2011.661,151.15
2011-08-30,2011.664,151.92
2011-08-31,2011.667,152.84
2011-09-01,2011.667,152.47
2011-09-02,2011.669,148.48
2011-09-06,2011.681,146.33
2011-09-07,2011.683,150.76
2011-09-08,2011.686,149.81
2011-09-09,2011.689,145.9
2011-09-12,2011.697,147.67
2011-09-13,2011.7,149.39
2011-09-14,2011.703,152.49
2011-09-15,2011.706,154.55
2011-09-16,2011.708,153.36
2011-09-19,2011.717,153.52
2011-09-20,2011.719,152.55
2011-09-21,2011.722,148.08
2011-09-22,2011.725,141.3
2011-09-23,2011.728,140.94
2011-09-26,2011.736,145.67
2011-09-27,2011.739,147
2011-09-28,2011.742,142.86
2011-09-29,2011.744,143.78
2011-09-30,2011.747,140.69
2011-10-03,2011.756,137.11
2011-10-04,2011.758,139.78
2011-10-05,2011.761,143.52
2011-10-06,2011.764,147.1
2011-10-07,2011.767,145.74
2011-10-10,2011.775,151.92
2011-10-11,2011.778,151.38
2011-10-12,2011.781,151.74
2011-10-13,2011.783,152.54
2011-10-14,2011.786,155.95
2011-10-17,2011.794,168.83
2011-10-18,2011.797,173.94
2011-10-19,2011.8,173.96
2011-10-20,2011.803,175.49
2011-10-21,2011.806,178.12
2011-10-24,2011.814,180.26
2011-10-25,2011.817,178.16
2011-10-26,2011.819,179.88
2011-10-27,2011.822,184
2011-10-28,2011.825,183.2
2011-10-31,2011.833,178.85
2011-11-01,2011.833,174.85
2011-11-02,2011.836,178.65
2011-11-03,2011.839,181.02
2011-11-04,2011.842,182.38
2011-11-07,2011.85,182.47
2011-11-08,2011.853,183.53
2011-11-09,2011.856,178.55
2011-11-10,2011.858,180.22
2011-11-11,2011.861,181.97
2011-11-14,2011.869,179.83
2011-11-15,2011.872,181.5
2011-11-16,2011.875,178.69
2011-11-17,2011.878,178.33
2011-11-18,2011.881,179.37
2011-11-21,2011.889,177.59
2011-11-22,2011.892,177.82
2011-11-23,2011.894,175.05
2011-11-25,2011.9,176.81
2011-11-28,2011.908,180.13
2011-11-29,2011.911,181.64
2011-11-30,2011.914,184.61
2011-12-01,2011.917,184.87
2011-12-02,2011.919,186.2
2011-12-05,2011.928,186.52
2011-12-06,2011.931,185.1
2011-12-07,2011.933,184.82
2011-12-08,2011.936,181.26
2011-12-09,2011.939,183.28
2011-12-12,2011.947,181.67
2011-12-13,2011.95,182.45
2011-12-14,2011.953,180.14
2011-12-15,2011.956,179.66
2011-12-16,2011.958,182.09
2011-12-19,2011.967,181.6
2011-12-20,2011.969,186.12
2011-12-21,2011.972,188.29
