Date,t,Close
2011-10-03,2011.756,361.49
2011-10-04,2011.758,372.98
2011-10-05,2011.761,385.94
2011-10-06,2011.764,395.99
2011-10-07,2011.767,388.87
2011-10-10,2011.775,409.53
2011-10-11,2011.778,409.71
2011-10-12,2011.781,414.1
2011-10-13,2011.783,414.06
2011-10-14,2011.786,427.93
2011-10-17,2011.794,415.21
2011-10-18,2011.797,431.95
2011-10-19,2011.8,421.44
2011-10-20,2011.803,434.66
2011-10-21,2011.806,443.14
2011-10-24,2011.814,459.66
2011-10-25,2011.817,451.29
2011-10-26,2011.819,467.69
2011-10-27,2011.822,496.72
2011-10-28,2011.825,501.01
2011-10-31,2011.833,476.6
2011-11-01,2011.833,455.54
2011-11-02,2011.836,468.1
2011-11-03,2011.839,492.34
2011-11-04,2011.842,493.73
2011-11-07,2011.85,496.28
2011-11-08,2011.853,505.54
2011-11-09,2011.856,477.2
2011-11-10,2011.858,486.58
2011-11-11,2011.861,499.97
2011-11-14,2011.869,490.9
2011-11-15,2011.872,493.93
2011-11-16,2011.875,490.5
2011-11-17,2011.878,471.72
2011-11-18,2011.881,471.01
2011-11-21,2011.889,461.44
2011-11-22,2011.892,458
2011-11-23,2011.894,433.93
2011-11-25,2011.9,431.42
2011-11-28,2011.908,449.68
2011-11-29,2011.911,448.36
2011-11-30,2011.914,468.18
2011-12-01,2011.917,468.42
2011-12-02,2011.919,467.71
2011-12-05,2011.928,478.2
2011-12-06,2011.931,480.52
2011-12-07,2011.933,470.83
2011-12-08,2011.936,454.1
2011-12-09,2011.939,464.37
2011-12-12,2011.947,448.17
2011-12-13,2011.95,443.33
2011-12-14,2011.953,427.25
2011-12-15,2011.956,424.4
2011-12-16,2011.958,428.96
2011-12-19,2011.967,418.63
2011-12-20,2011.969,445.33
2011-12-21,2011.972,446
2011-12-22,2011.975,450.23
2011-12-23,2011.978,452.57
2011-12-27,2011.989,450.8
2011-12-28,2011.992,439.07
2011-12-29,2011.994,442.2
2011-12-30,2011.997,436.84
2012-01-03,2012.006,462.12
2012-01-04,2012.008,457.96
2012-01-05,2012.011,454.6
2012-01-06,2012.014,456.88
2012-01-09,2012.022,459.72
2012-01-10,2012.025,467.83
2012-01-11,2012.028,456.19
2012-01-12,2012.031,452.59
2012-01-13,2012.033,451.77
2012-01-17,2012.044,455.6
2012-01-18,2012.047,474.27
2012-01-19,2012.05,474.14
2012-01-20,2012.053,471.72
2012-01-23,2012.061,473.56
2012-01-24,2012.064,476.25
2012-01-25,2012.067,484.98
2012-01-26,2012.069,478.48
2012-01-27,2012.072,483.48
2012-01-30,2012.081,480.2
2012-01-31,2012.083,483.7
2012-02-01,2012.083,489.61
2012-02-02,2012.086,500.36
2012-02-03,2012.089,502.31
2012-02-06,2012.097,506.39
2012-02-07,2012.1,504.23
2012-02-08,2012.103,506.31
2012-02-09,2012.106,501.81
2012-02-10,2012.108,505.01
2012-02-13,2012.117,507.54
2012-02-14,2012.119,504.2
2012-02-15,2012.122,502.14
2012-02-16,2012.125,511.9
2012-02-17,2012.128,521.01
2012-02-21,2012.139,522.59
2012-02-22,2012.142,532.37
