Date,t,Close
2011-10-03,2011.756,416.78
2011-10-04,2011.758,431.79
2011-10-05,2011.761,452.81
2011-10-06,2011.764,473.82
2011-10-07,2011.767,465.15
2011-10-10,2011.775,488.16
2011-10-11,2011.778,495.97
2011-10-12,2011.781,497
2011-10-13,2011.783,496.66
2011-10-14,2011.786,524.58
2011-10-17,2011.794,495.88
2011-10-18,2011.797,514.1
2011-10-19,2011.8,499.26
2011-10-20,2011.803,501.79
2011-10-21,2011.806,500.25
2011-10-24,2011.814,520.82
2011-10-25,2011.817,510.97
2011-10-26,2011.819,521.8
2011-10-27,2011.822,561.93
2011-10-28,2011.825,564.02
2011-10-31,2011.833,540.26
2011-11-01,2011.833,517.33
2011-11-02,2011.836,532.04
2011-11-03,2011.839,553.26
2011-11-04,2011.842,544.94
2011-11-07,2011.85,549.14
2011-11-08,2011.853,562.16
2011-11-09,2011.856,530.24
2011-11-10,2011.858,540.08
2011-11-11,2011.861,557.34
2011-11-14,2011.869,551.3
2011-11-15,2011.872,554.31
2011-11-16,2011.875,552.01
2011-11-17,2011.878,529.39
2011-11-18,2011.881,523.63
2011-11-21,2011.889,511.96
2011-11-22,2011.892,502.08
2011-11-23,2011.894,484.67
2011-11-25,2011.9,484.44
2011-11-28,2011.908,503.51
2011-11-29,2011.911,512.57
2011-11-30,2011.914,549.64
2011-12-01,2011.917,547.66
2011-12-02,2011.919,546.02
2011-12-05,2011.928,558.98
2011-12-06,2011.931,551.58
2011-12-07,2011.933,536.78
2011-12-08,2011.936,519.47
2011-12-09,2011.939,535.42
2011-12-12,2011.947,516.2
2011-12-13,2011.95,505.33
2011-12-14,2011.953,484.06
2011-12-15,2011.956,478.12
2011-12-16,2011.958,486.68
2011-12-19,2011.967,473.77
2011-12-20,2011.969,500.69
2011-12-21,2011.972,501.92
2011-12-22,2011.975,504.98
2011-12-23,2011.978,509.55
2011-12-27,2011.989,508.5
2011-12-28,2011.992,496.04
2011-12-29,2011.994,500.57
2011-12-30,2011.997,506.4
2012-01-03,2012.006,518.4
2012-01-04,2012.008,519.25
2012-01-05,2012.011,511.24
2012-01-06,2012.014,511.69
2012-01-09,2012.022,518.01
