Date,t,Close
2011-10-03,2011.756,394.89
2011-10-04,2011.758,411.11
2011-10-05,2011.761,428.96
2011-10-06,2011.764,439.22
2011-10-07,2011.767,428.65
2011-10-10,2011.775,449.32
2011-10-11,2011.778,446.75
2011-10-12,2011.781,451.23
2011-10-13,2011.783,452.14
2011-10-14,2011.786,472.07
2011-10-17,2011.794,468.31
2011-10-18,2011.797,485.88
2011-10-19,2011.8,483.77
2011-10-20,2011.803,484.79
2011-10-21,2011.806,499.26
2011-10-24,2011.814,504.6
2011-10-25,2011.817,488.63
2011-10-26,2011.819,498.61
2011-10-27,2011.822,523.73
2011-10-28,2011.825,533.5
2011-10-31,2011.833,504.83
2011-11-01,2011.833,488.33
2011-11-02,2011.836,512.41
2011-11-03,2011.839,527.03
2011-11-04,2011.842,524.69
2011-11-07,2011.85,524.59
2011-11-08,2011.853,533.72
2011-11-09,2011.856,506.54
2011-11-10,2011.858,520.21
2011-11-11,2011.861,533.82
2011-11-14,2011.869,524.29
2011-11-15,2011.872,523.96
2011-11-16,2011.875,518.75
2011-11-17,2011.878,499.66
2011-11-18,2011.881,499.82
2011-11-21,2011.889,490.83
2011-11-22,2011.892,483.2
2011-11-23,2011.894,464.28
2011-11-25,2011.9,460.05
2011-11-28,2011.908,482.8
2011-11-29,2011.911,492.44
2011-11-30,2011.914,521.7
2011-12-01,2011.917,516.93
2011-12-02,2011.919,515.01
2011-12-05,2011.928,518.27
2011-12-06,2011.931,520.87
2011-12-07,2011.933,513.88
2011-12-08,2011.936,496.37
2011-12-09,2011.939,511.12
2011-12-12,2011.947,493.62
2011-12-13,2011.95,485.37
2011-12-14,2011.953,466.03
2011-12-15,2011.956,465.52
2011-12-16,2011.958,470.93
2011-12-19,2011.967,458.15
2011-12-20,2011.969,476.18
2011-12-21,2011.972,481.76
2011-12-22,2011.975,486.93
2011-12-23,2011.978,487.7
2011-12-27,2011.989,488.58
2011-12-28,2011.992,477.62
2011-12-29,2011.994,483.77
2011-12-30,2011.997,482.57
2012-01-03,2012.006,502.01
2012-01-04,2012.008,506.36
2012-01-05,2012.011,509.04
2012-01-06,2012.014,505.62
2012-01-09,2012.022,507.07
2012-01-10,2012.025,509.01
2012-01-11,2012.028,494.11
2012-01-12,2012.031,489.04
2012-01-13,2012.033,484.37
2012-01-17,2012.044,488.39
2012-01-18,2012.047,495.74
2012-01-19,2012.05,492.99
2012-01-20,2012.053,488.83
2012-01-23,2012.061,504.93
2012-01-24,2012.064,500.38
2012-01-25,2012.067,513.96
2012-01-26,2012.069,499.24
2012-01-27,2012.072,500.24
2012-01-30,2012.081,501.46
2012-01-31,2012.083,501.12
2012-02-01,2012.083,501.49
2012-02-02,2012.086,506.09
2012-02-03,2012.089,513.57
2012-02-06,2012.097,518.87
2012-02-07,2012.1,528.26
2012-02-08,2012.103,528.19
2012-02-09,2012.106,531.45
2012-02-10,2012.108,527.03
2012-02-13,2012.117,532.76
2012-02-14,2012.119,535.16
2012-02-15,2012.122,541.41
2012-02-16,2012.125,551.1
2012-02-17,2012.128,554.38
2012-02-21,2012.139,553.69
2012-02-22,2012.142,551.7
2012-02-23,2012.144,557.86
2012-02-24,2012.147,560.77
2012-02-27,2012.156,555.57
2012-02-28,2012.158,551.48
2012-02-29,2012.161,541.17
2012-03-01,2012.167,548.2
2012-03-02,2012.169,534.45
2012-03-05,2012.178,533.94
2012-03-06,2012.181,522.74
2012-03-07,2012.183,529.56
2012-03-08,2012.186,536.99
2012-03-09,2012.189,538.01
2012-03-12,2012.197,532.31
2012-03-13,2012.2,538.33
2012-03-14,2012.203,532.45
2012-03-15,2012.206,535.89
2012-03-16,2012.208,545.01
2012-03-19,2012.217,548.48
2012-03-20,2012.219,535.97
2012-03-21,2012.222,529.74
2012-03-22,2012.225,512.25
2012-03-23,2012.228,518.7
2012-03-26,2012.236,520.42
2012-03-27,2012.239,516.25
2012-03-28,2012.242,508.03
2012-03-29,2012.244,505.72
2012-03-30,2012.247,512.29
2012-04-02,2012.253,519.83
2012-04-03,2012.256,514.75
2012-04-04,2012.258,506.64
2012-04-05,2012.261,503.45
2012-04-09,2012.272,494.28
2012-04-10,2012.275,484.12
2012-04-11,2012.278,477.99
2012-04-12,2012.281,490.87
2012-04-13,2012.283,482.39
2012-04-16,2012.292,475.4
2012-04-17,2012.294,483.08
2012-04-18,2012.297,475.67
2012-04-19,2012.3,475.33
2012-04-20,2012.303,471.08
2012-04-23,2012.311,472
2012-04-24,2012.314,475.19
2012-04-25,2012.317,484.93
2012-04-26,2012.319,494.34
2012-04-27,2012.322,496.34
2012-04-30,2012.331,500.55
2012-05-01,2012.333,512.38
2012-05-02,2012.336,494.6
2012-05-03,2012.339,485.92
2012-05-04,2012.342,474.19
2012-05-07,2012.35,471.64
2012-05-08,2012.353,472.86
2012-05-09,2012.356,472.86
2012-05-10,2012.358,476.76
2012-05-11,2012.361,468.46
2012-05-14,2012.369,460.2
2012-05-15,2012.372,450.33
2012-05-16,2012.375,446.75
2012-05-17,2012.378,439.28
2012-05-18,2012.381,436.76
2012-05-21,2012.389,449
2012-05-22,2012.392,447.47
2012-05-23,2012.394,449.46
2012-05-24,2012.397,446.42
2012-05-25,2012.4,447.27
2012-05-29,2012.411,457.01
2012-05-30,2012.414,442.76
2012-05-31,2012.417,441.12
2012-06-01,2012.417,423.56
2012-06-04,2012.425,423.19
2012-06-05,2012.428,430.5
2012-06-06,2012.431,446.7
2012-06-07,2012.433,445.39
2012-06-08,2012.436,445.3
2012-06-11,2012.444,436.58
2012-06-12,2012.447,443.81
2012-06-13,2012.45,436.44
2012-06-14,2012.453,444.68
2012-06-15,2012.456,452.89
2012-06-18,2012.464,447.62
2012-06-19,2012.467,455.07
2012-06-20,2012.469,447.48
2012-06-21,2012.472,427.96
2012-06-22,2012.475,435.83
2012-06-25,2012.483,427.23
2012-06-26,2012.486,431.61
2012-06-27,2012.489,444.62
2012-06-28,2012.492,446.14
2012-06-29,2012.494,460.98
2012-07-02,2012.503,457.81
2012-07-03,2012.506,472.1
2012-07-05,2012.511,462.74
2012-07-06,2012.514,456.18
2012-07-09,2012.522,455.78
2012-07-10,2012.525,444.33
2012-07-11,2012.528,451.43
2012-07-12,2012.531,447.6
2012-07-13,2012.533,456.12
2012-07-16,2012.542,460.89
2012-07-17,2012.544,468.9
2012-07-18,2012.547,472.46
2012-07-19,2012.55,474.07
2012-07-20,2012.553,471.33
2012-07-23,2012.561,463.22
2012-07-24,2012.564,455.88
2012-07-25,2012.567,454.25
2012-07-26,2012.569,465.97
2012-07-27,2012.572,474.43
2012-07-30,2012.581,475.54
2012-07-31,2012.583,468.25
2012-08-01,2012.583,470.26
2012-08-02,2012.586,455.67
2012-08-03,2012.589,469.19
2012-08-06,2012.597,470.14
2012-08-07,2012.6,482.57
2012-08-08,2012.603,484.38
2012-08-09,2012.606,487.46
2012-08-10,2012.608,486.08
2012-08-13,2012.617,481.77
2012-08-14,2012.619,482.23
2012-08-15,2012.622,481.82
2012-08-16,2012.625,487.59
2012-08-17,2012.628,486.89
2012-08-20,2012.636,484.01
2012-08-21,2012.639,482.58
2012-08-22,2012.642,485.27
2012-08-23,2012.644,477.35
2012-08-24,2012.647,481.8
2012-08-27,2012.656,480.47
2012-08-28,2012.658,480.86
2012-08-29,2012.661,478.56
2012-08-30,2012.664,472.13
2012-08-31,2012.667,478.66
2012-09-04,2012.675,475.96
2012-09-05,2012.678,471.65
2012-09-06,2012.681,483.73
2012-09-07,2012.683,493.04
2012-09-10,2012.692,489.5
2012-09-11,2012.694,497.59
2012-09-12,2012.697,500.96
2012-09-13,2012.7,509.95
2012-09-14,2012.703,518.03
2012-09-17,2012.711,513.06
2012-09-18,2012.714,506.89
2012-09-19,2012.717,501.58
2012-09-20,2012.719,501.44
2012-09-21,2012.722,501.79
2012-09-24,2012.731,496.74
2012-09-25,2012.733,490.91
2012-09-26,2012.736,487.23
2012-09-27,2012.739,497.12
2012-09-28,2012.742,494.35
2012-10-01,2012.75,498.23
2012-10-02,2012.753,499.51
2012-10-03,2012.756,490.92
2012-10-04,2012.758,496.3
2012-10-05,2012.761,493.33
2012-10-08,2012.769,494.2
2012-10-09,2012.772,498.18
2012-10-10,2012.775,492.64
2012-10-11,2012.778,495.78
2012-10-12,2012.781,493.04
2012-10-15,2012.789,495.31
2012-10-16,2012.792,504.38
2012-10-17,2012.794,510.67
2012-10-18,2012.797,510.4
2012-10-19,2012.8,501.26
2012-10-22,2012.808,496.23
2012-10-23,2012.811,485.4
2012-10-24,2012.814,481.16
2012-10-25,2012.817,487.58
2012-10-26,2012.819,489.57
2012-10-31,2012.833,493.39
2012-11-01,2012.833,497.53
2012-11-02,2012.836,491.16
2012-11-05,2012.844,493.49
2012-11-06,2012.847,503.46
2012-11-07,2012.85,487.73
2012-11-08,2012.853,479.68
2012-11-09,2012.856,480.42
2012-11-12,2012.864,480.19
2012-11-13,2012.867,479.96
2012-11-14,2012.869,474.49
2012-11-15,2012.872,474.51
2012-11-16,2012.875,476.56
2012-11-19,2012.883,486.11
2012-11-20,2012.886,484.67
2012-11-21,2012.889,488.02
2012-11-23,2012.894,494.31
2012-11-26,2012.903,488.61
2012-11-27,2012.906,485.55
2012-11-28,2012.908,488.92
2012-11-29,2012.911,487.84
2012-11-30,2012.914,485.88
2012-12-03,2012.922,485.7
2012-12-04,2012.925,481.78
2012-12-05,2012.928,488.18
2012-12-06,2012.931,489.03
2012-12-07,2012.933,492.32
2012-12-10,2012.942,488.12
2012-12-11,2012.944,490.74
2012-12-12,2012.947,494.59
2012-12-13,2012.95,487.76
2012-12-14,2012.953,487.1
2012-12-17,2012.961,491.56
2012-12-18,2012.964,502.86
2012-12-19,2012.967,498.99
2012-12-20,2012.969,504.35
2012-12-21,2012.972,501.23
2012-12-24,2012.981,496.18
2012-12-26,2012.986,492
2012-12-27,2012.989,491.03
2012-12-28,2012.992,482.45
2012-12-31,2013,492.64
2013-01-02,2013.003,501.3
2013-01-03,2013.006,504.31
2013-01-04,2013.008,512.99
2013-01-07,2013.017,508.76
2013-01-08,2013.019,503.56
2013-01-09,2013.022,500.47
2013-01-10,2013.025,503.81
2013-01-11,2013.028,504.12
2013-01-14,2013.036,503.95
2013-01-15,2013.039,507.07
2013-01-16,2013.042,507.34
2013-01-17,2013.044,511.51
2013-01-18,2013.047,513.68
2013-01-22,2013.058,521.12
2013-01-23,2013.061,516.06
2013-01-24,2013.064,520.76
2013-01-25,2013.067,525.92
2013-01-28,2013.075,519.92
2013-01-29,2013.078,529.26
2013-01-30,2013.081,527.69
2013-01-31,2013.083,519.92
2013-02-01,2013.083,527.61
2013-02-04,2013.092,522.15
2013-02-05,2013.094,529.87
2013-02-06,2013.097,532.32
2013-02-07,2013.1,531.79
2013-02-08,2013.103,537.72
2013-02-11,2013.111,532.96
2013-02-12,2013.114,534.62
2013-02-13,2013.117,538.25
2013-02-14,2013.119,533.89
2013-02-15,2013.122,523.25
2013-02-19,2013.133,534.16
2013-02-20,2013.136,518.36
2013-02-21,2013.139,515.02
2013-02-22,2013.142,522.14
2013-02-25,2013.15,505.99
2013-02-26,2013.153,511.24
2013-02-27,2013.156,519.37
2013-02-28,2013.158,519.19
2013-03-01,2013.167,517.63
2013-03-04,2013.175,513.81
2013-03-05,2013.178,518.98
2013-03-06,2013.181,520.35
2013-03-07,2013.183,529.66
2013-03-08,2013.186,532.81
2013-03-11,2013.194,534.33
2013-03-12,2013.197,536.02
2013-03-13,2013.2,536.27
2013-03-14,2013.203,546.13
2013-03-15,2013.206,545.1
2013-03-18,2013.214,542.93
2013-03-19,2013.217,536.57
2013-03-20,2013.219,542.17
2013-03-21,2013.222,537.99
2013-03-22,2013.225,540.02
2013-03-25,2013.233,537.93
2013-03-26,2013.236,544.95
2013-03-27,2013.239,544.79
2013-03-28,2013.242,541.89
2013-04-01,2013.25,539.58
2013-04-02,2013.253,536.71
2013-04-03,2013.256,526.31
2013-04-04,2013.258,522.53
2013-04-05,2013.261,526.59
2013-04-08,2013.269,534.65
2013-04-09,2013.272,540.21
2013-04-10,2013.275,542.12
2013-04-11,2013.278,544.39
2013-04-12,2013.281,530.92
2013-04-15,2013.289,504.12
2013-04-16,2013.292,511.32
2013-04-17,2013.294,499.97
2013-04-18,2013.297,504.63
2013-04-19,2013.3,499.46
2013-04-22,2013.308,503.46
2013-04-23,2013.311,507.99
2013-04-24,2013.314,515.19
2013-04-25,2013.317,521.87
2013-04-26,2013.319,519.28
2013-04-29,2013.328,528.13
2013-04-30,2013.331,530.17
2013-05-01,2013.333,522.29
2013-05-02,2013.336,529.16
2013-05-03,2013.339,540.55
2013-05-06,2013.347,545.03
2013-05-07,2013.35,552.28
2013-05-08,2013.353,554.82
2013-05-09,2013.356,556.05
2013-05-10,2013.358,555.69
2013-05-13,2013.367,555.45
2013-05-14,2013.369,564.88
2013-05-15,2013.372,561.21
2013-05-16,2013.375,557.67
2013-05-17,2013.378,568.71
2013-05-20,2013.386,576.91
2013-05-21,2013.389,576.36
2013-05-22,2013.392,566.91
2013-05-23,2013.394,567.36
2013-05-24,2013.397,563.69
2013-05-28,2013.408,569.78
2013-05-29,2013.411,571.02
2013-05-30,2013.414,569.33
2013-05-31,2013.417,555.53
2013-06-03,2013.422,563.43
2013-06-04,2013.425,560.24
2013-06-05,2013.428,554.04
2013-06-06,2013.431,558.47
2013-06-07,2013.433,565.43
2013-06-10,2013.442,564.97
2013-06-11,2013.444,555.72
2013-06-12,2013.447,550.52
2013-06-13,2013.45,559.7
2013-06-14,2013.453,554.2
2013-06-17,2013.461,565.2
2013-06-18,2013.464,571.21
2013-06-19,2013.467,566.7
2013-06-20,2013.469,548.93
