Date,t,Close
2011-10-03,2011.756,170.2
2011-10-04,2011.758,179.06
2011-10-05,2011.761,195.52
2011-10-06,2011.764,203.85
2011-10-07,2011.767,196.79
2011-10-10,2011.775,207.88
2011-10-11,2011.778,210.96
2011-10-12,2011.781,214.23
2011-10-13,2011.783,216.75
2011-10-14,2011.786,228.41
2011-10-17,2011.794,219.48
2011-10-18,2011.797,227.51
2011-10-19,2011.8,222.58
2011-10-20,2011.803,227.61
2011-10-21,2011.806,231.81
2011-10-24,2011.814,226.28
2011-10-25,2011.817,211.73
2011-10-26,2011.819,230.32
2011-10-27,2011.822,244.18
2011-10-28,2011.825,246.33
2011-10-31,2011.833,232.24
2011-11-01,2011.833,230.11
2011-11-02,2011.836,241.12
2011-11-03,2011.839,244.42
2011-11-04,2011.842,246.41
2011-11-07,2011.85,248.58
2011-11-08,2011.853,247.4
2011-11-09,2011.856,239.58
2011-11-10,2011.858,241.47
2011-11-11,2011.861,239
2011-11-14,2011.869,234.4
2011-11-15,2011.872,236.45
2011-11-16,2011.875,213.91
2011-11-17,2011.878,208.27
2011-11-18,2011.881,211.17
2011-11-21,2011.889,208.05
2011-11-22,2011.892,208.9
2011-11-23,2011.894,204.53
2011-11-25,2011.9,202.64
2011-11-28,2011.908,210.71
2011-11-29,2011.911,211.7
2011-11-30,2011.914,216.46
2011-12-01,2011.917,217.55
2011-12-02,2011.919,218.11
2011-12-05,2011.928,222.45
2011-12-06,2011.931,219.66
2011-12-07,2011.933,217.27
2011-12-08,2011.936,209.93
2011-12-09,2011.939,213.76
2011-12-12,2011.947,211.11
2011-12-13,2011.95,207.92
2011-12-14,2011.953,204.93
2011-12-15,2011.956,204.95
2011-12-16,2011.958,204.82
2011-12-19,2011.967,201.2
2011-12-20,2011.969,206.99
2011-12-21,2011.972,209.89
2011-12-22,2011.975,212.06
2011-12-23,2011.978,213.19
2011-12-27,2011.989,214.96
2011-12-28,2011.992,210.51
2011-12-29,2011.994,211.23
2011-12-30,2011.997,212.64
2012-01-03,2012.006,213.06
2012-01-04,2012.008,212.4
2012-01-05,2012.011,204.16
2012-01-06,2012.014,206.13
2012-01-09,2012.022,200.6
2012-01-10,2012.025,205.05
2012-01-11,2012.028,210.14
2012-01-12,2012.031,211.68
2012-01-13,2012.033,212.42
2012-01-17,2012.044,218.15
2012-01-18,2012.047,229.01
2012-01-19,2012.05,229.42
2012-01-20,2012.053,234.77
2012-01-23,2012.061,237.08
2012-01-24,2012.064,243.3
2012-01-25,2012.067,245.68
2012-01-26,2012.069,238.95
2012-01-27,2012.072,240.34
2012-01-30,2012.081,241.09
2012-01-31,2012.083,241.1
2012-02-01,2012.083,249.96
2012-02-02,2012.086,251.71
2012-02-03,2012.089,258.33
2012-02-06,2012.097,261.65
2012-02-07,2012.1,263.91
2012-02-08,2012.103,265.5
2012-02-09,2012.106,266.61
2012-02-10,2012.108,262.12
2012-02-13,2012.117,259.04
2012-02-14,2012.119,262.15
2012-02-15,2012.122,261.79
2012-02-16,2012.125,265.12
2012-02-17,2012.128,261.84
2012-02-21,2012.139,265.21
2012-02-22,2012.142,264.4
2012-02-23,2012.144,266.37
2012-02-24,2012.147,257.54
2012-02-27,2012.156,256.97
2012-02-28,2012.158,255
2012-02-29,2012.161,252.97
2012-03-01,2012.167,261.71
2012-03-02,2012.169,261.84
2012-03-05,2012.178,261.34
2012-03-06,2012.181,256.08
2012-03-07,2012.183,265.95
2012-03-08,2012.186,274.54
2012-03-09,2012.189,278.55
2012-03-12,2012.197,276.7
2012-03-13,2012.2,279.07
2012-03-14,2012.203,276.1
2012-03-15,2012.206,276.72
2012-03-16,2012.208,277.42
2012-03-19,2012.217,278.54
2012-03-20,2012.219,273.37
2012-03-21,2012.222,271.28
2012-03-22,2012.225,266.57
2012-03-23,2012.228,269.86
2012-03-26,2012.236,274.34
2012-03-27,2012.239,273.05
2012-03-28,2012.242,270.16
2012-03-29,2012.244,265.88
2012-03-30,2012.247,262.33
2012-04-02,2012.253,265.15
2012-04-03,2012.256,258.8
2012-04-04,2012.258,258.32
2012-04-05,2012.261,255.19
2012-04-09,2012.272,254.8
2012-04-10,2012.275,247.15
2012-04-11,2012.278,246.77
2012-04-12,2012.281,253.07
2012-04-13,2012.283,248.35
2012-04-16,2012.292,240.3
2012-04-17,2012.294,243.67
2012-04-18,2012.297,242.72
2012-04-19,2012.3,242.69
2012-04-20,2012.303,242.31
2012-04-23,2012.311,242.97
2012-04-24,2012.314,245.28
2012-04-25,2012.317,246.14
2012-04-26,2012.319,249.56
2012-04-27,2012.322,253.58
2012-04-30,2012.331,258.72
2012-05-01,2012.333,254.99
2012-05-02,2012.336,251.51
2012-05-03,2012.339,246.45
2012-05-04,2012.342,240.2
2012-05-07,2012.35,237.2
2012-05-08,2012.353,236.33
2012-05-09,2012.356,242.52
2012-05-10,2012.358,243.38
2012-05-11,2012.361,239.77
2012-05-14,2012.369,234.7
2012-05-15,2012.372,232.96
2012-05-16,2012.375,235
2012-05-17,2012.378,231.36
2012-05-18,2012.381,231.03
2012-05-21,2012.389,237.28
2012-05-22,2012.392,234.86
2012-05-23,2012.394,234.87
2012-05-24,2012.397,234.23
2012-05-25,2012.4,237.23
2012-05-29,2012.411,237.05
2012-05-30,2012.414,232.39
2012-05-31,2012.417,227.93
2012-06-01,2012.417,225.31
2012-06-04,2012.425,221.62
2012-06-05,2012.428,225.96
2012-06-06,2012.431,234.37
2012-06-07,2012.433,236.02
2012-06-08,2012.436,236.58
2012-06-11,2012.444,239.89
2012-06-12,2012.447,245.95
2012-06-13,2012.45,241.79
2012-06-14,2012.453,245.1
2012-06-15,2012.456,251.43
2012-06-18,2012.464,246.72
2012-06-19,2012.467,252.48
2012-06-20,2012.469,259.32
2012-06-21,2012.472,251.71
2012-06-22,2012.475,256.36
2012-06-25,2012.483,250.26
2012-06-26,2012.486,252.42
2012-06-27,2012.489,251.8
2012-06-28,2012.492,256.23
2012-06-29,2012.494,260.46
2012-07-02,2012.503,264.86
2012-07-03,2012.506,267.04
2012-07-05,2012.511,262.24
2012-07-06,2012.514,262
2012-07-09,2012.522,259.32
2012-07-10,2012.525,256.73
2012-07-11,2012.528,261
2012-07-12,2012.531,259.18
2012-07-13,2012.533,268.75
2012-07-16,2012.542,272.98
2012-07-17,2012.544,276.09
2012-07-18,2012.547,280.57
2012-07-19,2012.55,272.82
2012-07-20,2012.553,272.58
2012-07-23,2012.561,272.36
2012-07-24,2012.564,268.84
2012-07-25,2012.567,268.74
2012-07-26,2012.569,274.37
2012-07-27,2012.572,279.86
2012-07-30,2012.581,283.68
2012-07-31,2012.583,286.7
2012-08-01,2012.583,287.04
2012-08-02,2012.586,291.46
2012-08-03,2012.589,298.88
2012-08-06,2012.597,301.26
2012-08-07,2012.6,304.31
2012-08-08,2012.603,304.54
2012-08-09,2012.606,304.67
2012-08-10,2012.608,305.67
2012-08-13,2012.617,306.59
2012-08-14,2012.619,305.63
2012-08-15,2012.622,307.39
2012-08-16,2012.625,310.9
2012-08-17,2012.628,314.47
2012-08-20,2012.636,318.06
2012-08-21,2012.639,312.6
2012-08-22,2012.642,312.15
2012-08-23,2012.644,310.3
2012-08-24,2012.647,310.56
2012-08-27,2012.656,314.76
2012-08-28,2012.658,318.77
2012-08-29,2012.661,317.64
2012-08-30,2012.664,320.73
2012-08-31,2012.667,322.36
2012-09-04,2012.675,321.44
2012-09-05,2012.678,319.18
2012-09-06,2012.681,325.59
2012-09-07,2012.683,331.75
2012-09-10,2012.692,332.6
2012-09-11,2012.694,339.03
2012-09-12,2012.697,341.26
2012-09-13,2012.7,344.23
2012-09-14,2012.703,348.5
2012-09-17,2012.711,339.34
2012-09-18,2012.714,334.11
2012-09-19,2012.717,337.46
2012-09-20,2012.719,338.61
2012-09-21,2012.722,341.54
2012-09-24,2012.731,340.93
2012-09-25,2012.733,337.68
2012-09-26,2012.736,333.59
2012-09-27,2012.739,340.82
2012-09-28,2012.742,341.2
2012-10-01,2012.75,344.56
2012-10-02,2012.753,344.46
2012-10-03,2012.756,337.85
2012-10-04,2012.758,343.65
2012-10-05,2012.761,341.85
2012-10-08,2012.769,345.17
2012-10-09,2012.772,342.93
2012-10-10,2012.775,330.45
2012-10-11,2012.778,326.8
2012-10-12,2012.781,323.62
2012-10-15,2012.789,324.44
2012-10-16,2012.792,334.14
2012-10-17,2012.794,337.14
2012-10-18,2012.797,331.22
2012-10-19,2012.8,328.13
2012-10-22,2012.808,330.09
2012-10-23,2012.811,321.94
2012-10-24,2012.814,322.92
2012-10-25,2012.817,324.42
2012-10-26,2012.819,336.64
2012-10-31,2012.833,334.27
2012-11-01,2012.833,331.53
2012-11-02,2012.836,324.44
2012-11-05,2012.844,334.69
2012-11-06,2012.847,349.69
2012-11-07,2012.85,343.03
2012-11-08,2012.853,339.3
2012-11-09,2012.856,333.29
2012-11-12,2012.864,334.42
2012-11-13,2012.867,331.92
2012-11-14,2012.869,326.42
2012-11-15,2012.872,329.09
2012-11-16,2012.875,330.05
2012-11-19,2012.883,344.01
2012-11-20,2012.886,348.81
2012-11-21,2012.889,353.07
2012-11-23,2012.894,359.2
2012-11-26,2012.903,357.36
2012-11-27,2012.906,356.96
2012-11-28,2012.908,362.29
2012-11-29,2012.911,365.83
2012-11-30,2012.914,368.95
2012-12-03,2012.922,364.94
2012-12-04,2012.925,364.76
2012-12-05,2012.928,356.86
2012-12-06,2012.931,360.98
2012-12-07,2012.933,367.91
2012-12-10,2012.942,376.74
2012-12-11,2012.944,374.13
2012-12-12,2012.947,374.09
2012-12-13,2012.95,372.38
2012-12-14,2012.953,381.49
2012-12-17,2012.961,384.33
2012-12-18,2012.964,383.9
2012-12-19,2012.967,379.52
2012-12-20,2012.969,380.55
2012-12-21,2012.972,378.48
2012-12-24,2012.981,377.02
2012-12-26,2012.986,373.84
2012-12-27,2012.989,375.54
2012-12-28,2012.992,368.62
2012-12-31,2013,382.9
2013-01-02,2013.003,395.57
2013-01-03,2013.006,383.28
2013-01-04,2013.008,384.44
2013-01-07,2013.017,371.21
2013-01-08,2013.019,375.67
2013-01-09,2013.022,374.85
2013-01-10,2013.025,379.04
2013-01-11,2013.028,373.95
2013-01-14,2013.036,379.27
2013-01-15,2013.039,386.4
2013-01-16,2013.042,396.88
2013-01-17,2013.044,399.88
2013-01-18,2013.047,398.38
2013-01-22,2013.058,401.54
2013-01-23,2013.061,408.17
2013-01-24,2013.064,411.79
2013-01-25,2013.067,414.25
2013-01-28,2013.075,417.79
2013-01-29,2013.078,446.29
2013-01-30,2013.081,450.41
2013-01-31,2013.083,452.34
2013-02-01,2013.083,465.6
2013-02-04,2013.092,461.71
2013-02-05,2013.094,463.97
2013-02-06,2013.097,467.85
2013-02-07,2013.1,475.11
2013-02-08,2013.103,484.36
2013-02-11,2013.111,485.76
2013-02-12,2013.114,483.19
2013-02-13,2013.117,485.46
2013-02-14,2013.119,493.43
2013-02-15,2013.122,490.27
2013-02-19,2013.133,496.23
2013-02-20,2013.136,473.82
2013-02-21,2013.139,475.8
2013-02-22,2013.142,485.13
2013-02-25,2013.15,467.09
2013-02-26,2013.153,471.63
2013-02-27,2013.156,484.17
2013-02-28,2013.158,483.71
2013-03-01,2013.167,494.16
2013-03-04,2013.175,512.76
2013-03-05,2013.178,510.17
2013-03-06,2013.181,508.61
2013-03-07,2013.183,504.73
2013-03-08,2013.186,504.17
2013-03-11,2013.194,495.96
2013-03-12,2013.197,504.41
2013-03-13,2013.2,488.99
2013-03-14,2013.203,493.37
2013-03-15,2013.206,491.94
2013-03-18,2013.214,496.71
2013-03-19,2013.217,496.69
2013-03-20,2013.219,510.24
2013-03-21,2013.222,502.4
2013-03-22,2013.225,508.76
2013-03-25,2013.233,504.94
2013-03-26,2013.236,509.52
2013-03-27,2013.239,510.24
2013-03-28,2013.242,517.1
2013-04-01,2013.25,513.1
2013-04-02,2013.253,490.38
2013-04-03,2013.256,463.85
2013-04-04,2013.258,468.35
2013-04-05,2013.261,469.33
2013-04-08,2013.269,475.64
2013-04-09,2013.272,482.72
2013-04-10,2013.275,480.32
2013-04-11,2013.278,465.24
2013-04-12,2013.281,456.96
2013-04-15,2013.289,435.25
2013-04-16,2013.292,446.7
2013-04-17,2013.294,434.21
2013-04-18,2013.297,434.05
2013-04-19,2013.3,440.92
2013-04-22,2013.308,449.79
2013-04-23,2013.311,461.32
2013-04-24,2013.314,469.54
2013-04-25,2013.317,465.78
2013-04-26,2013.319,462.56
2013-04-29,2013.328,466.18
2013-04-30,2013.331,454.41
2013-05-01,2013.333,436.84
2013-05-02,2013.336,448.94
2013-05-03,2013.339,461.28
2013-05-06,2013.347,473.89
2013-05-07,2013.35,479.79
2013-05-08,2013.353,469.05
2013-05-09,2013.356,463.89
2013-05-10,2013.358,460.22
2013-05-13,2013.367,459.24
2013-05-14,2013.369,471.47
2013-05-15,2013.372,479.85
2013-05-16,2013.375,474.48
2013-05-17,2013.378,493.45
2013-05-20,2013.386,502.41
2013-05-21,2013.389,494.4
2013-05-22,2013.392,490.84
2013-05-23,2013.394,489.49
2013-05-24,2013.397,488.65
2013-05-28,2013.408,497.14
2013-05-29,2013.411,496.75
2013-05-30,2013.414,496.81
2013-05-31,2013.417,494.61
2013-06-03,2013.422,490.49
2013-06-04,2013.425,481.16
2013-06-05,2013.428,472.93
2013-06-06,2013.431,484.55
2013-06-07,2013.433,489.38
2013-06-10,2013.442,482.98
2013-06-11,2013.444,473.16
2013-06-12,2013.447,468.95
2013-06-13,2013.45,477.77
2013-06-14,2013.453,471.09
2013-06-17,2013.461,471.62
2013-06-18,2013.464,471.88
2013-06-19,2013.467,467.39
2013-06-20,2013.469,443.46
2013-06-21,2013.472,436.59
2013-06-24,2013.481,420.24
2013-06-25,2013.483,434.23
2013-06-26,2013.486,437.43
2013-06-27,2013.489,431.61
2013-06-28,2013.492,429.75
2013-07-01,2013.5,426.9
2013-07-02,2013.503,416.71
2013-07-03,2013.506,421.11
2013-07-05,2013.511,417.95
2013-07-08,2013.519,426.05
2013-07-09,2013.522,426.08
2013-07-10,2013.525,411.98
2013-07-11,2013.528,426.99
2013-07-12,2013.531,438.8
2013-07-15,2013.539,436.98
2013-07-16,2013.542,424.19
2013-07-17,2013.544,426.34
2013-07-18,2013.547,416.71
2013-07-19,2013.55,422.39
2013-07-22,2013.558,426.8
2013-07-23,2013.561,435.42
2013-07-24,2013.564,428.68
2013-07-25,2013.567,436.93
2013-07-26,2013.569,436.38
2013-07-29,2013.578,436.42
2013-07-30,2013.581,435.86
2013-07-31,2013.583,447.32
2013-08-01,2013.583,448.55
2013-08-02,2013.586,432.52
2013-08-05,2013.594,430.88
2013-08-06,2013.597,434.08
2013-08-07,2013.6,433.27
2013-08-08,2013.603,439.22
2013-08-09,2013.606,440.31
2013-08-12,2013.614,436.35
2013-08-13,2013.617,441.95
2013-08-14,2013.619,438.27
2013-08-15,2013.622,424.78
2013-08-16,2013.625,419.26
2013-08-19,2013.633,410.95
2013-08-20,2013.636,421.18
2013-08-21,2013.639,426.68
2013-08-22,2013.642,434.69
2013-08-23,2013.644,435.98
2013-08-26,2013.653,433.88
2013-08-27,2013.656,424.71
2013-08-28,2013.658,430.56
2013-08-29,2013.661,429.06
2013-08-30,2013.664,424.32
2013-09-03,2013.672,431.71
2013-09-04,2013.675,436.34
2013-09-05,2013.678,429.37
2013-09-06,2013.681,426.44
2013-09-09,2013.689,423.69
2013-09-10,2013.692,417.76
2013-09-11,2013.694,417.38
2013-09-12,2013.697,410.06
2013-09-13,2013.7,415.58
2013-09-16,2013.708,411.35
2013-09-17,2013.711,407.89
2013-09-18,2013.714,413
2013-09-19,2013.717,413.47
2013-09-20,2013.719,409.73
2013-09-23,2013.728,404.82
2013-09-24,2013.731,409.02
2013-09-25,2013.733,411.99
2013-09-26,2013.736,410.57
2013-09-27,2013.739,412.13
2013-09-30,2013.747,407.98
2013-10-01,2013.75,406.72
2013-10-02,2013.753,414.04
2013-10-03,2013.756,414.59
2013-10-04,2013.758,414.61
2013-10-07,2013.767,407.01
2013-10-08,2013.769,399.4
2013-10-09,2013.772,399.38
2013-10-10,2013.775,415.52
2013-10-11,2013.778,426.69
2013-10-14,2013.786,428.66
2013-10-15,2013.789,427.21
2013-10-16,2013.792,433.93
2013-10-17,2013.794,445.47
2013-10-18,2013.797,453.15
2013-10-21,2013.806,456.47
2013-10-22,2013.808,464.33
2013-10-23,2013.811,461.93
2013-10-24,2013.814,449.36
2013-10-25,2013.817,450.98
2013-10-28,2013.825,452.88
2013-10-29,2013.828,457.14
2013-10-30,2013.831,467.7
2013-10-31,2013.833,463.14
2013-11-01,2013.833,459.72
2013-11-04,2013.842,463.91
2013-11-05,2013.844,461.22
2013-11-06,2013.847,457.34
2013-11-07,2013.85,453.69
2013-11-08,2013.853,464.5
2013-11-11,2013.861,466.52
2013-11-12,2013.864,471.83
2013-11-13,2013.867,476.91
2013-11-14,2013.869,493.21
2013-11-15,2013.872,491.9
2013-11-18,2013.881,490.35
2013-11-19,2013.883,493.2
2013-11-20,2013.886,487.26
2013-11-21,2013.889,493.3
2013-11-22,2013.892,503.52
2013-11-25,2013.9,507.86
2013-11-26,2013.903,506.79
2013-11-27,2013.906,521.47
2013-11-29,2013.911,516.32
2013-12-02,2013.919,532.46
2013-12-03,2013.922,528.27
2013-12-04,2013.925,513.18
2013-12-05,2013.928,515.36
2013-12-06,2013.931,530.27
2013-12-09,2013.939,528.45
2013-12-10,2013.942,531.65
2013-12-11,2013.944,524.61
2013-12-12,2013.947,525.35
2013-12-13,2013.95,526
2013-12-16,2013.958,534.12
2013-12-17,2013.961,533.37
2013-12-18,2013.964,543.25
2013-12-19,2013.967,532.45
2013-12-20,2013.969,540.52
2013-12-23,2013.978,548.01
2013-12-24,2013.981,550.64
2013-12-26,2013.986,552.68
2013-12-27,2013.989,549.86
2013-12-30,2013.997,548.13
2013-12-31,2014,567.02
2014-01-02,2014.003,559.5
2014-01-03,2014.006,555.06
2014-01-06,2014.014,559.66
2014-01-07,2014.017,564.96
2014-01-08,2014.019,564.33
2014-01-09,2014.022,575.74
2014-01-10,2014.025,575.84
2014-01-13,2014.033,557.81
2014-01-14,2014.036,563.7
2014-01-15,2014.039,553.58
2014-01-16,2014.042,549.5
2014-01-17,2014.044,552.21
2014-01-21,2014.056,558.21
2014-01-22,2014.058,554.82
2014-01-23,2014.061,555.49
2014-01-24,2014.064,535.58
2014-01-27,2014.072,539.54
2014-01-28,2014.075,541.35
2014-01-29,2014.078,547.84
2014-01-30,2014.081,547.06
2014-01-31,2014.083,544.19
2014-02-03,2014.089,527.69
2014-02-04,2014.092,523.36
2014-02-05,2014.094,514.82
2014-02-06,2014.097,525.28
2014-02-07,2014.1,534.94
2014-02-10,2014.108,521.42
2014-02-11,2014.111,532.14
2014-02-12,2014.114,529.6
2014-02-13,2014.117,539.61
2014-02-14,2014.119,549.74
2014-02-18,2014.131,550.61
2014-02-19,2014.133,548.43
2014-02-20,2014.136,547.4
2014-02-21,2014.139,547.15
2014-02-24,2014.147,555.04
2014-02-25,2014.15,565.55
2014-02-26,2014.153,556.11
2014-02-27,2014.156,536.97
2014-02-28,2014.158,535.82
2014-03-03,2014.172,535.84
2014-03-04,2014.175,544.14
2014-03-05,2014.178,552.3
2014-03-06,2014.181,570.19
2014-03-07,2014.183,571.07
2014-03-10,2014.192,575.45
2014-03-11,2014.194,577.37
2014-03-12,2014.197,591.31
2014-03-13,2014.2,577.87
2014-03-14,2014.203,582.53
2014-03-17,2014.211,583.56
2014-03-18,2014.214,589.94
2014-03-19,2014.217,577.3
2014-03-20,2014.219,580.34
2014-03-21,2014.222,571.85
2014-03-24,2014.231,568.85
2014-03-25,2014.233,573.92
2014-03-26,2014.236,567.07
2014-03-27,2014.239,557.94
2014-03-28,2014.242,560.55
2014-03-31,2014.25,561.58
2014-04-01,2014.25,580.97
2014-04-02,2014.253,573.76
2014-04-03,2014.256,580.95
2014-04-04,2014.258,573.11
2014-04-07,2014.267,557.15
2014-04-08,2014.269,552.88
2014-04-09,2014.272,560.9
2014-04-10,2014.275,551.47
2014-04-11,2014.278,546.53
2014-04-14,2014.286,556.91
2014-04-15,2014.289,567.7
2014-04-16,2014.292,585.97
2014-04-17,2014.294,585.9
2014-04-21,2014.306,591.95
2014-04-22,2014.308,593.67
2014-04-23,2014.311,595.57
2014-04-24,2014.314,596.81
2014-04-25,2014.317,597.75
2014-04-28,2014.325,609.97
2014-04-29,2014.328,606.48
2014-04-30,2014.331,605.5
2014-05-01,2014.333,614.04
2014-05-02,2014.336,612.63
2014-05-05,2014.344,614.39
2014-05-06,2014.347,617.48
2014-05-07,2014.35,614.93
2014-05-08,2014.353,601.43
2014-05-09,2014.356,593.06
