Date,t,Close
2011-08-10,2011.608,278.53
2011-08-11,2011.611,285.57
2011-08-12,2011.614,289.1
2011-08-15,2011.622,292.76
2011-08-16,2011.625,291.83
2011-08-17,2011.628,293.72
2011-08-18,2011.631,287.34
2011-08-19,2011.633,283.16
2011-08-22,2011.642,284.38
2011-08-23,2011.644,289.19
2011-08-24,2011.647,289.93
2011-08-25,2011.65,285.02
2011-08-26,2011.653,287.8
2011-08-29,2011.661,294.19
2011-08-30,2011.664,295
2011-08-31,2011.667,296.97
2011-09-01,2011.667,295.3
2011-09-02,2011.669,291.42
2011-09-06,2011.681,289.41
2011-09-07,2011.683,295.79
2011-09-08,2011.686,296.3
2011-09-09,2011.689,290.12
2011-09-12,2011.697,289.03
2011-09-13,2011.7,289.83
2011-09-14,2011.703,292.73
2011-09-15,2011.706,296.11
2011-09-16,2011.708,297.24
2011-09-19,2011.717,295.02
2011-09-20,2011.719,293.5
2011-09-21,2011.722,290.77
2011-09-22,2011.725,290.07
2011-09-23,2011.728,291.4
2011-09-26,2011.736,296.35
2011-09-27,2011.739,299.32
2011-09-28,2011.742,293.11
2011-09-29,2011.744,294.66
2011-09-30,2011.747,289.64
2011-10-03,2011.756,285.27
2011-10-04,2011.758,286.16
2011-10-05,2011.761,286.53
2011-10-06,2011.764,290.72
2011-10-07,2011.767,292.4
2011-10-10,2011.775,296.41
2011-10-11,2011.778,298.41
2011-10-12,2011.781,299.42
2011-10-13,2011.783,300.09
2011-10-14,2011.786,303.1
2011-10-17,2011.794,299.96
2011-10-18,2011.797,303.67
2011-10-19,2011.8,300.12
2011-10-20,2011.803,301.05
2011-10-21,2011.806,304.3
2011-10-24,2011.814,303.36
2011-10-25,2011.817,299.99
2011-10-26,2011.819,301.64
2011-10-27,2011.822,304.94
2011-10-28,2011.825,304.67
2011-10-31,2011.833,301.56
2011-11-01,2011.833,297.39
2011-11-02,2011.836,299.21
2011-11-03,2011.839,303.56
2011-11-04,2011.842,300.85
2011-11-07,2011.85,303.46
2011-11-08,2011.853,304.58
2011-11-09,2011.856,297.37
2011-11-10,2011.858,300.19
2011-11-11,2011.861,303.06
2011-11-14,2011.869,301.87
2011-11-15,2011.872,302.78
2011-11-16,2011.875,298.78
2011-11-17,2011.878,296.86
2011-11-18,2011.881,296.04
2011-11-21,2011.889,293.28
2011-11-22,2011.892,294.06
2011-11-23,2011.894,290.41
2011-11-25,2011.9,291.79
2011-11-28,2011.908,295.64
2011-11-29,2011.911,298.5
2011-11-30,2011.914,305.82
2011-12-01,2011.917,306.48
2011-12-02,2011.919,306.1
2011-12-05,2011.928,307.7
2011-12-06,2011.931,308.25
2011-12-07,2011.933,307.89
2011-12-08,2011.936,305.65
2011-12-09,2011.939,309.53
2011-12-12,2011.947,306.45
2011-12-13,2011.95,304.92
2011-12-14,2011.953,303.9
2011-12-15,2011.956,306.22
2011-12-16,2011.958,305.92
2011-12-19,2011.967,304.71
2011-12-20,2011.969,308.8
2011-12-21,2011.972,313.28
2011-12-22,2011.975,310.8
2011-12-23,2011.978,311.88
2011-12-27,2011.989,313.5
2011-12-28,2011.992,311.13
2011-12-29,2011.994,313.64
2011-12-30,2011.997,311.67
2012-01-03,2012.006,310.9
2012-01-04,2012.008,311.43
2012-01-05,2012.011,312.41
2012-01-06,2012.014,310.79
2012-01-09,2012.022,311.81
2012-01-10,2012.025,314.26
2012-01-11,2012.028,313.92
2012-01-12,2012.031,315.4
2012-01-13,2012.033,313.32
2012-01-17,2012.044,315.11
2012-01-18,2012.047,318.05
2012-01-19,2012.05,318.24
2012-01-20,2012.053,316.32
2012-01-23,2012.061,315.22
2012-01-24,2012.064,313.25
2012-01-25,2012.067,315.4
2012-01-26,2012.069,315.12
2012-01-27,2012.072,313.31
2012-01-30,2012.081,312.18
2012-01-31,2012.083,312.65
2012-02-01,2012.083,313.37
2012-02-02,2012.086,315.48
2012-02-03,2012.089,316.8
2012-02-06,2012.097,316.07
2012-02-07,2012.1,314.32
2012-02-08,2012.103,313.69
2012-02-09,2012.106,314.63
2012-02-10,2012.108,313.18
2012-02-13,2012.117,313.9
2012-02-14,2012.119,315.21
2012-02-15,2012.122,315.34
2012-02-16,2012.125,314.81
2012-02-17,2012.128,314.14
2012-02-21,2012.139,314.76
2012-02-22,2012.142,313.92
2012-02-23,2012.144,314.98
2012-02-24,2012.147,314.62
2012-02-27,2012.156,314.21
2012-02-28,2012.158,313.26
2012-02-29,2012.161,314.12
2012-03-01,2012.167,314.21
2012-03-02,2012.169,316.7
2012-03-05,2012.178,317.12
2012-03-06,2012.181,314.52
2012-03-07,2012.183,314.58
2012-03-08,2012.186,315.79
2012-03-09,2012.189,315.91
2012-03-12,2012.197,316.9
2012-03-13,2012.2,319.17
2012-03-14,2012.203,317.06
2012-03-15,2012.206,318.28
2012-03-16,2012.208,318.64
2012-03-19,2012.217,319.04
2012-03-20,2012.219,318.69
2012-03-21,2012.222,318.85
2012-03-22,2012.225,318.87
2012-03-23,2012.228,318.89
2012-03-26,2012.236,321.41
2012-03-27,2012.239,321.18
2012-03-28,2012.242,320.16
2012-03-29,2012.244,319.94
2012-03-30,2012.247,321.14
2012-04-02,2012.253,323.77
2012-04-03,2012.256,322.98
2012-04-04,2012.258,322.02
2012-04-05,2012.261,320.43
2012-04-09,2012.272,317.18
2012-04-10,2012.275,314.11
2012-04-11,2012.278,314.37
2012-04-12,2012.281,315.76
2012-04-13,2012.283,316.15
2012-04-16,2012.292,317.43
2012-04-17,2012.294,321.45
2012-04-18,2012.297,319.87
2012-04-19,2012.3,320.44
2012-04-20,2012.303,322.39
2012-04-23,2012.311,315.94
2012-04-24,2012.314,318.53
2012-04-25,2012.317,320.94
2012-04-26,2012.319,323.77
2012-04-27,2012.322,325.08
2012-04-30,2012.331,326.44
2012-05-01,2012.333,325.65
2012-05-02,2012.336,325.87
2012-05-03,2012.339,324.67
2012-05-04,2012.342,322.77
2012-05-07,2012.35,323.72
2012-05-08,2012.353,324.26
2012-05-09,2012.356,323.5
2012-05-10,2012.358,325.98
2012-05-11,2012.361,325.5
2012-05-14,2012.369,325.12
2012-05-15,2012.372,324.91
2012-05-16,2012.375,325.31
2012-05-17,2012.378,322.12
2012-05-18,2012.381,320.36
2012-05-21,2012.389,320.75
2012-05-22,2012.392,321.78
2012-05-23,2012.394,319.81
2012-05-24,2012.397,321.72
2012-05-25,2012.4,322.25
2012-05-29,2012.411,323.35
2012-05-30,2012.414,319.93
2012-05-31,2012.417,318.23
2012-06-01,2012.417,312.45
2012-06-04,2012.425,313
2012-06-05,2012.428,312.99
2012-06-06,2012.431,316.5
2012-06-07,2012.433,316.52
