Date,t,Close
2012-08-02,2012.586,106.93
2012-08-03,2012.589,110.27
2012-08-06,2012.597,109.89
2012-08-07,2012.6,110.5
2012-08-08,2012.603,109.94
2012-08-09,2012.606,110.02
2012-08-10,2012.608,110.57
2012-08-13,2012.617,109.7
2012-08-14,2012.619,109.94
2012-08-15,2012.622,108.79
2012-08-16,2012.625,110.52
2012-08-17,2012.628,110.04
2012-08-20,2012.636,109.03
2012-08-21,2012.639,108.82
2012-08-22,2012.642,109.48
2012-08-23,2012.644,107.23
2012-08-24,2012.647,108.12
2012-08-27,2012.656,107.47
2012-08-28,2012.658,106.94
2012-08-29,2012.661,112.72
2012-08-30,2012.664,111.59
2012-08-31,2012.667,111.56
2012-09-04,2012.675,110.81
2012-09-05,2012.678,114.17
2012-09-06,2012.681,115.18
2012-09-07,2012.683,115.26
2012-09-10,2012.692,117.06
2012-09-11,2012.694,116.84
2012-09-12,2012.697,117.63
2012-09-13,2012.7,120.54
2012-09-14,2012.703,121.13
2012-09-17,2012.711,119.31
2012-09-18,2012.714,119.95
2012-09-19,2012.717,120.76
2012-09-20,2012.719,123.12
2012-09-21,2012.722,123.33
2012-09-24,2012.731,122.4
2012-09-25,2012.733,119.5
2012-09-26,2012.736,118.76
2012-09-27,2012.739,119.12
2012-09-28,2012.742,118.5
2012-10-01,2012.75,119.31
2012-10-02,2012.753,118.06
2012-10-03,2012.756,118.07
2012-10-04,2012.758,118.93
2012-10-05,2012.761,121.1
2012-10-08,2012.769,120.03
2012-10-09,2012.772,119.66
2012-10-10,2012.775,118.27
2012-10-11,2012.778,119.11
2012-10-12,2012.781,118.57
2012-10-15,2012.789,120.08
2012-10-16,2012.792,123.06
2012-10-17,2012.794,124.61
2012-10-18,2012.797,124.89
2012-10-19,2012.8,122.16
2012-10-22,2012.808,122.78
2012-10-23,2012.811,121.14
2012-10-24,2012.814,121.68
2012-10-25,2012.817,123.62
2012-10-26,2012.819,123.16
2012-10-31,2012.833,124.4
2012-11-01,2012.833,126.86
2012-11-02,2012.836,126.81
2012-11-05,2012.844,127.54
2012-11-06,2012.847,128.11
2012-11-07,2012.85,126.89
2012-11-08,2012.853,125.55
2012-11-09,2012.856,125.92
2012-11-12,2012.864,126.43
2012-11-13,2012.867,127.03
2012-11-14,2012.869,124.92
2012-11-15,2012.872,123.97
2012-11-16,2012.875,123.55
2012-11-19,2012.883,126.53
2012-11-20,2012.886,126.4
2012-11-21,2012.889,127.03
2012-11-23,2012.894,128.92
2012-11-26,2012.903,129.07
2012-11-27,2012.906,127.69
2012-11-28,2012.908,128.17
2012-11-29,2012.911,127.5
2012-11-30,2012.914,127.55
2012-12-03,2012.922,125.57
2012-12-04,2012.925,124.98
2012-12-05,2012.928,124.63
2012-12-06,2012.931,126.45
2012-12-07,2012.933,125.79
2012-12-10,2012.942,126.09
2012-12-11,2012.944,126.05
2012-12-12,2012.947,125.02
2012-12-13,2012.95,124.79
2012-12-14,2012.953,123.08
2012-12-17,2012.961,124.23
2012-12-18,2012.964,125.99
2012-12-19,2012.967,128.51
2012-12-20,2012.969,129.6
2012-12-21,2012.972,128.62
2012-12-24,2012.981,129.94
2012-12-26,2012.986,129.83
2012-12-27,2012.989,129.32
2012-12-28,2012.992,127.39
2012-12-31,2013,129.82
2013-01-02,2013.003,132.45
2013-01-03,2013.006,132.58
2013-01-04,2013.008,133.2
2013-01-07,2013.017,133.3
2013-01-08,2013.019,133.27
2013-01-09,2013.022,134.27
2013-01-10,2013.025,134.99
2013-01-11,2013.028,134.74
2013-01-14,2013.036,135.73
2013-01-15,2013.039,135.85
2013-01-16,2013.042,137.25
2013-01-17,2013.044,138.72
2013-01-18,2013.047,139.33
2013-01-22,2013.058,139.28
2013-01-23,2013.061,139.65
2013-01-24,2013.064,139.54
2013-01-25,2013.067,138.4
2013-01-28,2013.075,138.53
2013-01-29,2013.078,138.97
2013-01-30,2013.081,138.54
2013-01-31,2013.083,138.61
2013-02-01,2013.083,141.22
2013-02-04,2013.092,139.62
2013-02-05,2013.094,142.14
2013-02-06,2013.097,143.15
2013-02-07,2013.1,142.09
2013-02-08,2013.103,142.28
2013-02-11,2013.111,142.11
2013-02-12,2013.114,142.17
2013-02-13,2013.117,142.63
2013-02-14,2013.119,142.05
2013-02-15,2013.122,143.9
2013-02-19,2013.133,150.6
2013-02-20,2013.136,147.77
2013-02-21,2013.139,148.33
2013-02-22,2013.142,150.06
2013-02-25,2013.15,149.25
2013-02-26,2013.153,152.22
2013-02-27,2013.156,153.66
2013-02-28,2013.158,154.69
2013-03-01,2013.167,155.59
2013-03-04,2013.175,155.89
2013-03-05,2013.178,157.55
2013-03-06,2013.181,156.44
2013-03-07,2013.183,156.77
2013-03-08,2013.186,157.85
2013-03-11,2013.194,159.75
2013-03-12,2013.197,159.45
2013-03-13,2013.2,161.77
2013-03-14,2013.203,165.19
2013-03-15,2013.206,165.56
2013-03-18,2013.214,164.17
2013-03-19,2013.217,164.37
2013-03-20,2013.219,165.83
2013-03-21,2013.222,162.72
2013-03-22,2013.225,163.57
2013-03-25,2013.233,164.54
2013-03-26,2013.236,166.86
2013-03-27,2013.239,167.05
2013-03-28,2013.242,167.58
2013-04-01,2013.25,166.64
2013-04-02,2013.253,166.01
2013-04-03,2013.256,162.72
2013-04-04,2013.258,162.78
2013-04-05,2013.261,161.77
2013-04-08,2013.269,163.84
2013-04-09,2013.272,162.7
2013-04-10,2013.275,164.87
2013-04-11,2013.278,164.67
2013-04-12,2013.281,163.15
2013-04-15,2013.289,157.23
2013-04-16,2013.292,159.46
2013-04-17,2013.294,157.23
