Date,t,Close
2011-10-03,2011.756,108.28
2011-10-04,2011.758,110.82
2011-10-05,2011.761,114.52
2011-10-06,2011.764,116.83
2011-10-07,2011.767,114.94
2011-10-10,2011.775,120.22
2011-10-11,2011.778,120.58
2011-10-12,2011.781,122.79
2011-10-13,2011.783,122.52
2011-10-14,2011.786,124.36
2011-10-17,2011.794,120.2
2011-10-18,2011.797,124.39
2011-10-19,2011.8,121.58
2011-10-20,2011.803,122.62
2011-10-21,2011.806,124.43
2011-10-24,2011.814,128.51
2011-10-25,2011.817,126.08
2011-10-26,2011.819,127.6
2011-10-27,2011.822,137.1
2011-10-28,2011.825,136.18
2011-10-31,2011.833,131.06
2011-11-01,2011.833,127.62
2011-11-02,2011.836,129.8
2011-11-03,2011.839,134.71
2011-11-04,2011.842,136
2011-11-07,2011.85,135.39
2011-11-08,2011.853,138.26
2011-11-09,2011.856,132.21
2011-11-10,2011.858,133.56
2011-11-11,2011.861,136.34
2011-11-14,2011.869,133.15
2011-11-15,2011.872,132.99
2011-11-16,2011.875,132.06
2011-11-17,2011.878,133.62
2011-11-18,2011.881,133.73
2011-11-21,2011.889,129.85
2011-11-22,2011.892,127.85
2011-11-23,2011.894,122.74
2011-11-25,2011.9,124
2011-11-28,2011.908,126.99
2011-11-29,2011.911,128
2011-11-30,2011.914,136.01
2011-12-01,2011.917,133.86
2011-12-02,2011.919,137.25
2011-12-05,2011.928,138.27
2011-12-06,2011.931,136.42
2011-12-07,2011.933,136.37
2011-12-08,2011.936,131.84
2011-12-09,2011.939,135
2011-12-12,2011.947,132.52
2011-12-13,2011.95,129.99
2011-12-14,2011.953,129.56
2011-12-15,2011.956,131.55
2011-12-16,2011.958,132.53
2011-12-19,2011.967,130.19
2011-12-20,2011.969,135.54
2011-12-21,2011.972,136.49
2011-12-22,2011.975,137.77
2011-12-23,2011.978,139.02
2011-12-27,2011.989,139.71
2011-12-28,2011.992,138.84
2011-12-29,2011.994,140.46
2011-12-30,2011.997,140.22
2012-01-03,2012.006,142.1
2012-01-04,2012.008,142.18
2012-01-05,2012.011,142.96
2012-01-06,2012.014,144.08
2012-01-09,2012.022,144.81
2012-01-10,2012.025,146.06
2012-01-11,2012.028,145.82
2012-01-12,2012.031,148.36
2012-01-13,2012.033,147.96
2012-01-17,2012.044,149.65
2012-01-18,2012.047,150.29
2012-01-19,2012.05,152.41
2012-01-20,2012.053,152.13
2012-01-23,2012.061,148.06
2012-01-24,2012.064,150.78
2012-01-25,2012.067,146.96
2012-01-26,2012.069,146.52
2012-01-27,2012.072,145.21
2012-01-30,2012.081,145.04
2012-01-31,2012.083,144.77
2012-02-01,2012.083,146.14
2012-02-02,2012.086,146.92
2012-02-03,2012.089,148.84
2012-02-06,2012.097,146.66
2012-02-07,2012.1,145.15
2012-02-08,2012.103,144.67
2012-02-09,2012.106,146.95
2012-02-10,2012.108,147.63
2012-02-13,2012.117,151.91
2012-02-14,2012.119,152.04
2012-02-15,2012.122,151.48
2012-02-16,2012.125,154.99
2012-02-17,2012.128,154.32
2012-02-21,2012.139,153.62
2012-02-22,2012.142,152.66
2012-02-23,2012.144,152.38
2012-02-24,2012.147,152.23
2012-02-27,2012.156,155.73
2012-02-28,2012.158,157.87
2012-02-29,2012.161,159.5
2012-03-01,2012.167,160.09
2012-03-02,2012.169,161.89
2012-03-05,2012.178,161.29
2012-03-06,2012.181,159.76
2012-03-07,2012.183,158.7
2012-03-08,2012.186,160.72
2012-03-09,2012.189,160.55
2012-03-12,2012.197,161.16
2012-03-13,2012.2,165.04
2012-03-14,2012.203,162.66
2012-03-15,2012.206,163.57
2012-03-16,2012.208,162.2
2012-03-19,2012.217,161.37
2012-03-20,2012.219,160.79
2012-03-21,2012.222,162.09
2012-03-22,2012.225,159.46
2012-03-23,2012.228,160.3
2012-03-26,2012.236,163.7
2012-03-27,2012.239,163.22
2012-03-28,2012.242,160.18
2012-03-29,2012.244,161.1
2012-03-30,2012.247,161.07
2012-04-02,2012.253,161.32
2012-04-03,2012.256,160.38
2012-04-04,2012.258,160.71
2012-04-05,2012.261,159.93
2012-04-09,2012.272,156.41
2012-04-10,2012.275,150.88
2012-04-11,2012.278,151.53
2012-04-12,2012.281,154.37
2012-04-13,2012.283,153.09
2012-04-16,2012.292,152.88
2012-04-17,2012.294,154.26
2012-04-18,2012.297,153.41
2012-04-19,2012.3,153.59
2012-04-20,2012.303,154.53
2012-04-23,2012.311,151.46
2012-04-24,2012.314,153.29
2012-04-25,2012.317,156.74
2012-04-26,2012.319,156.71
2012-04-27,2012.322,157.13
2012-04-30,2012.331,155.3
2012-05-01,2012.333,156.48
2012-05-02,2012.336,155.78
2012-05-03,2012.339,153.71
2012-05-04,2012.342,151.08
2012-05-07,2012.35,150.4
2012-05-08,2012.353,149.03
2012-05-09,2012.356,147.42
2012-05-10,2012.358,147.38
2012-05-11,2012.361,147.52
2012-05-14,2012.369,145.65
2012-05-15,2012.372,146.38
2012-05-16,2012.375,142.78
2012-05-17,2012.378,137.67
2012-05-18,2012.381,137.71
2012-05-21,2012.389,142.58
2012-05-22,2012.392,141.2
2012-05-23,2012.394,142.27
2012-05-24,2012.397,141.86
2012-05-25,2012.4,140.45
2012-05-29,2012.411,143.2
2012-05-30,2012.414,140.07
2012-05-31,2012.417,139.75
2012-06-01,2012.417,134.42
2012-06-04,2012.425,133.6
2012-06-05,2012.428,134.79
2012-06-06,2012.431,139.43
2012-06-07,2012.433,139.78
2012-06-08,2012.436,140.67
2012-06-11,2012.444,137.66
2012-06-12,2012.447,140.3
2012-06-13,2012.45,137.82
2012-06-14,2012.453,138.77
2012-06-15,2012.456,139.46
2012-06-18,2012.464,140.83
2012-06-19,2012.467,143.72
2012-06-20,2012.469,142.58
2012-06-21,2012.472,138.96
2012-06-22,2012.475,140.75
2012-06-25,2012.483,136.84
2012-06-26,2012.486,136.44
2012-06-27,2012.489,136.68
2012-06-28,2012.492,135.8
2012-06-29,2012.494,140.45
2012-07-02,2012.503,140.28
2012-07-03,2012.506,142.86
2012-07-05,2012.511,142.41
2012-07-06,2012.514,140.28
2012-07-09,2012.522,139.54
2012-07-10,2012.525,138.73
2012-07-11,2012.528,142.98
2012-07-12,2012.531,143.99
2012-07-13,2012.533,146.62
2012-07-16,2012.542,146.26
2012-07-17,2012.544,150.66
2012-07-18,2012.547,152.81
2012-07-19,2012.55,153.93
2012-07-20,2012.553,152.69
2012-07-23,2012.561,151.41
2012-07-24,2012.564,148.03
2012-07-25,2012.567,148.37
2012-07-26,2012.569,152.25
2012-07-27,2012.572,155.91
2012-07-30,2012.581,153.6
2012-07-31,2012.583,153.58
2012-08-01,2012.583,151.4
2012-08-02,2012.586,149.36
2012-08-03,2012.589,152.39
2012-08-06,2012.597,152.64
2012-08-07,2012.6,154.45
2012-08-08,2012.603,152.19
2012-08-09,2012.606,152.46
2012-08-10,2012.608,153.56
2012-08-13,2012.617,157.29
2012-08-14,2012.619,157.83
2012-08-15,2012.622,158.7
2012-08-16,2012.625,161.26
2012-08-17,2012.628,160.25
2012-08-20,2012.636,160.01
2012-08-21,2012.639,160.34
2012-08-22,2012.642,160.84
2012-08-23,2012.644,158.5
2012-08-24,2012.647,160.12
2012-08-27,2012.656,159.71
2012-08-28,2012.658,159.21
2012-08-29,2012.661,161.37
2012-08-30,2012.664,159.32
2012-08-31,2012.667,160.18
2012-09-04,2012.675,158.79
2012-09-05,2012.678,158.91
2012-09-06,2012.681,164.37
2012-09-07,2012.683,167.45
2012-09-10,2012.692,162
2012-09-11,2012.694,160.99
2012-09-12,2012.697,163.47
2012-09-13,2012.7,166.71
2012-09-14,2012.703,166.35
2012-09-17,2012.711,160.96
2012-09-18,2012.714,160.59
2012-09-19,2012.717,160.8
2012-09-20,2012.719,163.13
2012-09-21,2012.722,166.17
2012-09-24,2012.731,170.81
2012-09-25,2012.733,167.56
2012-09-26,2012.736,167.76
2012-09-27,2012.739,169.73
2012-09-28,2012.742,168.85
2012-10-01,2012.75,168.69
2012-10-02,2012.753,168.09
2012-10-03,2012.756,169.16
2012-10-04,2012.758,170.27
2012-10-05,2012.761,170.35
2012-10-08,2012.769,170.34
2012-10-09,2012.772,169.08
2012-10-10,2012.775,169.11
2012-10-11,2012.778,171.35
2012-10-12,2012.781,169.8
2012-10-15,2012.789,172.65
2012-10-16,2012.792,175.37
2012-10-17,2012.794,173.09
2012-10-18,2012.797,175.63
2012-10-19,2012.8,172.36
2012-10-22,2012.808,173.12
2012-10-23,2012.811,169.37
2012-10-24,2012.814,167.68
2012-10-25,2012.817,163.76
2012-10-26,2012.819,165.18
2012-10-31,2012.833,165.88
2012-11-01,2012.833,170.67
2012-11-02,2012.836,166.55
2012-11-05,2012.844,164.75
2012-11-06,2012.847,165.94
2012-11-07,2012.85,163.18
2012-11-08,2012.853,160.93
2012-11-09,2012.856,162.23
2012-11-12,2012.864,161.66
2012-11-13,2012.867,160.39
2012-11-14,2012.869,157.05
2012-11-15,2012.872,156.34
2012-11-16,2012.875,159.16
2012-11-19,2012.883,164.47
2012-11-20,2012.886,163.15
2012-11-21,2012.889,163.68
2012-11-23,2012.894,167.01
2012-11-26,2012.903,166.4
2012-11-27,2012.906,167.93
2012-11-28,2012.908,170.77
2012-11-29,2012.911,172.45
2012-11-30,2012.914,172.13
2012-12-03,2012.922,170.64
2012-12-04,2012.925,168.54
2012-12-05,2012.928,167.48
2012-12-06,2012.931,167.48
2012-12-07,2012.933,168
2012-12-10,2012.942,169.19
2012-12-11,2012.944,172.21
2012-12-12,2012.947,172.61
2012-12-13,2012.95,173.03
2012-12-14,2012.953,174.48
2012-12-17,2012.961,175.55
2012-12-18,2012.964,178.74
2012-12-19,2012.967,178.54
2012-12-20,2012.969,181.75
2012-12-21,2012.972,180.48
2012-12-24,2012.981,181.15
2012-12-26,2012.986,182.1
2012-12-27,2012.989,181.84
2012-12-28,2012.992,178.95
2012-12-31,2013,182.87
2013-01-02,2013.003,186.03
2013-01-03,2013.006,186.02
2013-01-04,2013.008,188.24
2013-01-07,2013.017,187.73
2013-01-08,2013.019,186.1
2013-01-09,2013.022,185.86
2013-01-10,2013.025,184.49
2013-01-11,2013.028,185.46
2013-01-14,2013.036,187.53
2013-01-15,2013.039,187.39
2013-01-16,2013.042,186.24
2013-01-17,2013.044,190.12
2013-01-18,2013.047,190.93
2013-01-22,2013.058,191.46
2013-01-23,2013.061,191.41
2013-01-24,2013.064,192.45
2013-01-25,2013.067,193.8
2013-01-28,2013.075,192.05
2013-01-29,2013.078,191.51
2013-01-30,2013.081,189.26
2013-01-31,2013.083,187.65
2013-02-01,2013.083,191.76
2013-02-04,2013.092,190.4
2013-02-05,2013.094,192.9
2013-02-06,2013.097,191.61
2013-02-07,2013.1,190.31
2013-02-08,2013.103,192.27
2013-02-11,2013.111,190.45
2013-02-12,2013.114,189.92
2013-02-13,2013.117,189.17
2013-02-14,2013.119,189.43
2013-02-15,2013.122,196.22
2013-02-19,2013.133,194.65
2013-02-20,2013.136,187.33
2013-02-21,2013.139,191.34
2013-02-22,2013.142,198.15
2013-02-25,2013.15,193.08
2013-02-26,2013.153,197.21
2013-02-27,2013.156,202.75
2013-02-28,2013.158,202.71
2013-03-01,2013.167,203.5
2013-03-04,2013.175,204.37
2013-03-05,2013.178,207.21
2013-03-06,2013.181,210.09
2013-03-07,2013.183,210.68
2013-03-08,2013.186,213.34
2013-03-11,2013.194,214.57
2013-03-12,2013.197,211.89
2013-03-13,2013.2,210.77
2013-03-14,2013.203,211.95
2013-03-15,2013.206,211.21
2013-03-18,2013.214,210.24
2013-03-19,2013.217,208.96
2013-03-20,2013.219,211.38
2013-03-21,2013.222,207.14
2013-03-22,2013.225,207.83
2013-03-25,2013.233,207.34
2013-03-26,2013.236,209.78
2013-03-27,2013.239,208.8
2013-03-28,2013.242,212.47
2013-04-01,2013.25,211.24
2013-04-02,2013.253,219.22
2013-04-03,2013.256,211.2
2013-04-04,2013.258,213.07
2013-04-05,2013.261,210.51
2013-04-08,2013.269,215.07
2013-04-09,2013.272,215.85
2013-04-10,2013.275,217.72
2013-04-11,2013.278,220
2013-04-12,2013.281,219.86
2013-04-15,2013.289,206.82
2013-04-16,2013.292,216.53
2013-04-17,2013.294,209.87
2013-04-18,2013.297,205.04
2013-04-19,2013.3,208.32
2013-04-22,2013.308,215.07
2013-04-23,2013.311,217.54
2013-04-24,2013.314,221.23
2013-04-25,2013.317,217.03
2013-04-26,2013.319,211.7
2013-04-29,2013.328,215.3
2013-04-30,2013.331,214.3
2013-05-01,2013.333,209.32
2013-05-02,2013.336,201.94
2013-05-03,2013.339,208.09
2013-05-06,2013.347,209.32
2013-05-07,2013.35,212.2
2013-05-08,2013.353,213.98
2013-05-09,2013.356,214.02
2013-05-10,2013.358,212.11
2013-05-13,2013.367,216.81
2013-05-14,2013.369,220.18
2013-05-15,2013.372,222.05
2013-05-16,2013.375,216.3
2013-05-17,2013.378,219.77
2013-05-20,2013.386,216.71
2013-05-21,2013.389,217.81
2013-05-22,2013.392,212.11
2013-05-23,2013.394,215.21
2013-05-24,2013.397,214.62
2013-05-28,2013.408,218.22
2013-05-29,2013.411,213.75
2013-05-30,2013.414,213.61
2013-05-31,2013.417,210.51
2013-06-03,2013.422,209.51
2013-06-04,2013.425,207.59
2013-06-05,2013.428,202.16
2013-06-06,2013.431,205.36
2013-06-07,2013.433,208.09
2013-06-10,2013.442,207.82
2013-06-11,2013.444,206.68
2013-06-12,2013.447,200.84
2013-06-13,2013.45,208.05
2013-06-14,2013.453,206.86
2013-06-17,2013.461,211.01
2013-06-18,2013.464,209.69
2013-06-19,2013.467,208.78
2013-06-20,2013.469,201.89
2013-06-21,2013.472,198.88
2013-06-24,2013.481,195.64
2013-06-25,2013.483,197.56
2013-06-26,2013.486,201.3
2013-06-27,2013.489,200.25
2013-06-28,2013.492,202.12
2013-07-01,2013.5,205.86
2013-07-02,2013.503,208.69
2013-07-03,2013.506,208.78
2013-07-05,2013.511,211.29
2013-07-08,2013.519,212.43
2013-07-09,2013.522,213.89
2013-07-10,2013.525,211.83
2013-07-11,2013.528,216.94
2013-07-12,2013.531,219.54
2013-07-15,2013.539,219.45
2013-07-16,2013.542,220.73
2013-07-17,2013.544,217.85
2013-07-18,2013.547,218.36
2013-07-19,2013.55,217.67
2013-07-22,2013.558,216.21
2013-07-23,2013.561,213.84
2013-07-24,2013.564,215.35
2013-07-25,2013.567,228.94
2013-07-26,2013.569,224.01
2013-07-29,2013.578,222.55
2013-07-30,2013.581,222.46
2013-07-31,2013.583,220.36
2013-08-01,2013.583,225.75
2013-08-02,2013.586,225.34
2013-08-05,2013.594,221.87
2013-08-06,2013.597,220.09
2013-08-07,2013.6,218.81
2013-08-08,2013.603,218.86
2013-08-09,2013.606,219.04
2013-08-12,2013.614,219.95
2013-08-13,2013.617,219.5
2013-08-14,2013.619,223.05
2013-08-15,2013.622,215.94
2013-08-16,2013.625,218.81
2013-08-19,2013.633,214.34
2013-08-20,2013.636,215.3
2013-08-21,2013.639,212.29
2013-08-22,2013.642,212.06
2013-08-23,2013.644,213.75
2013-08-26,2013.653,215.3
2013-08-27,2013.656,212.11
2013-08-28,2013.658,214.39
2013-08-29,2013.661,217.58
2013-08-30,2013.664,215.35
2013-09-03,2013.672,216.53
2013-09-04,2013.675,218.04
2013-09-05,2013.678,217.35
2013-09-06,2013.681,218.31
2013-09-09,2013.689,224.2
2013-09-10,2013.692,224.74
2013-09-11,2013.694,225.15
2013-09-12,2013.697,219.54
2013-09-13,2013.7,222.01
2013-09-16,2013.708,225.38
2013-09-17,2013.711,219.45
2013-09-18,2013.714,219.41
2013-09-19,2013.717,218.13
2013-09-20,2013.719,217.99
2013-09-23,2013.728,214.8
2013-09-24,2013.731,214.57
2013-09-25,2013.733,213.02
2013-09-26,2013.736,215.71
2013-09-27,2013.739,207.27
2013-09-30,2013.747,204.35
2013-10-01,2013.75,206.54
2013-10-02,2013.753,203.44
2013-10-03,2013.756,200.07
2013-10-04,2013.758,199.34
2013-10-07,2013.767,199.29
2013-10-08,2013.769,196.87
2013-10-09,2013.772,196.92
2013-10-10,2013.775,201.98
2013-10-11,2013.778,204.76
2013-10-14,2013.786,206.82
2013-10-15,2013.789,203.35
2013-10-16,2013.792,205.13
2013-10-17,2013.794,206.54
2013-10-18,2013.797,207.41
2013-10-21,2013.806,202.8
2013-10-22,2013.808,203.17
2013-10-23,2013.811,202.48
2013-10-24,2013.814,205.17
2013-10-25,2013.817,207.87
2013-10-28,2013.825,205.54
2013-10-29,2013.828,202.98
2013-10-30,2013.831,202.8
2013-10-31,2013.833,203.49
2013-11-01,2013.833,205.08
2013-11-04,2013.842,206.82
2013-11-05,2013.844,198.74
2013-11-06,2013.847,198.1
2013-11-07,2013.85,196.6
2013-11-08,2013.853,200.52
2013-11-11,2013.861,203.03
2013-11-12,2013.864,202.67
2013-11-13,2013.867,203.21
2013-11-14,2013.869,205.72
2013-11-15,2013.872,207.68
2013-11-18,2013.881,206.54
2013-11-19,2013.883,206.18
2013-11-20,2013.886,206.27
2013-11-21,2013.889,213.07
2013-11-22,2013.892,213.89
2013-11-25,2013.9,213.93
2013-11-26,2013.903,214.02
2013-11-27,2013.906,213.16
2013-11-29,2013.911,212.79
2013-12-02,2013.919,213.43
2013-12-03,2013.922,211.06
2013-12-04,2013.925,209.87
2013-12-05,2013.928,210.15
2013-12-06,2013.931,211.83
2013-12-09,2013.939,213.57
2013-12-10,2013.942,213.8
2013-12-11,2013.944,210.88
2013-12-12,2013.947,210.65
2013-12-13,2013.95,218.17
2013-12-16,2013.958,220.68
2013-12-17,2013.961,220.59
2013-12-18,2013.964,225.75
2013-12-19,2013.967,222.83
2013-12-20,2013.969,220.55
2013-12-23,2013.978,222.96
2013-12-24,2013.981,224.06
2013-12-26,2013.986,224.61
2013-12-27,2013.989,223.69
2013-12-30,2013.997,223.51
2013-12-31,2014,223.65
2014-01-02,2014.003,222.6
2014-01-03,2014.006,221.78
2014-01-06,2014.014,221.18
2014-01-07,2014.017,223.33
2014-01-08,2014.019,223.56
2014-01-09,2014.022,224.42
2014-01-10,2014.025,223.19
2014-01-13,2014.033,219.54
2014-01-14,2014.036,222.19
2014-01-15,2014.039,222.78
2014-01-16,2014.042,222.87
2014-01-17,2014.044,220.5
2014-01-21,2014.056,219.77
2014-01-22,2014.058,217.81
2014-01-23,2014.061,216.62
2014-01-24,2014.064,207.82
2014-01-27,2014.072,208.64
2014-01-28,2014.075,210.42
2014-01-29,2014.078,213.98
2014-01-30,2014.081,214.89
2014-01-31,2014.083,217.76
2014-02-03,2014.089,210.1
2014-02-04,2014.092,209.01
2014-02-05,2014.094,213.66
2014-02-06,2014.097,214.34
2014-02-07,2014.1,216.3
2014-02-10,2014.108,219.18
2014-02-11,2014.111,220.96
2014-02-12,2014.114,222.46
2014-02-13,2014.117,223.97
2014-02-14,2014.119,224.33
2014-02-18,2014.131,224.47
2014-02-19,2014.133,222.19
2014-02-20,2014.136,225.2
2014-02-21,2014.139,224.24
2014-02-24,2014.147,223.01
2014-02-25,2014.15,223.88
2014-02-26,2014.153,223.69
2014-02-27,2014.156,222.83
2014-02-28,2014.158,223.01
2014-03-03,2014.172,217.95
2014-03-04,2014.175,219.95
2014-03-05,2014.178,220.91
2014-03-06,2014.181,219.54
2014-03-07,2014.183,219.63
2014-03-10,2014.192,218.4
2014-03-11,2014.194,215.53
2014-03-12,2014.197,214.75
2014-03-13,2014.2,211.79
2014-03-14,2014.203,210.42
2014-03-17,2014.211,209.51
2014-03-18,2014.214,208.69
2014-03-19,2014.217,207.87
2014-03-20,2014.219,207.27
2014-03-21,2014.222,208.82
2014-03-24,2014.231,207.77
2014-03-25,2014.233,210.24
2014-03-26,2014.236,205.27
2014-03-27,2014.239,207.91
2014-03-28,2014.242,208.91
2014-03-31,2014.25,209.28
2014-04-01,2014.25,209.19
2014-04-02,2014.253,212.75
2014-04-03,2014.256,212.02
2014-04-04,2014.258,208.96
2014-04-07,2014.267,207.87
