Date,t,Close
2011-10-03,2011.756,348.71
2011-10-04,2011.758,358.26
2011-10-05,2011.761,363.06
2011-10-06,2011.764,373.51
2011-10-07,2011.767,372.58
2011-10-10,2011.775,386.94
2011-10-11,2011.778,390.86
2011-10-12,2011.781,400.9
2011-10-13,2011.783,402.3
2011-10-14,2011.786,407.68
2011-10-17,2011.794,400.47
2011-10-18,2011.797,405.22
2011-10-19,2011.8,401.29
2011-10-20,2011.803,404.58
2011-10-21,2011.806,415.1
2011-10-24,2011.814,423.91
2011-10-25,2011.817,411.1
2011-10-26,2011.819,411.76
2011-10-27,2011.822,387.34
2011-10-28,2011.825,386.22
2011-10-31,2011.833,374.62
2011-11-01,2011.833,367.82
2011-11-02,2011.836,376.19
2011-11-03,2011.839,420.24
2011-11-04,2011.842,420.1
2011-11-07,2011.85,421.21
2011-11-08,2011.853,423.3
2011-11-09,2011.856,414.07
2011-11-10,2011.858,412.42
2011-11-11,2011.861,411.22
2011-11-14,2011.869,408.64
2011-11-15,2011.872,407.45
2011-11-16,2011.875,403.65
2011-11-17,2011.878,396.75
2011-11-18,2011.881,393.78
2011-11-21,2011.889,384.5
2011-11-22,2011.892,388.2
2011-11-23,2011.894,378.74
2011-11-25,2011.9,375.6
2011-11-28,2011.908,389.86
2011-11-29,2011.911,388.27
2011-11-30,2011.914,407.28
2011-12-01,2011.917,399.75
2011-12-02,2011.919,400.25
2011-12-05,2011.928,399.88
2011-12-06,2011.931,394.7
2011-12-07,2011.933,400.42
2011-12-08,2011.936,390.87
2011-12-09,2011.939,384.26
2011-12-12,2011.947,382.3
2011-12-13,2011.95,376.89
2011-12-14,2011.953,379.28
2011-12-15,2011.956,379.07
2011-12-16,2011.958,382.93
2011-12-19,2011.967,379.41
2011-12-20,2011.969,386.44
2011-12-21,2011.972,392.52
2011-12-22,2011.975,391.61
2011-12-23,2011.978,401.21
2011-12-27,2011.989,402.31
2011-12-28,2011.992,397.38
2011-12-29,2011.994,401.73
2011-12-30,2011.997,398.66
2012-01-03,2012.006,400.96
2012-01-04,2012.008,399.35
2012-01-05,2012.011,399.44
2012-01-06,2012.014,397.44
2012-01-09,2012.022,396.9
2012-01-10,2012.025,401.6
2012-01-11,2012.028,399.88
2012-01-12,2012.031,401.62
2012-01-13,2012.033,398.74
2012-01-17,2012.044,407.87
2012-01-18,2012.047,408.86
2012-01-19,2012.05,413.64
2012-01-20,2012.053,416.39
2012-01-23,2012.061,413.16
2012-01-24,2012.064,414.37
2012-01-25,2012.067,420.24
2012-01-26,2012.069,415.25
2012-01-27,2012.072,414.35
2012-01-30,2012.081,409.95
2012-01-31,2012.083,409.08
