Date,t,Close
2011-08-10,2011.608,282.86
2011-08-11,2011.611,296.45
2011-08-12,2011.614,297.12
2011-08-15,2011.622,302.76
2011-08-16,2011.625,302.76
2011-08-17,2011.628,303.47
2011-08-18,2011.631,294.55
2011-08-19,2011.633,294.64
2011-08-22,2011.642,295.37
2011-08-23,2011.644,303.17
2011-08-24,2011.647,306.17
2011-08-25,2011.65,300.87
2011-08-26,2011.653,302.34
2011-08-29,2011.661,310.22
2011-08-30,2011.664,311.09
2011-08-31,2011.667,313.55
2011-09-01,2011.667,311.44
2011-09-02,2011.669,305.06
2011-09-06,2011.681,306.55
2011-09-07,2011.683,312.51
2011-09-08,2011.686,309.76
2011-09-09,2011.689,302.17
2011-09-12,2011.697,302.4
2011-09-13,2011.7,303.03
2011-09-14,2011.703,304.78
2011-09-15,2011.706,307.46
2011-09-16,2011.708,308.24
2011-09-19,2011.717,306.44
2011-09-20,2011.719,309.09
2011-09-21,2011.722,302.85
2011-09-22,2011.725,297.04
2011-09-23,2011.728,297.06
2011-09-26,2011.736,300.9
2011-09-27,2011.739,304.27
2011-09-28,2011.742,301.53
2011-09-29,2011.744,306.15
2011-09-30,2011.747,303.64
2011-10-03,2011.756,296.62
2011-10-04,2011.758,298.51
2011-10-05,2011.761,301.97
2011-10-06,2011.764,303.83
2011-10-07,2011.767,305.6
2011-10-10,2011.775,312.12
2011-10-11,2011.778,310.56
2011-10-12,2011.781,311.55
2011-10-13,2011.783,311.38
2011-10-14,2011.786,314.07
2011-10-17,2011.794,309.42
2011-10-18,2011.797,312.17
2011-10-19,2011.8,309.18
2011-10-20,2011.803,309.96
2011-10-21,2011.806,313.87
2011-10-24,2011.814,316.62
2011-10-25,2011.817,310.91
2011-10-26,2011.819,315.17
2011-10-27,2011.822,321.05
2011-10-28,2011.825,321.76
2011-10-31,2011.833,315.62
2011-11-01,2011.833,312.17
2011-11-02,2011.836,313.84
2011-11-03,2011.839,318.24
2011-11-04,2011.842,315.27
2011-11-07,2011.85,317.8
