Date,t,Close
2011-08-10,2011.608,127.47
2011-08-11,2011.611,133.41
2011-08-12,2011.614,135.6
2011-08-15,2011.622,140.11
2011-08-16,2011.625,140.49
2011-08-17,2011.628,143.14
2011-08-18,2011.631,132.51
2011-08-19,2011.633,132.46
2011-08-22,2011.642,132.3
2011-08-23,2011.644,137.5
2011-08-24,2011.647,145.06
2011-08-25,2011.65,141.43
2011-08-26,2011.653,143.08
2011-08-29,2011.661,150.14
2011-08-30,2011.664,149.98
2011-08-31,2011.667,149.67
2011-09-01,2011.667,146.54
2011-09-02,2011.669,141.95
2011-09-06,2011.681,139.41
2011-09-07,2011.683,143.68
2011-09-08,2011.686,140.56
2011-09-09,2011.689,136.14
2011-09-12,2011.697,139.48
2011-09-13,2011.7,144
2011-09-14,2011.703,149.38
2011-09-15,2011.706,152.5
2011-09-16,2011.708,154.38
2011-09-19,2011.717,154.29
2011-09-20,2011.719,152.72
2011-09-21,2011.722,145.89
2011-09-22,2011.725,142.96
2011-09-23,2011.728,145.41
2011-09-26,2011.736,146.88
2011-09-27,2011.739,148.49
2011-09-28,2011.742,146.06
2011-09-29,2011.744,145.35
2011-09-30,2011.747,141.33
2011-10-03,2011.756,137.21
2011-10-04,2011.758,141.87
2011-10-05,2011.761,142.73
2011-10-06,2011.764,145.74
2011-10-07,2011.767,145.5
2011-10-10,2011.775,150.65
2011-10-11,2011.778,151.69
2011-10-12,2011.781,153.59
2011-10-13,2011.783,153.27
2011-10-14,2011.786,155.59
2011-10-17,2011.794,150.23
2011-10-18,2011.797,153.14
2011-10-19,2011.8,148.96
2011-10-20,2011.803,149
2011-10-21,2011.806,155.03
2011-10-24,2011.814,156.64
2011-10-25,2011.817,151.71
2011-10-26,2011.819,153.02
2011-10-27,2011.822,156.83
2011-10-28,2011.825,154.5
2011-10-31,2011.833,150.34
2011-11-01,2011.833,146.68
2011-11-02,2011.836,147.8
2011-11-03,2011.839,148.86
2011-11-04,2011.842,149.08
2011-11-07,2011.85,149.82
2011-11-08,2011.853,152.44
2011-11-09,2011.856,146.92
2011-11-10,2011.858,148.76
2011-11-11,2011.861,152.09
2011-11-14,2011.869,149.82
2011-11-15,2011.872,153.27
2011-11-16,2011.875,152.37
2011-11-17,2011.878,150.18
2011-11-18,2011.881,150.95
2011-11-21,2011.889,151.18
2011-11-22,2011.892,151.22
2011-11-23,2011.894,142.85
2011-11-25,2011.9,142.88
2011-11-28,2011.908,144.66
2011-11-29,2011.911,144.11
2011-11-30,2011.914,149.94
2011-12-01,2011.917,151.03
2011-12-02,2011.919,153.83
2011-12-05,2011.928,156.33
2011-12-06,2011.931,154.06
2011-12-07,2011.933,153.59
2011-12-08,2011.936,150.66
2011-12-09,2011.939,155.85
2011-12-12,2011.947,156.7
2011-12-13,2011.95,153.71
2011-12-14,2011.953,152.81
2011-12-15,2011.956,152.99
2011-12-16,2011.958,154.15
2011-12-19,2011.967,152.23
2011-12-20,2011.969,156.75
2011-12-21,2011.972,157.77
2011-12-22,2011.975,160.23
2011-12-23,2011.978,162.92
2011-12-27,2011.989,163.97
2011-12-28,2011.992,160.53
2011-12-29,2011.994,163.25
2011-12-30,2011.997,161.89
2012-01-03,2012.006,164.79
2012-01-04,2012.008,163.06
2012-01-05,2012.011,164.93
2012-01-06,2012.014,165.34
2012-01-09,2012.022,166.23
