Date,t,Close
2011-10-03,2011.756,554.93
2011-10-04,2011.758,577.76
2011-10-05,2011.761,594.66
2011-10-06,2011.764,614.74
2011-10-07,2011.767,609.96
2011-10-10,2011.775,633.02
2011-10-11,2011.778,633.27
2011-10-12,2011.781,634.04
2011-10-13,2011.783,624.8
2011-10-14,2011.786,636.56
2011-10-17,2011.794,617.61
2011-10-18,2011.797,640.31
2011-10-19,2011.8,630.63
2011-10-20,2011.803,647.54
2011-10-21,2011.806,665.6
2011-10-24,2011.814,666.35
2011-10-25,2011.817,652.35
2011-10-26,2011.819,662.82
2011-10-27,2011.822,701.39
2011-10-28,2011.825,702.08
2011-10-31,2011.833,684.55
2011-11-01,2011.833,666.69
2011-11-02,2011.836,675.98
2011-11-03,2011.839,688.1
2011-11-04,2011.842,685.7
2011-11-07,2011.85,689.11
2011-11-08,2011.853,694.46
2011-11-09,2011.856,667.63
2011-11-10,2011.858,682.94
2011-11-11,2011.861,701.99
2011-11-14,2011.869,699.29
2011-11-15,2011.872,701.82
2011-11-16,2011.875,691.66
2011-11-17,2011.878,680.16
2011-11-18,2011.881,686.9
2011-11-21,2011.889,665.47
2011-11-22,2011.892,664.78
2011-11-23,2011.894,648.63
2011-11-25,2011.9,644.25
2011-11-28,2011.908,667.11
2011-11-29,2011.911,669.29
2011-11-30,2011.914,697.5
2011-12-01,2011.917,694.19
2011-12-02,2011.919,693.32
2011-12-05,2011.928,704.43
2011-12-06,2011.931,694.84
2011-12-07,2011.933,691.11
2011-12-08,2011.936,676.08
2011-12-09,2011.939,684.69
2011-12-12,2011.947,675.89
2011-12-13,2011.95,666.9
2011-12-14,2011.953,655.26
2011-12-15,2011.956,654.51
2011-12-16,2011.958,661.86
2011-12-19,2011.967,654.32
2011-12-20,2011.969,672.83
2011-12-21,2011.972,681.39
2011-12-22,2011.975,687.7
2011-12-23,2011.978,695.21
2011-12-27,2011.989,695.09
2011-12-28,2011.992,685.65
2011-12-29,2011.994,692.42
2011-12-30,2011.997,694.77
2012-01-03,2012.006,711.37
2012-01-04,2012.008,721.69
2012-01-05,2012.011,721.42
2012-01-06,2012.014,718.24
2012-01-09,2012.022,730.2
2012-01-10,2012.025,743.41
2012-01-11,2012.028,745.83
2012-01-12,2012.031,744.71
2012-01-13,2012.033,730.5
2012-01-17,2012.044,729.33
2012-01-18,2012.047,729.8
2012-01-19,2012.05,743.17
2012-01-20,2012.053,742.09
2012-01-23,2012.061,732.43
2012-01-24,2012.064,725.01
2012-01-25,2012.067,738.62
2012-01-26,2012.069,740.46
2012-01-27,2012.072,740.79
2012-01-30,2012.081,737.41
2012-01-31,2012.083,733.04
2012-02-01,2012.083,736.75
2012-02-02,2012.086,735.14
2012-02-03,2012.089,747.21
2012-02-06,2012.097,733.72
2012-02-07,2012.1,731.66
2012-02-08,2012.103,729.54
2012-02-09,2012.106,726.15
2012-02-10,2012.108,718.51
2012-02-13,2012.117,721.86
2012-02-14,2012.119,719.38
2012-02-15,2012.122,695.66
2012-02-16,2012.125,697.74
2012-02-17,2012.128,706.39
2012-02-21,2012.139,705.6
2012-02-22,2012.142,707.33
2012-02-23,2012.144,711.62
2012-02-24,2012.147,715.42
2012-02-27,2012.156,718.51
2012-02-28,2012.158,711.9
2012-02-29,2012.161,699.73
2012-03-01,2012.167,704.89
2012-03-02,2012.169,698.15
2012-03-05,2012.178,690.31
2012-03-06,2012.181,674.5
2012-03-07,2012.183,677.12
2012-03-08,2012.186,690.39
2012-03-09,2012.189,684.17
2012-03-12,2012.197,682.9
2012-03-13,2012.2,694.3
2012-03-14,2012.203,675.61
2012-03-15,2012.206,715.35
2012-03-16,2012.208,719.13
2012-03-19,2012.217,715.69
2012-03-20,2012.219,705.92
2012-03-21,2012.222,708.35
2012-03-22,2012.225,689.08
2012-03-23,2012.228,685.67
2012-03-26,2012.236,700.88
2012-03-27,2012.239,702.3
2012-03-28,2012.242,688.36
2012-03-29,2012.244,687.77
2012-03-30,2012.247,686.72
2012-04-02,2012.253,701.33
2012-04-03,2012.256,693.45
2012-04-04,2012.258,699.83
2012-04-05,2012.261,701.48
2012-04-09,2012.272,685.54
2012-04-10,2012.275,673.46
2012-04-11,2012.278,680.17
2012-04-12,2012.281,700.23
2012-04-13,2012.283,695.46
2012-04-16,2012.292,698.72
2012-04-17,2012.294,707.16
2012-04-18,2012.297,708.44
2012-04-19,2012.3,687.68
2012-04-20,2012.303,695.38
2012-04-23,2012.311,700.15
2012-04-24,2012.314,709.71
2012-04-25,2012.317,728.9
2012-04-26,2012.319,730.98
2012-04-27,2012.322,733.1
2012-04-30,2012.331,726.47
2012-05-01,2012.333,740.9
2012-05-02,2012.336,739.08
2012-05-03,2012.339,733.26
2012-05-04,2012.342,726.18
2012-05-07,2012.35,725.93
2012-05-08,2012.353,719.89
2012-05-09,2012.356,708.97
2012-05-10,2012.358,710.38
2012-05-11,2012.361,710.08
2012-05-14,2012.369,704.35
2012-05-15,2012.372,708.44
2012-05-16,2012.375,707.23
2012-05-17,2012.378,686.19
2012-05-18,2012.381,678.92
2012-05-21,2012.389,698.29
2012-05-22,2012.392,700.6
2012-05-23,2012.394,708.89
2012-05-24,2012.397,707.82
2012-05-25,2012.4,702.12
2012-05-29,2012.411,704.95
2012-05-30,2012.414,688.92
2012-05-31,2012.417,694.71
2012-06-01,2012.417,676.21
2012-06-04,2012.425,669.24
2012-06-05,2012.428,671.28
2012-06-06,2012.431,690.59
2012-06-07,2012.433,692.75
2012-06-08,2012.436,695.7
2012-06-11,2012.444,690.18
2012-06-12,2012.447,707.92
2012-06-13,2012.45,708.1
2012-06-14,2012.453,716.56
2012-06-15,2012.456,725.39
2012-06-18,2012.464,744.7
2012-06-19,2012.467,745.72
2012-06-20,2012.469,741.4
2012-06-21,2012.472,731.03
2012-06-22,2012.475,728.33
2012-06-25,2012.483,714.1
2012-06-26,2012.486,718.73
2012-06-27,2012.489,723.52
2012-06-28,2012.492,726.38
2012-06-29,2012.494,747.72
2012-07-02,2012.503,742.96
2012-07-03,2012.506,745.76
2012-07-05,2012.511,743.73
2012-07-06,2012.514,740.3
2012-07-09,2012.522,744.18
2012-07-10,2012.525,735.02
2012-07-11,2012.528,736.11
2012-07-12,2012.531,735.69
2012-07-13,2012.533,750.5
2012-07-16,2012.542,749.46
2012-07-17,2012.544,752.6
2012-07-18,2012.547,752.09
2012-07-19,2012.55,768.46
2012-07-20,2012.553,751.67
2012-07-23,2012.561,738.23
2012-07-24,2012.564,734.16
2012-07-25,2012.567,736.96
2012-07-26,2012.569,754.96
2012-07-27,2012.572,769.19
2012-07-30,2012.581,770.56
2012-07-31,2012.583,768.81
2012-08-01,2012.583,760.32
2012-08-02,2012.586,761.93
2012-08-03,2012.589,778.83
2012-08-06,2012.597,772.85
2012-08-07,2012.6,772.43
2012-08-08,2012.603,767.52
2012-08-09,2012.606,761.24
2012-08-10,2012.608,768.24
2012-08-13,2012.617,765.73
2012-08-14,2012.619,765.85
2012-08-15,2012.622,774.62
2012-08-16,2012.625,780.15
2012-08-17,2012.628,782.92
2012-08-20,2012.636,779.91
2012-08-21,2012.639,780.43
2012-08-22,2012.642,779.53
2012-08-23,2012.644,771.01
2012-08-24,2012.647,772.87
2012-08-27,2012.656,769.58
2012-08-28,2012.658,769.15
2012-08-29,2012.661,765.92
2012-08-30,2012.664,757.34
2012-08-31,2012.667,757.43
2012-09-04,2012.675,751.47
2012-09-05,2012.678,736.25
2012-09-06,2012.681,752.7
2012-09-07,2012.683,757.82
2012-09-10,2012.692,760.82
2012-09-11,2012.694,770.9
2012-09-12,2012.697,776.01
2012-09-13,2012.7,783.98
2012-09-14,2012.703,792
2012-09-17,2012.711,786.44
2012-09-18,2012.714,782.86
2012-09-19,2012.717,772.88
2012-09-20,2012.719,733.5
2012-09-21,2012.722,722.74
2012-09-24,2012.731,733.46
2012-09-25,2012.733,726.69
2012-09-26,2012.736,719.21
2012-09-27,2012.739,717.72
2012-09-28,2012.742,714.37
2012-10-01,2012.75,716.15
2012-10-02,2012.753,718.6
2012-10-03,2012.756,728.9
2012-10-04,2012.758,734.29
2012-10-05,2012.761,738.98
2012-10-08,2012.769,742.96
2012-10-09,2012.772,734.4
2012-10-10,2012.775,731.08
2012-10-11,2012.778,730.55
2012-10-12,2012.781,735.2
2012-10-15,2012.789,736.62
2012-10-16,2012.792,746.73
2012-10-17,2012.794,743.17
2012-10-18,2012.797,749.02
2012-10-19,2012.8,739.18
2012-10-22,2012.808,745.35
2012-10-23,2012.811,739.73
2012-10-24,2012.814,714.73
2012-10-25,2012.817,720.75
2012-10-26,2012.819,727.79
2012-10-31,2012.833,721.88
2012-11-01,2012.833,735.72
2012-11-02,2012.836,726.08
2012-11-05,2012.844,725.3
2012-11-06,2012.847,731.14
2012-11-07,2012.85,713.7
2012-11-08,2012.853,706.58
2012-11-09,2012.856,700.03
2012-11-12,2012.864,706.02
2012-11-13,2012.867,705.06
2012-11-14,2012.869,687.08
2012-11-15,2012.872,686.03
2012-11-16,2012.875,680.03
2012-11-19,2012.883,696.73
2012-11-20,2012.886,694.01
2012-11-21,2012.889,693.19
2012-11-23,2012.894,704.15
2012-11-26,2012.903,707.18
2012-11-27,2012.906,710.1
2012-11-28,2012.908,712.01
2012-11-29,2012.911,715.53
2012-11-30,2012.914,713.38
2012-12-03,2012.922,705.05
2012-12-04,2012.925,710.46
2012-12-05,2012.928,719.57
2012-12-06,2012.931,720.56
2012-12-07,2012.933,721.18
2012-12-10,2012.942,727.04
2012-12-11,2012.944,717.61
2012-12-12,2012.947,721.77
2012-12-13,2012.95,721.82
2012-12-14,2012.953,720.94
2012-12-17,2012.961,727.44
2012-12-18,2012.964,736.91
2012-12-19,2012.967,729.7
2012-12-20,2012.969,733.5
2012-12-21,2012.972,729.87
2012-12-24,2012.981,727.19
2012-12-26,2012.986,722.42
2012-12-27,2012.989,720.63
2012-12-28,2012.992,715.11
2012-12-31,2013,726.69
2013-01-02,2013.003,742.84
2013-01-03,2013.006,745.3
2013-01-04,2013.008,761.88
2013-01-07,2013.017,754.86
2013-01-08,2013.019,752.98
2013-01-09,2013.022,757.42
2013-01-10,2013.025,757.92
2013-01-11,2013.028,756.05
2013-01-14,2013.036,760.08
2013-01-15,2013.039,762.78
2013-01-16,2013.042,762.78
2013-01-17,2013.044,765.54
2013-01-18,2013.047,770.26
2013-01-22,2013.058,774.31
2013-01-23,2013.061,789.93
2013-01-24,2013.064,791.11
2013-01-25,2013.067,795.13
2013-01-28,2013.075,789.78
2013-01-29,2013.078,799.63
2013-01-30,2013.081,780.02
2013-01-31,2013.083,780.22
2013-02-01,2013.083,789.71
2013-02-04,2013.092,778.59
2013-02-05,2013.094,783.04
2013-02-06,2013.097,783.53
2013-02-07,2013.1,779.53
2013-02-08,2013.103,785.9
2013-02-11,2013.111,795.62
