Date,t,Close
2011-08-22,2011.642,36.71
2011-08-23,2011.644,38.36
2011-08-24,2011.647,39.66
2011-08-25,2011.65,39.1
2011-08-26,2011.653,39.69
2011-08-29,2011.661,41.72
2011-08-30,2011.664,41.4
2011-08-31,2011.667,42.07
2011-09-01,2011.667,40.69
2011-09-02,2011.669,38.93
2011-09-06,2011.681,38.66
2011-09-07,2011.683,41.44
2011-09-08,2011.686,40.19
2011-09-09,2011.689,38.77
2011-09-12,2011.697,39.72
2011-09-13,2011.7,40.26
2011-09-14,2011.703,40.99
2011-09-15,2011.706,42.03
2011-09-16,2011.708,42.02
2011-09-19,2011.717,40.7
2011-09-20,2011.719,40.78
2011-09-21,2011.722,38.49
2011-09-22,2011.725,37.62
2011-09-23,2011.728,37.98
2011-09-26,2011.736,40.26
2011-09-27,2011.739,40.14
2011-09-28,2011.742,38.82
2011-09-29,2011.744,40.3
2011-09-30,2011.747,38.78
2011-10-03,2011.756,37.3
2011-10-04,2011.758,38.53
2011-10-05,2011.761,38.9
2011-10-06,2011.764,40.9
2011-10-07,2011.767,39.17
2011-10-10,2011.775,41.08
2011-10-11,2011.778,41.2
2011-10-12,2011.781,42.65
2011-10-13,2011.783,41.89
2011-10-14,2011.786,41.89
2011-10-17,2011.794,40.02
2011-10-18,2011.797,42.32
2011-10-19,2011.8,41.27
2011-10-20,2011.803,42.38
2011-10-21,2011.806,42.88
2011-10-24,2011.814,44.16
2011-10-25,2011.817,42.59
2011-10-26,2011.819,43.57
2011-10-27,2011.822,45.66
2011-10-28,2011.825,45.16
2011-10-31,2011.833,43.66
2011-11-01,2011.833,41.7
2011-11-02,2011.836,43.11
2011-11-03,2011.839,43.84
2011-11-04,2011.842,43.32
2011-11-07,2011.85,43.93
2011-11-08,2011.853,44.96
2011-11-09,2011.856,42.39
2011-11-10,2011.858,43.04
2011-11-11,2011.861,43.97
2011-11-14,2011.869,42.89
2011-11-15,2011.872,43.28
2011-11-16,2011.875,42.76
2011-11-17,2011.878,42.16
2011-11-18,2011.881,42.56
2011-11-21,2011.889,41.29
2011-11-22,2011.892,40.71
2011-11-23,2011.894,39.3
2011-11-25,2011.9,39.47
2011-11-28,2011.908,40.48
2011-11-29,2011.911,40.48
2011-11-30,2011.914,43.4
2011-12-01,2011.917,43.01
2011-12-02,2011.919,43.59
2011-12-05,2011.928,44.67
2011-12-06,2011.931,43.92
2011-12-07,2011.933,44.36
2011-12-08,2011.936,42.85
2011-12-09,2011.939,43.97
2011-12-12,2011.947,43.01
2011-12-13,2011.95,42.39
2011-12-14,2011.953,42.38
2011-12-15,2011.956,42.67
2011-12-16,2011.958,43.17
2011-12-19,2011.967,42.3
2011-12-20,2011.969,44.13
2011-12-21,2011.972,44.78
2011-12-22,2011.975,45.98
2011-12-23,2011.978,46.2
2011-12-27,2011.989,45.92
2011-12-28,2011.992,45.21
2011-12-29,2011.994,46.08
2011-12-30,2011.997,45.62
2012-01-03,2012.006,46.79
2012-01-04,2012.008,46.96
2012-01-05,2012.011,47.93
2012-01-06,2012.014,47.83
2012-01-09,2012.022,48.3
2012-01-10,2012.025,49.21
2012-01-11,2012.028,49.5
2012-01-12,2012.031,49.74
2012-01-13,2012.033,49.85
2012-01-17,2012.044,49.45
2012-01-18,2012.047,49.46
2012-01-19,2012.05,48.95
2012-01-20,2012.053,49.29
2012-01-23,2012.061,49.37
2012-01-24,2012.064,49.37
2012-01-25,2012.067,49.69
2012-01-26,2012.069,48.28
2012-01-27,2012.072,48.58
2012-01-30,2012.081,48.32
2012-01-31,2012.083,48.33
2012-02-01,2012.083,49.14
2012-02-02,2012.086,49.42
2012-02-03,2012.089,51.22
2012-02-06,2012.097,50.57
2012-02-07,2012.1,50.79
2012-02-08,2012.103,50.93
2012-02-09,2012.106,50.89
2012-02-10,2012.108,50.28
2012-02-13,2012.117,50.8
2012-02-14,2012.119,50.27
2012-02-15,2012.122,50.31
2012-02-16,2012.125,51.42
2012-02-17,2012.128,51.96
2012-02-21,2012.139,51.93
2012-02-22,2012.142,50.64
2012-02-23,2012.144,51.12
2012-02-24,2012.147,50.73
2012-02-27,2012.156,51.03
2012-02-28,2012.158,51.16
2012-02-29,2012.161,50.81
2012-03-01,2012.167,51.11
2012-03-02,2012.169,50.86
2012-03-05,2012.178,50.04
2012-03-06,2012.181,48.72
2012-03-07,2012.183,49.58
2012-03-08,2012.186,50.23
2012-03-09,2012.189,50.85
2012-03-12,2012.197,50.39
2012-03-13,2012.2,52.34
2012-03-14,2012.203,53.04
2012-03-15,2012.206,54.39
2012-03-16,2012.208,54.39
2012-03-19,2012.217,54.79
2012-03-20,2012.219,54.79
2012-03-21,2012.222,54.49
2012-03-22,2012.225,53.6
2012-03-23,2012.228,53.93
2012-03-26,2012.236,54.63
2012-03-27,2012.239,54
2012-03-28,2012.242,54.92
2012-03-29,2012.244,54.46
2012-03-30,2012.247,54.64
2012-04-02,2012.253,54.9
2012-04-03,2012.256,55.11
2012-04-04,2012.258,54.41
2012-04-05,2012.261,54.32
