Date,t,Close
2011-10-07,2011.767,74.32
2011-10-10,2011.775,78.78
2011-10-11,2011.778,77.86
2011-10-12,2011.781,79.07
2011-10-13,2011.783,78.61
2011-10-14,2011.786,80.99
2011-10-17,2011.794,78.97
2011-10-18,2011.797,81.49
2011-10-19,2011.8,80.08
2011-10-20,2011.803,81.39
2011-10-21,2011.806,83.38
2011-10-24,2011.814,85.86
2011-10-25,2011.817,84.21
2011-10-26,2011.819,84.37
2011-10-27,2011.822,87.81
2011-10-28,2011.825,88.28
2011-10-31,2011.833,87.96
2011-11-01,2011.833,84.52
2011-11-02,2011.836,85.79
2011-11-03,2011.839,87.61
2011-11-04,2011.842,85.51
2011-11-07,2011.85,86.45
2011-11-08,2011.853,88.98
2011-11-09,2011.856,84.26
2011-11-10,2011.858,82.86
2011-11-11,2011.861,84.95
2011-11-14,2011.869,82.64
2011-11-15,2011.872,83.48
2011-11-16,2011.875,81.81
2011-11-17,2011.878,80.05
2011-11-18,2011.881,80.44
2011-11-21,2011.889,77.8
2011-11-22,2011.892,77.14
2011-11-23,2011.894,74.56
2011-11-25,2011.9,75.13
2011-11-28,2011.908,76.52
2011-11-29,2011.911,75.52
2011-11-30,2011.914,79.08
2011-12-01,2011.917,78.71
2011-12-02,2011.919,78.6
2011-12-05,2011.928,79.09
2011-12-06,2011.931,78.9
2011-12-07,2011.933,79.93
2011-12-08,2011.936,77.7
2011-12-09,2011.939,79.06
2011-12-12,2011.947,76.84
2011-12-13,2011.95,76.32
2011-12-14,2011.953,76.89
2011-12-15,2011.956,78.07
2011-12-16,2011.958,78.85
2011-12-19,2011.967,77.64
2011-12-20,2011.969,81.27
2011-12-21,2011.972,80.76
2011-12-22,2011.975,81.72
2011-12-23,2011.978,81.89
2011-12-27,2011.989,81.72
2011-12-28,2011.992,80.52
2011-12-29,2011.994,81.7
2011-12-30,2011.997,81.64
2012-01-03,2012.006,82.36
2012-01-04,2012.008,80.48
2012-01-05,2012.011,81.6
2012-01-06,2012.014,81.72
2012-01-09,2012.022,82.06
2012-01-10,2012.025,83.39
2012-01-11,2012.028,84.3
2012-01-12,2012.031,83.73
2012-01-13,2012.033,84.27
2012-01-17,2012.044,83.83
2012-01-18,2012.047,85.02
2012-01-19,2012.05,85.06
2012-01-20,2012.053,85.49
2012-01-23,2012.061,85.7
2012-01-24,2012.064,86.58
2012-01-25,2012.067,87.14
2012-01-26,2012.069,86.18
2012-01-27,2012.072,86.06
2012-01-30,2012.081,84.77
2012-01-31,2012.083,85.91
2012-02-01,2012.083,87.41
2012-02-02,2012.086,88.78
2012-02-03,2012.089,91.36
2012-02-06,2012.097,91.35
2012-02-07,2012.1,91.1
2012-02-08,2012.103,91.06
2012-02-09,2012.106,89.49
2012-02-10,2012.108,88.8
