Date,t,Close
2011-10-03,2011.756,20.12
2011-10-04,2011.758,20.93
2011-10-05,2011.761,20.63
2011-10-06,2011.764,21.76
2011-10-07,2011.767,20.91
2011-10-10,2011.775,21.85
2011-10-11,2011.778,21.74
2011-10-12,2011.781,22.12
2011-10-13,2011.783,21.97
2011-10-14,2011.786,22.92
2011-10-17,2011.794,22.54
2011-10-18,2011.797,23.99
2011-10-19,2011.8,23.31
2011-10-20,2011.803,23.42
2011-10-21,2011.806,24.54
2011-10-24,2011.814,25.44
2011-10-25,2011.817,24.36
2011-10-26,2011.819,24.63
2011-10-27,2011.822,26.34
2011-10-28,2011.825,26.61
2011-10-31,2011.833,26.46
2011-11-01,2011.833,24.7
2011-11-02,2011.836,25.13
2011-11-03,2011.839,26
2011-11-04,2011.842,26.02
2011-11-07,2011.85,26.14
2011-11-08,2011.853,26.42
2011-11-09,2011.856,24.58
2011-11-10,2011.858,24.22
2011-11-11,2011.861,25.33
2011-11-14,2011.869,24.86
2011-11-15,2011.872,25.01
2011-11-16,2011.875,24.82
2011-11-17,2011.878,24.4
2011-11-18,2011.881,24.48
2011-11-21,2011.889,23.3
2011-11-22,2011.892,22.83
2011-11-23,2011.894,22.15
2011-11-25,2011.9,22.41
2011-11-28,2011.908,23.26
2011-11-29,2011.911,23.17
2011-11-30,2011.914,24.73
2011-12-01,2011.917,24.47
2011-12-02,2011.919,24.71
2011-12-05,2011.928,25.34
2011-12-06,2011.931,25.22
2011-12-07,2011.933,25.64
2011-12-08,2011.936,24.84
2011-12-09,2011.939,25.51
2011-12-12,2011.947,24.5
2011-12-13,2011.95,24.09
2011-12-14,2011.953,23.98
2011-12-15,2011.956,24.22
2011-12-16,2011.958,24.46
2011-12-19,2011.967,23.87
2011-12-20,2011.969,25.11
2011-12-21,2011.972,25.12
2011-12-22,2011.975,25.59
2011-12-23,2011.978,25.73
2011-12-27,2011.989,25.78
2011-12-28,2011.992,25.31
2011-12-29,2011.994,25.4
2011-12-30,2011.997,25.42
2012-01-03,2012.006,25.99
2012-01-04,2012.008,25.34
2012-01-05,2012.011,25.99
2012-01-06,2012.014,25.59
2012-01-09,2012.022,25.36
2012-01-10,2012.025,26.06
2012-01-11,2012.028,26.33
2012-01-12,2012.031,26.42
2012-01-13,2012.033,26.29
2012-01-17,2012.044,27.17
2012-01-18,2012.047,27.32
2012-01-19,2012.05,27.82
2012-01-20,2012.053,28.25
2012-01-23,2012.061,28.28
2012-01-24,2012.064,28.61
2012-01-25,2012.067,28.78
2012-01-26,2012.069,28.94
2012-01-27,2012.072,28.91
2012-01-30,2012.081,28.09
2012-01-31,2012.083,28.19
2012-02-01,2012.083,28.93
2012-02-02,2012.086,29.17
2012-02-03,2012.089,29.48
2012-02-06,2012.097,29.32
2012-02-07,2012.1,29.59
2012-02-08,2012.103,30.38
2012-02-09,2012.106,30.33
2012-02-10,2012.108,29.39
2012-02-13,2012.117,30
2012-02-14,2012.119,29.68
2012-02-15,2012.122,29.57
2012-02-16,2012.125,30.1
2012-02-17,2012.128,30.22
2012-02-21,2012.139,29.92
2012-02-22,2012.142,29.26
2012-02-23,2012.144,29.92
2012-02-24,2012.147,30.12
2012-02-27,2012.156,30.13
2012-02-28,2012.158,29.86
2012-02-29,2012.161,29.92
2012-03-01,2012.167,30.05
2012-03-02,2012.169,29.99
2012-03-05,2012.178,30.64
2012-03-06,2012.181,29.95
2012-03-07,2012.183,30.41
2012-03-08,2012.186,29.86
2012-03-09,2012.189,30.35
2012-03-12,2012.197,30.22
2012-03-13,2012.2,31.04
2012-03-14,2012.203,30.96
2012-03-15,2012.206,31.11
2012-03-16,2012.208,31.34
2012-03-19,2012.217,31.54
2012-03-20,2012.219,31.36
2012-03-21,2012.222,31.49
2012-03-22,2012.225,31.14
2012-03-23,2012.228,31.29
2012-03-26,2012.236,31.74
2012-03-27,2012.239,31.51
2012-03-28,2012.242,31.16
2012-03-29,2012.244,31.39
2012-03-30,2012.247,32.02
2012-04-02,2012.253,32.22
2012-04-03,2012.256,32.14
2012-04-04,2012.258,31.75
2012-04-05,2012.261,31.54
2012-04-09,2012.272,31.03
2012-04-10,2012.275,29.47
2012-04-11,2012.278,29.67
2012-04-12,2012.281,30.12
2012-04-13,2012.283,29.76
2012-04-16,2012.292,30.23
2012-04-17,2012.294,30.83
2012-04-18,2012.297,30.38
2012-04-19,2012.3,30.54
2012-04-20,2012.303,30.92
2012-04-23,2012.311,29.78
2012-04-24,2012.314,30.13
2012-04-25,2012.317,30.83
2012-04-26,2012.319,31.13
2012-04-27,2012.322,31.47
2012-04-30,2012.331,31.81
2012-05-01,2012.333,31.95
2012-05-02,2012.336,31.91
2012-05-03,2012.339,31.87
2012-05-04,2012.342,31.15
2012-05-07,2012.35,31.5
2012-05-08,2012.353,31.14
2012-05-09,2012.356,30.75
2012-05-10,2012.358,30.76
2012-05-11,2012.361,30.78
2012-05-14,2012.369,30.01
2012-05-15,2012.372,29.76
2012-05-16,2012.375,29.42
2012-05-17,2012.378,28.48
2012-05-18,2012.381,27.5
2012-05-21,2012.389,28.62
2012-05-22,2012.392,28.27
2012-05-23,2012.394,28.41
2012-05-24,2012.397,28.25
2012-05-25,2012.4,28
2012-05-29,2012.411,28.73
2012-05-30,2012.414,28.26
2012-05-31,2012.417,28.43
2012-06-01,2012.417,27.17
2012-06-04,2012.425,27.04
2012-06-05,2012.428,27.69
2012-06-06,2012.431,28.45
2012-06-07,2012.433,28.2
2012-06-08,2012.436,28.33
2012-06-11,2012.444,27.77
2012-06-12,2012.447,28.46
2012-06-13,2012.45,28.22
2012-06-14,2012.453,28.23
2012-06-15,2012.456,28.22
2012-06-18,2012.464,28.31
2012-06-19,2012.467,28.7
2012-06-20,2012.469,28.86
2012-06-21,2012.472,28.09
2012-06-22,2012.475,28.04
2012-06-25,2012.483,27.47
2012-06-26,2012.486,27.7
2012-06-27,2012.489,27.7
2012-06-28,2012.492,28.06
2012-06-29,2012.494,29.54
2012-07-02,2012.503,29.64
2012-07-03,2012.506,29.79
2012-07-05,2012.511,29.42
2012-07-06,2012.514,29.41
2012-07-09,2012.522,29.07
2012-07-10,2012.525,28.76
2012-07-11,2012.528,29
2012-07-12,2012.531,28.87
2012-07-13,2012.533,29.15
2012-07-16,2012.542,29.06
2012-07-17,2012.544,29.38
2012-07-18,2012.547,29.38
2012-07-19,2012.55,29.05
2012-07-20,2012.553,28.54
2012-07-23,2012.561,27.94
2012-07-24,2012.564,27.87
2012-07-25,2012.567,28.16
2012-07-26,2012.569,28.67
2012-07-27,2012.572,28.94
2012-07-30,2012.581,28.68
2012-07-31,2012.583,28.74
2012-08-01,2012.583,28.79
2012-08-02,2012.586,28.76
2012-08-03,2012.589,29.92
2012-08-06,2012.597,30.16
2012-08-07,2012.6,30.01
2012-08-08,2012.603,29.73
2012-08-09,2012.606,29.56
2012-08-10,2012.608,29.51
2012-08-13,2012.617,29.3
2012-08-14,2012.619,29.5
2012-08-15,2012.622,29.61
2012-08-16,2012.625,29.99
2012-08-17,2012.628,30.05
2012-08-20,2012.636,29.99
2012-08-21,2012.639,29.93
2012-08-22,2012.642,29.54
2012-08-23,2012.644,29.26
2012-08-24,2012.647,29.72
2012-08-27,2012.656,29.99
2012-08-28,2012.658,30.14
2012-08-29,2012.661,30.45
2012-08-30,2012.664,30.29
2012-08-31,2012.667,30.38
2012-09-04,2012.675,30.63
2012-09-05,2012.678,30.74
2012-09-06,2012.681,31.42
2012-09-07,2012.683,31.76
2012-09-10,2012.692,31.76
2012-09-11,2012.694,32.16
2012-09-12,2012.697,32.06
2012-09-13,2012.7,32.81
2012-09-14,2012.703,32.79
2012-09-17,2012.711,32.6
2012-09-18,2012.714,32.2
2012-09-19,2012.717,31.78
2012-09-20,2012.719,31.39
2012-09-21,2012.722,31.1
2012-09-24,2012.731,30.98
2012-09-25,2012.733,30.46
2012-09-26,2012.736,30.18
2012-09-27,2012.739,30.9
2012-09-28,2012.742,31.14
2012-10-01,2012.75,30.74
2012-10-02,2012.753,30.97
2012-10-03,2012.756,30.95
2012-10-04,2012.758,31.08
2012-10-05,2012.761,31.02
2012-10-08,2012.769,30.97
2012-10-09,2012.772,30.76
2012-10-10,2012.775,30.96
2012-10-11,2012.778,30.96
2012-10-12,2012.781,30.97
2012-10-15,2012.789,31.5
2012-10-16,2012.792,31.98
2012-10-17,2012.794,32.13
2012-10-18,2012.797,32.34
2012-10-19,2012.8,31.62
2012-10-22,2012.808,31.26
2012-10-23,2012.811,30.91
2012-10-24,2012.814,30.71
2012-10-25,2012.817,30.47
2012-10-26,2012.819,30.14
2012-10-31,2012.833,30.48
2012-11-01,2012.833,30.46
2012-11-02,2012.836,30.55
2012-11-05,2012.844,30.38
2012-11-06,2012.847,30.58
2012-11-07,2012.85,30.36
2012-11-08,2012.853,29.86
2012-11-09,2012.856,29.68
2012-11-12,2012.864,29.67
2012-11-13,2012.867,29.66
2012-11-14,2012.869,29.2
2012-11-15,2012.872,28.98
2012-11-16,2012.875,29.05
2012-11-19,2012.883,29.64
2012-11-20,2012.886,29.69
2012-11-21,2012.889,30.14
2012-11-23,2012.894,30.3
2012-11-26,2012.903,30.49
2012-11-27,2012.906,30.18
2012-11-28,2012.908,30.1
2012-11-29,2012.911,30.24
2012-11-30,2012.914,30.17
2012-12-03,2012.922,30.19
2012-12-04,2012.925,30.46
2012-12-05,2012.928,30.49
2012-12-06,2012.931,31.03
2012-12-07,2012.933,31.32
2012-12-10,2012.942,31.27
2012-12-11,2012.944,31.32
2012-12-12,2012.947,31.35
2012-12-13,2012.95,31.13
2012-12-14,2012.953,31.2
2012-12-17,2012.961,31.33
2012-12-18,2012.964,31.85
2012-12-19,2012.967,31.68
2012-12-20,2012.969,32.52
2012-12-21,2012.972,32.41
2012-12-24,2012.981,32.46
2012-12-26,2012.986,32.06
2012-12-27,2012.989,32.25
2012-12-28,2012.992,31.8
2012-12-31,2013,32.44
2013-01-02,2013.003,33.2
2013-01-03,2013.006,33.25
2013-01-04,2013.008,33.52
2013-01-07,2013.017,33.74
2013-01-08,2013.019,33.64
2013-01-09,2013.022,33.98
2013-01-10,2013.025,33.82
2013-01-11,2013.028,34.03
2013-01-14,2013.036,34.05
2013-01-15,2013.039,34.2
2013-01-16,2013.042,34.18
2013-01-17,2013.044,34.42
2013-01-18,2013.047,35.11
2013-01-22,2013.058,34.95
2013-01-23,2013.061,35.24
2013-01-24,2013.064,35.72
2013-01-25,2013.067,36.13
2013-01-28,2013.075,36.38
2013-01-29,2013.078,36.22
2013-01-30,2013.081,35.6
2013-01-31,2013.083,35.47
2013-02-01,2013.083,35.98
2013-02-04,2013.092,35.79
2013-02-05,2013.094,35.81
2013-02-06,2013.097,35.48
2013-02-07,2013.1,35.04
2013-02-08,2013.103,35.09
2013-02-11,2013.111,34.96
2013-02-12,2013.114,35.2
2013-02-13,2013.117,35.09
2013-02-14,2013.119,34.86
2013-02-15,2013.122,34.53
2013-02-19,2013.133,35.26
2013-02-20,2013.136,34.83
2013-02-21,2013.139,34.47
2013-02-22,2013.142,35.04
2013-02-25,2013.15,34.06
2013-02-26,2013.153,34.11
2013-02-27,2013.156,34.36
2013-02-28,2013.158,34.62
2013-03-01,2013.167,34.93
2013-03-04,2013.175,35.39
2013-03-05,2013.178,35.58
2013-03-06,2013.181,35.42
2013-03-07,2013.183,35.07
2013-03-08,2013.186,34.86
2013-03-11,2013.194,34.78
2013-03-12,2013.197,34.5
2013-03-13,2013.2,34.69
2013-03-14,2013.203,34.6
2013-03-15,2013.206,34.48
2013-03-18,2013.214,34.27
2013-03-19,2013.217,34.06
2013-03-20,2013.219,34.43
2013-03-21,2013.222,34.24
2013-03-22,2013.225,34.57
2013-03-25,2013.233,34.67
2013-03-26,2013.236,35.68
2013-03-27,2013.239,35.43
2013-03-28,2013.242,35.54
2013-04-01,2013.25,35.49
2013-04-02,2013.253,35.68
2013-04-03,2013.256,35.24
2013-04-04,2013.258,35.26
2013-04-05,2013.261,34.98
2013-04-08,2013.269,35.6
2013-04-09,2013.272,35.42
2013-04-10,2013.275,35.79
2013-04-11,2013.278,36.57
2013-04-12,2013.281,36.54
2013-04-15,2013.289,36.07
2013-04-16,2013.292,36.81
2013-04-17,2013.294,36.46
2013-04-18,2013.297,36.11
2013-04-19,2013.3,36.97
2013-04-22,2013.308,36.9
2013-04-23,2013.311,37.28
2013-04-24,2013.314,37.94
2013-04-25,2013.317,36.85
2013-04-26,2013.319,36.98
2013-04-29,2013.328,37.09
2013-04-30,2013.331,37.29
2013-05-01,2013.333,37.26
2013-05-02,2013.336,37.67
2013-05-03,2013.339,37.99
2013-05-06,2013.347,38.1
2013-05-07,2013.35,38.21
2013-05-08,2013.353,38.32
2013-05-09,2013.356,38.15
2013-05-10,2013.358,38.51
2013-05-13,2013.367,38.44
2013-05-14,2013.369,38.55
2013-05-15,2013.372,38.97
2013-05-16,2013.375,39
2013-05-17,2013.378,39
2013-05-20,2013.386,39.27
2013-05-21,2013.389,39.8
2013-05-22,2013.392,38.67
2013-05-23,2013.394,37.67
2013-05-24,2013.397,37.74
2013-05-28,2013.408,37.73
2013-05-29,2013.411,37.21
2013-05-30,2013.414,36.54
2013-05-31,2013.417,35.82
2013-06-03,2013.422,35.93
2013-06-04,2013.425,35.04
2013-06-05,2013.428,34.54
2013-06-06,2013.431,34.9
2013-06-07,2013.433,34.7
2013-06-10,2013.442,33.91
2013-06-11,2013.444,33.3
2013-06-12,2013.447,33
2013-06-13,2013.45,34.02
2013-06-14,2013.453,34.21
2013-06-17,2013.461,34.19
2013-06-18,2013.464,34.08
2013-06-19,2013.467,32.86
2013-06-20,2013.469,31.65
2013-06-21,2013.472,32.32
2013-06-24,2013.481,31.86
2013-06-25,2013.483,32.82
2013-06-26,2013.486,33.01
2013-06-27,2013.489,33.8
2013-06-28,2013.492,33.53
2013-07-01,2013.5,33.4
2013-07-02,2013.503,33.77
2013-07-03,2013.506,33.3
2013-07-05,2013.511,33.34
2013-07-08,2013.519,33.42
2013-07-09,2013.522,34.06
2013-07-10,2013.525,34.01
2013-07-11,2013.528,34.88
2013-07-12,2013.531,34.63
2013-07-15,2013.539,34.91
2013-07-16,2013.542,34.94
2013-07-17,2013.544,35.53
2013-07-18,2013.547,35.95
2013-07-19,2013.55,35.88
2013-07-22,2013.558,35.95
2013-07-23,2013.561,35.8
2013-07-24,2013.564,35.43
2013-07-25,2013.567,35.12
2013-07-26,2013.569,35.25
2013-07-29,2013.578,34.78
2013-07-30,2013.581,34.58
2013-07-31,2013.583,34.1
2013-08-01,2013.583,34.1
2013-08-02,2013.586,33.91
2013-08-05,2013.594,33.95
2013-08-06,2013.597,34.1
2013-08-07,2013.6,33.87
2013-08-08,2013.603,33.58
2013-08-09,2013.606,34.06
2013-08-12,2013.614,33.5
2013-08-13,2013.617,33.02
2013-08-14,2013.619,32.86
2013-08-15,2013.622,32.14
2013-08-16,2013.625,31.18
2013-08-19,2013.633,30.92
2013-08-20,2013.636,31.39
2013-08-21,2013.639,31.5
2013-08-22,2013.642,31.49
2013-08-23,2013.644,32.07
2013-08-26,2013.653,31.9
2013-08-27,2013.656,31.84
2013-08-28,2013.658,31.7
2013-08-29,2013.661,31.59
2013-08-30,2013.664,31.33
2013-09-03,2013.672,31.38
2013-09-04,2013.675,31.64
2013-09-05,2013.678,31.72
2013-09-06,2013.681,32.49
2013-09-09,2013.689,33.42
2013-09-10,2013.692,33.15
2013-09-11,2013.694,33.27
2013-09-12,2013.697,32.94
2013-09-13,2013.7,32.86
2013-09-16,2013.708,33.18
2013-09-17,2013.711,33.38
2013-09-18,2013.714,34.81
2013-09-19,2013.717,34.57
2013-09-20,2013.719,33.86
2013-09-23,2013.728,33.91
2013-09-24,2013.731,33.65
2013-09-25,2013.733,33.77
2013-09-26,2013.736,34.22
2013-09-27,2013.739,34.05
2013-09-30,2013.747,33.44
2013-10-01,2013.75,34.02
2013-10-02,2013.753,34.45
2013-10-03,2013.756,33.98
