Date,t,Close
2011-10-03,2011.756,115.03
2011-10-04,2011.758,117.51
2011-10-05,2011.761,116.04
2011-10-06,2011.764,119.08
2011-10-07,2011.767,116.05
2011-10-10,2011.775,122.92
2011-10-11,2011.778,120.66
2011-10-12,2011.781,122.1
2011-10-13,2011.783,122.07
2011-10-14,2011.786,125.38
2011-10-17,2011.794,122.96
2011-10-18,2011.797,125.79
2011-10-19,2011.8,122.3
2011-10-20,2011.803,123.36
2011-10-21,2011.806,126.25
2011-10-24,2011.814,128.97
2011-10-25,2011.817,126.26
2011-10-26,2011.819,127.78
2011-10-27,2011.822,134.63
2011-10-28,2011.825,135.57
2011-10-31,2011.833,134.41
2011-11-01,2011.833,131.95
2011-11-02,2011.836,133.51
2011-11-03,2011.839,134.97
2011-11-04,2011.842,134.17
2011-11-07,2011.85,134.29
2011-11-08,2011.853,136.39
2011-11-09,2011.856,130.08
2011-11-10,2011.858,129.52
2011-11-11,2011.861,133.19
2011-11-14,2011.869,129.81
2011-11-15,2011.872,130.88
2011-11-16,2011.875,129.39
2011-11-17,2011.878,127.32
2011-11-18,2011.881,129.17
2011-11-21,2011.889,125.6
2011-11-22,2011.892,125.1
2011-11-23,2011.894,120.6
2011-11-25,2011.9,121.05
2011-11-28,2011.908,122.6
2011-11-29,2011.911,122.15
2011-11-30,2011.914,129.51
2011-12-01,2011.917,127.05
2011-12-02,2011.919,127.27
2011-12-05,2011.928,129.31
2011-12-06,2011.931,128.87
2011-12-07,2011.933,130.17
2011-12-08,2011.936,127.35
2011-12-09,2011.939,129.66
2011-12-12,2011.947,126.75
2011-12-13,2011.95,125.65
2011-12-14,2011.953,127.16
2011-12-15,2011.956,129.05
2011-12-16,2011.958,130.3
2011-12-19,2011.967,129.14
2011-12-20,2011.969,133.6
2011-12-21,2011.972,132.93
2011-12-22,2011.975,135.82
2011-12-23,2011.978,137.15
2011-12-27,2011.989,137.94
2011-12-28,2011.992,134.52
2011-12-29,2011.994,135.82
2011-12-30,2011.997,135.24
2012-01-03,2012.006,137.57
2012-01-04,2012.008,134.87
2012-01-05,2012.011,135.1
2012-01-06,2012.014,134.72
2012-01-09,2012.022,133.94
2012-01-10,2012.025,135.21
2012-01-11,2012.028,135.63
2012-01-12,2012.031,133.35
2012-01-13,2012.033,132.37
2012-01-17,2012.044,134.02
2012-01-18,2012.047,134.67
2012-01-19,2012.05,135.46
2012-01-20,2012.053,135.59
2012-01-23,2012.061,136.76
2012-01-24,2012.064,138.43
2012-01-25,2012.067,140.87
2012-01-26,2012.069,140.78
2012-01-27,2012.072,141.54
2012-01-30,2012.081,139.24
2012-01-31,2012.083,141.28
2012-02-01,2012.083,144.12
2012-02-02,2012.086,144.21
2012-02-03,2012.089,146.06
2012-02-06,2012.097,145.63
2012-02-07,2012.1,144.34
2012-02-08,2012.103,143.93
