Date,t,Close
2011-10-03,2011.756,106.33
2011-10-04,2011.758,112.17
2011-10-05,2011.761,110.91
2011-10-06,2011.764,114.4
2011-10-07,2011.767,111.28
2011-10-10,2011.775,116.61
2011-10-11,2011.778,113.5
2011-10-12,2011.781,115.55
2011-10-13,2011.783,114.79
2011-10-14,2011.786,118.01
2011-10-17,2011.794,113.82
2011-10-18,2011.797,117.62
2011-10-19,2011.8,116.87
2011-10-20,2011.803,116.98
2011-10-21,2011.806,121.15
2011-10-24,2011.814,123
2011-10-25,2011.817,121.97
2011-10-26,2011.819,123.26
2011-10-27,2011.822,129.9
2011-10-28,2011.825,126.78
2011-10-31,2011.833,126.75
2011-11-01,2011.833,120.16
2011-11-02,2011.836,123.94
2011-11-03,2011.839,124.68
2011-11-04,2011.842,124.42
2011-11-07,2011.85,125.01
2011-11-08,2011.853,126.12
2011-11-09,2011.856,120.22
2011-11-10,2011.858,121.21
2011-11-11,2011.861,125.03
2011-11-14,2011.869,122.24
2011-11-15,2011.872,123.79
2011-11-16,2011.875,120.51
2011-11-17,2011.878,116.41
2011-11-18,2011.881,116.96
2011-11-21,2011.889,115.05
2011-11-22,2011.892,114.31
2011-11-23,2011.894,111.77
2011-11-25,2011.9,112.3
2011-11-28,2011.908,113.23
2011-11-29,2011.911,112.74
2011-11-30,2011.914,118.23
2011-12-01,2011.917,116.66
2011-12-02,2011.919,116.9
2011-12-05,2011.928,115.96
2011-12-06,2011.931,115.49
2011-12-07,2011.933,117.33
2011-12-08,2011.936,114.98
2011-12-09,2011.939,117.67
2011-12-12,2011.947,115.7
2011-12-13,2011.95,115.38
2011-12-14,2011.953,117.58
2011-12-15,2011.956,119.68
2011-12-16,2011.958,120.48
2011-12-19,2011.967,119.26
2011-12-20,2011.969,122.39
2011-12-21,2011.972,121.67
2011-12-22,2011.975,124
2011-12-23,2011.978,123.94
2011-12-27,2011.989,124.35
2011-12-28,2011.992,122.19
2011-12-29,2011.994,123.23
2011-12-30,2011.997,122.93
2012-01-03,2012.006,122.37
2012-01-04,2012.008,120.7
2012-01-05,2012.011,121.97
2012-01-06,2012.014,120.55
2012-01-09,2012.022,119.19
2012-01-10,2012.025,119.92
2012-01-11,2012.028,119.57
2012-01-12,2012.031,117.02
2012-01-13,2012.033,118.98
2012-01-17,2012.044,120.7
2012-01-18,2012.047,120.98
2012-01-19,2012.05,120.32
2012-01-20,2012.053,120.9
2012-01-23,2012.061,122.41
2012-01-24,2012.064,123.06
2012-01-25,2012.067,126.04
2012-01-26,2012.069,127.86
2012-01-27,2012.072,128.44
2012-01-30,2012.081,127.68
2012-01-31,2012.083,128.52
2012-02-01,2012.083,129.51
2012-02-02,2012.086,129.58
2012-02-03,2012.089,130.92
2012-02-06,2012.097,129.7
2012-02-07,2012.1,129.12
2012-02-08,2012.103,128.82
2012-02-09,2012.106,127.23
2012-02-10,2012.108,127.1
2012-02-13,2012.117,127.82
2012-02-14,2012.119,125.36
2012-02-15,2012.122,125.25
2012-02-16,2012.125,126.08
2012-02-17,2012.128,126.98
2012-02-21,2012.139,124.56
2012-02-22,2012.142,123.24
2012-02-23,2012.144,124.29
2012-02-24,2012.147,126.16
2012-02-27,2012.156,125.6
2012-02-28,2012.158,123.94
2012-02-29,2012.161,123.32
2012-03-01,2012.167,124.3
2012-03-02,2012.169,125.01
2012-03-05,2012.178,127.33
2012-03-06,2012.181,126.21
2012-03-07,2012.183,126.62
2012-03-08,2012.186,126.17
2012-03-09,2012.189,129.03
2012-03-12,2012.197,129.84
2012-03-13,2012.2,132.24
2012-03-14,2012.203,131.19
2012-03-15,2012.206,129.61
2012-03-16,2012.208,130.55
2012-03-19,2012.217,132.17
2012-03-20,2012.219,131.52
2012-03-21,2012.222,130.52
2012-03-22,2012.225,128.67
2012-03-23,2012.228,130.08
2012-03-26,2012.236,131.74
2012-03-27,2012.239,131.75
2012-03-28,2012.242,131.18
2012-03-29,2012.244,132.08
2012-03-30,2012.247,134.82
2012-04-02,2012.253,134.98
2012-04-03,2012.256,134.68
2012-04-04,2012.258,133.42
2012-04-05,2012.261,132.79
2012-04-09,2012.272,131.43
2012-04-10,2012.275,128.69
2012-04-11,2012.278,129.8
2012-04-12,2012.281,131.69
2012-04-13,2012.283,132.13
2012-04-16,2012.292,134.35
