Date,t,Close
2011-08-08,2011.603,60.42
2011-08-09,2011.606,67.28
2011-08-10,2011.608,65.38
2011-08-11,2011.611,69.57
2011-08-12,2011.614,69.28
2011-08-15,2011.622,70.77
2011-08-16,2011.625,71.09
2011-08-17,2011.628,71.23
2011-08-18,2011.631,68.13
2011-08-19,2011.633,66.8
2011-08-22,2011.642,66.95
2011-08-23,2011.644,68.69
2011-08-24,2011.647,69.76
2011-08-25,2011.65,68.63
2011-08-26,2011.653,69.57
2011-08-29,2011.661,71.04
2011-08-30,2011.664,70.62
2011-08-31,2011.667,71.49
2011-09-01,2011.667,71.19
2011-09-02,2011.669,69.28
2011-09-06,2011.681,69.84
2011-09-07,2011.683,72.04
2011-09-08,2011.686,71.53
2011-09-09,2011.689,69.6
2011-09-12,2011.697,69.77
2011-09-13,2011.7,69.95
2011-09-14,2011.703,70.1
2011-09-15,2011.706,71.62
2011-09-16,2011.708,72.57
2011-09-19,2011.717,71.39
2011-09-20,2011.719,71.77
2011-09-21,2011.722,67.38
2011-09-22,2011.725,66.13
2011-09-23,2011.728,67.35
2011-09-26,2011.736,68.03
2011-09-27,2011.739,68.22
2011-09-28,2011.742,66.73
2011-09-29,2011.744,67.59
2011-09-30,2011.747,65.84
2011-10-03,2011.756,63.45
2011-10-04,2011.758,66.09
2011-10-05,2011.761,65.27
2011-10-06,2011.764,67.16
2011-10-07,2011.767,65.29
2011-10-10,2011.775,68.2
2011-10-11,2011.778,67.03
2011-10-12,2011.781,68.53
2011-10-13,2011.783,67.48
2011-10-14,2011.786,69.14
2011-10-17,2011.794,67.24
2011-10-18,2011.797,69.82
2011-10-19,2011.8,68.72
2011-10-20,2011.803,69.62
2011-10-21,2011.806,72.14
2011-10-24,2011.814,73.55
2011-10-25,2011.817,72.62
2011-10-26,2011.819,73.96
2011-10-27,2011.822,77.31
2011-10-28,2011.825,77.64
2011-10-31,2011.833,76.84
2011-11-01,2011.833,74.7
2011-11-02,2011.836,76.37
2011-11-03,2011.839,77.3
2011-11-04,2011.842,76.93
2011-11-07,2011.85,77.34
2011-11-08,2011.853,77.9
2011-11-09,2011.856,74.41
2011-11-10,2011.858,74.56
2011-11-11,2011.861,75.78
2011-11-14,2011.869,74.08
2011-11-15,2011.872,74.81
2011-11-16,2011.875,73.45
2011-11-17,2011.878,72.36
2011-11-18,2011.881,73.01
2011-11-21,2011.889,70.82
2011-11-22,2011.892,70.59
2011-11-23,2011.894,68.46
2011-11-25,2011.9,68.82
2011-11-28,2011.908,70.19
2011-11-29,2011.911,70.38
2011-11-30,2011.914,73.59
2011-12-01,2011.917,72.79
