Date,t,Close
2011-08-08,2011.603,87.19
2011-08-09,2011.606,94.32
2011-08-10,2011.608,90.75
2011-08-11,2011.611,95.11
2011-08-12,2011.614,95.08
2011-08-15,2011.622,98.45
2011-08-16,2011.625,97.76
2011-08-17,2011.628,98.13
2011-08-18,2011.631,93.69
2011-08-19,2011.633,92.45
2011-08-22,2011.642,93.26
2011-08-23,2011.644,96.19
2011-08-24,2011.647,97.6
2011-08-25,2011.65,95.89
2011-08-26,2011.653,97.78
2011-08-29,2011.661,100.79
2011-08-30,2011.664,101.57
2011-08-31,2011.667,102.74
2011-09-01,2011.667,100.69
2011-09-02,2011.669,98.02
2011-09-06,2011.681,97.85
2011-09-07,2011.683,102.08
2011-09-08,2011.686,100.59
2011-09-09,2011.689,97.36
2011-09-12,2011.697,97.57
2011-09-13,2011.7,97.87
2011-09-14,2011.703,99.42
2011-09-15,2011.706,101.09
2011-09-16,2011.708,102.83
2011-09-19,2011.717,100.77
2011-09-20,2011.719,101.27
2011-09-21,2011.722,96.65
2011-09-22,2011.725,94.16
2011-09-23,2011.728,94.04
2011-09-26,2011.736,96.07
2011-09-27,2011.739,97.16
2011-09-28,2011.742,94.46
2011-09-29,2011.744,96.2
2011-09-30,2011.747,93.82
2011-10-03,2011.756,90.09
2011-10-04,2011.758,93.07
2011-10-05,2011.761,93.05
2011-10-06,2011.764,94.98
2011-10-07,2011.767,93
2011-10-10,2011.775,98.21
2011-10-11,2011.778,96.33
2011-10-12,2011.781,97.48
2011-10-13,2011.783,96.26
2011-10-14,2011.786,98.54
2011-10-17,2011.794,96.25
2011-10-18,2011.797,99.54
2011-10-19,2011.8,98.53
2011-10-20,2011.803,99.06
2011-10-21,2011.806,102.38
2011-10-24,2011.814,104.59
2011-10-25,2011.817,102.87
2011-10-26,2011.819,104.17
2011-10-27,2011.822,108.55
2011-10-28,2011.825,109.88
2011-10-31,2011.833,108.25
2011-11-01,2011.833,104.81
2011-11-02,2011.836,106.41
2011-11-03,2011.839,107.56
2011-11-04,2011.842,105.17
2011-11-07,2011.85,105.21
2011-11-08,2011.853,106.53
2011-11-09,2011.856,101.89
2011-11-10,2011.858,102.37
2011-11-11,2011.861,105.23
2011-11-14,2011.869,102.95
2011-11-15,2011.872,103.98
2011-11-16,2011.875,103.18
2011-11-17,2011.878,101.39
2011-11-18,2011.881,102.69
2011-11-21,2011.889,100.16
2011-11-22,2011.892,99.88
2011-11-23,2011.894,97.55
2011-11-25,2011.9,98.21
2011-11-28,2011.908,100.41
2011-11-29,2011.911,100.51
2011-11-30,2011.914,105.46
2011-12-01,2011.917,104.19
2011-12-02,2011.919,103.88
2011-12-05,2011.928,104.33
2011-12-06,2011.931,104.74
2011-12-07,2011.933,105.76
2011-12-08,2011.936,103.67
2011-12-09,2011.939,105.86
2011-12-12,2011.947,103.78
2011-12-13,2011.95,102.57
2011-12-14,2011.953,103.24
2011-12-15,2011.956,104.27
2011-12-16,2011.958,104.89
2011-12-19,2011.967,103.58
2011-12-20,2011.969,106.93
2011-12-21,2011.972,107.85
2011-12-22,2011.975,109.54
2011-12-23,2011.978,110.18
2011-12-27,2011.989,111.18
2011-12-28,2011.992,110.32
2011-12-29,2011.994,111.59
2011-12-30,2011.997,110.98
2012-01-03,2012.006,111.38
2012-01-04,2012.008,109.54
2012-01-05,2012.011,110.42
2012-01-06,2012.014,110.35
2012-01-09,2012.022,110.43
2012-01-10,2012.025,112.18
2012-01-11,2012.028,113.24
2012-01-12,2012.031,113.11
2012-01-13,2012.033,113.69
2012-01-17,2012.044,113.9
2012-01-18,2012.047,114.74
2012-01-19,2012.05,114.88
2012-01-20,2012.053,114.58
2012-01-23,2012.061,114.8
2012-01-24,2012.064,115.1
2012-01-25,2012.067,116.2
