Date,t,Close
2011-08-08,2011.603,632.81
2011-08-09,2011.606,663.31
2011-08-10,2011.608,645.77
2011-08-11,2011.611,673.53
2011-08-12,2011.614,675.43
2011-08-15,2011.622,681.23
2011-08-16,2011.625,680.12
2011-08-17,2011.628,682.91
2011-08-18,2011.631,652.03
2011-08-19,2011.633,660.32
2011-08-22,2011.642,662.66
2011-08-23,2011.644,683.57
2011-08-24,2011.647,691.4
2011-08-25,2011.65,677.16
2011-08-26,2011.653,689.4
2011-08-29,2011.661,699.68
2011-08-30,2011.664,702.31
2011-08-31,2011.667,702.1
2011-09-01,2011.667,697.17
2011-09-02,2011.669,686.98
2011-09-06,2011.681,686.9
2011-09-07,2011.683,694.84
2011-09-08,2011.686,690.43
2011-09-09,2011.689,664.32
2011-09-12,2011.697,672.01
2011-09-13,2011.7,674.43
2011-09-14,2011.703,681.81
2011-09-15,2011.706,690.43
2011-09-16,2011.708,692.49
2011-09-19,2011.717,705.67
2011-09-20,2011.719,705.97
2011-09-21,2011.722,689.77
2011-09-22,2011.725,675.12
2011-09-23,2011.728,683.07
2011-09-26,2011.736,698.48
2011-09-27,2011.739,701.14
2011-09-28,2011.742,688.9
2011-09-29,2011.744,680.89
2011-09-30,2011.747,671.73
2011-10-03,2011.756,656.32
2011-10-04,2011.758,665.1
2011-10-05,2011.761,662.87
2011-10-06,2011.764,672.13
2011-10-07,2011.767,674.66
2011-10-10,2011.775,691.57
2011-10-11,2011.778,699.11
2011-10-12,2011.781,694.44
2011-10-13,2011.783,701.09
2011-10-14,2011.786,707.02
2011-10-17,2011.794,695.16
2011-10-18,2011.797,706.64
2011-10-19,2011.8,698.67
2011-10-20,2011.803,696.92
2011-10-21,2011.806,722.35
2011-10-24,2011.814,723.37
2011-10-25,2011.817,715.55
2011-10-26,2011.819,716.03
2011-10-27,2011.822,734.39
2011-10-28,2011.825,730.56
2011-10-31,2011.833,725.89
2011-11-01,2011.833,714.85
2011-11-02,2011.836,718.63
2011-11-03,2011.839,724.47
2011-11-04,2011.842,736.96
2011-11-07,2011.85,741.97
2011-11-08,2011.853,744.54
2011-11-09,2011.856,728.17
2011-11-10,2011.858,731.66
2011-11-11,2011.861,744.38
2011-11-14,2011.869,737.31
2011-11-15,2011.872,741.09
2011-11-16,2011.875,728.15
2011-11-17,2011.878,719.22
2011-11-18,2011.881,720.74
2011-11-21,2011.889,715.5
2011-11-22,2011.892,721.33
2011-11-23,2011.894,710.64
2011-11-25,2011.9,709.43
2011-11-28,2011.908,725.65
2011-11-29,2011.911,726.84
2011-11-30,2011.914,744.22
2011-12-01,2011.917,745.03
2011-12-02,2011.919,747.91
2011-12-05,2011.928,749.84
2011-12-06,2011.931,747.69
2011-12-07,2011.933,753.11
2011-12-08,2011.936,750.45
2011-12-09,2011.939,760.38
2011-12-12,2011.947,765.02
2011-12-13,2011.95,758.67
2011-12-14,2011.953,752.17
2011-12-15,2011.956,755.77
2011-12-16,2011.958,753.49
2011-12-19,2011.967,752.27
2011-12-20,2011.969,767.75
2011-12-21,2011.972,770.89
2011-12-22,2011.975,767.14
2011-12-23,2011.978,777.64
2011-12-27,2011.989,782.39
2011-12-28,2011.992,776.43
2011-12-29,2011.994,785.66
2011-12-30,2011.997,780.49
2012-01-03,2012.006,770.82
2012-01-04,2012.008,777.91
2012-01-05,2012.011,781.87
2012-01-06,2012.014,786.55
2012-01-09,2012.022,780
2012-01-10,2012.025,782.04
2012-01-11,2012.028,786.84
2012-01-12,2012.031,791.16
2012-01-13,2012.033,791.04
2012-01-17,2012.044,794.36
2012-01-18,2012.047,802.44
2012-01-19,2012.05,801.01
2012-01-20,2012.053,803.7
2012-01-23,2012.061,797.59
2012-01-24,2012.064,788.68
2012-01-25,2012.067,792.69
2012-01-26,2012.069,794.22
2012-01-27,2012.072,791.04
2012-01-30,2012.081,794.91
2012-01-31,2012.083,793.77
2012-02-01,2012.083,794.56
2012-02-02,2012.086,791.9
2012-02-03,2012.089,802.45
2012-02-06,2012.097,798.59
2012-02-07,2012.1,809.33
2012-02-08,2012.103,805.7
2012-02-09,2012.106,808.42
2012-02-10,2012.108,804.54
2012-02-13,2012.117,806.48
2012-02-14,2012.119,804.42
2012-02-15,2012.122,797.42
2012-02-16,2012.125,804.03
2012-02-17,2012.128,808.63
2012-02-21,2012.139,810.59
2012-02-22,2012.142,812.09
2012-02-23,2012.144,813.1
2012-02-24,2012.147,809.58
2012-02-27,2012.156,809.73
2012-02-28,2012.158,811.66
2012-02-29,2012.161,808.61
2012-03-01,2012.167,808.97
2012-03-02,2012.169,810.51
2012-03-05,2012.178,813.58
2012-03-06,2012.181,807.76
2012-03-07,2012.183,816.14
2012-03-08,2012.186,806.95
2012-03-09,2012.189,812.05
2012-03-12,2012.197,807.92
2012-03-13,2012.2,816.76
2012-03-14,2012.203,820.04
2012-03-15,2012.206,825.83
2012-03-16,2012.208,824.38
2012-03-19,2012.217,827.54
2012-03-20,2012.219,829.97
2012-03-21,2012.222,825.83
2012-03-22,2012.225,827.89
2012-03-23,2012.228,826.23
2012-03-26,2012.236,837.74
2012-03-27,2012.239,837.81
2012-03-28,2012.242,834.96
2012-03-29,2012.244,836.58
2012-03-30,2012.247,840.8
2012-04-02,2012.253,842.24
2012-04-03,2012.256,849.32
2012-04-04,2012.258,838.61
2012-04-05,2012.261,849.85
2012-04-09,2012.272,846.95
2012-04-10,2012.275,834.73
2012-04-11,2012.278,851.61
2012-04-12,2012.281,854.91
2012-04-13,2012.283,860.53
2012-04-16,2012.292,849.86
2012-04-17,2012.294,850.66
2012-04-18,2012.297,857.62
2012-04-19,2012.3,839.27
2012-04-20,2012.303,846.9
2012-04-23,2012.311,841.08
2012-04-24,2012.314,832.01
2012-04-25,2012.317,842.09
2012-04-26,2012.319,849.13
2012-04-27,2012.322,846.69
2012-04-30,2012.331,844.75
2012-05-01,2012.333,847.69
2012-05-02,2012.336,850.36
2012-05-03,2012.339,839.43
2012-05-04,2012.342,828.17
