Date,t,Close
2011-10-03,2011.756,62.31
2011-10-04,2011.758,64.54
2011-10-05,2011.761,66.1
2011-10-06,2011.764,66.69
2011-10-07,2011.767,66.1
2011-10-10,2011.775,68.32
2011-10-11,2011.778,68.39
2011-10-12,2011.781,69.01
2011-10-13,2011.783,68.62
2011-10-14,2011.786,69.72
2011-10-17,2011.794,67.85
2011-10-18,2011.797,69.6
2011-10-19,2011.8,68.76
2011-10-20,2011.803,68.63
2011-10-21,2011.806,69.74
2011-10-24,2011.814,70.46
2011-10-25,2011.817,68.52
2011-10-26,2011.819,69.24
2011-10-27,2011.822,72.38
2011-10-28,2011.825,73.38
2011-10-31,2011.833,72.4
2011-11-01,2011.833,69.64
2011-11-02,2011.836,71.04
2011-11-03,2011.839,72.4
2011-11-04,2011.842,72.9
2011-11-07,2011.85,73.4
2011-11-08,2011.853,74.58
2011-11-09,2011.856,71.81
2011-11-10,2011.858,72.75
2011-11-11,2011.861,74.07
2011-11-14,2011.869,73.39
2011-11-15,2011.872,74.78
2011-11-16,2011.875,73.24
2011-11-17,2011.878,72.53
2011-11-18,2011.881,72.56
2011-11-21,2011.889,71.62
2011-11-22,2011.892,71.77
2011-11-23,2011.894,69.81
2011-11-25,2011.9,69.74
2011-11-28,2011.908,72.19
2011-11-29,2011.911,72.85
2011-11-30,2011.914,76.15
2011-12-01,2011.917,76.2
2011-12-02,2011.919,76.57
2011-12-05,2011.928,77.93
2011-12-06,2011.931,77.53
2011-12-07,2011.933,77.18
2011-12-08,2011.936,76.29
2011-12-09,2011.939,78.03
2011-12-12,2011.947,77.1
2011-12-13,2011.95,76.79
2011-12-14,2011.953,76.59
2011-12-15,2011.956,77.07
2011-12-16,2011.958,77.25
2011-12-19,2011.967,76.73
2011-12-20,2011.969,79.19
2011-12-21,2011.972,78.82
2011-12-22,2011.975,80.06
2011-12-23,2011.978,80.7
2011-12-27,2011.989,80.69
2011-12-28,2011.992,79.61
2011-12-29,2011.994,80.26
2011-12-30,2011.997,80.33
2012-01-03,2012.006,80.6
2012-01-04,2012.008,80.13
2012-01-05,2012.011,80.21
2012-01-06,2012.014,81.07
2012-01-09,2012.022,81.4
2012-01-10,2012.025,82.6
2012-01-11,2012.028,82.6
2012-01-12,2012.031,82.59
2012-01-13,2012.033,82.42
2012-01-17,2012.044,83.09
2012-01-18,2012.047,83.38
2012-01-19,2012.05,84.77
2012-01-20,2012.053,84.35
2012-01-23,2012.061,83.97
2012-01-24,2012.064,84.12
2012-01-25,2012.067,85.24
2012-01-26,2012.069,84.81
2012-01-27,2012.072,84.68
2012-01-30,2012.081,84.59
2012-01-31,2012.083,84.34
2012-02-01,2012.083,85.45
2012-02-02,2012.086,85.39
2012-02-03,2012.089,86.14
2012-02-06,2012.097,85.9
2012-02-07,2012.1,83.95
2012-02-08,2012.103,83.95
2012-02-09,2012.106,86.82
2012-02-10,2012.108,86.72
2012-02-13,2012.117,86.95
2012-02-14,2012.119,86.76
2012-02-15,2012.122,85.44
2012-02-16,2012.125,86.52
2012-02-17,2012.128,86.7
2012-02-21,2012.139,86.86
2012-02-22,2012.142,87.67
2012-02-23,2012.144,88.51
2012-02-24,2012.147,88.13
2012-02-27,2012.156,88.29
2012-02-28,2012.158,88.53
2012-02-29,2012.161,87.85
2012-03-01,2012.167,88.67
2012-03-02,2012.169,87.6
2012-03-05,2012.178,87.65
2012-03-06,2012.181,86.7
2012-03-07,2012.183,87.75
2012-03-08,2012.186,89.03
2012-03-09,2012.189,89.47
2012-03-12,2012.197,91.42
2012-03-13,2012.2,92.25
2012-03-14,2012.203,91.55
2012-03-15,2012.206,92.13
2012-03-16,2012.208,91.52
2012-03-19,2012.217,90.96
2012-03-20,2012.219,90.36
2012-03-21,2012.222,90.25
2012-03-22,2012.225,90.24
2012-03-23,2012.228,90.6
2012-03-26,2012.236,91.58
2012-03-27,2012.239,91.04
2012-03-28,2012.242,90.31
2012-03-29,2012.244,90.33
2012-03-30,2012.247,91.43
2012-04-02,2012.253,92.39
2012-04-03,2012.256,92.15
2012-04-04,2012.258,90.71
2012-04-05,2012.261,90.3
2012-04-09,2012.272,88.71
2012-04-10,2012.275,87.61
2012-04-11,2012.278,89.5
2012-04-12,2012.281,90.41
2012-04-13,2012.283,89.69
2012-04-16,2012.292,89.89
2012-04-17,2012.294,91.42
2012-04-18,2012.297,89.59
2012-04-19,2012.3,88.1
2012-04-20,2012.303,89
2012-04-23,2012.311,88.24
2012-04-24,2012.314,87.53
2012-04-25,2012.317,87.88
2012-04-26,2012.319,90.65
2012-04-27,2012.322,90.88
2012-04-30,2012.331,90.01
2012-05-01,2012.333,90.45
2012-05-02,2012.336,89.91
2012-05-03,2012.339,90.3
2012-05-04,2012.342,89.25
2012-05-07,2012.35,89.6
2012-05-08,2012.353,83.84
2012-05-09,2012.356,82.75
2012-05-10,2012.358,84.62
2012-05-11,2012.361,85.29
2012-05-14,2012.369,85.82
2012-05-15,2012.372,85.87
2012-05-16,2012.375,86.11
2012-05-17,2012.378,84.59
2012-05-18,2012.381,84.01
2012-05-21,2012.389,85.56
2012-05-22,2012.392,84.69
2012-05-23,2012.394,84.21
2012-05-24,2012.397,84.48
2012-05-25,2012.4,84.84
2012-05-29,2012.411,85.95
2012-05-30,2012.414,84.29
2012-05-31,2012.417,84.48
2012-06-01,2012.417,81.44
2012-06-04,2012.425,81.18
2012-06-05,2012.428,82.41
2012-06-06,2012.431,84.17
2012-06-07,2012.433,84.29
2012-06-08,2012.436,86.18
2012-06-11,2012.444,85.2
2012-06-12,2012.447,85.91
2012-06-13,2012.45,86.04
2012-06-14,2012.453,87.88
2012-06-15,2012.456,87.05
2012-06-18,2012.464,86.99
2012-06-19,2012.467,86.85
2012-06-20,2012.469,86.94
2012-06-21,2012.472,85.84
2012-06-22,2012.475,86.46
2012-06-25,2012.483,84.43
2012-06-26,2012.486,84.46
2012-06-27,2012.489,85.86
2012-06-28,2012.492,85.51
2012-06-29,2012.494,87.84
2012-07-02,2012.503,89.47
2012-07-03,2012.506,89.74
2012-07-05,2012.511,89.06
2012-07-06,2012.514,88.03
2012-07-09,2012.522,87.96
2012-07-10,2012.525,87.97
2012-07-11,2012.528,88.34
2012-07-12,2012.531,88.11
2012-07-13,2012.533,90.05
2012-07-16,2012.542,89.43
2012-07-17,2012.544,90.8
2012-07-18,2012.547,90.98
2012-07-19,2012.55,91.43
2012-07-20,2012.553,90
2012-07-23,2012.561,89.29
2012-07-24,2012.564,88.58
2012-07-25,2012.567,89.49
2012-07-26,2012.569,88.15
2012-07-27,2012.572,88.88
2012-07-30,2012.581,88.44
2012-07-31,2012.583,92.32
2012-08-01,2012.583,88.57
2012-08-02,2012.586,87.55
2012-08-03,2012.589,89.09
2012-08-06,2012.597,89.09
2012-08-07,2012.6,89.65
2012-08-08,2012.603,89.15
2012-08-09,2012.606,89.5
2012-08-10,2012.608,90.66
2012-08-13,2012.617,90.29
2012-08-14,2012.619,90.85
2012-08-15,2012.622,92.2
2012-08-16,2012.625,93.49
2012-08-17,2012.628,93.37
2012-08-20,2012.636,93.36
2012-08-21,2012.639,93.29
2012-08-22,2012.642,92.75
2012-08-23,2012.644,92.86
2012-08-24,2012.647,93.6
2012-08-27,2012.656,93.1
2012-08-28,2012.658,92.02
2012-08-29,2012.661,92.36
2012-08-30,2012.664,91.04
2012-08-31,2012.667,91.43
2012-09-04,2012.675,92.01
2012-09-05,2012.678,91.95
2012-09-06,2012.681,93.48
2012-09-07,2012.683,93.29
2012-09-10,2012.692,93.06
2012-09-11,2012.694,93.51
2012-09-12,2012.697,92.87
2012-09-13,2012.7,94.22
2012-09-14,2012.703,94.76
2012-09-17,2012.711,94.86
2012-09-18,2012.714,95.27
2012-09-19,2012.717,94.93
2012-09-20,2012.719,94.47
2012-09-21,2012.722,93.6
2012-09-24,2012.731,92.8
2012-09-25,2012.733,91.25
2012-09-26,2012.736,90.86
2012-09-27,2012.739,91.91
2012-09-28,2012.742,91.79
2012-10-01,2012.75,92.86
2012-10-02,2012.753,93.47
2012-10-03,2012.756,94.71
2012-10-04,2012.758,95.59
2012-10-05,2012.761,96.44
2012-10-08,2012.769,95.93
2012-10-09,2012.772,95.16
2012-10-10,2012.775,95.17
2012-10-11,2012.778,95.83
2012-10-12,2012.781,96.09
2012-10-15,2012.789,96.97
2012-10-16,2012.792,97.89
2012-10-17,2012.794,98.03
2012-10-18,2012.797,98.35
2012-10-19,2012.8,96.97
2012-10-22,2012.808,96.1
2012-10-23,2012.811,94.97
2012-10-24,2012.814,94.01
2012-10-25,2012.817,94.87
2012-10-26,2012.819,96.47
2012-10-31,2012.833,96.59
2012-11-01,2012.833,97.03
2012-11-02,2012.836,97.06
2012-11-05,2012.844,96.71
2012-11-06,2012.847,98.46
2012-11-07,2012.85,97.02
2012-11-08,2012.853,96.76
2012-11-09,2012.856,97.12
2012-11-12,2012.864,96.83
2012-11-13,2012.867,98.24
2012-11-14,2012.869,96.57
2012-11-15,2012.872,92.77
2012-11-16,2012.875,94.18
2012-11-19,2012.883,94.39
2012-11-20,2012.886,94.3
2012-11-21,2012.889,95.19
2012-11-23,2012.894,96.44
2012-11-26,2012.903,96.24
2012-11-27,2012.906,96.22
2012-11-28,2012.908,97.4
2012-11-29,2012.911,97.17
2012-11-30,2012.914,97.19
2012-12-03,2012.922,99.52
2012-12-04,2012.925,101.18
2012-12-05,2012.928,101.1
2012-12-06,2012.931,101.56
2012-12-07,2012.933,101.75
2012-12-10,2012.942,101.71
2012-12-11,2012.944,101.68
2012-12-12,2012.947,101.13
2012-12-13,2012.95,100.29
2012-12-14,2012.953,99.9
2012-12-17,2012.961,103.18
2012-12-18,2012.964,103.56
2012-12-19,2012.967,102.59
2012-12-20,2012.969,102.16
2012-12-21,2012.972,101.5
2012-12-24,2012.981,101.84
2012-12-26,2012.986,100.01
2012-12-27,2012.989,100.19
2012-12-28,2012.992,99.34
2012-12-31,2013,100.42
2013-01-02,2013.003,101.07
2013-01-03,2013.006,100.91
2013-01-04,2013.008,101.94
2013-01-07,2013.017,102.17
2013-01-08,2013.019,102.44
2013-01-09,2013.022,103.23
2013-01-10,2013.025,103.18
2013-01-11,2013.028,103.79
2013-01-14,2013.036,104.39
2013-01-15,2013.039,105.24
2013-01-16,2013.042,104.01
2013-01-17,2013.044,104.41
2013-01-18,2013.047,106.23
2013-01-22,2013.058,105.93
2013-01-23,2013.061,106.23
2013-01-24,2013.064,106.84
2013-01-25,2013.067,106.7
2013-01-28,2013.075,106.55
2013-01-29,2013.078,107.53
2013-01-30,2013.081,107.45
2013-01-31,2013.083,107.23
2013-02-01,2013.083,108.45
2013-02-04,2013.092,108.03
2013-02-05,2013.094,109.37
2013-02-06,2013.097,109.96
2013-02-07,2013.1,105.1
2013-02-08,2013.103,104.78
2013-02-11,2013.111,104.43
2013-02-12,2013.114,100.68
2013-02-13,2013.117,101.01
2013-02-14,2013.119,101.75
2013-02-15,2013.122,103.08
2013-02-19,2013.133,104.43
2013-02-20,2013.136,101.88
2013-02-21,2013.139,101.44
2013-02-22,2013.142,101.68
2013-02-25,2013.15,100
2013-02-26,2013.153,100.36
2013-02-27,2013.156,101.94
2013-02-28,2013.158,102.5
2013-03-01,2013.167,103.33
2013-03-04,2013.175,103.78
2013-03-05,2013.178,104.2
2013-03-06,2013.181,104.33
2013-03-07,2013.183,103.95
2013-03-08,2013.186,104.26
2013-03-11,2013.194,104.51
2013-03-12,2013.197,104.46
2013-03-13,2013.2,104.38
2013-03-14,2013.203,104.49
2013-03-15,2013.206,104.7
2013-03-18,2013.214,104.42
2013-03-19,2013.217,104.58
2013-03-20,2013.219,105.28
2013-03-21,2013.222,104.57
2013-03-22,2013.225,104.18
2013-03-25,2013.233,104.11
2013-03-26,2013.236,104.6
2013-03-27,2013.239,104.96
2013-03-28,2013.242,106.84
2013-04-01,2013.25,105.83
2013-04-02,2013.253,106.89
2013-04-03,2013.256,105.24
2013-04-04,2013.258,106.03
2013-04-05,2013.261,104.84
2013-04-08,2013.269,105.98
2013-04-09,2013.272,107.63
2013-04-10,2013.275,109.42
2013-04-11,2013.278,109.73
2013-04-12,2013.281,109.52
2013-04-15,2013.289,107.59
2013-04-16,2013.292,108.96
2013-04-17,2013.294,108.85
2013-04-18,2013.297,108.89
2013-04-19,2013.3,108.57
2013-04-22,2013.308,109.66
2013-04-23,2013.311,110.84
2013-04-24,2013.314,110.88
2013-04-25,2013.317,113.58
2013-04-26,2013.319,113.28
2013-04-29,2013.328,112.94
2013-04-30,2013.331,113.35
