Date,t,Close
2011-09-22,2011.725,97.78
2011-09-23,2011.728,102.3
2011-09-26,2011.736,105.74
2011-09-27,2011.739,106.66
2011-09-28,2011.742,106.58
2011-09-29,2011.744,110.25
2011-09-30,2011.747,102.98
2011-10-03,2011.756,100.15
2011-10-04,2011.758,103.37
2011-10-05,2011.761,105.89
2011-10-06,2011.764,110.1
2011-10-07,2011.767,103.37
2011-10-10,2011.775,108.26
2011-10-11,2011.778,106.73
2011-10-12,2011.781,116.07
2011-10-13,2011.783,114.77
2011-10-14,2011.786,116.45
2011-10-17,2011.794,109.64
2011-10-18,2011.797,117.21
2011-10-19,2011.8,110.18
2011-10-20,2011.803,111.63
2011-10-21,2011.806,116.99
2011-10-24,2011.814,128.08
2011-10-25,2011.817,123.11
2011-10-26,2011.819,121.96
2011-10-27,2011.822,130.99
2011-10-28,2011.825,145.22
2011-10-31,2011.833,136.04
2011-11-01,2011.833,130.45
2011-11-02,2011.836,133.59
2011-11-03,2011.839,133.13
2011-11-04,2011.842,127.54
2011-11-07,2011.85,128.77
2011-11-08,2011.853,129.53
2011-11-09,2011.856,121.19
2011-11-10,2011.858,121.96
2011-11-11,2011.861,124.87
2011-11-14,2011.869,121.19
2011-11-15,2011.872,123.87
2011-11-16,2011.875,120.43
2011-11-17,2011.878,116.76
2011-11-18,2011.881,115.61
2011-11-21,2011.889,112.55
2011-11-22,2011.892,113.24
2011-11-23,2011.894,110.79
2011-11-25,2011.9,111.86
2011-11-28,2011.908,117.37
2011-11-29,2011.911,115.76
2011-11-30,2011.914,128.62
2011-12-01,2011.917,126.24
2011-12-02,2011.919,126.32
2011-12-05,2011.928,130.76
2011-12-06,2011.931,126.86
2011-12-07,2011.933,122.72
2011-12-08,2011.936,115.23
2011-12-09,2011.939,118.44
2011-12-12,2011.947,116.45
2011-12-13,2011.95,112.93
2011-12-14,2011.953,111.25
2011-12-15,2011.956,115.53
2011-12-16,2011.958,115.07
2011-12-19,2011.967,109.64
2011-12-20,2011.969,115.84
2011-12-21,2011.972,117.98
2011-12-22,2011.975,117.9
2011-12-23,2011.978,117.75
2011-12-27,2011.989,117.06
2011-12-28,2011.992,112.85
2011-12-29,2011.994,115.99
2011-12-30,2011.997,116.45
2012-01-03,2012.006,122.65
2012-01-04,2012.008,122.8
2012-01-05,2012.011,124.1
2012-01-06,2012.014,122.11
2012-01-09,2012.022,121.81
2012-01-10,2012.025,126.78
2012-01-11,2012.028,134.28
2012-01-12,2012.031,133.36
2012-01-13,2012.033,130.22
2012-01-17,2012.044,129
2012-01-18,2012.047,130.45
2012-01-19,2012.05,134.74
2012-01-20,2012.053,136.65
2012-01-23,2012.061,137.72
2012-01-24,2012.064,136.8
2012-01-25,2012.067,138.87
2012-01-26,2012.069,145.45
2012-01-27,2012.072,145.91
2012-01-30,2012.081,139.71
2012-01-31,2012.083,147.67
2012-02-01,2012.083,145.37
2012-02-02,2012.086,144.84
2012-02-03,2012.089,150.04
2012-02-06,2012.097,149.96
2012-02-07,2012.1,147.36
2012-02-08,2012.103,138.49
2012-02-09,2012.106,140.24
2012-02-10,2012.108,136.73
2012-02-13,2012.117,138.56
2012-02-14,2012.119,140.02
2012-02-15,2012.122,142.77
2012-02-16,2012.125,145.98
2012-02-17,2012.128,145.91
2012-02-21,2012.139,143.69
2012-02-22,2012.142,141.16
2012-02-23,2012.144,142.08
2012-02-24,2012.147,141.62
2012-02-27,2012.156,141.55
2012-02-28,2012.158,138.87
2012-02-29,2012.161,140.24
2012-03-01,2012.167,143.15
2012-03-02,2012.169,142.85
2012-03-05,2012.178,142.62
2012-03-06,2012.181,137.18
2012-03-07,2012.183,135.42
2012-03-08,2012.186,141.47
2012-03-09,2012.189,146.82
2012-03-12,2012.197,146.75
2012-03-13,2012.2,157.46
