Date,t,Close
2012-10-12,2012.781,99.3
2012-10-15,2012.789,100.05
2012-10-16,2012.792,102.3
2012-10-17,2012.794,103.53
2012-10-18,2012.797,103.24
2012-10-19,2012.8,102.94
2012-10-22,2012.808,102.65
2012-10-23,2012.811,100.49
2012-10-24,2012.814,100.09
2012-10-25,2012.817,103.77
2012-10-26,2012.819,104.73
2012-10-31,2012.833,104.35
2012-11-01,2012.833,105.81
2012-11-02,2012.836,106.4
2012-11-05,2012.844,106.7
2012-11-06,2012.847,108.26
2012-11-07,2012.85,105.74
2012-11-08,2012.853,106.22
2012-11-09,2012.856,107.56
2012-11-12,2012.864,107
2012-11-13,2012.867,106.8
2012-11-14,2012.869,103.78
2012-11-15,2012.872,103.42
2012-11-16,2012.875,103.6
2012-11-19,2012.883,104.89
2012-11-20,2012.886,105.75
2012-11-21,2012.889,106.35
2012-11-23,2012.894,107.56
2012-11-26,2012.903,107.84
2012-11-27,2012.906,108.07
2012-11-28,2012.908,110.37
2012-11-29,2012.911,111.45
2012-11-30,2012.914,112.45
2012-12-03,2012.922,110.12
2012-12-04,2012.925,109.88
2012-12-05,2012.928,111.03
2012-12-06,2012.931,110.74
2012-12-07,2012.933,112.7
2012-12-10,2012.942,112.3
2012-12-11,2012.944,111.56
2012-12-12,2012.947,112.51
2012-12-13,2012.95,111.96
2012-12-14,2012.953,112.84
2012-12-17,2012.961,114.47
2012-12-18,2012.964,114.3
2012-12-19,2012.967,113.32
2012-12-20,2012.969,114.3
2012-12-21,2012.972,113.38
2012-12-24,2012.981,113.52
2012-12-26,2012.986,112.97
2012-12-27,2012.989,113.99
2012-12-28,2012.992,112.28
2012-12-31,2013,115.02
2013-01-02,2013.003,117.4
2013-01-03,2013.006,115.85
2013-01-04,2013.008,116.46
2013-01-07,2013.017,116.45
2013-01-08,2013.019,116.14
2013-01-09,2013.022,117.33
2013-01-10,2013.025,117.53
2013-01-11,2013.028,117.59
2013-01-14,2013.036,118.29
2013-01-15,2013.039,118.66
2013-01-16,2013.042,119.27
2013-01-17,2013.044,121.24
2013-01-18,2013.047,121.3
2013-01-22,2013.058,121.03
2013-01-23,2013.061,120.03
2013-01-24,2013.064,119.07
2013-01-25,2013.067,120.11
2013-01-28,2013.075,118.72
2013-01-29,2013.078,117.8
2013-01-30,2013.081,118.67
2013-01-31,2013.083,118.27
2013-02-01,2013.083,118.41
2013-02-04,2013.092,117.41
2013-02-05,2013.094,119.64
2013-02-06,2013.097,119.19
2013-02-07,2013.1,119.44
2013-02-08,2013.103,119.62
2013-02-11,2013.111,119.51
2013-02-12,2013.114,119.75
2013-02-13,2013.117,120.95
2013-02-14,2013.119,121.03
2013-02-15,2013.122,121.06
2013-02-19,2013.133,122.65
2013-02-20,2013.136,122.66
2013-02-21,2013.139,120.41
2013-02-22,2013.142,121.25
2013-02-25,2013.15,119.24
2013-02-26,2013.153,119.53
2013-02-27,2013.156,122.51
2013-02-28,2013.158,122.6
2013-03-01,2013.167,121.9
2013-03-04,2013.175,123.24
2013-03-05,2013.178,124.36
2013-03-06,2013.181,123.59
2013-03-07,2013.183,122.39
2013-03-08,2013.186,122.74
2013-03-11,2013.194,123.72
2013-03-12,2013.197,122.72
2013-03-13,2013.2,124
2013-03-14,2013.203,123.78
2013-03-15,2013.206,123.41
2013-03-18,2013.214,122.52
2013-03-19,2013.217,122.22
2013-03-20,2013.219,122.63
2013-03-21,2013.222,121.21
2013-03-22,2013.225,121.94
2013-03-25,2013.233,121
2013-03-26,2013.236,121.46
2013-03-27,2013.239,121.55
2013-03-28,2013.242,123.73
2013-04-01,2013.25,122.15
2013-04-02,2013.253,120.24
2013-04-03,2013.256,119.43
2013-04-04,2013.258,118.34
2013-04-05,2013.261,118.91
2013-04-08,2013.269,119.33
2013-04-09,2013.272,118.73
2013-04-10,2013.275,121.05
2013-04-11,2013.278,121.06
2013-04-12,2013.281,121.04
2013-04-15,2013.289,116.97
2013-04-16,2013.292,116.79
2013-04-17,2013.294,116.45
2013-04-18,2013.297,115.51
2013-04-19,2013.3,116.69
2013-04-22,2013.308,115.5
2013-04-23,2013.311,116
2013-04-24,2013.314,114.86
2013-04-25,2013.317,116.36
2013-04-26,2013.319,116.99
2013-04-29,2013.328,118.36
2013-04-30,2013.331,118.27
2013-05-01,2013.333,113.7
2013-05-02,2013.336,116.18
2013-05-03,2013.339,117.92
2013-05-06,2013.347,120.67
2013-05-07,2013.35,121.38
2013-05-08,2013.353,122.85
2013-05-09,2013.356,123.52
2013-05-10,2013.358,122.71
2013-05-13,2013.367,121.29
2013-05-14,2013.369,121.92
2013-05-15,2013.372,121.5
2013-05-16,2013.375,120.36
2013-05-17,2013.378,122.71
2013-05-20,2013.386,121.15
2013-05-21,2013.389,121.7
2013-05-22,2013.392,120.04
2013-05-23,2013.394,120.98
2013-05-24,2013.397,121.7
2013-05-28,2013.408,122.2
2013-05-29,2013.411,121.24
2013-05-30,2013.414,120.35
2013-05-31,2013.417,118.82
2013-06-03,2013.422,119.36
2013-06-04,2013.425,118.37
2013-06-05,2013.428,116.73
2013-06-06,2013.431,117.64
2013-06-07,2013.433,119.47
2013-06-10,2013.442,119.6
2013-06-11,2013.444,117.89
2013-06-12,2013.447,116.17
2013-06-13,2013.45,116.09
2013-06-14,2013.453,116.45
2013-06-17,2013.461,116.85
2013-06-18,2013.464,118.88
2013-06-19,2013.467,117.84
2013-06-20,2013.469,114.11
2013-06-21,2013.472,114.39
2013-06-24,2013.481,112.6
2013-06-25,2013.483,114.12
2013-06-26,2013.486,115.17
2013-06-27,2013.489,116.48
2013-06-28,2013.492,116.11
2013-07-01,2013.5,119.98
2013-07-02,2013.503,119.11
2013-07-03,2013.506,118.18
2013-07-05,2013.511,119.49
2013-07-08,2013.519,120.32
2013-07-09,2013.522,123.73
2013-07-10,2013.525,123.15
2013-07-11,2013.528,123.92
2013-07-12,2013.531,124.25
2013-07-15,2013.539,125.94
2013-07-16,2013.542,124.25
2013-07-17,2013.544,124.09
2013-07-18,2013.547,123.86
2013-07-19,2013.55,124.33
2013-07-22,2013.558,123.12
2013-07-23,2013.561,123.37
2013-07-24,2013.564,122.95
2013-07-25,2013.567,122.9
2013-07-26,2013.569,121.18
2013-07-29,2013.578,120.32
2013-07-30,2013.581,122.39
2013-07-31,2013.583,120.53
2013-08-01,2013.583,121.84
2013-08-02,2013.586,123.05
2013-08-05,2013.594,124.23
2013-08-06,2013.597,123.07
2013-08-07,2013.6,122.76
2013-08-08,2013.603,122.54
2013-08-09,2013.606,122.5
2013-08-12,2013.614,121.06
2013-08-13,2013.617,122.04
2013-08-14,2013.619,120.63
2013-08-15,2013.622,119.25
2013-08-16,2013.625,120.33
2013-08-19,2013.633,119.03
2013-08-20,2013.636,119.79
2013-08-21,2013.639,119.34
2013-08-22,2013.642,121.39
2013-08-23,2013.644,119.57
2013-08-26,2013.653,119.73
2013-08-27,2013.656,117.8
2013-08-28,2013.658,117.69
2013-08-29,2013.661,117.74
2013-08-30,2013.664,116.29
2013-09-03,2013.672,115.31
2013-09-04,2013.675,116.29
2013-09-05,2013.678,118.01
2013-09-06,2013.681,117.2
2013-09-09,2013.689,118.68
2013-09-10,2013.692,119.67
2013-09-11,2013.694,119.25
2013-09-12,2013.697,117.75
2013-09-13,2013.7,118.41
2013-09-16,2013.708,121.49
2013-09-17,2013.711,122.88
2013-09-18,2013.714,123.9
2013-09-19,2013.717,125
2013-09-20,2013.719,123.08
2013-09-23,2013.728,122.74
2013-09-24,2013.731,122.42
2013-09-25,2013.733,122.75
2013-09-26,2013.736,123.65
2013-09-27,2013.739,122.16
2013-09-30,2013.747,121.62
2013-10-01,2013.75,121.72
2013-10-02,2013.753,121.48
2013-10-03,2013.756,120.4
2013-10-04,2013.758,120.75
2013-10-07,2013.767,119.72
2013-10-08,2013.769,118.16
2013-10-09,2013.772,118.86
2013-10-10,2013.775,121.53
2013-10-11,2013.778,121.76
2013-10-14,2013.786,122.5
2013-10-15,2013.789,120.37
2013-10-16,2013.792,120.62
2013-10-17,2013.794,123
2013-10-18,2013.797,124.22
2013-10-21,2013.806,123.81
2013-10-22,2013.808,125.31
2013-10-23,2013.811,125.41
2013-10-24,2013.814,125.99
2013-10-25,2013.817,126.63
2013-10-28,2013.825,125.43
2013-10-29,2013.828,126.97
2013-10-30,2013.831,127.34
2013-10-31,2013.833,127.97
2013-11-01,2013.833,128.06
2013-11-04,2013.842,127.96
2013-11-05,2013.844,128.28
2013-11-06,2013.847,127.7
2013-11-07,2013.85,125.66
2013-11-08,2013.853,126.65
2013-11-11,2013.861,127.88
2013-11-12,2013.864,126.7
2013-11-13,2013.867,127.76
2013-11-14,2013.869,130.4
2013-11-15,2013.872,129.17
2013-11-18,2013.881,129.8
2013-11-19,2013.883,129.75
2013-11-20,2013.886,129.83
2013-11-21,2013.889,130.56
2013-11-22,2013.892,132.96
2013-11-25,2013.9,130.41
2013-11-26,2013.903,128.96
2013-11-27,2013.906,128.8
2013-11-29,2013.911,128.84
2013-12-02,2013.919,127.61
2013-12-03,2013.922,128.1
2013-12-04,2013.925,127.45
2013-12-05,2013.928,126.96
2013-12-06,2013.931,127.89
2013-12-09,2013.939,127.04
2013-12-10,2013.942,126.68
2013-12-11,2013.944,125.75
2013-12-12,2013.947,126.71
2013-12-13,2013.95,125.25
2013-12-16,2013.958,127.3
2013-12-17,2013.961,127.34
2013-12-18,2013.964,130.58
2013-12-19,2013.967,130.01
2013-12-20,2013.969,131.34
2013-12-23,2013.978,132.98
2013-12-24,2013.981,133.32
2013-12-26,2013.986,134.95
2013-12-27,2013.989,136.53
2013-12-30,2013.997,135.89
2013-12-31,2014,135.46
2014-01-02,2014.003,133.73
2014-01-03,2014.006,133.1
2014-01-06,2014.014,134.15
2014-01-07,2014.017,135.03
2014-01-08,2014.019,134.73
2014-01-09,2014.022,134.1
2014-01-10,2014.025,134.26
2014-01-13,2014.033,132.38
2014-01-14,2014.036,133.52
2014-01-15,2014.039,134.48
2014-01-16,2014.042,134.55
2014-01-17,2014.044,135.44
2014-01-21,2014.056,135.34
2014-01-22,2014.058,135.22
2014-01-23,2014.061,132.83
2014-01-24,2014.064,129.97
2014-01-27,2014.072,129.4
2014-01-28,2014.075,130.75
2014-01-29,2014.078,129.68
2014-01-30,2014.081,123.25
2014-01-31,2014.083,123.79
2014-02-03,2014.089,120.41
2014-02-04,2014.092,122.65
2014-02-05,2014.094,122.97
2014-02-06,2014.097,124.48
2014-02-07,2014.1,127.73
2014-02-10,2014.108,126.82
2014-02-11,2014.111,127.11
2014-02-12,2014.114,126.58
2014-02-13,2014.117,127.97
2014-02-14,2014.119,128.71
2014-02-18,2014.131,129.01
2014-02-19,2014.133,128.16
2014-02-20,2014.136,128.76
2014-02-21,2014.139,128.59
2014-02-24,2014.147,129.86
2014-02-25,2014.15,130.02
2014-02-26,2014.153,129.68
2014-02-27,2014.156,129.71
2014-02-28,2014.158,128.46
2014-03-03,2014.172,130.23
2014-03-04,2014.175,131.35
2014-03-05,2014.178,132.5
2014-03-06,2014.181,132.52
2014-03-07,2014.183,132.47
2014-03-10,2014.192,131.3
2014-03-11,2014.194,129.27
2014-03-12,2014.197,128.43
2014-03-13,2014.2,127.24
2014-03-14,2014.203,127.69
2014-03-17,2014.211,129.49
2014-03-18,2014.214,128.7
2014-03-19,2014.217,127.36
2014-03-20,2014.219,127.38
2014-03-21,2014.222,128.35
2014-03-24,2014.231,127
2014-03-25,2014.233,127.68
2014-03-26,2014.236,127.9
2014-03-27,2014.239,126.6
2014-03-28,2014.242,126.63
2014-03-31,2014.25,128.28
2014-04-01,2014.25,130.03
2014-04-02,2014.253,129.72
2014-04-03,2014.256,130.71
2014-04-04,2014.258,130.09
2014-04-07,2014.267,126.08
2014-04-08,2014.269,126.26
2014-04-09,2014.272,127.78
2014-04-10,2014.275,125.26
2014-04-11,2014.278,123.88
2014-04-14,2014.286,124.69
2014-04-15,2014.289,124.77
2014-04-16,2014.292,126.76
2014-04-17,2014.294,128.11
2014-04-21,2014.306,128.89
2014-04-22,2014.308,129.01
2014-04-23,2014.311,128.18
2014-04-24,2014.314,127.53
2014-04-25,2014.317,125.02
2014-04-28,2014.325,123.78
2014-04-29,2014.328,124.76
2014-04-30,2014.331,125.01
2014-05-01,2014.333,124.54
2014-05-02,2014.336,124.81
2014-05-05,2014.344,125.05
2014-05-06,2014.347,125.07
2014-05-07,2014.35,126.36
2014-05-08,2014.353,127.15
2014-05-09,2014.356,127.55
