Date,t,Close
2011-08-08,2011.603,51.11
2011-08-09,2011.606,53.48
2011-08-10,2011.608,51.6
2011-08-11,2011.611,55.05
2011-08-12,2011.614,54.21
2011-08-15,2011.622,56.21
2011-08-16,2011.625,56.25
2011-08-17,2011.628,56.37
2011-08-18,2011.631,53.88
2011-08-19,2011.633,53.24
2011-08-22,2011.642,53.8
2011-08-23,2011.644,57.78
2011-08-24,2011.647,57.62
2011-08-25,2011.65,54.41
2011-08-26,2011.653,56.05
2011-08-29,2011.661,60.03
2011-08-30,2011.664,60.51
2011-08-31,2011.667,60.71
2011-09-01,2011.667,60.95
2011-09-02,2011.669,53.84
2011-09-06,2011.681,54.17
2011-09-07,2011.683,56.78
2011-09-08,2011.686,54.57
2011-09-09,2011.689,52.72
2011-09-12,2011.697,53.24
2011-09-13,2011.7,52.96
2011-09-14,2011.703,54.81
2011-09-15,2011.706,57.02
2011-09-16,2011.708,56.74
2011-09-19,2011.717,56.57
2011-09-20,2011.719,56.57
2011-09-21,2011.722,52.84
2011-09-22,2011.725,52.72
2011-09-23,2011.728,53.52
2011-09-26,2011.736,55.25
2011-09-27,2011.739,55.25
2011-09-28,2011.742,54.25
2011-09-29,2011.744,55.13
2011-09-30,2011.747,53.44
2011-10-03,2011.756,52.68
2011-10-04,2011.758,54.25
2011-10-05,2011.761,55.01
2011-10-06,2011.764,55.65
2011-10-07,2011.767,55.45
2011-10-10,2011.775,57.86
2011-10-11,2011.778,59.06
2011-10-12,2011.781,59.51
2011-10-13,2011.783,59.1
2011-10-14,2011.786,59.75
2011-10-17,2011.794,57.02
2011-10-18,2011.797,57.7
2011-10-19,2011.8,56.9
2011-10-20,2011.803,57.06
2011-10-21,2011.806,57.86
2011-10-24,2011.814,60.11
2011-10-25,2011.817,58.42
2011-10-26,2011.819,59.79
2011-10-27,2011.822,61.35
2011-10-28,2011.825,62
2011-10-31,2011.833,61.39
2011-11-01,2011.833,59.79
2011-11-02,2011.836,60.31
2011-11-03,2011.839,61.63
2011-11-04,2011.842,61.47
2011-11-07,2011.85,61.88
2011-11-08,2011.853,62.36
2011-11-09,2011.856,61.59
2011-11-10,2011.858,62.36
2011-11-11,2011.861,63.88
2011-11-14,2011.869,62.68
2011-11-15,2011.872,63.96
2011-11-16,2011.875,62.24
2011-11-17,2011.878,61.88
2011-11-18,2011.881,62.12
2011-11-21,2011.889,60.55
2011-11-22,2011.892,60.79
2011-11-23,2011.894,58.46
