Date,t,Close
2011-08-19,2011.633,290.41
2011-08-22,2011.642,293.67
2011-08-23,2011.644,304.25
2011-08-24,2011.647,303.74
2011-08-25,2011.65,297.85
2011-08-26,2011.653,304.28
2011-08-29,2011.661,312.72
2011-08-30,2011.664,312.64
2011-08-31,2011.667,311.01
2011-09-01,2011.667,307.68
2011-09-02,2011.669,300.57
2011-09-06,2011.681,298.93
2011-09-07,2011.683,308.7
2011-09-08,2011.686,306.85
2011-09-09,2011.689,303.78
2011-09-12,2011.697,310.68
2011-09-13,2011.7,317.3
2011-09-14,2011.703,323.97
2011-09-15,2011.706,328.53
2011-09-16,2011.708,331.66
2011-09-19,2011.717,329.85
2011-09-20,2011.719,329.38
2011-09-21,2011.722,323.41
2011-09-22,2011.725,315.13
2011-09-23,2011.728,322.88
2011-09-26,2011.736,323.47
2011-09-27,2011.739,328.35
2011-09-28,2011.742,321.12
2011-09-29,2011.744,318.05
2011-09-30,2011.747,305.98
2011-10-03,2011.756,296.23
2011-10-04,2011.758,306.36
2011-10-05,2011.761,316.22
2011-10-06,2011.764,319.7
2011-10-07,2011.767,322.74
2011-10-10,2011.775,331.49
2011-10-11,2011.778,331.68
2011-10-12,2011.781,332.83
2011-10-13,2011.783,339.44
2011-10-14,2011.786,342.11
2011-10-17,2011.794,335.84
2011-10-18,2011.797,340.74
2011-10-19,2011.8,342.18
2011-10-20,2011.803,335.13
2011-10-21,2011.806,343.02
2011-10-24,2011.814,352.4
2011-10-25,2011.817,348.25
2011-10-26,2011.819,349.91
2011-10-27,2011.822,359.87
2011-10-28,2011.825,358.99
2011-10-31,2011.833,351.01
2011-11-01,2011.833,340.14
2011-11-02,2011.836,339.63
2011-11-03,2011.839,348.47
2011-11-04,2011.842,348.18
2011-11-07,2011.85,350.69
2011-11-08,2011.853,354.88
2011-11-09,2011.856,339.72
2011-11-10,2011.858,342.57
2011-11-11,2011.861,353.31
2011-11-14,2011.869,349.34
2011-11-15,2011.872,356.56
2011-11-16,2011.875,353.91
2011-11-17,2011.878,343.09
2011-11-18,2011.881,341.54
2011-11-21,2011.889,333.59
2011-11-22,2011.892,329.28
2011-11-23,2011.894,320.58
2011-11-25,2011.9,318.39
2011-11-28,2011.908,328.76
2011-11-29,2011.911,329.1
2011-11-30,2011.914,347.38
2011-12-01,2011.917,348.13
2011-12-02,2011.919,344.86
2011-12-05,2011.928,348.85
2011-12-06,2011.931,350.44
2011-12-07,2011.933,354.2
2011-12-08,2011.936,342.56
2011-12-09,2011.939,346.01
2011-12-12,2011.947,335.12
2011-12-13,2011.95,327.77
2011-12-14,2011.953,323.11
2011-12-15,2011.956,323.54
2011-12-16,2011.958,324.54
2011-12-19,2011.967,319.94
2011-12-20,2011.969,333.62
2011-12-21,2011.972,329.76
2011-12-22,2011.975,338.65
2011-12-23,2011.978,341.48
2011-12-27,2011.989,342.03
2011-12-28,2011.992,337.4
2011-12-29,2011.994,341.18
2011-12-30,2011.997,338.26
2012-01-03,2012.006,343.09
2012-01-04,2012.008,346.59
2012-01-05,2012.011,350.8
2012-01-06,2012.014,350.01
2012-01-09,2012.022,353.84
2012-01-10,2012.025,355.95
2012-01-11,2012.028,357.47
2012-01-12,2012.031,360.2
2012-01-13,2012.033,352.36
2012-01-17,2012.044,352.33
2012-01-18,2012.047,366.48
2012-01-19,2012.05,370.37
2012-01-20,2012.053,375.01
2012-01-23,2012.061,376.29
2012-01-24,2012.064,378.24
2012-01-25,2012.067,378.82
2012-01-26,2012.069,376.88
2012-01-27,2012.072,377.42
2012-01-30,2012.081,375.67
2012-01-31,2012.083,373.47
2012-02-01,2012.083,378.3
2012-02-02,2012.086,378.9
2012-02-03,2012.089,385.01
2012-02-06,2012.097,382.61
2012-02-07,2012.1,382.13
2012-02-08,2012.103,385.93
2012-02-09,2012.106,386.8
2012-02-10,2012.108,381.52
2012-02-13,2012.117,381.54
2012-02-14,2012.119,382.87
2012-02-15,2012.122,381.64
2012-02-16,2012.125,387.34
2012-02-17,2012.128,389.34
2012-02-21,2012.139,386.28
2012-02-22,2012.142,381.57
2012-02-23,2012.144,380.76
2012-02-24,2012.147,380.7
2012-02-27,2012.156,381.96
2012-02-28,2012.158,387.6
2012-02-29,2012.161,382.13
2012-03-01,2012.167,381.56
2012-03-02,2012.169,379.56
2012-03-05,2012.178,372.06
2012-03-06,2012.181,371.78
2012-03-07,2012.183,376.36
2012-03-08,2012.186,377.46
2012-03-09,2012.189,379.92
2012-03-12,2012.197,377
2012-03-13,2012.2,384.61
2012-03-14,2012.203,383.78
2012-03-15,2012.206,389.5
2012-03-16,2012.208,389.7
2012-03-19,2012.217,391.83
2012-03-20,2012.219,389.98
2012-03-21,2012.222,390.62
2012-03-22,2012.225,390.25
2012-03-23,2012.228,389.75
2012-03-26,2012.236,394.54
2012-03-27,2012.239,394.56
2012-03-28,2012.242,390.05
2012-03-29,2012.244,392.51
2012-03-30,2012.247,393.8
2012-04-02,2012.253,394.52
2012-04-03,2012.256,389
2012-04-04,2012.258,384.23
2012-04-05,2012.261,385.6
2012-04-09,2012.272,380.62
2012-04-10,2012.275,375.5
2012-04-11,2012.278,380.65
2012-04-12,2012.281,388.55
2012-04-13,2012.283,382.33
2012-04-16,2012.292,384.49
2012-04-17,2012.294,388.6
2012-04-18,2012.297,383.61
2012-04-19,2012.3,380.23
2012-04-20,2012.303,375.2
2012-04-23,2012.311,371.68
2012-04-24,2012.314,368.55
2012-04-25,2012.317,376.57
2012-04-26,2012.319,380.94
2012-04-27,2012.322,382.05
2012-04-30,2012.331,382
2012-05-01,2012.333,385.97
2012-05-02,2012.336,387.99
2012-05-03,2012.339,379.39
2012-05-04,2012.342,370.5
2012-05-07,2012.35,369.09
2012-05-08,2012.353,365.29
2012-05-09,2012.356,363.4
2012-05-10,2012.358,363.24
2012-05-11,2012.361,367.18
2012-05-14,2012.369,361.57
2012-05-15,2012.372,358.89
2012-05-16,2012.375,354.28
2012-05-17,2012.378,348.97
2012-05-18,2012.381,344.88
2012-05-21,2012.389,349.47
2012-05-22,2012.392,347.2
2012-05-23,2012.394,343.31
2012-05-24,2012.397,342.91
2012-05-25,2012.4,345.33
2012-05-29,2012.411,351.07
2012-05-30,2012.414,348.29
2012-05-31,2012.417,344.74
2012-06-01,2012.417,333.79
2012-06-04,2012.425,333.29
2012-06-05,2012.428,338.85
2012-06-06,2012.431,349.21
2012-06-07,2012.433,345.54
2012-06-08,2012.436,350.89
2012-06-11,2012.444,344.37
2012-06-12,2012.447,351.91
2012-06-13,2012.45,349.64
2012-06-14,2012.453,351.81
2012-06-15,2012.456,356.42
2012-06-18,2012.464,358.87
2012-06-19,2012.467,361.76
2012-06-20,2012.469,364.06
2012-06-21,2012.472,350.89
2012-06-22,2012.475,355.49
2012-06-25,2012.483,342.7
2012-06-26,2012.486,342.88
2012-06-27,2012.489,346.25
2012-06-28,2012.492,342.68
2012-06-29,2012.494,356.09
2012-07-02,2012.503,354.92
2012-07-03,2012.506,358.74
2012-07-05,2012.511,355.56
2012-07-06,2012.514,348.53
2012-07-09,2012.522,346.02
2012-07-10,2012.525,339.56
2012-07-11,2012.528,337.64
2012-07-12,2012.531,330.41
2012-07-13,2012.533,335.64
2012-07-16,2012.542,333.08
2012-07-17,2012.544,333.55
2012-07-18,2012.547,344.82
2012-07-19,2012.55,346.16
2012-07-20,2012.553,338.46
2012-07-23,2012.561,334.61
2012-07-24,2012.564,331.65
2012-07-25,2012.567,337.4
