Date,t,Close
2011-10-03,2011.756,209.2
2011-10-04,2011.758,218.66
2011-10-05,2011.761,226.6
2011-10-06,2011.764,229.85
2011-10-07,2011.767,231.57
2011-10-10,2011.775,238.49
2011-10-11,2011.778,237.73
2011-10-12,2011.781,244.87
2011-10-13,2011.783,248.38
2011-10-14,2011.786,248.84
2011-10-17,2011.794,243.88
2011-10-18,2011.797,249.08
2011-10-19,2011.8,245.27
2011-10-20,2011.803,243.2
2011-10-21,2011.806,249.45
2011-10-24,2011.814,256.61
2011-10-25,2011.817,253.37
2011-10-26,2011.819,254.67
2011-10-27,2011.822,270.75
2011-10-28,2011.825,272.08
2011-10-31,2011.833,265.4
2011-11-01,2011.833,256.23
2011-11-02,2011.836,259.14
2011-11-03,2011.839,265.28
2011-11-04,2011.842,266.57
2011-11-07,2011.85,265.07
2011-11-08,2011.853,268.77
2011-11-09,2011.856,257.2
2011-11-10,2011.858,259.9
2011-11-11,2011.861,270.31
2011-11-14,2011.869,266.49
2011-11-15,2011.872,269.33
2011-11-16,2011.875,265.66
2011-11-17,2011.878,249.41
2011-11-18,2011.881,243.91
2011-11-21,2011.889,238.59
2011-11-22,2011.892,231.51
2011-11-23,2011.894,224.88
2011-11-25,2011.9,223.19
2011-11-28,2011.908,229.55
2011-11-29,2011.911,227.1
2011-11-30,2011.914,241.35
2011-12-01,2011.917,242.91
2011-12-02,2011.919,243.22
2011-12-05,2011.928,248.33
2011-12-06,2011.931,250.95
2011-12-07,2011.933,252.84
2011-12-08,2011.936,246.74
2011-12-09,2011.939,253.51
2011-12-12,2011.947,241.62
2011-12-13,2011.95,238.59
2011-12-14,2011.953,234.88
2011-12-15,2011.956,235.91
2011-12-16,2011.958,238.37
2011-12-19,2011.967,233.4
2011-12-20,2011.969,242.62
2011-12-21,2011.972,238.87
2011-12-22,2011.975,245.11
2011-12-23,2011.978,249.42
2011-12-27,2011.989,249.98
2011-12-28,2011.992,245.68
2011-12-29,2011.994,247.86
2011-12-30,2011.997,247.6
2012-01-03,2012.006,246.23
2012-01-04,2012.008,246.87
2012-01-05,2012.011,249.73
2012-01-06,2012.014,252.38
2012-01-09,2012.022,258.17
2012-01-10,2012.025,262.11
2012-01-11,2012.028,265.39
2012-01-12,2012.031,265.47
2012-01-13,2012.033,259.27
2012-01-17,2012.044,265.06
2012-01-18,2012.047,273.33
2012-01-19,2012.05,278.23
2012-01-20,2012.053,280.81
2012-01-23,2012.061,276.29
2012-01-24,2012.064,279.59
2012-01-25,2012.067,280.18
2012-01-26,2012.069,278.64
2012-01-27,2012.072,281.14
2012-01-30,2012.081,276.09
2012-01-31,2012.083,278.65
2012-02-01,2012.083,284.42
2012-02-02,2012.086,285.56
2012-02-03,2012.089,288.22
2012-02-06,2012.097,283.15
2012-02-07,2012.1,285.1
2012-02-08,2012.103,288.96
2012-02-09,2012.106,289.12
2012-02-10,2012.108,284.18
2012-02-13,2012.117,283.5
2012-02-14,2012.119,283.8
2012-02-15,2012.122,283.62
2012-02-16,2012.125,290.98
2012-02-17,2012.128,286.46
2012-02-21,2012.139,278.48
2012-02-22,2012.142,280.27
2012-02-23,2012.144,279.42
2012-02-24,2012.147,276.58
2012-02-27,2012.156,276.46
2012-02-28,2012.158,279.49
2012-02-29,2012.161,273.76
2012-03-01,2012.167,273.14
2012-03-02,2012.169,271.57
2012-03-05,2012.178,265.86
2012-03-06,2012.181,265.84
2012-03-07,2012.183,268.93
2012-03-08,2012.186,271.17
2012-03-09,2012.189,276.85
2012-03-12,2012.197,277.06
2012-03-13,2012.2,281.44
2012-03-14,2012.203,281.49
2012-03-15,2012.206,287.43
2012-03-16,2012.208,288.24
2012-03-19,2012.217,289.11
2012-03-20,2012.219,288.17
2012-03-21,2012.222,288.13
2012-03-22,2012.225,286.16
2012-03-23,2012.228,287.89
2012-03-26,2012.236,294.12
2012-03-27,2012.239,293.39
2012-03-28,2012.242,287.08
2012-03-29,2012.244,287.65
2012-03-30,2012.247,288.2
2012-04-02,2012.253,289.14
2012-04-03,2012.256,283.96
2012-04-04,2012.258,278.99
2012-04-05,2012.261,279.96
2012-04-09,2012.272,276.38
2012-04-10,2012.275,272.16
2012-04-11,2012.278,277.31
2012-04-12,2012.281,281.54
2012-04-13,2012.283,275.38
2012-04-16,2012.292,275.99
2012-04-17,2012.294,280.59
2012-04-18,2012.297,277.8
2012-04-19,2012.3,277.03
2012-04-20,2012.303,273.66
2012-04-23,2012.311,269.7
2012-04-24,2012.314,268.15
2012-04-25,2012.317,274.03
2012-04-26,2012.319,281.91
2012-04-27,2012.322,279.24
2012-04-30,2012.331,278.02
2012-05-01,2012.333,276.98
2012-05-02,2012.336,275.32
2012-05-03,2012.339,269.17
2012-05-04,2012.342,263.38
2012-05-07,2012.35,261.89
2012-05-08,2012.353,261.41
2012-05-09,2012.356,260.77
2012-05-10,2012.358,260.35
2012-05-11,2012.361,260.27
2012-05-14,2012.369,259.5
2012-05-15,2012.372,256.82
2012-05-16,2012.375,249.12
2012-05-17,2012.378,244.2
2012-05-18,2012.381,241.27
2012-05-21,2012.389,246.61
2012-05-22,2012.392,244.88
2012-05-23,2012.394,246.84
2012-05-24,2012.397,242.46
2012-05-25,2012.4,245.54
2012-05-29,2012.411,249.45
2012-05-30,2012.414,243.79
2012-05-31,2012.417,241.25
2012-06-01,2012.417,233.25
2012-06-04,2012.425,234.4
2012-06-05,2012.428,239.17
2012-06-06,2012.431,246.76
2012-06-07,2012.433,244.09
2012-06-08,2012.436,248.15
2012-06-11,2012.444,244.56
2012-06-12,2012.447,248.44
2012-06-13,2012.45,246.77
2012-06-14,2012.453,246.28
