Date,t,Close
2011-08-10,2011.608,278.04
2011-08-11,2011.611,289.38
2011-08-12,2011.614,292.05
2011-08-15,2011.622,295.34
2011-08-16,2011.625,295.46
2011-08-17,2011.628,300.04
2011-08-18,2011.631,293.02
2011-08-19,2011.633,289.37
2011-08-22,2011.642,289.72
2011-08-23,2011.644,297.32
2011-08-24,2011.647,298.83
2011-08-25,2011.65,293.03
2011-08-26,2011.653,295.03
2011-08-29,2011.661,300.25
2011-08-30,2011.664,301.37
2011-08-31,2011.667,302.9
2011-09-01,2011.667,302.32
2011-09-02,2011.669,298.79
2011-09-06,2011.681,296.49
2011-09-07,2011.683,298.54
2011-09-08,2011.686,298.91
2011-09-09,2011.689,291.47
2011-09-12,2011.697,291.81
2011-09-13,2011.7,292.3
2011-09-14,2011.703,296.02
2011-09-15,2011.706,301.95
2011-09-16,2011.708,300.65
2011-09-19,2011.717,296
2011-09-20,2011.719,296.09
2011-09-21,2011.722,292.86
2011-09-22,2011.725,289.23
2011-09-23,2011.728,287.09
2011-09-26,2011.736,293.37
2011-09-27,2011.739,296.39
2011-09-28,2011.742,291.33
2011-09-29,2011.744,295.37
2011-09-30,2011.747,290.55
2011-10-03,2011.756,281.71
2011-10-04,2011.758,281.77
2011-10-05,2011.761,281.95
2011-10-06,2011.764,282.48
2011-10-07,2011.767,284.6
2011-10-10,2011.775,288.96
2011-10-11,2011.778,287.09
2011-10-12,2011.781,292.14
2011-10-13,2011.783,291.39
2011-10-14,2011.786,292.48
2011-10-17,2011.794,289.45
2011-10-18,2011.797,289.8
2011-10-19,2011.8,289.93
2011-10-20,2011.803,290.22
2011-10-21,2011.806,293.3
2011-10-24,2011.814,292.27
2011-10-25,2011.817,289.1
2011-10-26,2011.819,290.6
2011-10-27,2011.822,294.66
2011-10-28,2011.825,296.42
2011-10-31,2011.833,294.58
2011-11-01,2011.833,289.73
2011-11-02,2011.836,291.87
2011-11-03,2011.839,294.96
2011-11-04,2011.842,291.31
2011-11-07,2011.85,293.41
2011-11-08,2011.853,296.49
2011-11-09,2011.856,289.71
2011-11-10,2011.858,292.12
2011-11-11,2011.861,294.56
2011-11-14,2011.869,292.62
2011-11-15,2011.872,296.08
2011-11-16,2011.875,294.4
2011-11-17,2011.878,291.57
2011-11-18,2011.881,293.42
2011-11-21,2011.889,288.13
2011-11-22,2011.892,288.09
2011-11-23,2011.894,283.63
2011-11-25,2011.9,283.46
2011-11-28,2011.908,285.71
2011-11-29,2011.911,289.37
2011-11-30,2011.914,293.22
2011-12-01,2011.917,292.3
2011-12-02,2011.919,291.53
2011-12-05,2011.928,291.96
2011-12-06,2011.931,293.24
2011-12-07,2011.933,294.02
2011-12-08,2011.936,292.74
2011-12-09,2011.939,296.4
2011-12-12,2011.947,293.65
2011-12-13,2011.95,291.76
2011-12-14,2011.953,290.78
2011-12-15,2011.956,294.01
2011-12-16,2011.958,295.37
2011-12-19,2011.967,294.34
2011-12-20,2011.969,299.24
2011-12-21,2011.972,303.12
2011-12-22,2011.975,302.16
2011-12-23,2011.978,305.07
2011-12-27,2011.989,304.62
2011-12-28,2011.992,302.54
2011-12-29,2011.994,305.54
2011-12-30,2011.997,304.59
2012-01-03,2012.006,304.86
2012-01-04,2012.008,304.46
2012-01-05,2012.011,302.82
2012-01-06,2012.014,300.04
2012-01-09,2012.022,300.72
2012-01-10,2012.025,301.63
2012-01-11,2012.028,297.29
2012-01-12,2012.031,295.33
2012-01-13,2012.033,293.43
2012-01-17,2012.044,294.8
2012-01-18,2012.047,295.8
2012-01-19,2012.05,297.42
2012-01-20,2012.053,299.67
2012-01-23,2012.061,300.55
2012-01-24,2012.064,299.09
2012-01-25,2012.067,301.73
2012-01-26,2012.069,300.31
2012-01-27,2012.072,297.63
2012-01-30,2012.081,296.81
2012-01-31,2012.083,297.58
2012-02-01,2012.083,299.68
2012-02-02,2012.086,299.76
2012-02-03,2012.089,300.83
2012-02-06,2012.097,300.26
2012-02-07,2012.1,302.03
2012-02-08,2012.103,301.46
2012-02-09,2012.106,296.48
2012-02-10,2012.108,295.8
2012-02-13,2012.117,296.88
2012-02-14,2012.119,297.82
2012-02-15,2012.122,296.08
2012-02-16,2012.125,296.77
2012-02-17,2012.128,297.16
2012-02-21,2012.139,297.17
2012-02-22,2012.142,298.17
2012-02-23,2012.144,297.96
2012-02-24,2012.147,297.79
2012-02-27,2012.156,297.19
2012-02-28,2012.158,297.17
2012-02-29,2012.161,299.23
2012-03-01,2012.167,297.83
2012-03-02,2012.169,296.58
2012-03-05,2012.178,297.09
2012-03-06,2012.181,294.77
2012-03-07,2012.183,295.48
2012-03-08,2012.186,297.11
2012-03-09,2012.189,298.26
2012-03-12,2012.197,301.3
2012-03-13,2012.2,302.43
2012-03-14,2012.203,301.7
2012-03-15,2012.206,302.21
2012-03-16,2012.208,302.33
2012-03-19,2012.217,303.44
2012-03-20,2012.219,304.91
2012-03-21,2012.222,306.38
2012-03-22,2012.225,307.26
2012-03-23,2012.228,307.26
2012-03-26,2012.236,309.14
2012-03-27,2012.239,309.39
2012-03-28,2012.242,311.14
2012-03-29,2012.244,314.41
2012-03-30,2012.247,315.73
2012-04-02,2012.253,316.92
2012-04-03,2012.256,315.69
2012-04-04,2012.258,314.33
2012-04-05,2012.261,314.13
2012-04-09,2012.272,310.9
2012-04-10,2012.275,307.61
2012-04-11,2012.278,308.43
2012-04-12,2012.281,309.04
2012-04-13,2012.283,307.9
2012-04-16,2012.292,310.82
2012-04-17,2012.294,315.61
2012-04-18,2012.297,315.87
2012-04-19,2012.3,314.98
2012-04-20,2012.303,316.71
2012-04-23,2012.311,314.56
2012-04-24,2012.314,316.35
2012-04-25,2012.317,318.52
2012-04-26,2012.319,320.23
2012-04-27,2012.322,322.04
2012-04-30,2012.331,321.43
2012-05-01,2012.333,323.69
2012-05-02,2012.336,324.94
2012-05-03,2012.339,325.44
2012-05-04,2012.342,322.47
2012-05-07,2012.35,324.34
2012-05-08,2012.353,324.04
2012-05-09,2012.356,322.2
2012-05-10,2012.358,325.5
2012-05-11,2012.361,325.49
2012-05-14,2012.369,324.39
2012-05-15,2012.372,324.61
2012-05-16,2012.375,325.84
2012-05-17,2012.378,322.53
2012-05-18,2012.381,318.4
2012-05-21,2012.389,319.51
2012-05-22,2012.392,318.91
2012-05-23,2012.394,319.65
2012-05-24,2012.397,323.54
2012-05-25,2012.4,322.54
2012-05-29,2012.411,324.41
2012-05-30,2012.414,321.38
2012-05-31,2012.417,319.92
2012-06-01,2012.417,314.8
2012-06-04,2012.425,316.12
2012-06-05,2012.428,314.34
2012-06-06,2012.431,318.85
2012-06-07,2012.433,318.43
2012-06-08,2012.436,322.15
2012-06-11,2012.444,320.06
2012-06-12,2012.447,322.35
2012-06-13,2012.45,321.13
2012-06-14,2012.453,324.87
2012-06-15,2012.456,326.25
2012-06-18,2012.464,326.24
2012-06-19,2012.467,325.37
2012-06-20,2012.469,324.12
2012-06-21,2012.472,320.98
2012-06-22,2012.475,322.14
2012-06-25,2012.483,321.38
2012-06-26,2012.486,322.66
2012-06-27,2012.489,327.27
2012-06-28,2012.492,327.74
2012-06-29,2012.494,334.31
2012-07-02,2012.503,336.84
2012-07-03,2012.506,337.65
2012-07-05,2012.511,334.72
2012-07-06,2012.514,333.78
2012-07-09,2012.522,332.82
2012-07-10,2012.525,332.72
2012-07-11,2012.528,331.51
2012-07-12,2012.531,329.03
2012-07-13,2012.533,331.97
2012-07-16,2012.542,329.56
2012-07-17,2012.544,332.3
2012-07-18,2012.547,331.97
2012-07-19,2012.55,331.68
2012-07-20,2012.553,328.89
2012-07-23,2012.561,327.95
2012-07-24,2012.564,326.38
2012-07-25,2012.567,330.16
2012-07-26,2012.569,336.78
2012-07-27,2012.572,341.75
2012-07-30,2012.581,345.21
2012-07-31,2012.583,344.02
2012-08-01,2012.583,343.63
2012-08-02,2012.586,339.23
2012-08-03,2012.589,344.39
2012-08-06,2012.597,343.17
2012-08-07,2012.6,341.28
2012-08-08,2012.603,341.12
2012-08-09,2012.606,338.41
2012-08-10,2012.608,336.15
2012-08-13,2012.617,335.15
2012-08-14,2012.619,336.88
2012-08-15,2012.622,337.42
2012-08-16,2012.625,340.24
2012-08-17,2012.628,340.06
2012-08-20,2012.636,339.64
2012-08-21,2012.639,338.18
2012-08-22,2012.642,335.71
2012-08-23,2012.644,331.63
2012-08-24,2012.647,334.25
2012-08-27,2012.656,333.16
2012-08-28,2012.658,332.14
2012-08-29,2012.661,328.97
2012-08-30,2012.664,326.05
2012-08-31,2012.667,327.85
2012-09-04,2012.675,327.2
2012-09-05,2012.678,326.4
2012-09-06,2012.681,331.33
2012-09-07,2012.683,329.99
2012-09-10,2012.692,328.08
2012-09-11,2012.694,328.13
2012-09-12,2012.697,323.7
2012-09-13,2012.7,329.55
2012-09-14,2012.703,327.55
2012-09-17,2012.711,328.36
2012-09-18,2012.714,330.2
2012-09-19,2012.717,330.31
2012-09-20,2012.719,331.77
2012-09-21,2012.722,327.4
2012-09-24,2012.731,327.91
2012-09-25,2012.733,325.16
2012-09-26,2012.736,325.48
2012-09-27,2012.739,328.7
2012-09-28,2012.742,327.42
2012-10-01,2012.75,329.5
2012-10-02,2012.753,329.26
2012-10-03,2012.756,328.8
2012-10-04,2012.758,329.59
2012-10-05,2012.761,331.53
2012-10-08,2012.769,331.73
2012-10-09,2012.772,331.34
2012-10-10,2012.775,326.95
2012-10-11,2012.778,326.43
2012-10-12,2012.781,327.8
2012-10-15,2012.789,328.27
2012-10-16,2012.792,327.46
2012-10-17,2012.794,326.22
2012-10-18,2012.797,327.82
2012-10-19,2012.8,323.25
2012-10-22,2012.808,320.67
2012-10-23,2012.811,314.99
2012-10-24,2012.814,316.75
2012-10-25,2012.817,318.55
2012-10-26,2012.819,318.22
2012-10-31,2012.833,319.28
2012-11-01,2012.833,320.56
2012-11-02,2012.836,318.35
2012-11-05,2012.844,316.97
2012-11-06,2012.847,320.73
2012-11-07,2012.85,316.67
2012-11-08,2012.853,314.41
2012-11-09,2012.856,314.5
2012-11-12,2012.864,313.28
2012-11-13,2012.867,313.55
2012-11-14,2012.869,311.62
2012-11-15,2012.872,313.45
2012-11-16,2012.875,314.39
2012-11-19,2012.883,318.53
2012-11-20,2012.886,318.87
2012-11-21,2012.889,320.47
2012-11-23,2012.894,324.76
2012-11-26,2012.903,321.71
2012-11-27,2012.906,323.25
2012-11-28,2012.908,324.46
2012-11-29,2012.911,326.41
2012-11-30,2012.914,326.04
2012-12-03,2012.922,323.01
2012-12-04,2012.925,321.99
2012-12-05,2012.928,322.66
2012-12-06,2012.931,323.56
2012-12-07,2012.933,325.74
2012-12-10,2012.942,325.42
2012-12-11,2012.944,327.1
2012-12-12,2012.947,325.86
2012-12-13,2012.95,324.96
2012-12-14,2012.953,324.91
2012-12-17,2012.961,324.49
2012-12-18,2012.964,324.24
2012-12-19,2012.967,320.61
2012-12-20,2012.969,322.22
2012-12-21,2012.972,320.51
2012-12-24,2012.981,319.55
2012-12-26,2012.986,316.84
2012-12-27,2012.989,316.57
2012-12-28,2012.992,313.14
2012-12-31,2013,315.52
2013-01-02,2013.003,324.08
2013-01-03,2013.006,323.65
2013-01-04,2013.008,324.25
2013-01-07,2013.017,322.19
2013-01-08,2013.019,321.55
2013-01-09,2013.022,322.17
2013-01-10,2013.025,323.1
2013-01-11,2013.028,323.32
2013-01-14,2013.036,324.46
2013-01-15,2013.039,326.62
2013-01-16,2013.042,326.25
2013-01-17,2013.044,328.82
2013-01-18,2013.047,329.5
2013-01-22,2013.058,326.61
2013-01-23,2013.061,325.59
2013-01-24,2013.064,326.15
2013-01-25,2013.067,326.3
2013-01-28,2013.075,326.48
2013-01-29,2013.078,329.03
2013-01-30,2013.081,330.12
2013-01-31,2013.083,328.25
2013-02-01,2013.083,329.42
2013-02-04,2013.092,328.02
2013-02-05,2013.094,333.03
2013-02-06,2013.097,333.42
2013-02-07,2013.1,335.95
2013-02-08,2013.103,334.8
2013-02-11,2013.111,333.7
2013-02-12,2013.114,328.52
2013-02-13,2013.117,325.23
2013-02-14,2013.119,325.17
2013-02-15,2013.122,331.01
2013-02-19,2013.133,335.26
2013-02-20,2013.136,335.33
2013-02-21,2013.139,334.79
2013-02-22,2013.142,339.18
2013-02-25,2013.15,334.43
2013-02-26,2013.153,336.8
2013-02-27,2013.156,338.4
2013-02-28,2013.158,340.51
2013-03-01,2013.167,340.72
2013-03-04,2013.175,342.37
2013-03-05,2013.178,342.36
2013-03-06,2013.181,343.47
2013-03-07,2013.183,344.4
2013-03-08,2013.186,345.04
2013-03-11,2013.194,344.74
2013-03-12,2013.197,343.15
2013-03-13,2013.2,341.61
2013-03-14,2013.203,343.97
2013-03-15,2013.206,343.16
2013-03-18,2013.214,342.26
2013-03-19,2013.217,345.26
2013-03-20,2013.219,347.67
2013-03-21,2013.222,348.04
2013-03-22,2013.225,352.38
2013-03-25,2013.233,351.17
2013-03-26,2013.236,355.86
2013-03-27,2013.239,352.5
2013-03-28,2013.242,354.94
2013-04-01,2013.25,354.72
2013-04-02,2013.253,357.37
2013-04-03,2013.256,353.18
2013-04-04,2013.258,356.25
2013-04-05,2013.261,352.23
2013-04-08,2013.269,358.12
2013-04-09,2013.272,357
2013-04-10,2013.275,360.83
2013-04-11,2013.278,361.51
2013-04-12,2013.281,361.19
2013-04-15,2013.289,354.1
2013-04-16,2013.292,366.96
2013-04-17,2013.294,365.15
2013-04-18,2013.297,367.45
2013-04-19,2013.3,373.15
2013-04-22,2013.308,374.4
2013-04-23,2013.311,375.82
2013-04-24,2013.314,370.32
2013-04-25,2013.317,371.71
2013-04-26,2013.319,370.02
2013-04-29,2013.328,371.03
2013-04-30,2013.331,371.31
2013-05-01,2013.333,369.97
2013-05-02,2013.336,369.67
2013-05-03,2013.339,372
2013-05-06,2013.347,370.45
2013-05-07,2013.35,375.11
2013-05-08,2013.353,373.81
2013-05-09,2013.356,370.76
2013-05-10,2013.358,371.33
2013-05-13,2013.367,371.51
2013-05-14,2013.369,374.59
2013-05-15,2013.372,378.54
2013-05-16,2013.375,377.95
2013-05-17,2013.378,377.25
2013-05-20,2013.386,372.24
2013-05-21,2013.389,372.02
2013-05-22,2013.392,372.24
2013-05-23,2013.394,369.03
2013-05-24,2013.397,371.25
2013-05-28,2013.408,372.45
2013-05-29,2013.411,364.45
2013-05-30,2013.414,361.67
2013-05-31,2013.417,356.92
2013-06-03,2013.422,361.94
2013-06-04,2013.425,366.1
2013-06-05,2013.428,361.35
2013-06-06,2013.431,362.87
2013-06-07,2013.433,367.66
2013-06-10,2013.442,367.55
2013-06-11,2013.444,364.61
2013-06-12,2013.447,362.22
2013-06-13,2013.45,362.16
2013-06-14,2013.453,361.64
2013-06-17,2013.461,364.04
2013-06-18,2013.464,365.37
2013-06-19,2013.467,359.38
2013-06-20,2013.469,349.01
2013-06-21,2013.472,354.07
2013-06-24,2013.481,353.01
2013-06-25,2013.483,353.63
2013-06-26,2013.486,359.13
2013-06-27,2013.489,360.19
2013-06-28,2013.492,359.72
2013-07-01,2013.5,361.93
2013-07-02,2013.503,360.78
2013-07-03,2013.506,359.39
2013-07-05,2013.511,359.78
2013-07-08,2013.519,361.75
2013-07-09,2013.522,364.89
