Date,t,Close
2011-08-08,2011.603,344.37
2011-08-09,2011.606,359.27
2011-08-10,2011.608,345.84
2011-08-11,2011.611,361.42
2011-08-12,2011.614,369.1
2011-08-15,2011.622,371.6
2011-08-16,2011.625,367.02
2011-08-17,2011.628,364.07
2011-08-18,2011.631,348.47
2011-08-19,2011.633,345.2
2011-08-22,2011.642,350.99
2011-08-23,2011.644,366.4
2011-08-24,2011.647,370.8
2011-08-25,2011.65,366.66
2011-08-26,2011.653,375.03
2011-08-29,2011.661,386.29
2011-08-30,2011.664,387.99
2011-08-31,2011.667,391.3
2011-09-01,2011.667,383.87
2011-09-02,2011.669,376.75
2011-09-06,2011.681,376.43
2011-09-07,2011.683,385.15
2011-09-08,2011.686,379.62
2011-09-09,2011.689,368.6
2011-09-12,2011.697,367.12
2011-09-13,2011.7,371.67
2011-09-14,2011.703,381.98
2011-09-15,2011.706,385.22
2011-09-16,2011.708,388.67
2011-09-19,2011.717,384.03
2011-09-20,2011.719,384.89
2011-09-21,2011.722,373.63
2011-09-22,2011.725,363.93
2011-09-23,2011.728,365.73
2011-09-26,2011.736,379.21
2011-09-27,2011.739,386.33
2011-09-28,2011.742,375.97
2011-09-29,2011.744,377.91
2011-09-30,2011.747,370.51
2011-10-03,2011.756,365.62
2011-10-04,2011.758,376.69
2011-10-05,2011.761,385.22
2011-10-06,2011.764,386.4
2011-10-07,2011.767,383.55
2011-10-10,2011.775,393.85
2011-10-11,2011.778,394.54
2011-10-12,2011.781,396.88
2011-10-13,2011.783,394.55
2011-10-14,2011.786,398.43
2011-10-17,2011.794,391.89
2011-10-18,2011.797,400.32
2011-10-19,2011.8,394.99
2011-10-20,2011.803,397.55
2011-10-21,2011.806,408.11
2011-10-24,2011.814,410.72
2011-10-25,2011.817,401.07
2011-10-26,2011.819,402.3
2011-10-27,2011.822,415.62
2011-10-28,2011.825,414.58
2011-10-31,2011.833,403.75
2011-11-01,2011.833,394.08
2011-11-02,2011.836,402.26
2011-11-03,2011.839,411.5
2011-11-04,2011.842,408.69
2011-11-07,2011.85,410.74
2011-11-08,2011.853,407.95
2011-11-09,2011.856,393.92
2011-11-10,2011.858,397.55
2011-11-11,2011.861,405.67
2011-11-14,2011.869,402.18
2011-11-15,2011.872,402.87
2011-11-16,2011.875,397.35
2011-11-17,2011.878,390.47
2011-11-18,2011.881,390.08
2011-11-21,2011.889,386.64
2011-11-22,2011.892,386.94
2011-11-23,2011.894,382.29
2011-11-25,2011.9,384.96
2011-11-28,2011.908,394.95
2011-11-29,2011.911,395.51
2011-11-30,2011.914,410.05
2011-12-01,2011.917,404.04
2011-12-02,2011.919,404.13
2011-12-05,2011.928,403.67
2011-12-06,2011.931,405.49
2011-12-07,2011.933,405.86
2011-12-08,2011.936,402.69
2011-12-09,2011.939,407.36
2011-12-12,2011.947,400.09
2011-12-13,2011.95,395.08
2011-12-14,2011.953,390.94
2011-12-15,2011.956,393.09
2011-12-16,2011.958,395.91
2011-12-19,2011.967,392.7
2011-12-20,2011.969,403.41
2011-12-21,2011.972,404.05
2011-12-22,2011.975,404.8
2011-12-23,2011.978,408.81
2011-12-27,2011.989,410.73
2011-12-28,2011.992,404.71
2011-12-29,2011.994,410.37
2011-12-30,2011.997,410.25
2012-01-03,2012.006,414.38
2012-01-04,2012.008,414.63
2012-01-05,2012.011,416.14
2012-01-06,2012.014,415.38
2012-01-09,2012.022,416.42
2012-01-10,2012.025,421.62
2012-01-11,2012.028,425.31
2012-01-12,2012.031,429.84
2012-01-13,2012.033,426.4
2012-01-17,2012.044,427.96
2012-01-18,2012.047,433.87
2012-01-19,2012.05,434.59
2012-01-20,2012.053,434.28
2012-01-23,2012.061,434.94
2012-01-24,2012.064,438.6
2012-01-25,2012.067,441.59
2012-01-26,2012.069,440.18
2012-01-27,2012.072,438.76
2012-01-30,2012.081,437.1
2012-01-31,2012.083,437.53
2012-02-01,2012.083,440.46
2012-02-02,2012.086,439.28
2012-02-03,2012.089,445.59
2012-02-06,2012.097,444.94
2012-02-07,2012.1,446.8
2012-02-08,2012.103,448.71
2012-02-09,2012.106,448.03
2012-02-10,2012.108,443.05
2012-02-13,2012.117,446.62
2012-02-14,2012.119,446.21
2012-02-15,2012.122,447.4
2012-02-16,2012.125,450.45
2012-02-17,2012.128,450.95
2012-02-21,2012.139,450.62
2012-02-22,2012.142,451.56
2012-02-23,2012.144,453.97
2012-02-24,2012.147,456.21
2012-02-27,2012.156,458.33
2012-02-28,2012.158,454.55
2012-02-29,2012.161,447.58
2012-03-01,2012.167,447.68
2012-03-02,2012.169,445.42
2012-03-05,2012.178,444.43
2012-03-06,2012.181,442.14
2012-03-07,2012.183,445.56
2012-03-08,2012.186,446.4
2012-03-09,2012.189,448.39
2012-03-12,2012.197,446.95
2012-03-13,2012.2,451.47
2012-03-14,2012.203,450.57
2012-03-15,2012.206,453.17
2012-03-16,2012.208,453.53
2012-03-19,2012.217,454.96
2012-03-20,2012.219,454.62
2012-03-21,2012.222,453.22
2012-03-22,2012.225,451.37
2012-03-23,2012.228,453.81
2012-03-26,2012.236,463.24
2012-03-27,2012.239,463.09
2012-03-28,2012.242,460.97
2012-03-29,2012.244,461.68
2012-03-30,2012.247,461.7
2012-04-02,2012.253,467.57
2012-04-03,2012.256,465.81
2012-04-04,2012.258,462.21
2012-04-05,2012.261,462.22
2012-04-09,2012.272,460.45
2012-04-10,2012.275,450.73
2012-04-11,2012.278,459.32
2012-04-12,2012.281,467.71
2012-04-13,2012.283,465.69
2012-04-16,2012.292,467.2
2012-04-17,2012.294,471.89
2012-04-18,2012.297,471.24
2012-04-19,2012.3,469.91
2012-04-20,2012.303,471.98
2012-04-23,2012.311,468.72
2012-04-24,2012.314,469.1
2012-04-25,2012.317,474
2012-04-26,2012.319,476.69
2012-04-27,2012.322,480.06
2012-04-30,2012.331,478.02
2012-05-01,2012.333,481.04
2012-05-02,2012.336,480.71
2012-05-03,2012.339,480.07
2012-05-04,2012.342,473.8
2012-05-07,2012.35,479.66
2012-05-08,2012.353,481.67
2012-05-09,2012.356,481.45
2012-05-10,2012.358,482.13
2012-05-11,2012.361,481.35
2012-05-14,2012.369,476.47
2012-05-15,2012.372,474.12
2012-05-16,2012.375,474.55
2012-05-17,2012.378,463.04
2012-05-18,2012.381,463.15
2012-05-21,2012.389,475.11
2012-05-22,2012.392,478.03
2012-05-23,2012.394,482.48
2012-05-24,2012.397,485.88
2012-05-25,2012.4,483.44
2012-05-29,2012.411,489
2012-05-30,2012.414,481.61
2012-05-31,2012.417,479.99
2012-06-01,2012.417,466.49
2012-06-04,2012.425,469.2
2012-06-05,2012.428,473.73
2012-06-06,2012.431,485.09
2012-06-07,2012.433,489.42
2012-06-08,2012.436,494.58
2012-06-11,2012.444,488.14
2012-06-12,2012.447,497.27
2012-06-13,2012.45,491.16
2012-06-14,2012.453,493.6
2012-06-15,2012.456,495.64
2012-06-18,2012.464,498.65
2012-06-19,2012.467,502.6
2012-06-20,2012.469,496.81
2012-06-21,2012.472,484.55
2012-06-22,2012.475,491.78
2012-06-25,2012.483,488.25
2012-06-26,2012.486,492.91
2012-06-27,2012.489,493.86
2012-06-28,2012.492,493.9
2012-06-29,2012.494,504.87
2012-07-02,2012.503,504.61
2012-07-03,2012.506,507.12
2012-07-05,2012.511,505.89
2012-07-06,2012.514,501.38
2012-07-09,2012.522,499.65
2012-07-10,2012.525,495.34
2012-07-11,2012.528,490.78
2012-07-12,2012.531,492.27
2012-07-13,2012.533,496.6
2012-07-16,2012.542,491.47
2012-07-17,2012.544,496.17
2012-07-18,2012.547,496.28
2012-07-19,2012.55,501.2
2012-07-20,2012.553,496.73
2012-07-23,2012.561,492.21
2012-07-24,2012.564,484.51
2012-07-25,2012.567,482.03
2012-07-26,2012.569,488.99
2012-07-27,2012.572,499.53
2012-07-30,2012.581,501.67
2012-07-31,2012.583,491.06
2012-08-01,2012.583,490.63
2012-08-02,2012.586,482.66
2012-08-03,2012.589,490.46
2012-08-06,2012.597,490.96
2012-08-07,2012.6,496.12
2012-08-08,2012.603,503.01
2012-08-09,2012.606,503.82
2012-08-10,2012.608,506.68
2012-08-13,2012.617,504.86
2012-08-14,2012.619,503.58
2012-08-15,2012.622,502.56
2012-08-16,2012.625,510.23
2012-08-17,2012.628,510.69
2012-08-20,2012.636,507.46
2012-08-21,2012.639,503.7
2012-08-22,2012.642,510.47
2012-08-23,2012.644,507.2
2012-08-24,2012.647,509.45
2012-08-27,2012.656,507.41
2012-08-28,2012.658,503.86
2012-08-29,2012.661,506.95
2012-08-30,2012.664,499.6
2012-08-31,2012.667,501.69
2012-09-04,2012.675,498.71
2012-09-05,2012.678,499.3
2012-09-06,2012.681,508.63
2012-09-07,2012.683,513.6
2012-09-10,2012.692,511.66
2012-09-11,2012.694,508.77
2012-09-12,2012.697,510.06
2012-09-13,2012.7,520.48
2012-09-14,2012.703,523.11
2012-09-17,2012.711,518.63
2012-09-18,2012.714,517.34
2012-09-19,2012.717,521.63
2012-09-20,2012.719,521.22
2012-09-21,2012.722,522.85
2012-09-24,2012.731,522.25
2012-09-25,2012.733,515.16
2012-09-26,2012.736,514.66
2012-09-27,2012.739,521.68
2012-09-28,2012.742,519.47
2012-10-01,2012.75,522.17
2012-10-02,2012.753,523.95
2012-10-03,2012.756,524.49
2012-10-04,2012.758,526.49
2012-10-05,2012.761,530.17
2012-10-08,2012.769,526.23
2012-10-09,2012.772,517.93
2012-10-10,2012.775,514.93
2012-10-11,2012.778,517.02
2012-10-12,2012.781,521.2
2012-10-15,2012.789,529.15
2012-10-16,2012.792,543.2
2012-10-17,2012.794,550.24
2012-10-18,2012.797,548.03
2012-10-19,2012.8,540.14
2012-10-22,2012.808,547.12
2012-10-23,2012.811,536.03
2012-10-24,2012.814,538.21
2012-10-25,2012.817,529.43
2012-10-26,2012.819,531.03
2012-10-31,2012.833,532.27
2012-11-01,2012.833,541.52
2012-11-02,2012.836,533.04
2012-11-05,2012.844,536.84
2012-11-06,2012.847,539.52
2012-11-07,2012.85,532.91
2012-11-08,2012.853,526.51
2012-11-09,2012.856,522.24
2012-11-12,2012.864,526.78
2012-11-13,2012.867,526.27
2012-11-14,2012.869,518.71
2012-11-15,2012.872,515.64
2012-11-16,2012.875,522.36
2012-11-19,2012.883,534.92
2012-11-20,2012.886,535.64
2012-11-21,2012.889,535.25
2012-11-23,2012.894,540.76
2012-11-26,2012.903,537.17
2012-11-27,2012.906,535.54
2012-11-28,2012.908,539.26
2012-11-29,2012.911,541.4
2012-11-30,2012.914,544.32
2012-12-03,2012.922,539.57
2012-12-04,2012.925,542.77
2012-12-05,2012.928,546.12
2012-12-06,2012.931,550.53
2012-12-07,2012.933,555.84
2012-12-10,2012.942,557.46
2012-12-11,2012.944,557.5
2012-12-12,2012.947,550.99
2012-12-13,2012.95,547.32
2012-12-14,2012.953,550.6
2012-12-17,2012.961,559.49
2012-12-18,2012.964,561.97
2012-12-19,2012.967,559.38
2012-12-20,2012.969,565.34
2012-12-21,2012.972,560.72
2012-12-24,2012.981,566.01
2012-12-26,2012.986,567.73
2012-12-27,2012.989,566.93
2012-12-28,2012.992,559.04
2012-12-31,2013,569.7
2013-01-02,2013.003,584.14
2013-01-03,2013.006,582.32
2013-01-04,2013.008,587.08
2013-01-07,2013.017,585.54
2013-01-08,2013.019,586.63
2013-01-09,2013.022,589.76
2013-01-10,2013.025,589.88
2013-01-11,2013.028,586.74
2013-01-14,2013.036,587.57
2013-01-15,2013.039,588.3
2013-01-16,2013.042,587.81
2013-01-17,2013.044,591.94
2013-01-18,2013.047,595.6
2013-01-22,2013.058,596.94
2013-01-23,2013.061,594.87
2013-01-24,2013.064,595.29
2013-01-25,2013.067,597.2
2013-01-28,2013.075,591.9
2013-01-29,2013.078,592.76
2013-01-30,2013.081,589.28
2013-01-31,2013.083,589.49
2013-02-01,2013.083,597.98
2013-02-04,2013.092,594.12
2013-02-05,2013.094,598.34
2013-02-06,2013.097,597.65
2013-02-07,2013.1,595.36
2013-02-08,2013.103,601.34
2013-02-11,2013.111,598.79
2013-02-12,2013.114,600.33
2013-02-13,2013.117,603.35
2013-02-14,2013.119,601.98
2013-02-15,2013.122,606.57
2013-02-19,2013.133,605.88
2013-02-20,2013.136,594.98
2013-02-21,2013.139,587.4
2013-02-22,2013.142,593
2013-02-25,2013.15,579.72
2013-02-26,2013.153,593.01
2013-02-27,2013.156,605.32
2013-02-28,2013.158,604.5
2013-03-01,2013.167,606.94
2013-03-04,2013.175,612.55
2013-03-05,2013.178,612.62
2013-03-06,2013.181,612.93
2013-03-07,2013.183,614.89
2013-03-08,2013.186,617.78
2013-03-11,2013.194,623.09
2013-03-12,2013.197,624.54
2013-03-13,2013.2,628.21
2013-03-14,2013.203,629.07
2013-03-15,2013.206,627.91
2013-03-18,2013.214,625.04
2013-03-19,2013.217,625.91
2013-03-20,2013.219,630.98
2013-03-21,2013.222,623.12
2013-03-22,2013.225,623.91
2013-03-25,2013.233,623.2
2013-03-26,2013.236,622.32
2013-03-27,2013.239,620.94
2013-03-28,2013.242,628.54
2013-04-01,2013.25,622.49
2013-04-02,2013.253,624.91
2013-04-03,2013.256,617.96
2013-04-04,2013.258,620.75
2013-04-05,2013.261,617.14
2013-04-08,2013.269,619.52
2013-04-09,2013.272,621.37
2013-04-10,2013.275,632.38
2013-04-11,2013.278,637.37
2013-04-12,2013.281,634.06
2013-04-15,2013.289,620.97
2013-04-16,2013.292,635.8
2013-04-17,2013.294,629.46
2013-04-18,2013.297,633.29
2013-04-19,2013.3,643.13
2013-04-22,2013.308,647.75
2013-04-23,2013.311,653.51
2013-04-24,2013.314,650.84
2013-04-25,2013.317,657.02
2013-04-26,2013.319,651.43
2013-04-29,2013.328,653.74
2013-04-30,2013.331,659.89
2013-05-01,2013.333,654.51
2013-05-02,2013.336,658.52
2013-05-03,2013.339,669.16
2013-05-06,2013.347,668.43
2013-05-07,2013.35,677.8
2013-05-08,2013.353,678.16
2013-05-09,2013.356,676.68
2013-05-10,2013.358,677.83
2013-05-13,2013.367,677.9
2013-05-14,2013.369,690.07
2013-05-15,2013.372,696.7
2013-05-16,2013.375,688.72
2013-05-17,2013.378,695.82
2013-05-20,2013.386,689.92
2013-05-21,2013.389,694.79
2013-05-22,2013.392,685.8
2013-05-23,2013.394,684.32
2013-05-24,2013.397,688.02
