Date,t,Close
2011-08-19,2011.633,82.52
2011-08-22,2011.642,82.72
2011-08-23,2011.644,86.9
2011-08-24,2011.647,89.01
2011-08-25,2011.65,86.7
2011-08-26,2011.653,88.28
2011-08-29,2011.661,91.92
2011-08-30,2011.664,91.79
2011-08-31,2011.667,92.34
2011-09-01,2011.667,91.12
2011-09-02,2011.669,88.52
2011-09-06,2011.681,87.25
2011-09-07,2011.683,91.73
2011-09-08,2011.686,89.99
2011-09-09,2011.689,88.05
2011-09-12,2011.697,89.43
2011-09-13,2011.7,91.4
2011-09-14,2011.703,93.68
2011-09-15,2011.706,95.52
2011-09-16,2011.708,95.76
2011-09-19,2011.717,93.5
2011-09-20,2011.719,93.23
2011-09-21,2011.722,91.51
2011-09-22,2011.725,90.23
2011-09-23,2011.728,90.25
2011-09-26,2011.736,92.25
2011-09-27,2011.739,92.35
2011-09-28,2011.742,89.22
2011-09-29,2011.744,90.16
2011-09-30,2011.747,86.83
2011-10-03,2011.756,85.46
2011-10-04,2011.758,88.32
2011-10-05,2011.761,89.76
2011-10-06,2011.764,92.38
2011-10-07,2011.767,89.52
2011-10-10,2011.775,93.42
2011-10-11,2011.778,91.88
2011-10-12,2011.781,93.68
2011-10-13,2011.783,92.39
2011-10-14,2011.786,93.52
2011-10-17,2011.794,91.47
2011-10-18,2011.797,93.37
2011-10-19,2011.8,92.15
2011-10-20,2011.803,92.6
2011-10-21,2011.806,93.68
2011-10-24,2011.814,95.69
2011-10-25,2011.817,92.09
2011-10-26,2011.819,93.76
2011-10-27,2011.822,99.26
2011-10-28,2011.825,99.66
2011-10-31,2011.833,97.46
2011-11-01,2011.833,91.17
2011-11-02,2011.836,92.97
2011-11-03,2011.839,96.51
2011-11-04,2011.842,96.57
2011-11-07,2011.85,96.66
2011-11-08,2011.853,98.39
2011-11-09,2011.856,94.65
2011-11-10,2011.858,94.32
2011-11-11,2011.861,96.26
2011-11-14,2011.869,94.22
2011-11-15,2011.872,94.93
2011-11-16,2011.875,90.57
2011-11-17,2011.878,89.04
2011-11-18,2011.881,90.9
2011-11-21,2011.889,89.04
2011-11-22,2011.892,89.1
2011-11-23,2011.894,87.47
2011-11-25,2011.9,87.2
2011-11-28,2011.908,89.99
2011-11-29,2011.911,89.18
2011-11-30,2011.914,93.5
2011-12-01,2011.917,93.74
2011-12-02,2011.919,93.84
2011-12-05,2011.928,93.73
2011-12-06,2011.931,93.77
2011-12-07,2011.933,93.6
2011-12-08,2011.936,91.38
2011-12-09,2011.939,92.87
2011-12-12,2011.947,91.08
2011-12-13,2011.95,89.52
2011-12-14,2011.953,88.8
2011-12-15,2011.956,88.54
2011-12-16,2011.958,88.97
2011-12-19,2011.967,87.92
2011-12-20,2011.969,90.69
2011-12-21,2011.972,89.44
2011-12-22,2011.975,90.71
2011-12-23,2011.978,91.08
2011-12-27,2011.989,90.67
2011-12-28,2011.992,89.57
2011-12-29,2011.994,90.79
2011-12-30,2011.997,90.18
2012-01-03,2012.006,91.54
2012-01-04,2012.008,90.5
2012-01-05,2012.011,90.37
2012-01-06,2012.014,89.3
2012-01-09,2012.022,87.83
2012-01-10,2012.025,89.08
2012-01-11,2012.028,88.37
2012-01-12,2012.031,90.07
2012-01-13,2012.033,89.62
2012-01-17,2012.044,87.68
2012-01-18,2012.047,89
2012-01-19,2012.05,90.93
2012-01-20,2012.053,91.33
2012-01-23,2012.061,91.43
2012-01-24,2012.064,91.8
2012-01-25,2012.067,92.58
2012-01-26,2012.069,92.19
2012-01-27,2012.072,92.07
2012-01-30,2012.081,91.03
2012-01-31,2012.083,90.47
2012-02-01,2012.083,91.43
2012-02-02,2012.086,95.39
2012-02-03,2012.089,97.75
2012-02-06,2012.097,98.36
2012-02-07,2012.1,98.77
2012-02-08,2012.103,101.18
2012-02-09,2012.106,100.99
2012-02-10,2012.108,103.4
2012-02-13,2012.117,103.6
2012-02-14,2012.119,103.49
2012-02-15,2012.122,103.06
2012-02-16,2012.125,104.25
2012-02-17,2012.128,104.25
2012-02-21,2012.139,103.51
2012-02-22,2012.142,103.6
2012-02-23,2012.144,105.32
2012-02-24,2012.147,105.75
2012-02-27,2012.156,105.57
2012-02-28,2012.158,105.26
2012-02-29,2012.161,104.24
2012-03-01,2012.167,104.74
2012-03-02,2012.169,104.52
2012-03-05,2012.178,102.78
2012-03-06,2012.181,100.6
2012-03-07,2012.183,101
2012-03-08,2012.186,102.04
2012-03-09,2012.189,102.74
2012-03-12,2012.197,101.85
2012-03-13,2012.2,103.93
2012-03-14,2012.203,103.85
2012-03-15,2012.206,105.93
2012-03-16,2012.208,106.08
2012-03-19,2012.217,106.2
2012-03-20,2012.219,106.91
2012-03-21,2012.222,107.51
2012-03-22,2012.225,106.79
2012-03-23,2012.228,106.66
2012-03-26,2012.236,107.8
2012-03-27,2012.239,106.53
2012-03-28,2012.242,105.4
2012-03-29,2012.244,104.78
2012-03-30,2012.247,105.63
2012-04-02,2012.253,106.24
2012-04-03,2012.256,105.63
2012-04-04,2012.258,103.84
2012-04-05,2012.261,104.64
2012-04-09,2012.272,103.2
2012-04-10,2012.275,101.4
2012-04-11,2012.278,102.41
2012-04-12,2012.281,103.7
2012-04-13,2012.283,101.93
2012-04-16,2012.292,101.3
2012-04-17,2012.294,102.03
2012-04-18,2012.297,101
2012-04-19,2012.3,100.11
2012-04-20,2012.303,99.62
2012-04-23,2012.311,99.2
2012-04-24,2012.314,99.85
2012-04-25,2012.317,100.55
2012-04-26,2012.319,100.28
2012-04-27,2012.322,99.75
2012-04-30,2012.331,98.27
2012-05-01,2012.333,98.07
2012-05-02,2012.336,96.38
2012-05-03,2012.339,96.29
2012-05-04,2012.342,95.09
2012-05-07,2012.35,94.15
2012-05-08,2012.353,94.4
2012-05-09,2012.356,94.78
2012-05-10,2012.358,94.96
2012-05-11,2012.361,94.79
2012-05-14,2012.369,94.03
2012-05-15,2012.372,93.57
2012-05-16,2012.375,92.64
2012-05-17,2012.378,91.32
2012-05-18,2012.381,92
2012-05-21,2012.389,94.01
2012-05-22,2012.392,92.57
2012-05-23,2012.394,91.98
2012-05-24,2012.397,92.39
2012-05-25,2012.4,93.66
2012-05-29,2012.411,94.27
2012-05-30,2012.414,92.57
2012-05-31,2012.417,91.99
2012-06-01,2012.417,90.29
2012-06-04,2012.425,90.75
2012-06-05,2012.428,93.59
2012-06-06,2012.431,95.09
2012-06-07,2012.433,94.41
2012-06-08,2012.436,94.98
2012-06-11,2012.444,94.32
2012-06-12,2012.447,95.3
2012-06-13,2012.45,93.79
2012-06-14,2012.453,94.37
2012-06-15,2012.456,96.42
2012-06-18,2012.464,97.58
2012-06-19,2012.467,97.73
2012-06-20,2012.469,97.17
2012-06-21,2012.472,94.76
2012-06-22,2012.475,95.56
2012-06-25,2012.483,93.66
2012-06-26,2012.486,94.65
2012-06-27,2012.489,94.44
2012-06-28,2012.492,94.87
2012-06-29,2012.494,96.56
2012-07-02,2012.503,97.12
2012-07-03,2012.506,97.12
2012-07-05,2012.511,95.85
2012-07-06,2012.514,95.13
2012-07-09,2012.522,94.81
2012-07-10,2012.525,94.11
2012-07-11,2012.528,94.86
2012-07-12,2012.531,94.61
2012-07-13,2012.533,96.22
2012-07-16,2012.542,95.4
2012-07-17,2012.544,96.13
2012-07-18,2012.547,96.35
2012-07-19,2012.55,95.49
2012-07-20,2012.553,94.01
2012-07-23,2012.561,93.41
2012-07-24,2012.564,93.47
2012-07-25,2012.567,93.73
2012-07-26,2012.569,97.02
2012-07-27,2012.572,97.93
2012-07-30,2012.581,97.21
2012-07-31,2012.583,96.38
2012-08-01,2012.583,95.03
2012-08-02,2012.586,93.51
2012-08-03,2012.589,95.49
2012-08-06,2012.597,95.91
2012-08-07,2012.6,97.22
2012-08-08,2012.603,96.72
2012-08-09,2012.606,97.15
2012-08-10,2012.608,97.24
2012-08-13,2012.617,97.15
2012-08-14,2012.619,96.24
2012-08-15,2012.622,96.36
2012-08-16,2012.625,97.79
2012-08-17,2012.628,98.56
2012-08-20,2012.636,98.24
2012-08-21,2012.639,97.7
2012-08-22,2012.642,97.67
2012-08-23,2012.644,97.01
2012-08-24,2012.647,97.5
2012-08-27,2012.656,97.53
2012-08-28,2012.658,97.92
2012-08-29,2012.661,98.21
2012-08-30,2012.664,97.95
2012-08-31,2012.667,98.68
2012-09-04,2012.675,99.32
2012-09-05,2012.678,99.22
2012-09-06,2012.681,101.24
2012-09-07,2012.683,102.96
2012-09-10,2012.692,102.8
2012-09-11,2012.694,103.2
2012-09-12,2012.697,103.82
2012-09-13,2012.7,104.77
2012-09-14,2012.703,105.38
2012-09-17,2012.711,105.41
2012-09-18,2012.714,104.79
2012-09-19,2012.717,104.21
2012-09-20,2012.719,104.3
2012-09-21,2012.722,104.39
2012-09-24,2012.731,103.79
2012-09-25,2012.733,102.14
2012-09-26,2012.736,101.77
2012-09-27,2012.739,102.34
2012-09-28,2012.742,101.73
2012-10-01,2012.75,101.48
2012-10-02,2012.753,101.21
2012-10-03,2012.756,101.48
2012-10-04,2012.758,102.43
2012-10-05,2012.761,102.16
2012-10-08,2012.769,101.72
2012-10-09,2012.772,100.83
2012-10-10,2012.775,100.51
2012-10-11,2012.778,100.45
2012-10-12,2012.781,100.07
2012-10-15,2012.789,100.86
2012-10-16,2012.792,102.23
2012-10-17,2012.794,102.8
2012-10-18,2012.797,102.96
2012-10-19,2012.8,101.41
2012-10-22,2012.808,101.89
2012-10-23,2012.811,101.23
2012-10-24,2012.814,101.4
2012-10-25,2012.817,100.54
2012-10-26,2012.819,101.93
2012-10-31,2012.833,102.34
2012-11-01,2012.833,103.39
2012-11-02,2012.836,102.28
2012-11-05,2012.844,102.78
2012-11-06,2012.847,102.45
2012-11-07,2012.85,100.61
2012-11-08,2012.853,99.48
2012-11-09,2012.856,99.01
2012-11-12,2012.864,99.46
2012-11-13,2012.867,98.6
2012-11-14,2012.869,97.46
2012-11-15,2012.872,97.96
2012-11-16,2012.875,97.73
2012-11-19,2012.883,99.01
2012-11-20,2012.886,99.01
2012-11-21,2012.889,99.04
2012-11-23,2012.894,100.04
2012-11-26,2012.903,100.42
2012-11-27,2012.906,99.2
2012-11-28,2012.908,100.29
2012-11-29,2012.911,101.23
2012-11-30,2012.914,101.58
2012-12-03,2012.922,101.77
2012-12-04,2012.925,100.93
2012-12-05,2012.928,101.22
2012-12-06,2012.931,101.54
2012-12-07,2012.933,101.43
2012-12-10,2012.942,100.65
2012-12-11,2012.944,99.51
2012-12-12,2012.947,99.81
2012-12-13,2012.95,98.11
2012-12-14,2012.953,97.94
2012-12-17,2012.961,99.09
2012-12-18,2012.964,100.41
2012-12-19,2012.967,101.04
2012-12-20,2012.969,105.2
2012-12-21,2012.972,103.51
2012-12-24,2012.981,103.07
2012-12-26,2012.986,102.99
2012-12-27,2012.989,102.29
2012-12-28,2012.992,101.78
2012-12-31,2013,102.59
2013-01-02,2013.003,104.24
2013-01-03,2013.006,105.19
2013-01-04,2013.008,107.83
2013-01-07,2013.017,106.81
2013-01-08,2013.019,106.5
2013-01-09,2013.022,106.87
2013-01-10,2013.025,107.27
2013-01-11,2013.028,108.22
2013-01-14,2013.036,108.49
2013-01-15,2013.039,108.65
2013-01-16,2013.042,108.35
2013-01-17,2013.044,109.91
2013-01-18,2013.047,110.54
2013-01-22,2013.058,111.5
2013-01-23,2013.061,111.62
2013-01-24,2013.064,112.27
2013-01-25,2013.067,112.96
2013-01-28,2013.075,113.13
2013-01-29,2013.078,113.97
2013-01-30,2013.081,114.73
2013-01-31,2013.083,114.63
2013-02-01,2013.083,116.26
2013-02-04,2013.092,110.04
2013-02-05,2013.094,106.89
2013-02-06,2013.097,106.74
2013-02-07,2013.1,107.04
2013-02-08,2013.103,105.56
2013-02-11,2013.111,107.17
2013-02-12,2013.114,107.64
2013-02-13,2013.117,108.51
2013-02-14,2013.119,109.89
2013-02-15,2013.122,110.31
2013-02-19,2013.133,111.55
2013-02-20,2013.136,110.28
2013-02-21,2013.139,109.76
2013-02-22,2013.142,111.17
2013-02-25,2013.15,108.89
2013-02-26,2013.153,110.56
2013-02-27,2013.156,112.38
2013-02-28,2013.158,111.97
2013-03-01,2013.167,112.49
2013-03-04,2013.175,113.7
2013-03-05,2013.178,115.31
2013-03-06,2013.181,115.8
2013-03-07,2013.183,115.15
2013-03-08,2013.186,115.61
2013-03-11,2013.194,116.54
2013-03-12,2013.197,116.05
2013-03-13,2013.2,116.93
2013-03-14,2013.203,117.57
2013-03-15,2013.206,117.4
2013-03-18,2013.214,116.53
2013-03-19,2013.217,115.04
2013-03-20,2013.219,116.73
2013-03-21,2013.222,115.93
2013-03-22,2013.225,116.49
2013-03-25,2013.233,117.3
2013-03-26,2013.236,117.59
2013-03-27,2013.239,117.33
2013-03-28,2013.242,118.99
2013-04-01,2013.25,117.74
2013-04-02,2013.253,117.13
2013-04-03,2013.256,115.47
2013-04-04,2013.258,115.88
2013-04-05,2013.261,115.11
2013-04-08,2013.269,116.19
2013-04-09,2013.272,115.54
2013-04-10,2013.275,116.95
2013-04-11,2013.278,117.4
2013-04-12,2013.281,117.24
2013-04-15,2013.289,114.81
2013-04-16,2013.292,116.22
2013-04-17,2013.294,115.33
2013-04-18,2013.297,114.55
2013-04-19,2013.3,115.55
2013-04-22,2013.308,116.6
2013-04-23,2013.311,116.91
2013-04-24,2013.314,116.9
2013-04-25,2013.317,117.82
2013-04-26,2013.319,117.95
2013-04-29,2013.328,120.7
2013-04-30,2013.331,121.7
2013-05-01,2013.333,121.93
2013-05-02,2013.336,123.06
2013-05-03,2013.339,124.37
2013-05-06,2013.347,124.58
2013-05-07,2013.35,124.6
2013-05-08,2013.353,124.97
2013-05-09,2013.356,124.85
2013-05-10,2013.358,126.89
2013-05-13,2013.367,126.76
2013-05-14,2013.369,128.77
2013-05-15,2013.372,129.14
2013-05-16,2013.375,128.59
2013-05-17,2013.378,130.36
2013-05-20,2013.386,129.82
2013-05-21,2013.389,129.31
2013-05-22,2013.392,126.85
2013-05-23,2013.394,126.69
2013-05-24,2013.397,126.67
2013-05-28,2013.408,128.32
2013-05-29,2013.411,129.46
2013-05-30,2013.414,132.65
2013-05-31,2013.417,129.57
2013-06-03,2013.422,129.59
2013-06-04,2013.425,128.52
2013-06-05,2013.428,127.67
2013-06-06,2013.431,129.13
2013-06-07,2013.433,132.63
2013-06-10,2013.442,133.04
2013-06-11,2013.444,131.09
2013-06-12,2013.447,130.14
2013-06-13,2013.45,132.89
2013-06-14,2013.453,132.19
2013-06-17,2013.461,134.72
2013-06-18,2013.464,136.7
2013-06-19,2013.467,134.24
2013-06-20,2013.469,132.57
2013-06-21,2013.472,132.19
2013-06-24,2013.481,130.52
2013-06-25,2013.483,131.62
2013-06-26,2013.486,132.7
2013-06-27,2013.489,133.62
2013-06-28,2013.492,132.94
2013-07-01,2013.5,133.87
2013-07-02,2013.503,132.13
2013-07-03,2013.506,132.4
2013-07-05,2013.511,134.48
2013-07-08,2013.519,134.9
2013-07-09,2013.522,134.3
2013-07-10,2013.525,134.54
2013-07-11,2013.528,136.13
2013-07-12,2013.531,136.56
2013-07-15,2013.539,137.22
2013-07-16,2013.542,135.92
2013-07-17,2013.544,135.78
2013-07-18,2013.547,136.67
2013-07-19,2013.55,135.52
2013-07-22,2013.558,134.9
2013-07-23,2013.561,134.75
2013-07-24,2013.564,135.73
2013-07-25,2013.567,136.58
2013-07-26,2013.569,136.35
2013-07-29,2013.578,136.6
2013-07-30,2013.581,137.52
2013-07-31,2013.583,139.13
2013-08-01,2013.583,139.77
2013-08-02,2013.586,140.46
2013-08-05,2013.594,139.83
2013-08-06,2013.597,140.93
2013-08-07,2013.6,139.63
2013-08-08,2013.603,140.16
2013-08-09,2013.606,139.59
2013-08-12,2013.614,138.73
2013-08-13,2013.617,140.64
2013-08-14,2013.619,138.06
2013-08-15,2013.622,137.04
2013-08-16,2013.625,136.64
2013-08-19,2013.633,135.61
2013-08-20,2013.636,136.34
2013-08-21,2013.639,135.13
2013-08-22,2013.642,136.9
2013-08-23,2013.644,136.89
2013-08-26,2013.653,136.06
2013-08-27,2013.656,133.27
2013-08-28,2013.658,133.51
2013-08-29,2013.661,133.58
2013-08-30,2013.664,133.52
2013-09-03,2013.672,135.51
2013-09-04,2013.675,136.42
2013-09-05,2013.678,135.84
2013-09-06,2013.681,135.87
2013-09-09,2013.689,137.01
2013-09-10,2013.692,138.15
2013-09-11,2013.694,138.29
2013-09-12,2013.697,137.74
2013-09-13,2013.7,137.46
2013-09-16,2013.708,138.42
2013-09-17,2013.711,139.82
2013-09-18,2013.714,139.8
