Date,t,Close
2012-08-24,2012.647,70.24
2012-08-27,2012.656,72.3
2012-08-28,2012.658,72.02
2012-08-29,2012.661,72.88
2012-08-30,2012.664,72.01
2012-08-31,2012.667,72.53
2012-09-04,2012.675,71.47
2012-09-05,2012.678,71.54
2012-09-06,2012.681,73.6
2012-09-07,2012.683,75.29
2012-09-10,2012.692,74.26
2012-09-11,2012.694,74.18
2012-09-12,2012.697,74.91
2012-09-13,2012.7,77.16
2012-09-14,2012.703,78.91
2012-09-17,2012.711,77.98
2012-09-18,2012.714,77.16
2012-09-19,2012.717,78.09
2012-09-20,2012.719,78.55
2012-09-21,2012.722,78.15
2012-09-24,2012.731,78.02
2012-09-25,2012.733,75.1
2012-09-26,2012.736,73.62
2012-09-27,2012.739,74.94
2012-09-28,2012.742,74.4
2012-10-01,2012.75,74.48
2012-10-02,2012.753,74.28
2012-10-03,2012.756,74.07
2012-10-04,2012.758,75.07
2012-10-05,2012.761,75.61
2012-10-08,2012.769,76.59
2012-10-09,2012.772,75.91
2012-10-10,2012.775,75.27
2012-10-11,2012.778,75.46
2012-10-12,2012.781,74.44
2012-10-15,2012.789,74.56
2012-10-16,2012.792,75.7
2012-10-17,2012.794,76.82
2012-10-18,2012.797,76.66
2012-10-19,2012.8,75.25
2012-10-22,2012.808,75
2012-10-23,2012.811,74.44
2012-10-24,2012.814,73.94
2012-10-25,2012.817,74.32
2012-10-26,2012.819,74.26
2012-10-31,2012.833,74.71
2012-11-01,2012.833,76.61
2012-11-02,2012.836,75.58
2012-11-05,2012.844,75.84
2012-11-06,2012.847,76.36
2012-11-07,2012.85,75.12
2012-11-08,2012.853,73.36
2012-11-09,2012.856,72.86
2012-11-12,2012.864,72.61
2012-11-13,2012.867,73.1
2012-11-14,2012.869,73.09
2012-11-15,2012.872,74.5
2012-11-16,2012.875,74.11
2012-11-19,2012.883,76.27
2012-11-20,2012.886,75.26
2012-11-21,2012.889,75.46
2012-11-23,2012.894,76.1
2012-11-26,2012.903,76.34
2012-11-27,2012.906,76.16
2012-11-28,2012.908,77.11
2012-11-29,2012.911,75.1
2012-11-30,2012.914,74.99
2012-12-03,2012.922,73.71
2012-12-04,2012.925,74.11
2012-12-05,2012.928,73.7
2012-12-06,2012.931,74.24
2012-12-07,2012.933,73.99
2012-12-10,2012.942,73.41
2012-12-11,2012.944,74.25
2012-12-12,2012.947,74.19
2012-12-13,2012.95,74.23
2012-12-14,2012.953,74.09
2012-12-17,2012.961,75.19
2012-12-18,2012.964,76.42
2012-12-19,2012.967,76.05
2012-12-20,2012.969,75.03
2012-12-21,2012.972,74
2012-12-24,2012.981,73.43
2012-12-26,2012.986,71.89
2012-12-27,2012.989,72.24
2012-12-28,2012.992,71.54
2012-12-31,2013,72.83
2013-01-02,2013.003,73.96
2013-01-03,2013.006,75.19
2013-01-04,2013.008,75.63
2013-01-07,2013.017,75.89
2013-01-08,2013.019,75.68
2013-01-09,2013.022,76.09
2013-01-10,2013.025,75.2
2013-01-11,2013.028,75.24
2013-01-14,2013.036,75.65
2013-01-15,2013.039,77.35
2013-01-16,2013.042,78.24
2013-01-17,2013.044,78.64
2013-01-18,2013.047,79.1
2013-01-22,2013.058,79.31
2013-01-23,2013.061,78.51
2013-01-24,2013.064,78.44
2013-01-25,2013.067,79.66
2013-01-28,2013.075,78.15
2013-01-29,2013.078,79.52
2013-01-30,2013.081,79.45
2013-01-31,2013.083,79.79
2013-02-01,2013.083,78.96
2013-02-04,2013.092,77.38
2013-02-05,2013.094,79.13
2013-02-06,2013.097,78.95
2013-02-07,2013.1,78.06
2013-02-08,2013.103,78.15
2013-02-11,2013.111,78.68
2013-02-12,2013.114,78.29
2013-02-13,2013.117,77.74
2013-02-14,2013.119,77.82
2013-02-15,2013.122,78
2013-02-19,2013.133,81.87
2013-02-20,2013.136,78.82
2013-02-21,2013.139,78.32
2013-02-22,2013.142,78.27
2013-02-25,2013.15,78.23
2013-02-26,2013.153,78.32
2013-02-27,2013.156,79.04
2013-02-28,2013.158,79.57
2013-03-01,2013.167,79.74
2013-03-04,2013.175,80.77
2013-03-05,2013.178,81.31
2013-03-06,2013.181,79.35
2013-03-07,2013.183,79.06
2013-03-08,2013.186,79.7
2013-03-11,2013.194,79.42
2013-03-12,2013.197,78.59
2013-03-13,2013.2,80.09
2013-03-14,2013.203,80.07
2013-03-15,2013.206,80.1
2013-03-18,2013.214,79.77
2013-03-19,2013.217,79.53
2013-03-20,2013.219,80.26
2013-03-21,2013.222,79.27
2013-03-22,2013.225,80.15
2013-03-25,2013.233,79.53
2013-03-26,2013.236,79.38
2013-03-27,2013.239,79.48
2013-03-28,2013.242,80
2013-04-01,2013.25,79.56
2013-04-02,2013.253,80.41
2013-04-03,2013.256,79.6
2013-04-04,2013.258,80.64
2013-04-05,2013.261,80.09
2013-04-08,2013.269,80.86
2013-04-09,2013.272,81.5
2013-04-10,2013.275,83.18
2013-04-11,2013.278,83.72
2013-04-12,2013.281,83.3
2013-04-15,2013.289,80.97
2013-04-16,2013.292,81.41
2013-04-17,2013.294,79.85
2013-04-18,2013.297,79.64
2013-04-19,2013.3,80.88
2013-04-22,2013.308,81.29
2013-04-23,2013.311,80.39
2013-04-24,2013.314,80.94
2013-04-25,2013.317,81.87
2013-04-26,2013.319,81.73
2013-04-29,2013.328,81.94
2013-04-30,2013.331,83.41
2013-05-01,2013.333,82.77
2013-05-02,2013.336,83.53
2013-05-03,2013.339,84.45
2013-05-06,2013.347,85.47
2013-05-07,2013.35,85.85
2013-05-08,2013.353,86.45
2013-05-09,2013.356,86.45
2013-05-10,2013.358,87.21
2013-05-13,2013.367,86.81
2013-05-14,2013.369,87.67
2013-05-15,2013.372,87.83
2013-05-16,2013.375,87.22
2013-05-17,2013.378,88.47
2013-05-20,2013.386,88.69
2013-05-21,2013.389,89.24
2013-05-22,2013.392,89.49
2013-05-23,2013.394,89.2
