Date,t,Close
2013-06-24,2013.481,95.56
2013-06-25,2013.483,97.17
2013-06-26,2013.486,97.16
2013-06-27,2013.489,98.67
2013-06-28,2013.492,96.88
2013-07-01,2013.5,97.88
2013-07-02,2013.503,98.81
2013-07-03,2013.506,97.37
2013-07-05,2013.511,97.77
2013-07-08,2013.519,98.18
2013-07-09,2013.522,100.14
2013-07-10,2013.525,99.11
2013-07-11,2013.528,102.47
2013-07-12,2013.531,100.3
2013-07-15,2013.539,100.92
2013-07-16,2013.542,100.05
2013-07-17,2013.544,101.05
2013-07-18,2013.547,102.08
2013-07-19,2013.55,101.9
2013-07-22,2013.558,103.12
2013-07-23,2013.561,105.02
2013-07-24,2013.564,102.92
2013-07-25,2013.567,104.43
2013-07-26,2013.569,106.06
2013-07-29,2013.578,106.1
2013-07-30,2013.581,105.08
2013-07-31,2013.583,104.54
2013-08-01,2013.583,105.26
2013-08-02,2013.586,106.02
2013-08-05,2013.594,105.6
2013-08-06,2013.597,104.43
2013-08-07,2013.6,103.87
2013-08-08,2013.603,107.67
2013-08-09,2013.606,112.99
2013-08-12,2013.614,112.22
2013-08-13,2013.617,110.69
2013-08-14,2013.619,110.74
2013-08-15,2013.622,109.1
2013-08-16,2013.625,107.78
2013-08-19,2013.633,105.18
2013-08-20,2013.636,105.83
2013-08-21,2013.639,104.22
2013-08-22,2013.642,106.63
2013-08-23,2013.644,106.68
2013-08-26,2013.653,106.63
2013-08-27,2013.656,104.04
2013-08-28,2013.658,104.43
2013-08-29,2013.661,104.01
2013-08-30,2013.664,103.58
2013-09-03,2013.672,104.29
2013-09-04,2013.675,105.66
2013-09-05,2013.678,106.9
2013-09-06,2013.681,106.86
2013-09-09,2013.689,110.13
2013-09-10,2013.692,111.65
2013-09-11,2013.694,112.88
2013-09-12,2013.697,111.05
2013-09-13,2013.7,110.6
2013-09-16,2013.708,112.9
2013-09-17,2013.711,114.03
2013-09-18,2013.714,117.56
2013-09-19,2013.717,116.09
2013-09-20,2013.719,115.05
2013-09-23,2013.728,114.32
2013-09-24,2013.731,114.93
2013-09-25,2013.733,113.93
2013-09-26,2013.736,113.66
2013-09-27,2013.739,111.73
2013-09-30,2013.747,111.93
2013-10-01,2013.75,112.55
2013-10-02,2013.753,113.16
2013-10-03,2013.756,111.93
2013-10-04,2013.758,113
2013-10-07,2013.767,112.11
2013-10-08,2013.769,110.44
2013-10-09,2013.772,109.74
2013-10-10,2013.775,112.06
2013-10-11,2013.778,113.53
2013-10-14,2013.786,114.44
2013-10-15,2013.789,116.68
2013-10-16,2013.792,116.6
2013-10-17,2013.794,118.5
2013-10-18,2013.797,119.28
2013-10-21,2013.806,119.53
2013-10-22,2013.808,120.8
2013-10-23,2013.811,119.94
2013-10-24,2013.814,120.86
2013-10-25,2013.817,121.83
2013-10-28,2013.825,120.78
2013-10-29,2013.828,123.5
2013-10-30,2013.831,122.51
2013-10-31,2013.833,123.43
2013-11-01,2013.833,126.66
2013-11-04,2013.842,129.28
2013-11-05,2013.844,129.49
2013-11-06,2013.847,129.95
2013-11-07,2013.85,127.62
2013-11-08,2013.853,130.72
2013-11-11,2013.861,130.27
2013-11-12,2013.864,128.07
2013-11-13,2013.867,127.27
2013-11-14,2013.869,128.24
2013-11-15,2013.872,129.63
2013-11-18,2013.881,128.54
2013-11-19,2013.883,128.89
2013-11-20,2013.886,127.57
2013-11-21,2013.889,127.52
2013-11-22,2013.892,125.31
2013-11-25,2013.9,124.34
2013-11-26,2013.903,123.38
2013-11-27,2013.906,123.12
2013-11-29,2013.911,123.26
2013-12-02,2013.919,121.63
2013-12-03,2013.922,122.11
2013-12-04,2013.925,123.93
2013-12-05,2013.928,124.35
2013-12-06,2013.931,124.07
2013-12-09,2013.939,125.61
2013-12-10,2013.942,125.99
2013-12-11,2013.944,122.15
2013-12-12,2013.947,121.98
2013-12-13,2013.95,123.09
2013-12-16,2013.958,123.94
2013-12-17,2013.961,123.15
2013-12-18,2013.964,123.51
2013-12-19,2013.967,126.51
2013-12-20,2013.969,124.71
2013-12-23,2013.978,126.6
2013-12-24,2013.981,128.74
2013-12-26,2013.986,129.52
2013-12-27,2013.989,131.78
2013-12-30,2013.997,130.65
2013-12-31,2014,130.29
2014-01-02,2014.003,129.43
2014-01-03,2014.006,128.82
2014-01-06,2014.014,127.85
2014-01-07,2014.017,127.98
2014-01-08,2014.019,128.72
2014-01-09,2014.022,126.31
2014-01-10,2014.025,126.58
2014-01-13,2014.033,123.71
2014-01-14,2014.036,125.13
2014-01-15,2014.039,125.24
2014-01-16,2014.042,125.34
