Date,t,Close
2011-08-19,2011.633,554.62
2011-08-22,2011.642,556.22
2011-08-23,2011.644,576.77
2011-08-24,2011.647,583.33
2011-08-25,2011.65,572.01
2011-08-26,2011.653,588.18
2011-08-29,2011.661,607.09
2011-08-30,2011.664,612.26
2011-08-31,2011.667,619.71
2011-09-01,2011.667,612.24
2011-09-02,2011.669,598.22
2011-09-06,2011.681,589.94
2011-09-07,2011.683,607.04
2011-09-08,2011.686,602.98
2011-09-09,2011.689,589.54
2011-09-12,2011.697,597.99
2011-09-13,2011.7,607.75
2011-09-14,2011.703,618.72
2011-09-15,2011.706,632.64
2011-09-16,2011.708,636.7
2011-09-19,2011.717,635.97
2011-09-20,2011.719,627.57
2011-09-21,2011.722,621.62
2011-09-22,2011.725,598.79
2011-09-23,2011.728,603.59
2011-09-26,2011.736,615.86
2011-09-27,2011.739,623.16
2011-09-28,2011.742,615.53
2011-09-29,2011.744,615.79
2011-09-30,2011.747,599.6
2011-10-03,2011.756,587.17
2011-10-04,2011.758,604.44
2011-10-05,2011.761,619.74
2011-10-06,2011.764,631.12
2011-10-07,2011.767,627.82
2011-10-10,2011.775,646.06
2011-10-11,2011.778,646.81
2011-10-12,2011.781,647.79
2011-10-13,2011.783,652.12
2011-10-14,2011.786,659.38
2011-10-17,2011.794,649.89
2011-10-18,2011.797,660.04
2011-10-19,2011.8,653.67
2011-10-20,2011.803,652.56
2011-10-21,2011.806,660.01
2011-10-24,2011.814,667.17
2011-10-25,2011.817,657.88
2011-10-26,2011.819,655.19
2011-10-27,2011.822,671.56
2011-10-28,2011.825,669.21
2011-10-31,2011.833,655.39
2011-11-01,2011.833,637.16
2011-11-02,2011.836,642.35
2011-11-03,2011.839,657.26
2011-11-04,2011.842,649.42
2011-11-07,2011.85,659.52
2011-11-08,2011.853,670.56
2011-11-09,2011.856,640.35
2011-11-10,2011.858,642.95
2011-11-11,2011.861,657.65
2011-11-14,2011.869,654.59
2011-11-15,2011.872,660.38
2011-11-16,2011.875,642.98
2011-11-17,2011.878,625.48
2011-11-18,2011.881,620.25
2011-11-21,2011.889,609.99
2011-11-22,2011.892,606.24
2011-11-23,2011.894,594.58
2011-11-25,2011.9,589.85
2011-11-28,2011.908,608.16
2011-11-29,2011.911,606.1
2011-11-30,2011.914,630.47
2011-12-01,2011.917,628.61
2011-12-02,2011.919,623.8
2011-12-05,2011.928,636.77
2011-12-06,2011.931,634.24
2011-12-07,2011.933,631.77
2011-12-08,2011.936,622.07
2011-12-09,2011.939,633.98
2011-12-12,2011.947,627.55
2011-12-13,2011.95,626.25
2011-12-14,2011.953,615.91
2011-12-15,2011.956,609.63
2011-12-16,2011.958,617.33
2011-12-19,2011.967,605.69
2011-12-20,2011.969,616.7
2011-12-21,2011.972,586.57
2011-12-22,2011.975,587.66
2011-12-23,2011.978,593.94
2011-12-27,2011.989,591.14
2011-12-28,2011.992,586.38
2011-12-29,2011.994,591.55
2011-12-30,2011.997,589.6
2012-01-03,2012.006,603.7
2012-01-04,2012.008,611.93
2012-01-05,2012.011,620.16
2012-01-06,2012.014,628.32
2012-01-09,2012.022,623.72
2012-01-10,2012.025,625.31
2012-01-11,2012.028,623.65
2012-01-12,2012.031,630.06
2012-01-13,2012.033,633.74
2012-01-17,2012.044,637.32
2012-01-18,2012.047,643.18
2012-01-19,2012.05,644.02
2012-01-20,2012.053,666.9
2012-01-23,2012.061,665.07
2012-01-24,2012.064,661.64
2012-01-25,2012.067,666.38
2012-01-26,2012.069,663.88
2012-01-27,2012.072,661.5
2012-01-30,2012.081,667.69
2012-01-31,2012.083,664.27
2012-02-01,2012.083,674.69
2012-02-02,2012.086,675.91
2012-02-03,2012.089,682.78
2012-02-06,2012.097,681.03
2012-02-07,2012.1,682.92
2012-02-08,2012.103,685.93
2012-02-09,2012.106,689.69
2012-02-10,2012.108,682.28
2012-02-13,2012.117,683.37
2012-02-14,2012.119,677.77
2012-02-15,2012.122,672.93
2012-02-16,2012.125,697.79
2012-02-17,2012.128,695.12
2012-02-21,2012.139,697.13
2012-02-22,2012.142,693.53
2012-02-23,2012.144,696.8
2012-02-24,2012.147,701.79
2012-02-27,2012.156,699.95
2012-02-28,2012.158,707.97
2012-02-29,2012.161,704.74
2012-03-01,2012.167,716.84
2012-03-02,2012.169,714.23
2012-03-05,2012.178,711.63
2012-03-06,2012.181,705.35
2012-03-07,2012.183,711.73
2012-03-08,2012.186,713.96
2012-03-09,2012.189,714.53
2012-03-12,2012.197,712.58
2012-03-13,2012.2,725.15
2012-03-14,2012.203,723.52
2012-03-15,2012.206,726.79
2012-03-16,2012.208,720.98
2012-03-19,2012.217,716.25
2012-03-20,2012.219,715.42
2012-03-21,2012.222,709.67
2012-03-22,2012.225,705.41
2012-03-23,2012.228,704.85
2012-03-26,2012.236,719.16
2012-03-27,2012.239,718.94
2012-03-28,2012.242,714.1
2012-03-29,2012.244,716.31
2012-03-30,2012.247,716.75
2012-04-02,2012.253,720.67
2012-04-03,2012.256,714.77
2012-04-04,2012.258,702.01
2012-04-05,2012.261,709.34
2012-04-09,2012.272,698.35
2012-04-10,2012.275,683.75
2012-04-11,2012.278,681.42
2012-04-12,2012.281,695.55
2012-04-13,2012.283,691.14
2012-04-16,2012.292,695.88
2012-04-17,2012.294,705.99
2012-04-18,2012.297,700.56
2012-04-19,2012.3,697.77
2012-04-20,2012.303,716.14
2012-04-23,2012.311,708.7
2012-04-24,2012.314,703.74
2012-04-25,2012.317,710.14
2012-04-26,2012.319,710.64
2012-04-27,2012.322,710.71
2012-04-30,2012.331,711.89
2012-05-01,2012.333,713.35
2012-05-02,2012.336,712.24
2012-05-03,2012.339,708.63
2012-05-04,2012.342,689.27
2012-05-07,2012.35,681.37
2012-05-08,2012.353,678.95
2012-05-09,2012.356,681.48
2012-05-10,2012.358,675.01
2012-05-11,2012.361,680.49
2012-05-14,2012.369,674.23
2012-05-15,2012.372,669.27
2012-05-16,2012.375,661.23
2012-05-17,2012.378,654.48
2012-05-18,2012.381,642.41
2012-05-21,2012.389,655.33
2012-05-22,2012.392,656.48
2012-05-23,2012.394,649.57
2012-05-24,2012.397,644.14
2012-05-25,2012.4,644.32
2012-05-29,2012.411,653.71
2012-05-30,2012.414,647.5
2012-05-31,2012.417,647.28
2012-06-01,2012.417,632.4
2012-06-04,2012.425,635.47
2012-06-05,2012.428,640.12
2012-06-06,2012.431,659.53
2012-06-07,2012.433,654.33
2012-06-08,2012.436,660.34
2012-06-11,2012.444,646.45
2012-06-12,2012.447,653.7
2012-06-13,2012.45,650.94
2012-06-14,2012.453,653.84
2012-06-15,2012.456,670.22
2012-06-18,2012.464,663.92
2012-06-19,2012.467,681.82
2012-06-20,2012.469,688.7
2012-06-21,2012.472,670.26
2012-06-22,2012.475,680.26
2012-06-25,2012.483,664.33
2012-06-26,2012.486,668.25
2012-06-27,2012.489,673.51
2012-06-28,2012.492,668.67
2012-06-29,2012.494,692
2012-07-02,2012.503,691.71
2012-07-03,2012.506,696.47
2012-07-05,2012.511,693.64
2012-07-06,2012.514,680.26
2012-07-09,2012.522,675.72
2012-07-10,2012.525,671.39
2012-07-11,2012.528,666.47
2012-07-12,2012.531,653.35
2012-07-13,2012.533,670.3
2012-07-16,2012.542,669.99
2012-07-17,2012.544,676.06
2012-07-18,2012.547,692.48
2012-07-19,2012.55,698.4
2012-07-20,2012.553,684.13
2012-07-23,2012.561,669.08
2012-07-24,2012.564,664.26
2012-07-25,2012.567,661.94
2012-07-26,2012.569,673.31
2012-07-27,2012.572,687.49
2012-07-30,2012.581,682.74
2012-07-31,2012.583,678.01
2012-08-01,2012.583,677.71
2012-08-02,2012.586,672.26
2012-08-03,2012.589,687.8
2012-08-06,2012.597,693.54
2012-08-07,2012.6,702.39
2012-08-08,2012.603,701.1
2012-08-09,2012.606,704.72
2012-08-10,2012.608,705.41
2012-08-13,2012.617,702.84
2012-08-14,2012.619,698.82
2012-08-15,2012.622,702.03
2012-08-16,2012.625,715
2012-08-17,2012.628,718.52
2012-08-20,2012.636,714.71
2012-08-21,2012.639,713.37
2012-08-22,2012.642,709.77
2012-08-23,2012.644,703.87
2012-08-24,2012.647,710.96
2012-08-27,2012.656,711.35
2012-08-28,2012.658,709.08
2012-08-29,2012.661,708.79
2012-08-30,2012.664,701.14
2012-08-31,2012.667,711.83
2012-09-04,2012.675,705.85
2012-09-05,2012.678,709.71
2012-09-06,2012.681,729.74
2012-09-07,2012.683,723.86
2012-09-10,2012.692,718.23
2012-09-11,2012.694,719.23
2012-09-12,2012.697,718.75
2012-09-13,2012.7,724.81
2012-09-14,2012.703,730.66
2012-09-17,2012.711,730.98
2012-09-18,2012.714,729.4
2012-09-19,2012.717,725.86
2012-09-20,2012.719,727.55
2012-09-21,2012.722,725.42
2012-09-24,2012.731,716.78
2012-09-25,2012.733,703.72
2012-09-26,2012.736,696.12
2012-09-27,2012.739,701.08
2012-09-28,2012.742,696.92
