Date,t,Close
2011-08-22,2011.642,2.72
2011-08-23,2011.644,2.81
2011-08-24,2011.647,2.91
2011-08-25,2011.65,2.84
2011-08-26,2011.653,2.87
2011-08-29,2011.661,3
2011-08-30,2011.664,3.01
2011-08-31,2011.667,3.05
2011-09-01,2011.667,2.99
2011-09-02,2011.669,2.9
2011-09-06,2011.681,2.85
2011-09-07,2011.683,3
2011-09-08,2011.686,2.94
2011-09-09,2011.689,2.89
2011-09-12,2011.697,2.99
2011-09-13,2011.7,3.04
2011-09-14,2011.703,3.11
2011-09-15,2011.706,3.14
2011-09-16,2011.708,3.11
2011-09-19,2011.717,3.03
2011-09-20,2011.719,3.05
2011-09-21,2011.722,2.87
2011-09-22,2011.725,2.85
2011-09-23,2011.728,2.9
2011-09-26,2011.736,2.96
2011-09-27,2011.739,2.96
2011-09-28,2011.742,2.86
2011-09-29,2011.744,2.97
2011-09-30,2011.747,2.88
2011-10-03,2011.756,2.77
2011-10-04,2011.758,2.89
2011-10-05,2011.761,2.9
2011-10-06,2011.764,2.99
2011-10-07,2011.767,2.87
2011-10-10,2011.775,3
2011-10-11,2011.778,3.04
2011-10-12,2011.781,3.09
2011-10-13,2011.783,3.03
2011-10-14,2011.786,3.01
2011-10-17,2011.794,2.93
2011-10-18,2011.797,3.08
2011-10-19,2011.8,3.06
2011-10-20,2011.803,3.1
2011-10-21,2011.806,3.12
2011-10-24,2011.814,3.13
2011-10-25,2011.817,3.07
2011-10-26,2011.819,3.06
2011-10-27,2011.822,3.22
2011-10-28,2011.825,3.25
2011-10-31,2011.833,3.21
2011-11-01,2011.833,3
2011-11-02,2011.836,3.04
2011-11-03,2011.839,3.1
2011-11-04,2011.842,3.05
2011-11-07,2011.85,3.08
2011-11-08,2011.853,3.15
2011-11-09,2011.856,3.04
2011-11-10,2011.858,3.08
2011-11-11,2011.861,3.11
2011-11-14,2011.869,3.04
2011-11-15,2011.872,3.08
2011-11-16,2011.875,3.04
2011-11-17,2011.878,2.99
2011-11-18,2011.881,2.96
2011-11-21,2011.889,2.9
2011-11-22,2011.892,2.89
2011-11-23,2011.894,2.79
2011-11-25,2011.9,2.84
2011-11-28,2011.908,2.86
2011-11-29,2011.911,2.83
2011-11-30,2011.914,3.02
2011-12-01,2011.917,3.04
2011-12-02,2011.919,3.08
2011-12-05,2011.928,3.12
2011-12-06,2011.931,3.12
2011-12-07,2011.933,3.15
2011-12-08,2011.936,3.02
2011-12-09,2011.939,3.1
2011-12-12,2011.947,3.09
2011-12-13,2011.95,3.04
2011-12-14,2011.953,3.04
2011-12-15,2011.956,3.04
2011-12-16,2011.958,3.1
2011-12-19,2011.967,3.06
2011-12-20,2011.969,3.13
2011-12-21,2011.972,3.15
2011-12-22,2011.975,3.22
2011-12-23,2011.978,3.21
2011-12-27,2011.989,3.24
2011-12-28,2011.992,3.2
2011-12-29,2011.994,3.23
2011-12-30,2011.997,3.22
2012-01-03,2012.006,3.28
2012-01-04,2012.008,3.36
2012-01-05,2012.011,3.36
2012-01-06,2012.014,3.43
2012-01-09,2012.022,3.46
2012-01-10,2012.025,3.52
2012-01-11,2012.028,3.52
2012-01-12,2012.031,3.51
2012-01-13,2012.033,3.5
2012-01-17,2012.044,3.46
2012-01-18,2012.047,3.44
2012-01-19,2012.05,3.42
2012-01-20,2012.053,3.41
2012-01-23,2012.061,3.38
2012-01-24,2012.064,3.39
2012-01-25,2012.067,3.42
2012-01-26,2012.069,3.35
2012-01-27,2012.072,3.33
2012-01-30,2012.081,3.3
2012-01-31,2012.083,3.25
2012-02-01,2012.083,3.27
2012-02-02,2012.086,3.28
2012-02-03,2012.089,3.38
2012-02-06,2012.097,3.35
2012-02-07,2012.1,3.34
2012-02-08,2012.103,3.34
2012-02-09,2012.106,3.32
2012-02-10,2012.108,3.34
2012-02-13,2012.117,3.33
2012-02-14,2012.119,3.32
2012-02-15,2012.122,3.32
2012-02-16,2012.125,3.36
2012-02-17,2012.128,3.37
2012-02-21,2012.139,3.35
2012-02-22,2012.142,3.27
2012-02-23,2012.144,3.32
2012-02-24,2012.147,3.3
2012-02-27,2012.156,3.35
2012-02-28,2012.158,3.35
2012-02-29,2012.161,3.31
2012-03-01,2012.167,3.33
2012-03-02,2012.169,3.32
2012-03-05,2012.178,3.27
2012-03-06,2012.181,3.2
2012-03-07,2012.183,3.24
2012-03-08,2012.186,3.24
2012-03-09,2012.189,3.29
2012-03-12,2012.197,3.28
2012-03-13,2012.2,3.42
2012-03-14,2012.203,3.42
2012-03-15,2012.206,3.53
2012-03-16,2012.208,3.55
2012-03-19,2012.217,3.57
2012-03-20,2012.219,3.58
2012-03-21,2012.222,3.52
2012-03-22,2012.225,3.48
2012-03-23,2012.228,3.51
2012-03-26,2012.236,3.53
2012-03-27,2012.239,3.51
2012-03-28,2012.242,3.55
2012-03-29,2012.244,3.51
2012-03-30,2012.247,3.51
2012-04-02,2012.253,3.52
2012-04-03,2012.256,3.54
2012-04-04,2012.258,3.46
2012-04-05,2012.261,3.44
2012-04-09,2012.272,3.37
2012-04-10,2012.275,3.26
2012-04-11,2012.278,3.29
2012-04-12,2012.281,3.34
2012-04-13,2012.283,3.25
2012-04-16,2012.292,3.29
2012-04-17,2012.294,3.34
2012-04-18,2012.297,3.31
2012-04-19,2012.3,3.25
2012-04-20,2012.303,3.24
2012-04-23,2012.311,3.23
2012-04-24,2012.314,3.29
2012-04-25,2012.317,3.32
2012-04-26,2012.319,3.35
2012-04-27,2012.322,3.34
2012-04-30,2012.331,3.32
2012-05-01,2012.333,3.31
2012-05-02,2012.336,3.29
2012-05-03,2012.339,3.27
2012-05-04,2012.342,3.24
2012-05-07,2012.35,3.28
2012-05-08,2012.353,3.24
2012-05-09,2012.356,3.18
2012-05-10,2012.358,3.2
2012-05-11,2012.361,3.15
2012-05-14,2012.369,3.09
2012-05-15,2012.372,3.07
2012-05-16,2012.375,3.04
2012-05-17,2012.378,3.02
2012-05-18,2012.381,3.01
2012-05-21,2012.389,3.04
2012-05-22,2012.392,3.08
2012-05-23,2012.394,3.1
2012-05-24,2012.397,3.09
2012-05-25,2012.4,3.1
2012-05-29,2012.411,3.11
2012-05-30,2012.414,3.02
2012-05-31,2012.417,3.03
2012-06-01,2012.417,2.93
2012-06-04,2012.425,2.92
2012-06-05,2012.428,2.93
2012-06-06,2012.431,2.96
2012-06-07,2012.433,2.98
2012-06-08,2012.436,3.01
2012-06-11,2012.444,2.92
2012-06-12,2012.447,2.95
2012-06-13,2012.45,2.96
2012-06-14,2012.453,3.01
2012-06-15,2012.456,3.04
2012-06-18,2012.464,3.03
2012-06-19,2012.467,3.07
2012-06-20,2012.469,3.09
2012-06-21,2012.472,3.03
2012-06-22,2012.475,3.08
2012-06-25,2012.483,2.96
2012-06-26,2012.486,2.98
2012-06-27,2012.489,3.04
2012-06-28,2012.492,3.02
2012-06-29,2012.494,3.07
2012-07-02,2012.503,3.08
2012-07-03,2012.506,3.11
2012-07-05,2012.511,3.08
2012-07-06,2012.514,3.08
2012-07-09,2012.522,3.02
2012-07-10,2012.525,3
2012-07-11,2012.528,3.04
2012-07-12,2012.531,2.99
2012-07-13,2012.533,3.08
2012-07-16,2012.542,3.07
2012-07-17,2012.544,3.11
2012-07-18,2012.547,3.08
2012-07-19,2012.55,3.05
2012-07-20,2012.553,2.94
2012-07-23,2012.561,2.9
2012-07-24,2012.564,2.91
2012-07-25,2012.567,2.93
2012-07-26,2012.569,2.95
2012-07-27,2012.572,3
2012-07-30,2012.581,2.98
2012-07-31,2012.583,3.04
2012-08-01,2012.583,3.01
2012-08-02,2012.586,2.98
2012-08-03,2012.589,3.05
2012-08-06,2012.597,3.06
2012-08-07,2012.6,3.12
2012-08-08,2012.603,3.15
2012-08-09,2012.606,3.16
2012-08-10,2012.608,3.17
2012-08-13,2012.617,3.16
2012-08-14,2012.619,3.15
2012-08-15,2012.622,3.19
2012-08-16,2012.625,3.21
2012-08-17,2012.628,3.21
2012-08-20,2012.636,3.21
2012-08-21,2012.639,3.17
2012-08-22,2012.642,3.18
2012-08-23,2012.644,3.14
