Date,t,Close
2011-10-03,2011.756,30.7
2011-10-04,2011.758,32.38
2011-10-05,2011.761,33.59
2011-10-06,2011.764,35.16
2011-10-07,2011.767,33.75
2011-10-10,2011.775,35.82
2011-10-11,2011.778,37.49
2011-10-12,2011.781,38.83
2011-10-13,2011.783,38.73
2011-10-14,2011.786,40.21
2011-10-17,2011.794,38.76
2011-10-18,2011.797,40.53
2011-10-19,2011.8,39.06
2011-10-20,2011.803,39.75
2011-10-21,2011.806,42.5
2011-10-24,2011.814,44.7
2011-10-25,2011.817,43.71
2011-10-26,2011.819,44.11
2011-10-27,2011.822,46.37
2011-10-28,2011.825,48.63
2011-10-31,2011.833,47.06
2011-11-01,2011.833,44.53
2011-11-02,2011.836,45.35
2011-11-03,2011.839,47.12
2011-11-04,2011.842,46.86
2011-11-07,2011.85,46.53
2011-11-08,2011.853,46.79
2011-11-09,2011.856,43.84
2011-11-10,2011.858,44.27
2011-11-11,2011.861,45.65
2011-11-14,2011.869,44.96
2011-11-15,2011.872,45.58
2011-11-16,2011.875,44.56
2011-11-17,2011.878,42.57
2011-11-18,2011.881,41.81
2011-11-21,2011.889,39.78
2011-11-22,2011.892,40.47
2011-11-23,2011.894,39.35
2011-11-25,2011.9,39.09
2011-11-28,2011.908,42.27
2011-11-29,2011.911,41.98
2011-11-30,2011.914,45.84
2011-12-01,2011.917,45.61
2011-12-02,2011.919,46.27
2011-12-05,2011.928,46.69
2011-12-06,2011.931,46.76
2011-12-07,2011.933,46.83
2011-12-08,2011.936,45.65
2011-12-09,2011.939,47.68
2011-12-12,2011.947,46.83
2011-12-13,2011.95,43.98
2011-12-14,2011.953,43.45
2011-12-15,2011.956,44.34
2011-12-16,2011.958,44.5
2011-12-19,2011.967,42.96
2011-12-20,2011.969,44.76
2011-12-21,2011.972,45.35
2011-12-22,2011.975,46.1
2011-12-23,2011.978,46.89
2011-12-27,2011.989,46.4
2011-12-28,2011.992,45.68
2011-12-29,2011.994,46.33
2011-12-30,2011.997,46.43
2012-01-03,2012.006,47.74
2012-01-04,2012.008,48.27
2012-01-05,2012.011,48.86
2012-01-06,2012.014,49.64
2012-01-09,2012.022,50.07
2012-01-10,2012.025,45.91
2012-01-11,2012.028,45.15
2012-01-12,2012.031,45.35
2012-01-13,2012.033,44.24
2012-01-17,2012.044,43.78
2012-01-18,2012.047,44.2
2012-01-19,2012.05,45.09
2012-01-20,2012.053,44.73
2012-01-23,2012.061,44.37
2012-01-24,2012.064,44.86
2012-01-25,2012.067,44.5
2012-01-26,2012.069,44.07
2012-01-27,2012.072,44.24
2012-01-30,2012.081,43.61
2012-01-31,2012.083,42.6
2012-02-01,2012.083,43.52
2012-02-02,2012.086,43.52
2012-02-03,2012.089,45.42
2012-02-06,2012.097,45.81
2012-02-07,2012.1,45.91
2012-02-08,2012.103,45.71
2012-02-09,2012.106,46.4
2012-02-10,2012.108,45.48
2012-02-13,2012.117,45.78
2012-02-14,2012.119,43.42
2012-02-15,2012.122,42.93
2012-02-16,2012.125,43.22
2012-02-17,2012.128,43.98
2012-02-21,2012.139,44.17
2012-02-22,2012.142,43.09
2012-02-23,2012.144,43.35
2012-02-24,2012.147,42.96
2012-02-27,2012.156,42.4
2012-02-28,2012.158,42.43
2012-02-29,2012.161,42.14
2012-03-01,2012.167,42.14
2012-03-02,2012.169,42.99
2012-03-05,2012.178,41.68
2012-03-06,2012.181,40.14
2012-03-07,2012.183,40.01
2012-03-08,2012.186,40.53
2012-03-09,2012.189,40.57
2012-03-12,2012.197,39.81
2012-03-13,2012.2,40.44
2012-03-14,2012.203,40.37
2012-03-15,2012.206,40.47
2012-03-16,2012.208,39.85
2012-03-19,2012.217,39.81
2012-03-20,2012.219,39.58
2012-03-21,2012.222,39.58
2012-03-22,2012.225,38.57
2012-03-23,2012.228,39.03
2012-03-26,2012.236,39.35
2012-03-27,2012.239,38.86
2012-03-28,2012.242,37.55
2012-03-29,2012.244,37.29
2012-03-30,2012.247,36.77
2012-04-02,2012.253,37.32
2012-04-03,2012.256,36.7
2012-04-04,2012.258,36.27
2012-04-05,2012.261,36.11
2012-04-09,2012.272,35
2012-04-10,2012.275,34.05
2012-04-11,2012.278,34.87
2012-04-12,2012.281,35.91
2012-04-13,2012.283,34.7
2012-04-16,2012.292,34.11
2012-04-17,2012.294,34.64
2012-04-18,2012.297,35.23
2012-04-19,2012.3,36.6
2012-04-20,2012.303,36.83
2012-04-23,2012.311,36.93
2012-04-24,2012.314,36.67
2012-04-25,2012.317,38.01
2012-04-26,2012.319,39.09
2012-04-27,2012.322,37.09
2012-04-30,2012.331,35.98
2012-05-01,2012.333,36.96
2012-05-02,2012.336,36.5
2012-05-03,2012.339,35.72
2012-05-04,2012.342,35.52
2012-05-07,2012.35,35.65
2012-05-08,2012.353,35.52
2012-05-09,2012.356,34.11
2012-05-10,2012.358,33.75
2012-05-11,2012.361,34.57
2012-05-14,2012.369,34.73
2012-05-15,2012.372,33.39
2012-05-16,2012.375,35.03
2012-05-17,2012.378,33.49
2012-05-18,2012.381,32.9
2012-05-21,2012.389,34.11
2012-05-22,2012.392,34.77
2012-05-23,2012.394,34.47
2012-05-24,2012.397,34.14
2012-05-25,2012.4,34.7
2012-05-29,2012.411,35.91
2012-05-30,2012.414,33.92
2012-05-31,2012.417,34.24
2012-06-01,2012.417,32.34
2012-06-04,2012.425,30.93
2012-06-05,2012.428,31.26
2012-06-06,2012.431,32.64
2012-06-07,2012.433,33.69
2012-06-08,2012.436,34.37
2012-06-11,2012.444,33.29
2012-06-12,2012.447,34.34
2012-06-13,2012.45,34.14
2012-06-14,2012.453,34.8
2012-06-15,2012.456,36.11
2012-06-18,2012.464,35.78
2012-06-19,2012.467,37.78
2012-06-20,2012.469,38.18
2012-06-21,2012.472,36.73
2012-06-22,2012.475,37.55
2012-06-25,2012.483,35.98
2012-06-26,2012.486,36.34
2012-06-27,2012.489,37.45
2012-06-28,2012.492,38.01
2012-06-29,2012.494,38.7
2012-07-02,2012.503,37.42
2012-07-03,2012.506,37.49
2012-07-05,2012.511,38.08
2012-07-06,2012.514,36.34
2012-07-09,2012.522,36.01
2012-07-10,2012.525,35.49
2012-07-11,2012.528,34.64
2012-07-12,2012.531,33.55
2012-07-13,2012.533,33.55
2012-07-16,2012.542,33.13
2012-07-17,2012.544,33.29
2012-07-18,2012.547,33.29
2012-07-19,2012.55,33.06
2012-07-20,2012.553,32.15
2012-07-23,2012.561,32.9
2012-07-24,2012.564,32.11
2012-07-25,2012.567,31.92
2012-07-26,2012.569,32.41
2012-07-27,2012.572,34.64
2012-07-30,2012.581,33.98
2012-07-31,2012.583,37.52
2012-08-01,2012.583,37.72
2012-08-02,2012.586,36.14
2012-08-03,2012.589,36.57
2012-08-06,2012.597,36.9
2012-08-07,2012.6,37.75
2012-08-08,2012.603,38.11
2012-08-09,2012.606,38.31
2012-08-10,2012.608,38.47
2012-08-13,2012.617,38.73
2012-08-14,2012.619,38.18
2012-08-15,2012.622,38.14
2012-08-16,2012.625,38.57
2012-08-17,2012.628,39.45
2012-08-20,2012.636,39.75
2012-08-21,2012.639,39.29
2012-08-22,2012.642,38.86
2012-08-23,2012.644,38.86
2012-08-24,2012.647,38.93
2012-08-27,2012.656,38.31
2012-08-28,2012.658,37.95
2012-08-29,2012.661,38.9
2012-08-30,2012.664,38.6
2012-08-31,2012.667,39.98
2012-09-04,2012.675,39.72
2012-09-05,2012.678,41.09
2012-09-06,2012.681,42.53
2012-09-07,2012.683,43.12
2012-09-10,2012.692,42.99
2012-09-11,2012.694,42.8
2012-09-12,2012.697,42.66
2012-09-13,2012.7,43.52
2012-09-14,2012.703,44.27
2012-09-17,2012.711,43.12
2012-09-18,2012.714,42.43
2012-09-19,2012.717,44.17
2012-09-20,2012.719,43.84
2012-09-21,2012.722,41.71
2012-09-24,2012.731,41.88
2012-09-25,2012.733,39.88
2012-09-26,2012.736,39.29
2012-09-27,2012.739,40.83
2012-09-28,2012.742,39.94
2012-10-01,2012.75,40.31
2012-10-02,2012.753,40.6
2012-10-03,2012.756,40.7
2012-10-04,2012.758,41.71
2012-10-05,2012.761,41.75
2012-10-08,2012.769,41.16
2012-10-09,2012.772,41.35
2012-10-10,2012.775,40.4
2012-10-11,2012.778,40.76
2012-10-12,2012.781,40.24
2012-10-15,2012.789,40.63
2012-10-16,2012.792,41.19
2012-10-17,2012.794,41.91
2012-10-18,2012.797,41.71
2012-10-19,2012.8,40.6
2012-10-22,2012.808,41.09
2012-10-23,2012.811,40.31
2012-10-24,2012.814,40.17
2012-10-25,2012.817,40.31
2012-10-26,2012.819,36.11
2012-10-31,2012.833,37.39
2012-11-01,2012.833,38.14
2012-11-02,2012.836,38.01
2012-11-05,2012.844,38.21
2012-11-06,2012.847,39.55
2012-11-07,2012.85,38.57
2012-11-08,2012.853,38.18
2012-11-09,2012.856,37.78
2012-11-12,2012.864,38.04
2012-11-13,2012.867,37
2012-11-14,2012.869,36.01
2012-11-15,2012.872,36.67
2012-11-16,2012.875,36.57
2012-11-19,2012.883,37
2012-11-20,2012.886,37.39
2012-11-21,2012.889,38.04
2012-11-23,2012.894,38.76
2012-11-26,2012.903,38.76
2012-11-27,2012.906,38.24
2012-11-28,2012.908,38.99
2012-11-29,2012.911,40.44
2012-11-30,2012.914,41.29
2012-12-03,2012.922,41.22
2012-12-04,2012.925,41.81
2012-12-05,2012.928,41.94
2012-12-06,2012.931,41.75
2012-12-07,2012.933,41.88
2012-12-10,2012.942,42.89
2012-12-11,2012.944,43.16
2012-12-12,2012.947,43.06
2012-12-13,2012.95,42.14
2012-12-14,2012.953,42.43
2012-12-17,2012.961,42.86
2012-12-18,2012.964,44.43
2012-12-19,2012.967,43.58
2012-12-20,2012.969,43.06
2012-12-21,2012.972,42.86
2012-12-24,2012.981,42.7
2012-12-26,2012.986,43.16
2012-12-27,2012.989,43.98
2012-12-28,2012.992,43.55
2012-12-31,2013,45.25
2013-01-02,2013.003,45.91
2013-01-03,2013.006,46.1
2013-01-04,2013.008,47.02
2013-01-07,2013.017,46.2
2013-01-08,2013.019,46.07
2013-01-09,2013.022,47.06
2013-01-10,2013.025,46.3
2013-01-11,2013.028,45.15
2013-01-14,2013.036,45.71
2013-01-15,2013.039,45.91
2013-01-16,2013.042,45.38
2013-01-17,2013.044,45.48
2013-01-18,2013.047,45.25
2013-01-22,2013.058,45.45
2013-01-23,2013.061,44.93
2013-01-24,2013.064,45.25
2013-01-25,2013.067,45.45
2013-01-28,2013.075,45.48
2013-01-29,2013.078,45.61
2013-01-30,2013.081,45.29
2013-01-31,2013.083,45.09
2013-02-01,2013.083,45.15
2013-02-04,2013.092,44.01
2013-02-05,2013.094,44.63
2013-02-06,2013.097,44.53
2013-02-07,2013.1,44.34
2013-02-08,2013.103,44.53
2013-02-11,2013.111,45.58
2013-02-12,2013.114,45.42
2013-02-13,2013.117,46.14
2013-02-14,2013.119,46.43
2013-02-15,2013.122,46.2
2013-02-19,2013.133,46.17
2013-02-20,2013.136,45.42
2013-02-21,2013.139,44.34
2013-02-22,2013.142,44.07
2013-02-25,2013.15,42.6
2013-02-26,2013.153,42.27
2013-02-27,2013.156,42.27
2013-02-28,2013.158,42.53
2013-03-01,2013.167,42.47
2013-03-04,2013.175,41.52
2013-03-05,2013.178,41.94
2013-03-06,2013.181,42.3
2013-03-07,2013.183,42.4
2013-03-08,2013.186,42.86
2013-03-11,2013.194,42.53
2013-03-12,2013.197,42.53
2013-03-13,2013.2,43.98
2013-03-14,2013.203,44.4
2013-03-15,2013.206,44.99
2013-03-18,2013.214,43.94
2013-03-19,2013.217,43.48
2013-03-20,2013.219,43.94
2013-03-21,2013.222,42.57
2013-03-22,2013.225,41.94
2013-03-25,2013.233,41.48
2013-03-26,2013.236,42.04
2013-03-27,2013.239,41.85
2013-03-28,2013.242,41.32
2013-04-01,2013.25,40.7
2013-04-02,2013.253,40.04
2013-04-03,2013.256,39.52
2013-04-04,2013.258,40.14
2013-04-05,2013.261,39.85
2013-04-08,2013.269,40.73
2013-04-09,2013.272,41.12
2013-04-10,2013.275,41.65
2013-04-11,2013.278,42.04
2013-04-12,2013.281,40.96
2013-04-15,2013.289,39.16
2013-04-16,2013.292,40.67
2013-04-17,2013.294,39.39
2013-04-18,2013.297,39.26
2013-04-19,2013.3,39.81
2013-04-22,2013.308,39.42
2013-04-23,2013.311,40.04
