Date,t,Close
2011-08-10,2011.608,576.4
2011-08-11,2011.611,585.11
2011-08-12,2011.614,592.98
2011-08-15,2011.622,608.16
2011-08-16,2011.625,604.21
2011-08-17,2011.628,615.25
2011-08-18,2011.631,610.16
2011-08-19,2011.633,612.72
2011-08-22,2011.642,613.17
2011-08-23,2011.644,627.43
2011-08-24,2011.647,626.63
2011-08-25,2011.65,615.53
2011-08-26,2011.653,619.87
2011-08-29,2011.661,631.91
2011-08-30,2011.664,630.52
2011-08-31,2011.667,627.69
2011-09-01,2011.667,626.89
2011-09-02,2011.669,617.88
2011-09-06,2011.681,615.76
2011-09-07,2011.683,624.37
2011-09-08,2011.686,621.52
2011-09-09,2011.689,601.56
2011-09-12,2011.697,604.36
2011-09-13,2011.7,602.26
2011-09-14,2011.703,613.93
2011-09-15,2011.706,620.88
2011-09-16,2011.708,624.9
2011-09-19,2011.717,618.36
2011-09-20,2011.719,621.24
2011-09-21,2011.722,605.94
2011-09-22,2011.725,591.64
2011-09-23,2011.728,585.86
2011-09-26,2011.736,593.62
2011-09-27,2011.739,597.38
2011-09-28,2011.742,587.07
2011-09-29,2011.744,593.63
2011-09-30,2011.747,587.8
2011-10-03,2011.756,583.78
2011-10-04,2011.758,589.31
2011-10-05,2011.761,591.62
2011-10-06,2011.764,603.47
2011-10-07,2011.767,610.56
2011-10-10,2011.775,618.06
2011-10-11,2011.778,614.4
2011-10-12,2011.781,618.47
2011-10-13,2011.783,618.81
2011-10-14,2011.786,624.77
2011-10-17,2011.794,620.66
2011-10-18,2011.797,615.61
2011-10-19,2011.8,613.5
2011-10-20,2011.803,624.86
2011-10-21,2011.806,636.98
2011-10-24,2011.814,632.66
2011-10-25,2011.817,625.29
2011-10-26,2011.819,637.29
2011-10-27,2011.822,647.29
2011-10-28,2011.825,647.96
2011-10-31,2011.833,633.73
2011-11-01,2011.833,623.12
2011-11-02,2011.836,630.31
2011-11-03,2011.839,637.72
2011-11-04,2011.842,633.3
2011-11-07,2011.85,636.53
2011-11-08,2011.853,641.29
2011-11-09,2011.856,627.88
2011-11-10,2011.858,639.16
2011-11-11,2011.861,644.38
2011-11-14,2011.869,640.39
2011-11-15,2011.872,644.16
2011-11-16,2011.875,643.76
2011-11-17,2011.878,646.67
2011-11-18,2011.881,652.5
2011-11-21,2011.889,644.54
2011-11-22,2011.892,644.52
2011-11-23,2011.894,637.77
2011-11-25,2011.9,640.04
2011-11-28,2011.908,652.21
2011-11-29,2011.911,662.16
2011-11-30,2011.914,678.66
2011-12-01,2011.917,675.79
2011-12-02,2011.919,671.49
2011-12-05,2011.928,672.88
2011-12-06,2011.931,674.96
2011-12-07,2011.933,674.18
2011-12-08,2011.936,666.05
2011-12-09,2011.939,673.36
2011-12-12,2011.947,671.23
2011-12-13,2011.95,674.73
2011-12-14,2011.953,668.61
2011-12-15,2011.956,677.95
2011-12-16,2011.958,675.33
2011-12-19,2011.967,679.99
2011-12-20,2011.969,687.38
2011-12-21,2011.972,699.23
2011-12-22,2011.975,694.01
2011-12-23,2011.978,700.03
2011-12-27,2011.989,699.86
2011-12-28,2011.992,698.24
2011-12-29,2011.994,702.15
2011-12-30,2011.997,697.21
2012-01-03,2012.006,690.4
2012-01-04,2012.008,687.91
2012-01-05,2012.011,689.76
2012-01-06,2012.014,682.85
2012-01-09,2012.022,680.63
2012-01-10,2012.025,685.99
