Date,t,Close
2011-08-10,2011.608,254.16
2011-08-11,2011.611,268.77
2011-08-12,2011.614,274.13
2011-08-15,2011.622,278.58
2011-08-16,2011.625,276.13
2011-08-17,2011.628,273.79
2011-08-18,2011.631,258.59
2011-08-19,2011.633,257.57
2011-08-22,2011.642,260.86
2011-08-23,2011.644,271.06
2011-08-24,2011.647,275.68
2011-08-25,2011.65,269.59
2011-08-26,2011.653,279.89
2011-08-29,2011.661,288.85
2011-08-30,2011.664,292.74
2011-08-31,2011.667,296.07
2011-09-01,2011.667,290.76
2011-09-02,2011.669,284.28
2011-09-06,2011.681,285.56
2011-09-07,2011.683,293.15
2011-09-08,2011.686,290.71
2011-09-09,2011.689,286.18
2011-09-12,2011.697,290.74
2011-09-13,2011.7,303
2011-09-14,2011.703,309.1
2011-09-15,2011.706,314.17
2011-09-16,2011.708,314.48
2011-09-19,2011.717,315.74
2011-09-20,2011.719,316.43
2011-09-21,2011.722,309.73
2011-09-22,2011.725,301.12
2011-09-23,2011.728,300.77
2011-09-26,2011.736,306.57
2011-09-27,2011.739,309.39
2011-09-28,2011.742,300.01
2011-09-29,2011.744,298.61
2011-09-30,2011.747,291.04
2011-10-03,2011.756,280.95
2011-10-04,2011.758,291.71
2011-10-05,2011.761,296.67
2011-10-06,2011.764,297.32
2011-10-07,2011.767,292.68
2011-10-10,2011.775,302.26
2011-10-11,2011.778,302.24
2011-10-12,2011.781,305.8
2011-10-13,2011.783,299.18
2011-10-14,2011.786,299.41
2011-10-17,2011.794,296.68
2011-10-18,2011.797,310.85
2011-10-19,2011.8,307.86
2011-10-20,2011.803,311.7
2011-10-21,2011.806,318.1
2011-10-24,2011.814,324.46
2011-10-25,2011.817,320.35
2011-10-26,2011.819,321.82
2011-10-27,2011.822,337.07
2011-10-28,2011.825,338.18
2011-10-31,2011.833,333.25
2011-11-01,2011.833,327.63
2011-11-02,2011.836,337.05
2011-11-03,2011.839,349.82
2011-11-04,2011.842,349.71
2011-11-07,2011.85,347.68
2011-11-08,2011.853,354.02
2011-11-09,2011.856,340.29
2011-11-10,2011.858,347.29
2011-11-11,2011.861,354.85
2011-11-14,2011.869,353.31
