Date,t,Close
2012-07-12,2012.531,64.05
2012-07-13,2012.533,66.52
2012-07-16,2012.542,65.98
2012-07-17,2012.544,66.81
2012-07-18,2012.547,67.75
2012-07-19,2012.55,68.63
2012-07-20,2012.553,67.38
2012-07-23,2012.561,66.46
2012-07-24,2012.564,70.41
2012-07-25,2012.567,71.91
2012-07-26,2012.569,73.04
2012-07-27,2012.572,75.53
2012-07-30,2012.581,75.32
2012-07-31,2012.583,75.63
2012-08-01,2012.583,74.27
2012-08-02,2012.586,73.79
2012-08-03,2012.589,75.51
2012-08-06,2012.597,76.01
2012-08-07,2012.6,76.64
2012-08-08,2012.603,77.33
2012-08-09,2012.606,77.78
2012-08-10,2012.608,78.29
2012-08-13,2012.617,78.73
2012-08-14,2012.619,78.41
2012-08-15,2012.622,79.14
2012-08-16,2012.625,79.77
2012-08-17,2012.628,81.67
2012-08-20,2012.636,80.44
2012-08-21,2012.639,80.46
2012-08-22,2012.642,78.98
2012-08-23,2012.644,77.89
2012-08-24,2012.647,77.64
2012-08-27,2012.656,77.89
2012-08-28,2012.658,77.55
2012-08-29,2012.661,77.01
2012-08-30,2012.664,76.34
2012-08-31,2012.667,76.72
2012-09-04,2012.675,76.72
2012-09-05,2012.678,76.34
2012-09-06,2012.681,78.66
2012-09-07,2012.683,79.9
2012-09-10,2012.692,81.27
2012-09-11,2012.694,81.99
2012-09-12,2012.697,81.82
2012-09-13,2012.7,82.49
2012-09-14,2012.703,82.44
2012-09-17,2012.711,79.94
2012-09-18,2012.714,79.14
2012-09-19,2012.717,80.08
2012-09-20,2012.719,77.7
2012-09-21,2012.722,76.72
2012-09-24,2012.731,77.14
2012-09-25,2012.733,74.9
2012-09-26,2012.736,74.21
2012-09-27,2012.739,74.92
2012-09-28,2012.742,74.9
2012-10-01,2012.75,75.34
2012-10-02,2012.753,74.61
2012-10-03,2012.756,75.19
2012-10-04,2012.758,79.69
2012-10-05,2012.761,80.58
2012-10-08,2012.769,80.77
2012-10-09,2012.772,80.67
2012-10-10,2012.775,80.46
2012-10-11,2012.778,81.3
2012-10-12,2012.781,81.09
2012-10-15,2012.789,82.22
2012-10-16,2012.792,84.53
2012-10-17,2012.794,85.27
2012-10-18,2012.797,85.02
2012-10-19,2012.8,83.45
2012-10-22,2012.808,83.28
2012-10-23,2012.811,87.86
2012-10-24,2012.814,85.5
2012-10-25,2012.817,85.27
2012-10-26,2012.819,85.91
2012-10-31,2012.833,86.52
2012-11-01,2012.833,88.95
2012-11-02,2012.836,87.71
2012-11-05,2012.844,86.88
2012-11-06,2012.847,91.1
2012-11-07,2012.85,88.53
2012-11-08,2012.853,87.27
2012-11-09,2012.856,86.62
2012-11-12,2012.864,87.44
2012-11-13,2012.867,87.23
2012-11-14,2012.869,84.39
2012-11-15,2012.872,83.93
2012-11-16,2012.875,84.79
2012-11-19,2012.883,87
2012-11-20,2012.886,87.11
2012-11-21,2012.889,87.44
2012-11-23,2012.894,88.25
2012-11-26,2012.903,88.44
2012-11-27,2012.906,88.84
2012-11-28,2012.908,89.36
2012-11-29,2012.911,91.18
2012-11-30,2012.914,90.26
2012-12-03,2012.922,90.89
2012-12-04,2012.925,91.45
2012-12-05,2012.928,92.16
2012-12-06,2012.931,92.87
2012-12-07,2012.933,93.17
2012-12-10,2012.942,94.61
2012-12-11,2012.944,94.19
2012-12-12,2012.947,94.44
2012-12-13,2012.95,94.48
2012-12-14,2012.953,95.11
2012-12-17,2012.961,93.61
2012-12-18,2012.964,97.68
2012-12-19,2012.967,97.47
2012-12-20,2012.969,97.39
2012-12-21,2012.972,96.68
2012-12-24,2012.981,96.74
2012-12-26,2012.986,95.34
2012-12-27,2012.989,94.19
2012-12-28,2012.992,93.37
2012-12-31,2013,95.74
2013-01-02,2013.003,97.97
2013-01-03,2013.006,99.64
2013-01-04,2013.008,99.58
2013-01-07,2013.017,99.04
2013-01-08,2013.019,98.54
2013-01-09,2013.022,99.75
2013-01-10,2013.025,102.03
2013-01-11,2013.028,101.86
2013-01-14,2013.036,102.15
2013-01-15,2013.039,104.16
2013-01-16,2013.042,104.26
2013-01-17,2013.044,105.08
2013-01-18,2013.047,105.47
2013-01-22,2013.058,106.16
2013-01-23,2013.061,105.83
2013-01-24,2013.064,107.98
2013-01-25,2013.067,107.34
2013-01-28,2013.075,106.46
2013-01-29,2013.078,106.37
2013-01-30,2013.081,104.05
2013-01-31,2013.083,108.88
2013-02-01,2013.083,111.03
2013-02-04,2013.092,108.78
2013-02-05,2013.094,112.85
2013-02-06,2013.097,112.96
2013-02-07,2013.1,111.85
2013-02-08,2013.103,111.62
2013-02-11,2013.111,109.99
2013-02-12,2013.114,110.89
2013-02-13,2013.117,110.6
2013-02-14,2013.119,111.31
2013-02-15,2013.122,110.11
2013-02-19,2013.133,110.43
2013-02-20,2013.136,108.3
2013-02-21,2013.139,106.6
2013-02-22,2013.142,107.46
2013-02-25,2013.15,104.33
2013-02-26,2013.153,103.78
2013-02-27,2013.156,106.9
2013-02-28,2013.158,107.77
2013-03-01,2013.167,106.29
2013-03-04,2013.175,106.58
2013-03-05,2013.178,108.72
2013-03-06,2013.181,111.12
2013-03-07,2013.183,111.72
2013-03-08,2013.186,112.85
2013-03-11,2013.194,113.75
2013-03-12,2013.197,112.39
2013-03-13,2013.2,115.74
2013-03-14,2013.203,117.78
2013-03-15,2013.206,116.97
2013-03-18,2013.214,116.59
2013-03-19,2013.217,114.77
2013-03-20,2013.219,114.27
2013-03-21,2013.222,111.62
2013-03-22,2013.225,115.21
2013-03-25,2013.233,115.26
2013-03-26,2013.236,115.42
2013-03-27,2013.239,113.9
2013-03-28,2013.242,114.57
2013-04-01,2013.25,112.5
2013-04-02,2013.253,111.79
2013-04-03,2013.256,111.05
2013-04-04,2013.258,110.26
2013-04-05,2013.261,110.89
2013-04-08,2013.269,113.5
2013-04-09,2013.272,112.85
2013-04-10,2013.275,117.87
2013-04-11,2013.278,116.11
2013-04-12,2013.281,117.68
2013-04-15,2013.289,108.97
2013-04-16,2013.292,112.44
2013-04-17,2013.294,108.55
2013-04-18,2013.297,107.54
2013-04-19,2013.3,109.59
2013-04-22,2013.308,109.82
2013-04-23,2013.311,102.22
2013-04-24,2013.314,109.19
2013-04-25,2013.317,109.53
2013-04-26,2013.319,109.05
2013-04-29,2013.328,110.26
2013-04-30,2013.331,111.35
2013-05-01,2013.333,108.69
2013-05-02,2013.336,108.86
2013-05-03,2013.339,112.1
2013-05-06,2013.347,114.57
2013-05-07,2013.35,116.76
2013-05-08,2013.353,116.97
2013-05-09,2013.356,116.59
2013-05-10,2013.358,117.35
2013-05-13,2013.367,115.59
2013-05-14,2013.369,118.01
2013-05-15,2013.372,119.44
2013-05-16,2013.375,117.22
2013-05-17,2013.378,119.88
2013-05-20,2013.386,122.24
2013-05-21,2013.389,122.76
2013-05-22,2013.392,120.44
2013-05-23,2013.394,120.98
2013-05-24,2013.397,120.02
2013-05-28,2013.408,121.88
2013-05-29,2013.411,121.09
2013-05-30,2013.414,121.48
2013-05-31,2013.417,120.88
2013-06-03,2013.422,119.88
2013-06-04,2013.425,118.43
2013-06-05,2013.428,115.47
2013-06-06,2013.431,117.28
2013-06-07,2013.433,120.38
2013-06-10,2013.442,120.17
2013-06-11,2013.444,117.99
2013-06-12,2013.447,117.64
2013-06-13,2013.45,119.46
2013-06-14,2013.453,119.06
2013-06-17,2013.461,118.56
2013-06-18,2013.464,119.16
2013-06-19,2013.467,117.97
2013-06-20,2013.469,115.24
2013-06-21,2013.472,115.99
2013-06-24,2013.481,112.85
2013-06-25,2013.483,115.74
2013-06-26,2013.486,116.47
2013-06-27,2013.489,117.91
2013-06-28,2013.492,116.57
2013-07-01,2013.5,116.09
2013-07-02,2013.503,115.15
2013-07-03,2013.506,114.69
2013-07-05,2013.511,115.51
2013-07-08,2013.519,115.28
2013-07-09,2013.522,116.38
2013-07-10,2013.525,115.51
2013-07-11,2013.528,116.8
2013-07-12,2013.531,116.63
2013-07-15,2013.539,117.68
2013-07-16,2013.542,115.8
2013-07-17,2013.544,116.84
2013-07-18,2013.547,119.18
2013-07-19,2013.55,120.17
2013-07-22,2013.558,120.86
2013-07-23,2013.561,120.08
2013-07-24,2013.564,118.24
2013-07-25,2013.567,118.22
2013-07-26,2013.569,118.2
2013-07-29,2013.578,116.09
2013-07-30,2013.581,116.78
2013-07-31,2013.583,118.58
2013-08-01,2013.583,124.01
2013-08-02,2013.586,124.24
2013-08-05,2013.594,122.7
2013-08-06,2013.597,119.23
2013-08-07,2013.6,116.93
2013-08-08,2013.603,116.87
2013-08-09,2013.606,116.28
2013-08-12,2013.614,116.2
2013-08-13,2013.617,114.77
2013-08-14,2013.619,114.77
2013-08-15,2013.622,113.1
2013-08-16,2013.625,112.92
2013-08-19,2013.633,111.2
2013-08-20,2013.636,112.67
2013-08-21,2013.639,111.51
2013-08-22,2013.642,114.13
2013-08-23,2013.644,113.71
2013-08-26,2013.653,113.08
2013-08-27,2013.656,109.47
2013-08-28,2013.658,107.92
2013-08-29,2013.661,108.74
2013-08-30,2013.664,106.63
2013-09-03,2013.672,106.35
2013-09-04,2013.675,107.84
2013-09-05,2013.678,108.34
2013-09-06,2013.681,109.26
2013-09-09,2013.689,110.7
2013-09-10,2013.692,112.77
2013-09-11,2013.694,115.53
2013-09-12,2013.697,114.25
2013-09-13,2013.7,114.02
2013-09-16,2013.708,115.84
2013-09-17,2013.711,115.26
2013-09-18,2013.714,117.16
2013-09-19,2013.717,117.78
2013-09-20,2013.719,115.82
2013-09-23,2013.728,114.29
2013-09-24,2013.731,113.65
2013-09-25,2013.733,114.23
2013-09-26,2013.736,114.94
2013-09-27,2013.739,114.48
2013-09-30,2013.747,114.48
2013-10-01,2013.75,116.91
2013-10-02,2013.753,116.53
2013-10-03,2013.756,113.81
2013-10-04,2013.758,114.92
2013-10-07,2013.767,112.81
2013-10-08,2013.769,110.39
2013-10-09,2013.772,110.12
2013-10-10,2013.775,113.86
2013-10-11,2013.778,114.32
2013-10-14,2013.786,115.65
2013-10-15,2013.789,113.98
2013-10-16,2013.792,114.8
2013-10-17,2013.794,116.41
2013-10-18,2013.797,118.96
2013-10-21,2013.806,118.45
2013-10-22,2013.808,121.27
2013-10-23,2013.811,122.86
2013-10-24,2013.814,125.18
2013-10-25,2013.817,125.29
2013-10-28,2013.825,126.92
2013-10-29,2013.828,127.52
2013-10-30,2013.831,126.25
2013-10-31,2013.833,126.23
2013-11-01,2013.833,127.09
2013-11-04,2013.842,128.48
2013-11-05,2013.844,127.42
2013-11-06,2013.847,127
2013-11-07,2013.85,123.62
2013-11-08,2013.853,123.84
2013-11-11,2013.861,125.02
2013-11-12,2013.864,125.47
2013-11-13,2013.867,126.54
2013-11-14,2013.869,126.79
2013-11-15,2013.872,130.47
2013-11-18,2013.881,130.7
2013-11-19,2013.883,130.39
2013-11-20,2013.886,130.01
2013-11-21,2013.889,132.06
2013-11-22,2013.892,132.33
2013-11-25,2013.9,131.89
2013-11-26,2013.903,132.25
2013-11-27,2013.906,133.37
2013-11-29,2013.911,133.92
2013-12-02,2013.919,133.46
2013-12-03,2013.922,132.48
2013-12-04,2013.925,131.95
2013-12-05,2013.928,131.28
2013-12-06,2013.931,131.83
2013-12-09,2013.939,130.85
2013-12-10,2013.942,130.12
2013-12-11,2013.944,128.8
2013-12-12,2013.947,128.09
2013-12-13,2013.95,129.8
2013-12-16,2013.958,133.77
2013-12-17,2013.961,133.84
2013-12-18,2013.964,135.55
2013-12-19,2013.967,137.09
2013-12-20,2013.969,136.89
2013-12-23,2013.978,140.12
2013-12-24,2013.981,140.58
2013-12-26,2013.986,140.56
2013-12-27,2013.989,140.75
2013-12-30,2013.997,141.27
2013-12-31,2014,141.48
2014-01-02,2014.003,139.29
2014-01-03,2014.006,139.58
2014-01-06,2014.014,137.3
2014-01-07,2014.017,138.7
2014-01-08,2014.019,139.18
2014-01-09,2014.022,138.37
2014-01-10,2014.025,139.98
2014-01-13,2014.033,138.04
2014-01-14,2014.036,138.98
2014-01-15,2014.039,141.04
2014-01-16,2014.042,140.67
2014-01-17,2014.044,142.47
2014-01-21,2014.056,143.28
2014-01-22,2014.058,143.53
2014-01-23,2014.061,142.21
2014-01-24,2014.064,137.83
2014-01-27,2014.072,135.8
2014-01-28,2014.075,137.01
2014-01-29,2014.078,136.4
2014-01-30,2014.081,137.62
2014-01-31,2014.083,136.51
2014-02-03,2014.089,131.85
2014-02-04,2014.092,133.31
2014-02-05,2014.094,131.95
2014-02-06,2014.097,134.75
2014-02-07,2014.1,136.97
2014-02-10,2014.108,135.7
2014-02-11,2014.111,136.91
2014-02-12,2014.114,137.22
2014-02-13,2014.117,136.2
2014-02-14,2014.119,137.49
2014-02-18,2014.131,137.14
2014-02-19,2014.133,136.03
2014-02-20,2014.136,137.7
2014-02-21,2014.139,139.48
2014-02-24,2014.147,141.5
2014-02-25,2014.15,140.48
2014-02-26,2014.153,140.04
2014-02-27,2014.156,142.61
2014-02-28,2014.158,144.43
2014-03-03,2014.172,142.72
2014-03-04,2014.175,146.46
2014-03-05,2014.178,147.73
2014-03-06,2014.181,148.67
2014-03-07,2014.183,149.34
2014-03-10,2014.192,149.03
2014-03-11,2014.194,147.44
2014-03-12,2014.197,148.02
2014-03-13,2014.2,146.77
2014-03-14,2014.203,148.09
2014-03-17,2014.211,149.47
