Date,t,Close
2011-08-10,2011.608,4791.96
2011-08-11,2011.611,5032.75
2011-08-12,2011.614,5252.81
2011-08-15,2011.622,5324.73
2011-08-16,2011.625,5373.3
2011-08-17,2011.628,5421.21
2011-08-18,2011.631,5196
2011-08-19,2011.633,5093.75
2011-08-22,2011.642,5144.02
2011-08-23,2011.644,5230.58
2011-08-24,2011.647,5328.49
2011-08-25,2011.65,5298.18
2011-08-26,2011.653,5323.12
2011-08-29,2011.661,5446.47
2011-08-30,2011.664,5449.16
2011-08-31,2011.667,5528.52
2011-09-01,2011.667,5531.54
2011-09-02,2011.669,5359.67
2011-09-05,2011.678,5142.99
2011-09-06,2011.681,5367.24
2011-09-07,2011.683,5501.26
2011-09-08,2011.686,5528.91
2011-09-09,2011.689,5430.77
2011-09-12,2011.697,5303.14
2011-09-13,2011.7,5359.14
2011-09-14,2011.703,5417.89
2011-09-15,2011.706,5433.48
2011-09-16,2011.708,5452.88
2011-09-19,2011.717,5360.56
2011-09-20,2011.719,5471.4
2011-09-21,2011.722,5475.34
2011-09-22,2011.725,5288.48
2011-09-23,2011.728,5298.83
2011-09-26,2011.736,5401.01
2011-09-27,2011.739,5564.62
2011-09-28,2011.742,5551.65
2011-09-29,2011.744,5608.6
2011-09-30,2011.747,5531.74
2011-10-03,2011.756,5495.69
2011-10-04,2011.758,5444.55
2011-10-05,2011.761,5504.99
2011-10-06,2011.764,5640.07
2011-10-07,2011.767,5652.23
2011-10-10,2011.775,5718.56
2011-10-11,2011.778,5732.19
2011-10-12,2011.781,5781.13
2011-10-13,2011.783,5713.17
2011-10-14,2011.786,5761.12
2011-10-17,2011.794,5723.41
2011-10-18,2011.797,5682.51
2011-10-19,2011.8,5699.98
2011-10-20,2011.803,5657.66
2011-10-21,2011.806,5753.52
2011-10-24,2011.814,5788.63
2011-10-25,2011.817,5708.79
2011-10-26,2011.819,5700.5
2011-10-27,2011.822,5823
2011-10-28,2011.825,5852.66
2011-10-31,2011.833,5731.27
2011-11-01,2011.833,5588.57
2011-11-02,2011.836,5611.05
2011-11-03,2011.839,5668.05
2011-11-04,2011.842,5659.83
2011-11-07,2011.85,5645.96
2011-11-08,2011.853,5682.65
