Date,t,Close
2011-10-03,2011.756,1099.23
2011-10-04,2011.758,1123.95
2011-10-05,2011.761,1144.03
2011-10-06,2011.764,1164.97
2011-10-07,2011.767,1155.46
2011-10-10,2011.775,1194.89
2011-10-11,2011.778,1195.54
2011-10-12,2011.781,1207.25
2011-10-13,2011.783,1203.66
2011-10-14,2011.786,1224.58
2011-10-17,2011.794,1200.86
2011-10-18,2011.797,1225.38
2011-10-19,2011.8,1209.88
2011-10-20,2011.803,1215.39
2011-10-21,2011.806,1238.25
2011-10-24,2011.814,1254.19
2011-10-25,2011.817,1229.05
2011-10-26,2011.819,1242
2011-10-27,2011.822,1284.59
2011-10-28,2011.825,1285.09
2011-10-31,2011.833,1253.3
2011-11-01,2011.833,1218.28
2011-11-02,2011.836,1237.9
2011-11-03,2011.839,1261.15
2011-11-04,2011.842,1253.23
2011-11-07,2011.85,1261.12
2011-11-08,2011.853,1275.92
2011-11-09,2011.856,1229.1
2011-11-10,2011.858,1239.69
2011-11-11,2011.861,1263.85
2011-11-14,2011.869,1251.78
2011-11-15,2011.872,1257.81
2011-11-16,2011.875,1236.91
2011-11-17,2011.878,1216.13
2011-11-18,2011.881,1215.65
2011-11-21,2011.889,1192.98
2011-11-22,2011.892,1188.04
2011-11-23,2011.894,1161.79
2011-11-25,2011.9,1158.67
2011-11-28,2011.908,1192.55
2011-11-29,2011.911,1195.19
2011-11-30,2011.914,1246.96
2011-12-01,2011.917,1244.58
2011-12-02,2011.919,1244.28
2011-12-05,2011.928,1257.08
2011-12-06,2011.931,1258.47
2011-12-07,2011.933,1261.01
2011-12-08,2011.936,1234.35
2011-12-09,2011.939,1255.19
2011-12-12,2011.947,1236.47
2011-12-13,2011.95,1225.73
2011-12-14,2011.953,1211.82
2011-12-15,2011.956,1215.75
2011-12-16,2011.958,1219.66
2011-12-19,2011.967,1205.35
2011-12-20,2011.969,1241.3
2011-12-21,2011.972,1243.72
2011-12-22,2011.975,1254
2011-12-23,2011.978,1265.33
2011-12-27,2011.989,1265.43
2011-12-28,2011.992,1249.64
2011-12-29,2011.994,1263.02
2011-12-30,2011.997,1257.6
2012-01-03,2012.006,1277.06
2012-01-04,2012.008,1277.3
2012-01-05,2012.011,1281.06
2012-01-06,2012.014,1277.81
2012-01-09,2012.022,1280.7
2012-01-10,2012.025,1292.08
2012-01-11,2012.028,1292.48
2012-01-12,2012.031,1295.5
2012-01-13,2012.033,1289.09
