Date,t,Close
2011-09-12,2011.697,1995.01
2011-09-13,2011.7,2036.64
2011-09-14,2011.703,2083.38
2011-09-15,2011.706,2155.62
2011-09-16,2011.708,2159.28
2011-09-19,2011.717,2096.1
2011-09-20,2011.719,2140.41
2011-09-21,2011.722,2098.49
2011-09-22,2011.725,1995.75
2011-09-23,2011.728,2026.03
2011-09-26,2011.736,2083.35
2011-09-27,2011.739,2194.03
2011-09-28,2011.742,2176.64
2011-09-29,2011.744,2212.44
2011-09-30,2011.747,2179.66
2011-10-03,2011.756,2138.24
2011-10-04,2011.758,2091.09
2011-10-05,2011.761,2179.42
2011-10-06,2011.764,2248.78
2011-10-07,2011.767,2269.19
2011-10-10,2011.775,2320.8
2011-10-11,2011.778,2315.97
2011-10-12,2011.781,2372.15
2011-10-13,2011.783,2332.52
2011-10-14,2011.786,2355.48
2011-10-17,2011.794,2315.89
2011-10-18,2011.797,2306.81
2011-10-19,2011.8,2330.08
2011-10-20,2011.803,2271.77
2011-10-21,2011.806,2337.51
2011-10-24,2011.814,2369.07
2011-10-25,2011.817,2343.96
2011-10-26,2011.819,2335.06
2011-10-27,2011.822,2476.92
2011-10-28,2011.825,2462.36
2011-10-31,2011.833,2385.22
2011-11-01,2011.833,2259.73
2011-11-02,2011.836,2291.89
2011-11-03,2011.839,2347.94
2011-11-04,2011.842,2291.47
2011-11-07,2011.85,2275.92
2011-11-08,2011.853,2303.2
2011-11-09,2011.856,2249.39
2011-11-10,2011.858,2254.92
2011-11-11,2011.861,2324.81
2011-11-14,2011.869,2288.32
2011-11-15,2011.872,2254
2011-11-16,2011.875,2267.96
2011-11-17,2011.878,2242.78
2011-11-18,2011.881,2236.68
2011-11-21,2011.889,2160.28
2011-11-22,2011.892,2136.81
2011-11-23,2011.894,2096.79
2011-11-24,2011.897,2090.25
2011-11-25,2011.9,2111.26
2011-11-28,2011.908,2221.76
2011-11-29,2011.911,2234.17
2011-11-30,2011.914,2330.43
2011-12-01,2011.917,2313.84
2011-12-02,2011.919,2342.5
2011-12-05,2011.928,2369.39
2011-12-06,2011.931,2356.71
2011-12-07,2011.933,2344.92
2011-12-08,2011.936,2288.05
2011-12-09,2011.939,2342.59
2011-12-12,2011.947,2269.46
2011-12-13,2011.95,2260.98
2011-12-14,2011.953,2205.91
2011-12-15,2011.956,2224.89
2011-12-16,2011.958,2202.72
2011-12-19,2011.967,2202.95
2011-12-20,2011.969,2262.39
2011-12-21,2011.972,2244.35
2011-12-22,2011.975,2273.02
2011-12-23,2011.978,2290.37
2011-12-27,2011.989,2290.31
2011-12-28,2011.992,2255.03
2011-12-29,2011.994,2292.28
2011-12-30,2011.997,2316.55
2012-01-02,2012.003,2370.2
2012-01-03,2012.006,2389.91
2012-01-04,2012.008,2349.89
2012-01-05,2012.011,2315.75
2012-01-06,2012.014,2298.65
2012-01-09,2012.022,2286.45
2012-01-10,2012.025,2347.47
2012-01-11,2012.028,2339.51
2012-01-12,2012.031,2345.85
2012-01-13,2012.033,2338.01
2012-01-16,2012.042,2361.56
2012-01-17,2012.044,2396.63
2012-01-18,2012.047,2390.64
2012-01-19,2012.05,2435.04
2012-01-20,2012.053,2426.96
2012-01-23,2012.061,2441.44
2012-01-24,2012.064,2432.07
2012-01-25,2012.067,2421.12
2012-01-26,2012.069,2460.4
2012-01-27,2012.072,2436.62
2012-01-30,2012.081,2404.62
2012-01-31,2012.083,2416.66
2012-02-01,2012.083,2470.79
2012-02-02,2012.086,2478.15
2012-02-03,2012.089,2515.15
2012-02-06,2012.097,2507.89
2012-02-07,2012.1,2514.12
2012-02-08,2012.103,2512.92
2012-02-09,2012.106,2522.34
2012-02-10,2012.108,2480.76
2012-02-13,2012.117,2491.54
2012-02-14,2012.119,2488.29
2012-02-15,2012.122,2493.96
2012-02-16,2012.125,2489.35
2012-02-17,2012.128,2520.31
2012-02-20,2012.136,2550.28
2012-02-21,2012.139,2541.6
2012-02-22,2012.142,2519
2012-02-23,2012.144,2508.08
2012-02-24,2012.147,2523.69
2012-02-27,2012.156,2513.06
2012-02-28,2012.158,2519.72
2012-02-29,2012.161,2512.11
2012-03-01,2012.167,2548.66
2012-03-02,2012.169,2546.16
2012-03-05,2012.178,2529.86
2012-03-06,2012.181,2443.52
2012-03-07,2012.183,2460.77
2012-03-08,2012.186,2514.22
2012-03-09,2012.189,2515.95
2012-03-12,2012.197,2514.97
2012-03-13,2012.2,2556.82
2012-03-14,2012.203,2574.79
2012-03-15,2012.206,2593.97
2012-03-16,2012.208,2608.3
2012-03-19,2012.217,2608.42
2012-03-20,2012.219,2576.61
2012-03-21,2012.222,2567.58
2012-03-22,2012.225,2530.22
2012-03-23,2012.228,2525.43
2012-03-26,2012.236,2539.87
2012-03-27,2012.239,2525.21
2012-03-28,2012.242,2496.68
2012-03-29,2012.244,2452.74
2012-03-30,2012.247,2477.28
2012-04-02,2012.253,2501.18
2012-04-03,2012.256,2458.98
2012-04-04,2012.258,2398.46
2012-04-05,2012.261,2392.54
2012-04-10,2012.275,2321.53
2012-04-11,2012.278,2341.36
2012-04-12,2012.281,2352.24
2012-04-13,2012.283,2291.51
2012-04-16,2012.292,2301.19
2012-04-17,2012.294,2367.05
2012-04-18,2012.297,2327.84
2012-04-19,2012.3,2284.67
2012-04-20,2012.303,2311.27
2012-04-23,2012.311,2244.83
2012-04-24,2012.314,2284.08
2012-04-25,2012.317,2322.91
2012-04-26,2012.319,2322.69
2012-04-27,2012.322,2344.02
2012-04-30,2012.331,2306.43
2012-05-01,2012.333,2306.69
2012-05-02,2012.336,2290.31
2012-05-03,2012.339,2287.1
2012-05-04,2012.342,2248.34
2012-05-07,2012.35,2283.09
2012-05-08,2012.353,2236.11
2012-05-09,2012.356,2225.63
2012-05-10,2012.358,2247.38
2012-05-11,2012.361,2254.54
2012-05-14,2012.369,2201.95
2012-05-15,2012.372,2178.67
2012-05-16,2012.375,2175.34
2012-05-17,2012.378,2146.91
2012-05-18,2012.381,2144.69
2012-05-21,2012.389,2150.16
2012-05-22,2012.392,2192.85
2012-05-23,2012.394,2134.05
2012-05-24,2012.397,2156.52
2012-05-25,2012.4,2161.87
2012-05-28,2012.408,2147.92
2012-05-29,2012.411,2160.31
2012-05-30,2012.414,2116.18
2012-05-31,2012.417,2118.94
2012-06-01,2012.417,2068.66
2012-06-04,2012.425,2078.96
2012-06-05,2012.428,2087.31
2012-06-06,2012.431,2137.73
2012-06-07,2012.433,2143.08
2012-06-08,2012.436,2143.9
2012-06-11,2012.444,2137.7
2012-06-12,2012.447,2143.38
2012-06-13,2012.45,2143.5
2012-06-14,2012.453,2148.21
2012-06-15,2012.456,2181.23
2012-06-18,2012.464,2155.64
2012-06-19,2012.467,2198.01
2012-06-20,2012.469,2207.49
2012-06-21,2012.472,2199.42
2012-06-22,2012.475,2186.81
2012-06-25,2012.483,2130.71
2012-06-26,2012.486,2127.95
2012-06-27,2012.489,2165.61
2012-06-28,2012.492,2157.62
2012-06-29,2012.494,2264.72
2012-07-02,2012.503,2292.08
2012-07-03,2012.506,2320.43
2012-07-04,2012.508,2312.41
2012-07-05,2012.511,2284.92
2012-07-06,2012.514,2235.51
2012-07-09,2012.522,2227.91
2012-07-10,2012.525,2241.85
2012-07-11,2012.528,2246.23
2012-07-12,2012.531,2228.01
2012-07-13,2012.533,2259.09
2012-07-16,2012.542,2251.96
2012-07-17,2012.544,2250.75
2012-07-18,2012.547,2284.7
2012-07-19,2012.55,2302.45
2012-07-20,2012.553,2237.33
2012-07-23,2012.561,2179.31
2012-07-24,2012.564,2151.54
2012-07-25,2012.567,2159.09
2012-07-26,2012.569,2251.05
2012-07-27,2012.572,2301.23
2012-07-30,2012.581,2340.31
2012-07-31,2012.583,2325.72
2012-08-01,2012.583,2333.38
2012-08-02,2012.586,2263.36
2012-08-03,2012.589,2372.58
2012-08-06,2012.597,2399.32
2012-08-07,2012.6,2440.24
2012-08-08,2012.603,2432.28
2012-08-09,2012.606,2437.04
2012-08-10,2012.608,2423.22
2012-08-13,2012.617,2415.96
2012-08-14,2012.619,2432.29
2012-08-15,2012.622,2430.39
2012-08-16,2012.625,2456.53
2012-08-17,2012.628,2471.53
2012-08-20,2012.636,2466.32
2012-08-21,2012.639,2490.27
2012-08-22,2012.642,2452.73
2012-08-23,2012.644,2429.17
2012-08-24,2012.647,2434.23
2012-08-27,2012.656,2461.82
2012-08-28,2012.658,2442.12
2012-08-29,2012.661,2434.23
2012-08-30,2012.664,2403.8
2012-08-31,2012.667,2440.71
2012-09-03,2012.672,2463.17
2012-09-04,2012.675,2436.54
2012-09-05,2012.678,2441.81
2012-09-06,2012.681,2524.95
2012-09-07,2012.683,2538.6
2012-09-10,2012.692,2528.53
2012-09-11,2012.694,2557.65
2012-09-12,2012.697,2564.8
2012-09-13,2012.7,2543.22
2012-09-14,2012.703,2594.56
2012-09-17,2012.711,2583.57
2012-09-18,2012.714,2553.4
2012-09-19,2012.717,2567.67
2012-09-20,2012.719,2553.03
2012-09-21,2012.722,2577.08
2012-09-24,2012.731,2557.89
2012-09-25,2012.733,2568.48
2012-09-26,2012.736,2498.52
2012-09-27,2012.739,2506.06
2012-09-28,2012.742,2454.26
2012-10-01,2012.75,2498.81
2012-10-02,2012.753,2493.59
2012-10-03,2012.756,2492.48
2012-10-04,2012.758,2485.75
2012-10-05,2012.761,2531.21
2012-10-08,2012.769,2496.09
2012-10-09,2012.772,2472.23
2012-10-10,2012.775,2456.54
2012-10-11,2012.778,2487.08
2012-10-12,2012.781,2469.09
2012-10-15,2012.789,2485.12
2012-10-16,2012.792,2547.9
2012-10-17,2012.794,2569.83
2012-10-18,2012.797,2574.19
2012-10-19,2012.8,2542.24
2012-10-22,2012.808,2531.1
2012-10-23,2012.811,2477.92
2012-10-24,2012.814,2490.58
2012-10-25,2012.817,2483.43
2012-10-26,2012.819,2496.1
2012-10-29,2012.828,2478.84
2012-10-30,2012.831,2515.99
2012-10-31,2012.833,2503.64
2012-11-01,2012.833,2533.87
2012-11-02,2012.836,2547.15
2012-11-05,2012.844,2517.67
2012-11-06,2012.847,2535.94
2012-11-07,2012.85,2479.1
2012-11-08,2012.853,2479.13
2012-11-09,2012.856,2479.82
2012-11-12,2012.864,2473.52
2012-11-13,2012.867,2493.14
2012-11-14,2012.869,2472.84
2012-11-15,2012.872,2461.77
2012-11-16,2012.875,2427.32
2012-11-19,2012.883,2495.21
2012-11-20,2012.886,2509.62
2012-11-21,2012.889,2519.68
2012-11-22,2012.892,2535.09
2012-11-23,2012.894,2557.03
2012-11-26,2012.903,2542.52
2012-11-27,2012.906,2543.45
2012-11-28,2012.908,2546.84
2012-11-29,2012.911,2581.69
2012-11-30,2012.914,2575.25
2012-12-03,2012.922,2582.36
2012-12-04,2012.925,2590.83
2012-12-05,2012.928,2592.09
2012-12-06,2012.931,2603.41
2012-12-07,2012.933,2601.37
2012-12-10,2012.942,2596.02
2012-12-11,2012.944,2624.03
2012-12-12,2012.947,2630.34
2012-12-13,2012.95,2627.66
2012-12-14,2012.953,2630.54
2012-12-17,2012.961,2628.01
2012-12-18,2012.964,2643.5
2012-12-19,2012.967,2654.69
2012-12-20,2012.969,2658.3
2012-12-21,2012.972,2651.09
2012-12-24,2012.981,2648.53
2012-12-27,2012.989,2659.95
2012-12-28,2012.992,2626.85
2012-12-31,2013,2635.93
2013-01-02,2013.003,2711.25
2013-01-03,2013.006,2701.22
2013-01-04,2013.008,2709.35
2013-01-07,2013.017,2695.56
2013-01-08,2013.019,2691.45
2013-01-09,2013.022,2706.39
2013-01-10,2013.025,2708.27
2013-01-11,2013.028,2717.79
2013-01-14,2013.036,2715.16
2013-01-15,2013.039,2701.59
2013-01-16,2013.042,2702.54
2013-01-17,2013.044,2718.93
2013-01-18,2013.047,2709.59
2013-01-21,2013.056,2726.63
2013-01-22,2013.058,2716.7
2013-01-23,2013.061,2708.28
2013-01-24,2013.064,2722.96
2013-01-25,2013.067,2744.18
2013-01-28,2013.075,2744.5
2013-01-29,2013.078,2749.27
2013-01-30,2013.081,2732.12
2013-01-31,2013.083,2702.98
2013-02-01,2013.083,2710.08
2013-02-04,2013.092,2625.17
2013-02-05,2013.094,2651.21
2013-02-06,2013.097,2617.35
2013-02-07,2013.1,2597.92
2013-02-08,2013.103,2630.3
2013-02-11,2013.111,2622.61
2013-02-12,2013.114,2648.83
2013-02-13,2013.117,2656.86
2013-02-14,2013.119,2635.35
2013-02-15,2013.122,2615.26
2013-02-18,2013.131,2616.65
2013-02-19,2013.133,2662.37
2013-02-20,2013.136,2640.35
2013-02-21,2013.139,2579.76
2013-02-22,2013.142,2630.05
2013-02-25,2013.15,2651.86
2013-02-26,2013.153,2570.52
2013-02-27,2013.156,2611.89
2013-02-28,2013.158,2633.55
2013-03-01,2013.167,2616.75
2013-03-04,2013.175,2619.78
2013-03-05,2013.178,2683.02
2013-03-06,2013.181,2679.89
2013-03-07,2013.183,2690.85
2013-03-08,2013.186,2728.78
2013-03-11,2013.194,2718.71
2013-03-12,2013.197,2711.85
2013-03-13,2013.2,2704.73
2013-03-14,2013.203,2744.7
2013-03-15,2013.206,2725.72
2013-03-18,2013.214,2705.47
2013-03-19,2013.217,2671.96
2013-03-20,2013.219,2708.9
2013-03-21,2013.222,2683.92
2013-03-22,2013.225,2681.67
2013-03-25,2013.233,2649.28
2013-03-26,2013.236,2641.12
2013-03-27,2013.239,2612.46
2013-03-28,2013.242,2624.02
2013-04-02,2013.253,2679.8
2013-04-03,2013.256,2639.01
2013-04-04,2013.258,2621.43
2013-04-05,2013.261,2585.28
2013-04-08,2013.269,2589.25
2013-04-09,2013.272,2595.13
2013-04-10,2013.275,2661.62
2013-04-11,2013.278,2674.33
2013-04-12,2013.281,2633.47
2013-04-15,2013.289,2624.71
2013-04-16,2013.292,2609.3
2013-04-17,2013.294,2553.49
2013-04-18,2013.297,2555.5
2013-04-19,2013.3,2575.16
2013-04-22,2013.308,2583.62
2013-04-23,2013.311,2662.88
2013-04-24,2013.314,2702.05
2013-04-25,2013.317,2704.41
2013-04-26,2013.319,2683.43
2013-04-29,2013.328,2717.38
2013-04-30,2013.331,2712
2013-05-01,2013.333,2711.74
2013-05-02,2013.336,2718.9
2013-05-03,2013.339,2763.68
2013-05-06,2013.347,2750.52
2013-05-07,2013.35,2769.08
2013-05-08,2013.353,2784.62
2013-05-09,2013.356,2773.16
2013-05-10,2013.358,2785.24
2013-05-13,2013.367,2777.39
2013-05-14,2013.369,2795.63
2013-05-15,2013.372,2809.58
2013-05-16,2013.375,2806.7
2013-05-17,2013.378,2817.99
2013-05-20,2013.386,2824.5
2013-05-21,2013.389,2821.65
2013-05-22,2013.392,2835.01
2013-05-23,2013.394,2776.78
2013-05-24,2013.397,2764.29
