ticker;date_from;date_to;t;price;step_backward;nbre_generation;t_until_critical_point;days_before_critical_time;m;omega;tc;A;B;C1;C2
INDU;03.10.2011;09.05.2014;2014.356;16583.34;0;50;0.466910506;170;0.898516208;10.45879433;2014.822911;9.823695085;-0.169753641;-0.01413164;-0.008802397
INDU;03.10.2011;08.05.2014;2014.353;16550.97;-1;50;0.209823734;76;0.898619836;9.070367123;2014.562824;9.78092589;-0.167101812;0.003687911;0.018655671
INDU;03.10.2011;07.05.2014;2014.35;16518.54;-2;50;0.508675958;185;0.890114404;10.89285952;2014.858676;9.83121399;-0.171823787;-0.007666671;-0.01452004
INDU;03.10.2011;06.05.2014;2014.347;16401.02;-3;50;0.781976767;285;0.842546205;10.71376217;2015.128977;9.890626421;-0.189631907;0.007308931;-0.009900007
INDU;03.10.2011;05.05.2014;2014.344;16530.55;-4;50;0.129385569;47;0.897464478;8.322129908;2014.473386;9.768187438;-0.167842663;0.018088512;0.008647281
INDU;03.10.2011;02.05.2014;2014.336;16512.89;-7;50;0.9250482;337;0.667436617;13.62941327;2015.261048;9.997635571;-0.270518432;-0.011717261;0.009668347
INDU;03.10.2011;01.05.2014;2014.333;16558.87;-8;50;0.186063018;67;0.895867958;9.195788346;2014.519063;9.773861351;-0.16636328;0.00635779;0.018057187
INDU;03.10.2011;30.04.2014;2014.331;16580.84;-9;50;0.094161503;34;0.895342682;7.826661984;2014.425162;9.761762112;-0.168765236;0.020287951;-0.001794118
INDU;03.10.2011;29.04.2014;2014.328;16535.37;-10;50;0.329049263;120;0.896589324;9.668110924;2014.657049;9.797770955;-0.168938602;-0.011602281;0.013956153
INDU;03.10.2011;28.04.2014;2014.325;16448.74;-11;50;0.341294978;124;0.883519161;9.586777764;2014.666295;9.803308558;-0.172987173;-0.011420651;0.014197101
INDU;03.10.2011;25.04.2014;2014.317;16361.46;-14;50;0.019594063;7;0.89468708;7.494947102;2014.336594;9.746756664;-0.167400901;0.016062003;-0.013876452
INDU;03.10.2011;24.04.2014;2014.314;16501.65;-15;50;0.474481326;173;0.86677325;10.23298642;2014.788481;9.829595008;-0.17977554;-0.017012804;-0.003603212
INDU;03.10.2011;23.04.2014;2014.311;16501.65;-16;50;0.634713929;231;0.893363447;11.64537775;2014.945714;9.845774483;-0.172088147;0.00894986;-0.012899559
INDU;03.10.2011;22.04.2014;2014.308;16514.37;-17;50;0.352417716;128;0.846147175;9.763978345;2014.660418;9.811443095;-0.182392443;-0.012698287;0.013411952
INDU;03.10.2011;21.04.2014;2014.306;16449.25;-18;50;0.586204224;213;0.897789829;11.03436092;2014.892204;9.837639335;-0.171625557;-0.00287999;-0.016006444
INDU;03.10.2011;18.04.2014;2014.294;16408.54;-21;50;0.147467241;53;0.895115693;8.011700553;2014.441467;9.766120974;-0.169911642;0.020408113;0.002187015
INDU;03.10.2011;17.04.2014;2014.294;16408.54;-22;50;0.13054672;47;0.896821859;7.720557411;2014.424547;9.763578978;-0.169933676;0.020214438;-0.00293848
INDU;03.10.2011;16.04.2014;2014.292;16424.85;-23;50;0.064643158;23;0.894481574;6.824573619;2014.356643;9.753355275;-0.170194184;0.011331587;-0.01575259
INDU;03.10.2011;15.04.2014;2014.289;16262.56;-24;50;0.215302216;78;0.818324324;8.847716348;2014.504302;9.790907015;-0.186924876;0.012391573;0.015551754
INDU;03.10.2011;14.04.2014;2014.286;16173.24;-25;50;0.163118519;59;0.894036945;8.217438669;2014.449119;9.767716974;-0.170085474;0.01985735;0.005453249
