ticker,date_from,date_to,step_backward,maxit
INDU,2011-10-03,2014-05-13,132,100
SPX,2011-10-03,2014-05-13,132,100
CCMP,2011-10-03,2014-05-13,132,100
SX5E,2011-09-12,2014-05-13,132,100
DAX,2011-09-12,2014-05-13,132,100
SMI,2011-08-10,2014-05-13,132,100
IBEX,2012-07-24,2014-05-13,132,100
FTSEMIB,2012-07-24,2014-05-13,132,100
NKY,2011-11-25,2014-05-13,132,100
HSCEI,2011-10-04,2014-05-13,132,100
EEM,2011-10-03,2014-05-13,132,100
MXAR,2012-11-16,2014-05-12,132,100
MXAU,2011-09-26,2014-05-12,132,100
MXAT,2011-11-23,2014-05-12,132,100
MXBE,2011-09-22,2014-05-12,132,100
MXBR,2014-02-03,2014-05-12,50,100
MXCA,2012-05-18,2014-05-12,132,100
MXCL,2014-02-03,2014-05-12,50,100
MXCN,2011-10-04,2014-05-12,132,100
MXCO,2014-02-04,2014-05-12,49,100
MXCZ,2013-07-22,2014-05-12,132,100
MXDK,2011-08-25,2014-05-12,132,100
MXEG,2011-12-28,2014-05-12,132,100
MXFI,2012-06-04,2014-05-12,132,100
MXFR,2011-09-22,2014-05-12,132,100
MXDE,2011-09-12,2014-05-12,132,100
MXGR,2012-06-12,2014-05-12,132,100
MXHK,2011-10-04,2014-05-12,132,100
MXHU,2014-03-13,2014-05-12,30,100
MXIN,2011-12-20,2014-05-12,132,100
MXID,2011-10-04,2014-05-13,132,100
MXIE,2011-09-12,2014-05-12,132,100
MXIL,2013-08-27,2014-05-12,132,100
MXIT,2012-07-24,2014-05-12,132,100
MXJP,2012-06-04,2014-05-12,132,100
MXKR,2011-09-26,2014-05-12,132,100
MXMY,2011-09-26,2014-05-12,132,100
MXMX,2011-09-22,2014-05-12,132,100
MXMA,2013-08-29,2014-05-12,132,100
MXNZ,2011-11-25,2014-05-12,132,100
MXNO,2011-10-04,2014-05-12,132,100
MXPE,2013-08-07,2014-05-12,132,100
MXPH,2011-09-26,2014-05-12,132,100
MXPL,2012-05-24,2014-05-12,132,100
MXPT,2012-07-25,2014-05-12,132,100
MXRU,2014-03-14,2014-05-13,30,100
MXSG,2011-10-04,2014-05-12,132,100
MXZA,2011-08-08,2014-05-12,132,100
MXES,2012-07-24,2014-05-12,132,100
MXCH,2011-08-10,2014-05-12,132,100
MXTW,2011-12-19,2014-05-13,132,100
MXTH,2011-10-04,2014-05-12,132,100
MXTR,2011-11-24,2014-05-12,132,100
MXGB,2011-10-04,2014-05-12,132,100
MXUS,2011-10-03,2014-05-12,132,100
S5PUBL,2011-08-10,2014-05-13,132,100
S5HMEN,2012-07-26,2014-05-13,132,100
S5ADVT,2011-10-03,2014-05-13,132,100
S5HCDS,2011-08-08,2014-05-13,132,100
S5INRE,2011-12-30,2014-05-13,132,100
