ticker,date_from,date_to,step_backward,maxit
SPX,2011-10-03,2014-05-09,1,10
CCMP,2011-10-03,2014-05-09,1,10
SX5E,2011-09-12,2014-05-09,1,10
HSCEI,2011-10-04,2014-05-09,1,10
SPX,2011-10-03,2014-05-09,1,30
CCMP,2011-10-03,2014-05-09,1,30
SX5E,2011-09-12,2014-05-09,1,30
HSCEI,2011-10-04,2014-05-09,1,30
SPX,2011-10-03,2014-05-09,1,40
CCMP,2011-10-03,2014-05-09,1,40
SX5E,2011-09-12,2014-05-09,1,40
HSCEI,2011-10-04,2014-05-09,1,40
SPX,2011-10-03,2014-05-09,1,50
CCMP,2011-10-03,2014-05-09,1,50
SX5E,2011-09-12,2014-05-09,1,50
HSCEI,2011-10-04,2014-05-09,1,50
SPX,2011-10-03,2014-05-09,1,100
CCMP,2011-10-03,2014-05-09,1,100
SX5E,2011-09-12,2014-05-09,1,100
HSCEI,2011-10-04,2014-05-09,1,100
SPX,2011-10-03,2014-05-09,1,200
CCMP,2011-10-03,2014-05-09,1,200
SX5E,2011-09-12,2014-05-09,1,200
HSCEI,2011-10-04,2014-05-09,1,200
MXDK,2011-08-25,2014-05-09,1,10
MXPL,2012-05-24,2014-05-09,1,10
MXPT,2012-07-25,2014-05-09,1,10
MXDK,2011-08-25,2014-05-09,1,30
MXPL,2012-05-24,2014-05-09,1,30
MXPT,2012-07-25,2014-05-09,1,30
MXDK,2011-08-25,2014-05-09,1,40
MXPL,2012-05-24,2014-05-09,1,40
MXPT,2012-07-25,2014-05-09,1,40
MXDK,2011-08-25,2014-05-09,1,50
MXPL,2012-05-24,2014-05-09,1,50
MXPT,2012-07-25,2014-05-09,1,50
MXDK,2011-08-25,2014-05-09,1,100
MXPL,2012-05-24,2014-05-09,1,100
MXPT,2012-07-25,2014-05-09,1,100
MXDK,2011-08-25,2014-05-09,1,200
MXPL,2012-05-24,2014-05-09,1,200
MXPT,2012-07-25,2014-05-09,1,200
S5PUBL,2011-08-10,2014-05-09,1,10
S5DVSS,2011-08-08,2014-05-09,1,10
S5TIRE,2011-10-03,2014-05-09,1,10
S5PUBL,2011-08-10,2014-05-09,1,30
S5DVSS,2011-08-08,2014-05-09,1,30
S5TIRE,2011-10-03,2014-05-09,1,30
S5PUBL,2011-08-10,2014-05-09,1,40
S5DVSS,2011-08-08,2014-05-09,1,40
S5TIRE,2011-10-03,2014-05-09,1,40
S5PUBL,2011-08-10,2014-05-09,1,50
S5DVSS,2011-08-08,2014-05-09,1,50
S5TIRE,2011-10-03,2014-05-09,1,50
S5PUBL,2011-08-10,2014-05-09,1,100
S5DVSS,2011-08-08,2014-05-09,1,100
S5TIRE,2011-10-03,2014-05-09,1,100
S5PUBL,2011-08-10,2014-05-09,1,200
S5DVSS,2011-08-08,2014-05-09,1,200
S5TIRE,2011-10-03,2014-05-09,1,200
